material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Zr_wyckoff,num_Zr_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-10499,LiZr2(PO4)3,1.874483369223648,0.4943017590583008,[6.0],4.0,4.0,4.0,Octahedron,4e,1,6.0,Zr,0.0,True,10.0,6.0,2.0098347871379403,2.1268888865566615,2.0802897925181583,0.048161159217670786,0.11705409941872125,105.55352736380578,31.443050300242366,78.31798773567905,168.96238308681046,6.0,1.0,7,Octahedron
mp-10499,LiZr2(PO4)3,1.874483369223648,0.4943017590583008,[6.0],4.0,4.0,4.0,Octahedron,4e,1,6.0,Zr,0.0,True,11.0,6.0,2.0098347871379407,2.1268888865566615,2.0802897925181587,0.04816115921767105,0.1170540994187208,70.07822467269652,30.001219970754295,19.761293341582764,114.15961024068514,6.0,1.0,8,Octahedron
mp-1068742,SrZrO3,1.7637187941243575,0.9459145702257368,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True,1.0,6.0,2.0280671321640003,2.2469208678359993,2.113230896154463,0.0654657333183457,0.21885373567199906,24.661299130456566,13.108643754869668,0.0,37.8607589685731,0.0,0.0,1,Octahedron
mp-1079056,ZrTi(PbO3)2,0.9815764638043796,3.064760955629958,[6.0],4.0,4.0,4.0,Octahedron,1b,1,6.0,Zr,0.0,True,0.0,6.0,1.9868243192200001,2.4432356807799995,2.1518958372357235,0.13911232452252661,0.4564113615599994,98.3492052478523,34.00799261294154,0.0,158.33126559760748,4.0,0.6666666666666666,1,Octahedron
mp-1079416,ZrTi(PbO3)2,2.313538254774853,-1.1128886693510585,[5.0],4.0,4.0,4.0,Octahedron,1b,1,5.0,Zr,0.0,True,,,,,,,,,,,,,,0,Octahedron
mp-1080575,SrZrO3,2.1090461399320213,-0.0266785505343147,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True,2.0,6.0,2.0965080188037457,2.101369011899752,2.098128349981487,0.0022914940179380875,0.004860993096006183,80.89663746199942,35.91939512636549,17.92690366958332,180.0,6.0,1.0,1,Octahedron
mp-1080575,SrZrO3,2.1090461399320213,-0.0266785505343147,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True,3.0,6.0,2.0965080188037453,2.1013690120209785,2.098128349977449,0.002291494106513489,0.0048609932172332115,54.95427420722288,25.9089189208069,17.926903666622255,99.09768219942562,6.0,1.0,2,Octahedron
mp-1100802,Zr8MnCu2(PO4)12,1.9678907454621748,0.3297565305481779,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Zr,0.0,True,0.0,6.0,2.071790129592535,2.20096247758844,2.1080414924988475,0.04283516744318324,0.12917234799590505,84.92136418080901,36.0730244738979,39.97121346374196,174.0165663712073,6.0,1.0,1,Octahedron
mp-1100802,Zr8MnCu2(PO4)12,1.9678907454621748,0.3297565305481779,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Zr,0.0,True,1.0,6.0,2.054456783230818,2.1290996901130685,2.0924282320688814,0.023942193758034906,0.0746429068822505,106.916348329462,33.85108551564116,85.64544120241757,176.80959631736707,6.0,1.0,2,Octahedron
mp-1100802,Zr8MnCu2(PO4)12,1.9678907454621748,0.3297565305481779,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Zr,0.0,True,2.0,6.0,2.0705979357011217,2.1566410968180243,2.0949419757248484,0.0287422242026281,0.08604316111690258,81.95894525472613,38.294798620283686,19.354984498848072,177.3904624175351,6.0,1.0,3,Octahedron
mp-1100802,Zr8MnCu2(PO4)12,1.9678907454621748,0.3297565305481779,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Zr,0.0,True,3.0,6.0,2.0111022197353736,2.210053597181422,2.1218961837855024,0.08392734739917673,0.1989513774460483,89.92506846114806,31.894019598634475,33.27947501954083,166.34817503919754,6.0,1.0,4,Octahedron
mp-1100802,Zr8MnCu2(PO4)12,1.9678907454621748,0.3297565305481779,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Zr,0.0,True,4.0,6.0,2.0544567832308194,2.1290996901130677,2.092428232068881,0.023942193758034445,0.07464290688224828,106.91634832946198,33.851085515641145,85.64544120241756,176.80959631736684,6.0,1.0,5,Octahedron
mp-1100802,Zr8MnCu2(PO4)12,1.9678907454621748,0.3297565305481779,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Zr,0.0,True,5.0,6.0,2.0717901295925363,2.2009624775884395,2.1080414924988475,0.04283516744318295,0.12917234799590327,84.92136418080901,36.073024473897895,39.97121346374196,174.01656637120723,6.0,1.0,6,Octahedron
mp-1100802,Zr8MnCu2(PO4)12,1.9678907454621748,0.3297565305481779,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Zr,0.0,True,6.0,6.0,2.011102219735375,2.2100535971814232,2.1218961837855033,0.08392734739917693,0.1989513774460483,89.92506846114807,31.89401959863448,33.27947501954083,166.34817503919754,6.0,1.0,7,Octahedron
mp-1100802,Zr8MnCu2(PO4)12,1.9678907454621748,0.3297565305481779,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Zr,0.0,True,7.0,6.0,2.0705979357011217,2.1566410968180225,2.0949419757248484,0.028742224202627262,0.0860431611169008,81.95894525472613,38.294798620283736,19.354984498848072,177.3904624175354,6.0,1.0,8,Octahedron
