material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Zr_wyckoff,num_Zr_chemenvs,CN,element,charge_range,is_single_charge
mp-1215390,Zr4Br4O,2.1534128170545923,-0.0382654625043758,"[0, 1.0, 3.0]",1.6666666666666667,1.0,2.0,"Octahedron, Tetrahedron, Triangular non-coplanar",1a,3,1.0,Zr,1.0,False
mp-1215390,Zr4Br4O,2.1534128170545923,-0.0382654625043758,"[0, 1.0, 3.0]",1.6666666666666667,1.0,2.0,"Octahedron, Tetrahedron, Triangular non-coplanar",1a,3,3.0,Zr,1.0,False
mp-1215409,ZrTi2(PbO3)3,0.8953694732324834,3.303388350988409,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1215414,ZrTi4(PbO3)5,0.7080750861740445,3.763885729095489,[6.0],4.0,4.0,4.0,Octahedron,1b,1,6.0,Zr,0.0,True
mp-1215669,Zr3TePb4O13,2.028567950148082,0.2400908515660683,[6.0],4.0,4.0,4.0,Octahedron,3b,1,6.0,Zr,0.0,True
mp-1215762,Zr3Ti2(PbO3)5,1.6095426671067383,1.3708716366378844,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1215801,Zr4Ni(PO4)6,1.9315813006126807,0.4236493354834479,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True
mp-1215813,Zr3Ti2(PbO3)5,4.052787619623397,-4.739436314599277,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1215826,Zr2Sb2Pb4O13,2.008817393800398,0.2787833336393624,[6.0],4.0,4.0,4.0,Octahedron,2d,1,6.0,Zr,0.0,True
mp-1215926,Zr2P2SO12,1.9788673375805044,0.2940135468284903,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True
mp-1215966,Zr3Ti(PbO3)4,1.91159541688014,0.5516616278389315,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1216039,Zr2Ti3(PbO3)5,1.0740093461463112,2.8590608801952646,[6.0],4.0,4.0,4.0,Octahedron,2h,1,6.0,Zr,0.0,True
mp-1216122,Y4Zr3O12,1.8461489356939207,0.6302248263047868,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",1a,2,6.0,Zr,0.0,True
mp-1216122,Y4Zr3O12,1.8461489356939207,0.6302248263047868,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",1a,2,7.0,Zr,0.0,True
mp-1216160,Y4Zr3O12,1.974569419728462,0.3726331202260921,[6.0],4.0,4.0,4.0,"Trigonal prism, Octahedron","1a, 2i",2,6.0,Zr,0.0,True
mp-1216369,Zr2P3H3O13,2.034335429053381,0.1672189334963162,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1216434,Zr4Ti(PbO3)5,1.961499391273583,0.4261079609770554,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1216458,Y4ZrMn5O15,2.0460657001715927,0.2916852875553756,[7.0],4.0,4.0,4.0,Face-capped octahedron,1a,1,7.0,Zr,0.0,True
mp-1216821,Tm4Zr3O12,1.9920687260911385,0.3188010464159135,[6.0],4.0,4.0,4.0,"Trigonal prism, Octahedron","1a, 2i",2,6.0,Zr,0.0,True
mp-1218248,SrCaZr8(PO4)12,1.905226760559472,0.4851767523448921,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Zr,0.0,True
mp-1218319,SrCa3Zr16(PO4)24,1.8773497514319903,0.5579078341845641,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Zr,0.0,True
mp-1218572,Sr4Zr3TiO12,2.1362205865186885,-0.0432586080833017,[6.0],4.0,4.0,4.0,Octahedron,"1h, 1a, 1b",1,6.0,Zr,0.0,True
mp-1218677,SrCa3Zr16(PO4)24,1.892041977419564,0.5184667556538999,[6.0],4.0,4.0,4.0,Octahedron,"6f, 2c",1,6.0,Zr,0.0,True
mp-1218809,Sr3CaZr16(PO4)24,1.88268966597832,0.5489829981143851,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Zr,0.0,True
mp-1220772,NaZrScO4,1.9381532652401847,0.4838269461804259,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True
mp-1220787,NaLaZr2O6,2.074337004665208,0.1659447706267537,[6.0],4.0,4.0,4.0,Octahedron,2d,1,6.0,Zr,0.0,True
mp-1220811,NaZrNb(PO4)3,1.9076799040957493,0.4493241348712032,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True
mp-1220956,Na8Zr3Ti3Mn2Si8(O17F)2,1.8392133620020872,0.7145985008593169,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1221148,Na3Zr2Si2PO12,1.903574770834736,0.5180545042725652,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Zr,0.0,True
mp-1221302,Na2Zr4As3(PO8)3,1.890087134209148,0.5228165056447377,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Zr,0.0,True
