element,CN,n_points,beta,beta0,method
Ca,8.0,795,-0.7511930442250659,1.8936250795954246,RANSAC
Ca,9.0,153,-0.6661846325337998,1.7239188476514409,RANSAC
Ca,10.0,20,-0.6611631530108584,1.7281111605792616,RANSAC
Ca,12.0,29,-0.5803593658912227,1.5774196602555848,RANSAC
Sr,1.0,10,-0.9744286882112225,2.4661139046526204,RANSAC
Sr,2.0,13,-0.621980501021943,1.6533954845413144,RANSAC
Sr,3.0,5,-0.8113061698676478,2.121112770412431,RANSAC
Sr,4.0,73,-0.7175815468801668,1.976584421335937,RANSAC
Sr,5.0,30,-0.8173599966467553,2.173954428079665,RANSAC
Sr,6.0,207,-0.8216838398348524,2.1622771613632237,RANSAC
Sr,7.0,184,-0.7945966378707716,2.109417916749493,RANSAC
Sr,8.0,635,-0.7394189185495859,2.0165259861902123,RANSAC
Sr,9.0,503,-0.6663742698733398,1.8166604079530984,RANSAC
Sr,10.0,145,-0.6093697146982552,1.702632145029097,RANSAC
Sr,11.0,55,-0.534510136973862,1.5061456594694393,RANSAC
Sr,12.0,301,-0.5511562283715075,1.5711101435448886,RANSAC
Ba,1.0,18,-0.9359322176515997,2.533208929349767,RANSAC
Ba,2.0,27,-0.9433154893785971,2.597278041706333,RANSAC
Ba,3.0,32,-0.7627240636471524,2.156953096906247,RANSAC
Ba,4.0,42,-0.8671633406227361,2.445091535805741,RANSAC
Ba,5.0,38,-0.7785736393729802,2.2217439356902444,RANSAC
Ba,6.0,236,-0.726148361960342,2.0841295537415774,RANSAC
Ba,7.0,162,-0.7798307837125615,2.2324056804893044,RANSAC
Ba,8.0,418,-0.7070296410083345,2.0560906263722254,RANSAC
Ba,9.0,488,-0.6648050040928478,1.94474885787479,RANSAC
Ba,10.0,468,-0.6100836231648832,1.8080438939843069,RANSAC
Ba,11.0,124,-0.6092753754852586,1.8235457416710505,RANSAC
Ba,12.0,644,-0.5570045780218986,1.6725251597663153,RANSAC
Ba,13.0,10,-0.5843236394744122,1.749082079734246,RANSAC
