material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Cr_wyckoff,num_Cr_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-757623,Li2Cr2Si4O11,0.8707865599179,1.2953325616227145,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Cr,0.0,True,5.0,6.0,2.056153172381213,2.791309261816311,2.2620848779596026,0.2660245549387378,0.7351560894350979,106.8897569559132,34.378724052094256,77.35497847464589,176.57711668378766,6.0,1.0,2,Octahedron
mp-757623,Li2Cr2Si4O11,0.8707865599179,1.2953325616227145,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Cr,0.0,True,6.0,6.0,2.0561531723812116,2.7913092618163122,2.262084877959603,0.2660245549387382,0.7351560894351006,106.88975695591316,34.37872405209419,77.35497847464588,176.57711668378724,6.0,1.0,3,Octahedron
mp-757623,Li2Cr2Si4O11,0.8707865599179,1.2953325616227145,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Cr,0.0,True,7.0,6.0,2.034212865596652,2.5929085172852093,2.233216321799206,0.21621724624582744,0.5586956516885575,77.43801910522285,35.795470595956594,19.474958643584042,174.84388823177665,6.0,1.0,4,Octahedron
mp-757714,Li2CrNi(PO4)2,0.8281821429123998,1.2396385612592753,[6.0],2.0,2.0,2.0,Octahedron,2e,1,6.0,Cr,0.0,True,4.0,6.0,2.0679952879287957,2.3607064452663384,2.1925622256815105,0.12108713771382229,0.2927111573375427,94.68564485900112,36.267618026580784,15.886185122620875,176.44302594186655,6.0,1.0,1,Octahedron
mp-757714,Li2CrNi(PO4)2,0.8281821429123998,1.2396385612592753,[6.0],2.0,2.0,2.0,Octahedron,2e,1,6.0,Cr,0.0,True,5.0,6.0,2.0683720801163648,2.3614197372667727,2.192983367918739,0.12126730806293803,0.2930476571504079,94.68711715836847,36.269967200540286,15.889027256885507,176.45604477619133,6.0,1.0,2,Octahedron
mp-757728,Li2Cr3(SiO3)4,1.9508474876086013,0.1252520015006836,[4.0],2.0,2.0,2.0,Square plane,"4a, 4c",1,4.0,Cr,0.0,True,10.0,4.0,2.004032567533644,2.057641207930389,2.030836887732017,0.026804320198371534,0.053608640396745066,119.26939518148446,41.788517608201886,81.2451312250867,177.81765045205225,4.0,1.0,1,Square plane
mp-757728,Li2Cr3(SiO3)4,1.9508474876086013,0.1252520015006836,[4.0],2.0,2.0,2.0,Square plane,"4a, 4c",1,4.0,Cr,0.0,True,11.0,4.0,2.010006091939497,2.0304956489782366,2.020250870458867,0.010244778519369557,0.02048955703873956,115.5068808695071,37.087014332549515,82.56578965846799,167.73161005507316,4.0,1.0,2,Square plane
mp-757728,Li2Cr3(SiO3)4,1.9508474876086013,0.1252520015006836,[4.0],2.0,2.0,2.0,Square plane,"4a, 4c",1,4.0,Cr,0.0,True,12.0,4.0,2.0100060919394958,2.0304956489782384,2.020250870458867,0.010244778519370334,0.020489557038742667,43.43123804132074,21.012428546673814,12.881851394598492,82.56578965846802,4.0,1.0,3,Square plane
mp-757728,Li2Cr3(SiO3)4,1.9508474876086013,0.1252520015006836,[4.0],2.0,2.0,2.0,Square plane,"4a, 4c",1,4.0,Cr,0.0,True,13.0,4.0,2.0040325675336437,2.05764120793039,2.0308368877320166,0.026804320198372755,0.0536086403967464,119.26939518148446,41.788517608201886,81.24513122508668,177.81765045205225,4.0,1.0,4,Square plane
mp-757728,Li2Cr3(SiO3)4,1.9508474876086013,0.1252520015006836,[4.0],2.0,2.0,2.0,Square plane,"4a, 4c",1,4.0,Cr,0.0,True,16.0,4.0,2.0040325675336415,2.057641207930391,2.0308368877320166,0.026804320198373418,0.05360864039674951,119.26939518148451,41.78851760820197,81.2451312250867,177.81765045205225,4.0,1.0,5,Square plane
