material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Nb_wyckoff,num_Nb_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-2715274,Na9CaNb5(SiO4)9,1.8576899097239217,0.8411626049656686,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,89.0,6.0,1.9141671507696447,2.1574859018825694,2.0097026662662976,0.07578054618087922,0.24331875111292467,106.0773414094877,32.811458709001315,81.85921279807208,175.20573129474272,6.0,1.0,30,Octahedron
mp-2715283,Na6Nb3Ga(SiO4)6,1.818214521106904,1.0197612897014985,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,18.0,6.0,1.9761581424959598,2.0266389083377043,1.999259817924649,0.021393407341072944,0.050480765841744546,60.34620705485975,26.790255361971948,20.1685170968984,111.82279843496478,6.0,1.0,1,Octahedron
mp-2715283,Na6Nb3Ga(SiO4)6,1.818214521106904,1.0197612897014985,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,19.0,6.0,1.9569977150346856,2.0632598677572327,2.0086491101922785,0.039889441251340654,0.10626215272254713,60.564527642720684,26.896837633334012,19.851502350203003,111.22632061378337,6.0,1.0,2,Octahedron
mp-2715283,Na6Nb3Ga(SiO4)6,1.818214521106904,1.0197612897014985,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,20.0,6.0,1.9417101999380557,2.0706142008394273,2.008125132997422,0.03855386733876883,0.12890400090137155,61.47551494459624,27.24036546691723,20.189716253910923,113.92985050092763,6.0,1.0,3,Octahedron
mp-2715283,Na6Nb3Ga(SiO4)6,1.818214521106904,1.0197612897014985,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,21.0,6.0,1.9675732968061848,2.0213082433481193,2.0011391424806924,0.019159896102586938,0.05373494654193456,50.314053159705395,25.25142130095338,7.520472269149972,86.78075628345883,6.0,1.0,4,Octahedron
mp-2715283,Na6Nb3Ga(SiO4)6,1.818214521106904,1.0197612897014985,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,22.0,6.0,1.932179440919628,2.0883727814514987,2.0109046864794897,0.072157784253676,0.15619334053187073,105.97976426591943,32.60713647309018,82.79147257603653,170.80473348306248,6.0,1.0,5,Octahedron
mp-2715283,Na6Nb3Ga(SiO4)6,1.818214521106904,1.0197612897014985,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,23.0,6.0,1.9158369083056284,2.09108705369097,2.004769402221922,0.057265539337242065,0.17525014538534145,49.38691707676788,24.718143821622785,7.6548149654814965,87.89679294384337,6.0,1.0,6,Octahedron
mp-2715283,Na6Nb3Ga(SiO4)6,1.818214521106904,1.0197612897014985,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,24.0,6.0,1.9616156849659732,2.0317105863085216,1.9986174998861579,0.029657954588529607,0.07009490134254848,107.0759694858723,34.317886879067416,84.83965413404685,177.67680488684775,6.0,1.0,7,Octahedron
mp-2715283,Na6Nb3Ga(SiO4)6,1.818214521106904,1.0197612897014985,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,25.0,6.0,1.9727185237055394,2.0412954561610177,2.0045310895151087,0.030535084923542236,0.06857693245547836,106.63642354386123,33.57821829479644,85.61797814609199,174.10033433227827,6.0,1.0,8,Octahedron
mp-2715283,Na6Nb3Ga(SiO4)6,1.818214521106904,1.0197612897014985,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,26.0,6.0,1.9388714729762448,2.079061979733618,2.00849938941358,0.06700181271718857,0.1401905067573732,105.929971660601,32.536529011528565,83.21386128575892,170.85277208168756,6.0,1.0,9,Octahedron
