material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Nb_wyckoff,num_Nb_chemenvs,CN,element,charge_range,is_single_charge
mp-772073,Li2Nb4O11,1.95584920606006,0.3897863653390019,"[6.0, 7.0]",5.0,5.0,5.0,"Pentagonal bipyramid, Octahedron","2e, 2d, 4f",2,6.0,Nb,0.0,True
mp-772073,Li2Nb4O11,1.95584920606006,0.3897863653390019,"[6.0, 7.0]",5.0,5.0,5.0,"Pentagonal bipyramid, Octahedron","2e, 2d, 4f",2,7.0,Nb,0.0,True
mp-772076,Sr4Li4Nb5FeO20,1.90348096985504,0.6355386238009842,[6.0],5.0,5.0,5.0,Octahedron,"2h, 1a, 2g",1,6.0,Nb,0.0,True
mp-772085,LiNb10O18,2.205003386826492,-0.2483021126441044,"[5.0, 6.0]",3.5,3.5,3.5,"Octahedron, Square pyramid",4e,2,5.0,Nb,0.0,True
mp-772085,LiNb10O18,2.205003386826492,-0.2483021126441044,"[5.0, 6.0]",3.5,3.5,3.5,"Octahedron, Square pyramid",4e,2,6.0,Nb,0.0,True
mp-772125,NbPO5,2.1856802534822988,-0.5398733381274505,[6.0],5.0,5.0,5.0,Octahedron,4c,1,6.0,Nb,0.0,True
mp-772128,Mn5Nb(PO4)6,1.8369088370002475,0.8867702800984265,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-772147,LiNb7O12,2.037771495715183,0.1391647308919866,"[5.0, 5.0, 6.0]",3.6666666666666665,3.0,4.0,"Octahedron, Square pyramid",4e,2,5.0,Nb,1.0,False
mp-772147,LiNb7O12,2.037771495715183,0.1391647308919866,"[5.0, 5.0, 6.0]",3.6666666666666665,3.0,4.0,"Octahedron, Square pyramid",4e,2,5.0,Nb,1.0,False
mp-772147,LiNb7O12,2.037771495715183,0.1391647308919866,"[5.0, 5.0, 6.0]",3.6666666666666665,3.0,4.0,"Octahedron, Square pyramid",4e,2,6.0,Nb,1.0,False
mp-772216,LiNb8O14,2.0920665501343705,0.0011694689529708,"[5.0, 6.0]",3.38,3.38,3.38,"Octahedron, Square pyramid","4h, 8i, 4g",2,5.0,Nb,0.0,True
mp-772216,LiNb8O14,2.0920665501343705,0.0011694689529708,"[5.0, 6.0]",3.38,3.38,3.38,"Octahedron, Square pyramid","4h, 8i, 4g",2,6.0,Nb,0.0,True
mp-772403,NbVO4,1.880945995578976,0.767647862676125,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True
mp-772535,LiNb13O33,1.963096397722716,0.4105249606738123,[6.0],5.0,5.0,5.0,Octahedron,"2i, 1a",1,6.0,Nb,0.0,True
mp-772660,NbCrO4,1.8336850664598008,1.157735972962523,[6.0],5.0,5.0,5.0,Octahedron,4c,1,6.0,Nb,0.0,True
mp-773024,LiCa2Nb3O10,1.941899460752865,0.480269125267702,[6.0],5.0,5.0,5.0,no_data,no_data,1,6.0,Nb,0.0,True
mp-773047,KNb2PO8,1.940552506096457,0.4871690730734059,[6.0],5.0,5.0,5.0,Octahedron,3b,1,6.0,Nb,0.0,True
mp-773061,Ba6Ti7Nb9O42,1.933204260031752,0.4048056050420694,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"2b, 1a",1,6.0,Nb,1.0,False
mp-773061,Ba6Ti7Nb9O42,1.933204260031752,0.4048056050420694,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"2b, 1a",1,6.0,Nb,1.0,False
mp-773072,Ba8LiNb7O24,1.963821158276783,0.3288857320978716,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1c, 1a, 1b",1,6.0,Nb,1.0,False
mp-773072,Ba8LiNb7O24,1.963821158276783,0.3288857320978716,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1c, 1a, 1b",1,6.0,Nb,1.0,False
mp-773078,Li7Ca8Nb12O40,1.9772419509550323,0.2253227662304239,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,1a,1,6.0,Nb,1.0,False
mp-773078,Li7Ca8Nb12O40,1.9772419509550323,0.2253227662304239,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,1a,1,6.0,Nb,1.0,False
mp-773084,Ba6Li2Ti7Nb9O42,1.960632643669091,0.2623244377345717,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"2b, 1a",1,6.0,Nb,1.0,False
mp-773084,Ba6Li2Ti7Nb9O42,1.960632643669091,0.2623244377345717,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"2b, 1a",1,6.0,Nb,1.0,False
mp-773089,K3Li2Nb6(PO8)3,1.876967465982185,0.731771865871467,[6.0],4.67,4.67,4.67,Octahedron,3b,1,6.0,Nb,0.0,True
mp-773090,Nb6CdO16,1.9481218507517468,0.357237016228066,"[6.0, 7.0]",5.0,5.0,5.0,"Octahedron, Pentagonal bipyramid",4c,2,6.0,Nb,0.0,True
mp-773090,Nb6CdO16,1.9481218507517468,0.357237016228066,"[6.0, 7.0]",5.0,5.0,5.0,"Octahedron, Pentagonal bipyramid",4c,2,7.0,Nb,0.0,True
mp-773965,Nb2PbO6,2.001556724535063,0.1912055455341302,[6.0],5.0,5.0,5.0,Octahedron,"4c, 2a",1,6.0,Nb,0.0,True
mp-774246,Nb9VO25,1.946122744628879,0.4760940657318778,[6.0],5.0,5.0,5.0,Octahedron,"4g, 1b",1,6.0,Nb,0.0,True
mp-774535,TiNb3(PO4)6,1.9989837204268408,0.0259123395904114,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,1a,1,6.0,Nb,1.0,False
mp-774535,TiNb3(PO4)6,1.9989837204268408,0.0259123395904114,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,1a,1,6.0,Nb,1.0,False
mp-774715,Ba4LiNb3O12,1.818283585739672,1.2069784763177662,[6.0],5.0,5.0,5.0,Octahedron,4c,1,6.0,Nb,0.0,True
mp-774853,Ti3NbV2(PO4)6,1.8587762685429188,0.302406720964659,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-774881,Li4Ti3Nb2V3O16,1.985812028042238,0.441548768976081,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-774933,Li4NbFe(TeO6)2,1.9834922350739863,0.0859764263182691,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-775656,Li4Mn3Nb2V3O16,2.017543696304847,0.1680314447469588,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-775988,Mn2NbFe3(PO4)6,1.8190685965797044,0.9941136959110636,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-775999,Li4Ti3Nb2Fe3O16,1.8676385611302115,1.0844788483208605,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True
mp-776061,Li4Ti3Mn3Nb2O16,1.8792541339790887,1.0395742080949393,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-776073,Li4Ti3Nb2Co3O16,1.886749986075563,0.939373650441834,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True
mp-776108,LiNbO3,1.96042779986316,0.746041259904862,[6.0],5.0,5.0,5.0,Octahedron,8e,1,6.0,Nb,0.0,True
mp-776159,NbFe3Ni2(PO4)6,1.8169387545635656,0.985220885845699,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-776180,Ti3Mn2Nb(PO4)6,1.878527156717086,0.25157740227605,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-776390,Li4Nb2V3Ni3O16,1.8887428030065632,0.8387198219889032,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-777452,LiNbCoO4,1.8323298450910268,1.44464775222943,[6.0],5.0,5.0,5.0,Octahedron,4b,1,6.0,Nb,0.0,True
mp-777650,LiNbNiO4,2.074976740783415,0.8406647640812761,[4.0],5.0,5.0,5.0,Tetrahedron,4c,1,4.0,Nb,0.0,True
mp-777751,Li3Nb3P8O29,1.9727927747652456,0.1442504230485132,[6.0],5.0,5.0,5.0,Octahedron,"2e, 4f",1,6.0,Nb,0.0,True
mp-778375,La2Nb2N2O5,1.8925981684103088,0.787373273076932,"[2.0, 3.0, 4.0, 5.0]",5.0,5.0,5.0,Octahedron,1a,1,2.0,Nb,0.0,True
mp-778375,La2Nb2N2O5,1.8925981684103088,0.787373273076932,"[2.0, 3.0, 4.0, 5.0]",5.0,5.0,5.0,Octahedron,1a,1,3.0,Nb,0.0,True
mp-778375,La2Nb2N2O5,1.8925981684103088,0.787373273076932,"[2.0, 3.0, 4.0, 5.0]",5.0,5.0,5.0,Octahedron,1a,1,4.0,Nb,0.0,True
mp-778375,La2Nb2N2O5,1.8925981684103088,0.787373273076932,"[2.0, 3.0, 4.0, 5.0]",5.0,5.0,5.0,Octahedron,1a,1,5.0,Nb,0.0,True
mp-779858,Sm3NbO7,1.9533959433397947,0.407212458430099,[6.0],5.0,5.0,5.0,Octahedron,4c,1,6.0,Nb,0.0,True
mp-780255,Gd3NbO7,1.9486749634818872,0.3051821019972606,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True
mp-780417,Li3MnNb4O12,2.022280319410909,0.0742945718183033,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,1a,1,6.0,Nb,1.0,False
mp-780417,Li3MnNb4O12,2.022280319410909,0.0742945718183033,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,1a,1,6.0,Nb,1.0,False
mp-780453,Tb4Nb4O11,1.952680464009417,0.3218679093373025,"[4.0, 5.0]",2.5,2.0,3.0,"Square pyramid, See-saw","4h, 8i, 4g",2,4.0,Nb,1.0,False
mp-780453,Tb4Nb4O11,1.952680464009417,0.3218679093373025,"[4.0, 5.0]",2.5,2.0,3.0,"Square pyramid, See-saw","4h, 8i, 4g",2,5.0,Nb,1.0,False
mp-780456,Ta2Nb3O12,1.8870420370240388,0.0375696929050362,"[4.0, 4.0]",4.5,4.0,5.0,Tetrahedron,4e,1,4.0,Nb,1.0,False
mp-780456,Ta2Nb3O12,1.8870420370240388,0.0375696929050362,"[4.0, 4.0]",4.5,4.0,5.0,Tetrahedron,4e,1,4.0,Nb,1.0,False
mp-780569,Ba8Nb7O24,1.9195407714238484,0.5333291463315477,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1c, 1a, 1b",1,6.0,Nb,1.0,False
mp-780569,Ba8Nb7O24,1.9195407714238484,0.5333291463315477,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1c, 1a, 1b",1,6.0,Nb,1.0,False
mp-780717,Li8Mn7Nb(PO4)12,1.8482915474341293,0.826048487702933,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-781710,NbNO,2.020714777748169,0.2159735572274372,"[3.0, 4.0]",5.0,5.0,5.0,Square-face capped trigonal prism,1a,1,3.0,Nb,0.0,True
mp-781710,NbNO,2.020714777748169,0.2159735572274372,"[3.0, 4.0]",5.0,5.0,5.0,Square-face capped trigonal prism,1a,1,4.0,Nb,0.0,True
mp-781757,TaNbO5,1.957013095292732,0.2896279673180756,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Nb,0.0,True
mp-781788,K2LiNb6(PO8)3,1.9112270587697568,0.5437169074531989,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-781789,Li4NbIn3(PO4)6,1.8380965604246944,0.9814635715418778,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True
