material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Rh_wyckoff,num_Rh_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,33,6,2.0285286658856894,2.101880756842581,2.060765668899196,0.02808583338310316,0.07335209095689166,98.36219315750124,37.373874181223414,46.64778071991281,176.0380617356535,6,1.0,22,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,34,6,2.027377651690624,2.0976050485819098,2.057095408001682,0.029257208943868216,0.07022739689128565,98.23796150440293,37.16589326170064,45.88790559226814,174.51366597683395,6,1.0,23,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,35,6,2.028772931382211,2.095772105810599,2.055951695665949,0.027824669061747426,0.06699917442838821,98.23688754467359,37.21539543882131,45.87494400779213,174.63719791042854,6,1.0,24,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,12,6,2.0256148612469254,2.1020991889927947,2.0610972661137534,0.030498574249551044,0.07648432774586933,82.53781747397028,35.539139867420914,18.284420502169024,174.02465646997464,6,1.0,1,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,13,6,2.020639556938357,2.1052127409418655,2.0586138545169006,0.03486569957455165,0.08457318400350866,82.41104839185917,35.582228663960564,18.42531287311616,174.62427955579835,6,1.0,2,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,14,6,2.0202015414090524,2.104340380050262,2.057954787958376,0.03393987556781717,0.08413883864120963,82.41312409269399,35.5799510266239,18.415735892364733,174.65569479314226,6,1.0,3,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,15,6,2.027377651690624,2.097605048581909,2.0570954080016812,0.02925720894386831,0.07022739689128477,98.23796150440295,37.165893261700674,45.88790559226814,174.5136659768341,6,1.0,4,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,16,6,2.0285286658856903,2.1018807568425797,2.060765668899195,0.028085833383103144,0.07335209095688944,98.3621931575012,37.37387418122338,46.64778071991284,176.03806173565332,6,1.0,5,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,17,6,2.028772931382212,2.0957721058105974,2.0559516956659487,0.027824669061747995,0.06699917442838554,98.23688754467362,37.21539543882131,45.874944007792195,174.63719791042854,6,1.0,6,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,18,6,2.020004503344824,2.1117290873858585,2.0641467551773327,0.030685121723991546,0.09172458404103434,72.00336891648394,28.38567753848468,18.106966733672497,117.2844344081326,6,1.0,7,Octahedron
