material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Rh_wyckoff,num_Rh_chemenvs,CN,element,charge_range,is_single_charge
mp-5163,LaRhO3,1.9635065954740647,0.1518787824404375,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Rh,0.0,True
mp-542675,Na(RhO2)2,2.034845395230213,-0.0209409351251064,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Rh,1.0,False
mp-542675,Na(RhO2)2,2.034845395230213,-0.0209409351251064,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Rh,1.0,False
mp-554262,Ba9(RhO3)8,2.0295102915820684,0.0573079028532635,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"2b, 4c, 2a",1,6.0,Rh,1.0,False
mp-554262,Ba9(RhO3)8,2.0295102915820684,0.0573079028532635,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"2b, 4c, 2a",1,6.0,Rh,1.0,False
mp-555277,Rh7(PbO5)3,2.033420280792324,0.0251485796048852,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"2b, 8h, 12i, 6f",1,6.0,Rh,1.0,False
mp-555277,Rh7(PbO5)3,2.033420280792324,0.0251485796048852,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"2b, 8h, 12i, 6f",1,6.0,Rh,1.0,False
mp-558434,Ca3CuRhO6,2.0220325611984253,0.0270605454246197,[6.0],4.0,4.0,4.0,Octahedron,2d,1,6.0,Rh,0.0,True
mp-559631,Bi6Rh12O29,2.0005270370747104,0.0851283405430159,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4j, 2i, 2g, 2f",1,6.0,Rh,1.0,False
mp-559631,Bi6Rh12O29,2.0005270370747104,0.0851283405430159,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4j, 2i, 2g, 2f",1,6.0,Rh,1.0,False
mp-561047,Sr6(RhO3)5,2.017017403240776,0.0828074127408417,"[6.0, 6.0]",3.5,3.0,4.0,"Trigonal prism, Octahedron","3e, 6f, 1b, 2c",2,6.0,Rh,1.0,False
mp-561047,Sr6(RhO3)5,2.017017403240776,0.0828074127408417,"[6.0, 6.0]",3.5,3.0,4.0,"Trigonal prism, Octahedron","3e, 6f, 1b, 2c",2,6.0,Rh,1.0,False
mp-5692,TbRhO3,1.93299440855058,0.1812999440949521,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Rh,0.0,True
mp-675025,SbRhO4,2.03793312876643,0.0165659043969023,[6.0],3.0,3.0,3.0,Octahedron,1c,1,6.0,Rh,0.0,True
mp-686044,Bi12Rh12O41,2.01724243212284,0.0167640909790748,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"1a, 3d, 1b, 1c",1,6.0,Rh,1.0,False
mp-686044,Bi12Rh12O41,2.01724243212284,0.0167640909790748,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"1a, 3d, 1b, 1c",1,6.0,Rh,1.0,False
mp-753070,Sr3Rh2O7,1.8709477281014133,0.3190932475296786,[6.0],4.0,4.0,4.0,Octahedron,4f,1,6.0,Rh,0.0,True
mp-754757,SbRhO4,1.9258573747510688,0.1437464139680213,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Rh,0.0,True
mp-756638,NbRhO4,2.2280113516008937,-0.2379357938320752,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Rh,0.0,True
mp-757102,Sr2RhO4,1.4194235995129243,1.4258185687663285,[6.0],4.0,4.0,4.0,Octahedron,4f,1,6.0,Rh,0.0,True
mp-758025,Ba3(RhO2)14,1.9913633022445063,0.0923168066043875,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2i,1,6.0,Rh,1.0,False
mp-758025,Ba3(RhO2)14,1.9913633022445063,0.0923168066043875,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2i,1,6.0,Rh,1.0,False
mp-760121,Bi12Rh12O41,2.022671870095804,0.0036941347037818,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"2d, 4e, 2c",1,6.0,Rh,1.0,False
mp-760121,Bi12Rh12O41,2.022671870095804,0.0036941347037818,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"2d, 4e, 2c",1,6.0,Rh,1.0,False
mp-760402,TaRhO4,2.130677842313491,-0.1014933321718792,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Rh,0.0,True
mp-760507,AsRhO4,1.858224177917725,0.2040526428760602,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Rh,0.0,True
mp-765543,Sr3(RhO2)16,1.9995041692461828,0.0681996778835387,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,1a,1,6.0,Rh,1.0,False
mp-765543,Sr3(RhO2)16,1.9995041692461828,0.0681996778835387,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,1a,1,6.0,Rh,1.0,False
mp-766173,Sr(RhO2)2,1.9413911976212863,0.182941018629345,[6.0],3.0,3.0,3.0,Octahedron,"4c, 4e",1,6.0,Rh,0.0,True
mp-766286,Bi8Rh8O27,2.020328032013919,0.0099516155175737,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"1a, 3b",1,6.0,Rh,1.0,False
mp-766286,Bi8Rh8O27,2.020328032013919,0.0099516155175737,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"1a, 3b",1,6.0,Rh,1.0,False
mp-772389,Ba9Rh8O27,1.9428315143311703,0.1804939370838735,"[6.0, 6.0, 6.0, 6.0]",4.0,4.0,4.0,Octahedron,1a,1,6.0,Rh,0.0,True
mp-772389,Ba9Rh8O27,1.9428315143311703,0.1804939370838735,"[6.0, 6.0, 6.0, 6.0]",4.0,4.0,4.0,Octahedron,1a,1,6.0,Rh,0.0,True
mp-772389,Ba9Rh8O27,1.9428315143311703,0.1804939370838735,"[6.0, 6.0, 6.0, 6.0]",4.0,4.0,4.0,Octahedron,1a,1,6.0,Rh,0.0,True
mp-772389,Ba9Rh8O27,1.9428315143311703,0.1804939370838735,"[6.0, 6.0, 6.0, 6.0]",4.0,4.0,4.0,Octahedron,1a,1,6.0,Rh,0.0,True
