material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Cd_wyckoff,num_Cd_chemenvs,CN,element,charge_range,is_single_charge
mp-1195436,Cd3BPO7,1.746081134016436,0.5923626557653165,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Pentagonal bipyramid",4a,2,6.0,Cd,0.0,True
mp-1195487,Na4Cd3H2(C2O7)2,1.9697688324496736,0.3570909989057974,[6.0],2.0,2.0,2.0,Octahedron,"4e, 2a",1,6.0,Cd,0.0,True
mp-1195655,CdCu(SeO3)2,2.9958518797039613,-0.3520552719303635,[7.0],2.0,2.0,2.0,no_data,no_data,1,7.0,Cd,0.0,True
mp-1195999,Cs2CdP2O7,1.988677402152867,0.2822166949160705,[5.0],2.0,2.0,2.0,Square pyramid,4c,1,5.0,Cd,0.0,True
mp-1197015,CdP2(H4O5)2,2.473196692329567,-0.1219911563731813,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Cd,0.0,True
mp-1198909,Cd3(BO2)7,2.421509391964765,-0.1579628790880584,[5.0],2.0,2.0,2.0,Trigonal bipyramid,6b,1,5.0,Cd,0.0,True
mp-1198923,Cd2AsHO5,2.1122907347924307,0.2069126453857208,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid",4e,2,5.0,Cd,0.0,True
mp-1198923,Cd2AsHO5,2.1122907347924307,0.2069126453857208,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid",4e,2,6.0,Cd,0.0,True
mp-1199629,Ba2CdP4(H3O8)2,2.2561757042084865,0.0861012876308768,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Cd,0.0,True
mp-1200495,Cs2Cd2(MoO4)3,2.2304938552522926,0.0699107718554078,[6.0],2.0,2.0,2.0,no_data,no_data,1,6.0,Cd,0.0,True
mp-1200569,Rb3Cd(BO2)5,1.92387569450618,0.4277143130865165,[4.0],2.0,2.0,2.0,Tetrahedron,4e,1,4.0,Cd,0.0,True
mp-1200595,V4Cd9O19,1.9308032832153024,0.4099179849246375,"[5.0, 6.0, 7.0]",2.0,2.0,2.0,"Square-face capped trigonal prism, Square pyramid, Octahedron, Trigonal prism, Pentagonal bipyramid, Trigonal bipyramid",1a,6,5.0,Cd,0.0,True
mp-1200595,V4Cd9O19,1.9308032832153024,0.4099179849246375,"[5.0, 6.0, 7.0]",2.0,2.0,2.0,"Square-face capped trigonal prism, Square pyramid, Octahedron, Trigonal prism, Pentagonal bipyramid, Trigonal bipyramid",1a,6,6.0,Cd,0.0,True
mp-1200595,V4Cd9O19,1.9308032832153024,0.4099179849246375,"[5.0, 6.0, 7.0]",2.0,2.0,2.0,"Square-face capped trigonal prism, Square pyramid, Octahedron, Trigonal prism, Pentagonal bipyramid, Trigonal bipyramid",1a,6,7.0,Cd,0.0,True
mp-1200744,Rb2Cd3(B4O7)4,2.036474588787064,0.2804178201613159,[6.0],2.0,2.0,2.0,"Octahedron, Face-capped octahedron","4f, 2e",2,6.0,Cd,0.0,True
mp-1200882,SrCdB2O5,2.0640374200226,0.2342607035191838,[6.0],2.0,2.0,2.0,Octahedron,8c,1,6.0,Cd,0.0,True
mp-1201213,Cs2Cd3(B4O7)4,2.0053675593985028,0.3145199421255906,[6.0],2.0,2.0,2.0,"Octahedron, Face-capped octahedron","4f, 2e",2,6.0,Cd,0.0,True
mp-1203009,CdTe(Pb3O5)2,2.142140878206022,0.2113183090645477,[6.0],2.0,2.0,2.0,Trigonal prism,2b,1,6.0,Cd,0.0,True
mp-1204785,K3Cd(BO2)5,2.0243205002238285,0.2651056592349423,[4.0],2.0,2.0,2.0,Tetrahedron,4e,1,4.0,Cd,0.0,True
mp-1204954,Cd12Ge17(B4O29)2,2.0183907137171007,0.3356424234249663,"[7.0, 8.0]",2.0,2.0,2.0,Square antiprism,4h,1,7.0,Cd,0.0,True
mp-1204954,Cd12Ge17(B4O29)2,2.0183907137171007,0.3356424234249663,"[7.0, 8.0]",2.0,2.0,2.0,Square antiprism,4h,1,8.0,Cd,0.0,True
mp-1207444,ZnCdB2O5,2.6170225953555395,-0.0532103276615351,[7.0],2.0,2.0,2.0,Face-capped octahedron,4a,1,7.0,Cd,0.0,True
mp-1207861,VCd2BiO6,2.275020294640215,0.090149395221074,[6.0],2.0,2.0,2.0,Octahedron,4b,1,6.0,Cd,0.0,True
mp-1208185,TlV3CdCu4O13,1.9382703221965136,0.3452782452466624,[6.0],2.0,2.0,2.0,Octahedron,2e,1,6.0,Cd,0.0,True
mp-1208442,Ta2CdO6,2.39133809131282,-0.0664743516805566,[6.0],2.0,2.0,2.0,Octahedron,4c,1,6.0,Cd,0.0,True
mp-1209286,Rb6CdO4,1.5954055971021912,0.9666993300494908,[4.0],2.0,2.0,2.0,Tetrahedron,2b,1,4.0,Cd,0.0,True
mp-1210143,Rb2Cd2(MoO4)3,2.451084267517298,-0.1375109176382945,[6.0],2.0,2.0,2.0,no_data,no_data,1,6.0,Cd,0.0,True
mp-1210502,Na2Mn2Cd(PO4)3,2.4398828190176785,-0.0930212691492449,[6.0],2.0,2.0,2.0,Trigonal prism,2e,1,6.0,Cd,0.0,True
mp-1211626,KV3CdCu4O13,1.9099913280626244,0.3271193323473269,[6.0],2.0,2.0,2.0,Octahedron,2e,1,6.0,Cd,0.0,True
mp-1212404,HfCdO3,0.1406636798532344,1.8505633619976336,[8.0],2.0,2.0,2.0,Square-face bicapped trigonal prism,4c,1,8.0,Cd,0.0,True
mp-1212732,K2CdGeO4,2.124276544972445,0.1239118870960034,[4.0],2.0,2.0,2.0,Tetrahedron,4a,1,4.0,Cd,0.0,True
mp-1213890,Cd2Mo3O8,2.015924730877092,0.2910808317435398,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",2b,2,4.0,Cd,0.0,True
mp-1213890,Cd2Mo3O8,2.015924730877092,0.2910808317435398,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",2b,2,6.0,Cd,0.0,True
mp-1213911,CdCo(PO3)4,1.918637392899202,0.3488535663251755,[6.0],2.0,2.0,2.0,Octahedron,2e,1,6.0,Cd,0.0,True
mp-1213935,CdNi(PO3)4,1.9562215183987235,0.291664560337519,[6.0],2.0,2.0,2.0,Octahedron,2e,1,6.0,Cd,0.0,True
mp-1213987,CaCdP2O7,2.1972220100810738,0.1327570844662491,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Cd,0.0,True
mp-1214030,Cd5Fe2(P2O7)4,2.048999294034364,0.2592280319474488,[6.0],2.0,2.0,2.0,"Octahedron, Dodecahedron with triangular faces - p2345 plane normalized","2b, 4c, 2a",2,6.0,Cd,0.0,True
mp-1214618,Ba3CdIr2O9,2.529741293685876,-0.2324110475182595,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Cd,0.0,True
mp-1216342,Y4CdMo3O16,1.8981926940477944,0.4265400105285676,[8.0],2.0,2.0,2.0,Cube,4b,1,8.0,Cd,0.0,True
mp-1216514,V4Cd3(PO4)6,2.1711935324761407,0.1469453014710963,"[5.0, 6.0]",2.0,2.0,2.0,"Square-face capped trigonal prism, Trigonal prism",1a,2,5.0,Cd,0.0,True
mp-1216514,V4Cd3(PO4)6,2.1711935324761407,0.1469453014710963,"[5.0, 6.0]",2.0,2.0,2.0,"Square-face capped trigonal prism, Trigonal prism",1a,2,6.0,Cd,0.0,True
mp-1216762,V2Cd3O8,2.18120671488592,0.1452305053617529,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron","4c, 2a",2,4.0,Cd,0.0,True
mp-1216762,V2Cd3O8,2.18120671488592,0.1452305053617529,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron","4c, 2a",2,6.0,Cd,0.0,True
mp-1216804,TlV3Cd4O12,2.038897791763905,0.26407850301973,[6.0],2.0,2.0,2.0,"Octahedron, Trigonal prism",2a,2,6.0,Cd,0.0,True
mp-1217216,Zn7Cd2(PO4)6,2.022654709882303,0.3154082985545242,[7.0],2.0,2.0,2.0,Square-face capped trigonal prism,1a,1,7.0,Cd,0.0,True
mp-1217403,V2Cd5(P2O7)4,2.0403922743752148,0.2701635327424609,[6.0],2.0,2.0,2.0,"Octahedron, Dodecahedron with triangular faces - p2345 plane normalized","2b, 4c, 2a",2,6.0,Cd,0.0,True
mp-1218628,Sr5Cd5P6(O12F)2,2.6441323479225827,-0.1852531924490297,"[5.0, 6.0]",2.0,2.0,2.0,"Pentagonal bipyramid, Tricapped triangular prism (three square-face caps)","1a, 2c",2,5.0,Cd,0.0,True
mp-1218628,Sr5Cd5P6(O12F)2,2.6441323479225827,-0.1852531924490297,"[5.0, 6.0]",2.0,2.0,2.0,"Pentagonal bipyramid, Tricapped triangular prism (three square-face caps)","1a, 2c",2,6.0,Cd,0.0,True
mp-1219122,RbV3Cd4O12,2.101930576085857,0.2398942549123432,[6.0],2.0,2.0,2.0,"Octahedron, Trigonal prism",2a,2,6.0,Cd,0.0,True
mp-1219559,RbNaCd3O4,1.8215828480683005,0.6249296132131363,[4.0],2.0,2.0,2.0,Tetrahedron,1a,1,4.0,Cd,0.0,True
mp-1220084,NdTiCdSbO7,1.8087873223713289,0.4764513663416723,[8.0],2.0,2.0,2.0,Cube,2c,1,8.0,Cd,0.0,True
mp-1221126,NaCd(RhO2)4,2.622341404795132,-0.1118701311113179,[8.0],2.0,2.0,2.0,Square-face bicapped trigonal prism,2e,1,8.0,Cd,0.0,True
mp-1221167,Na4ZnCd(SiO3)4,2.148433575361053,0.057252499330365,[4.0],2.0,2.0,2.0,Tetrahedron,1a,1,4.0,Cd,0.0,True
mp-1221278,Na3Cd(RhO2)8,2.389114688203255,0.0510907547236209,[8.0],2.0,2.0,2.0,no_data,no_data,1,8.0,Cd,0.0,True
mp-1221365,Na2MnCdFe(PO4)3,1.8829378264183068,0.4444747246995087,[6.0],2.0,2.0,2.0,"Octahedron, Trigonal prism",1a,2,6.0,Cd,0.0,True
mp-1221478,Na2Cd2Fe(PO4)3,1.6538936441777092,0.6050698994844735,"[6.0, 8.0]",2.0,2.0,2.0,"Octahedron, Dodecahedron with triangular faces - p2345 plane normalized","1b, 1a, 2c",2,6.0,Cd,0.0,True
mp-1221478,Na2Cd2Fe(PO4)3,1.6538936441777092,0.6050698994844735,"[6.0, 8.0]",2.0,2.0,2.0,"Octahedron, Dodecahedron with triangular faces - p2345 plane normalized","1b, 1a, 2c",2,8.0,Cd,0.0,True
mp-1222758,Mg3V6Cd2Cu3PbO24,2.0622088987004714,0.2347935779657564,[6.0],2.0,2.0,2.0,Trigonal prism,1a,1,6.0,Cd,0.0,True
mp-1223694,KBaV3Cd2O11,1.708931449959156,0.5748272225790684,[6.0],2.0,2.0,2.0,"Octahedron, Trigonal prism",4e,2,6.0,Cd,0.0,True
mp-1224537,GdTiCdSbO7,1.88811992127415,0.4158441656428518,[8.0],2.0,2.0,2.0,Cube,2c,1,8.0,Cd,0.0,True
mp-1226789,CdFe4NiO8,2.101195938182079,0.0457970708580559,[4.0],2.0,2.0,2.0,Tetrahedron,1a,1,4.0,Cd,0.0,True
mp-1226936,Cd4MoW3O16,2.48606037175717,-0.1262920480710432,[6.0],2.0,2.0,2.0,Octahedron,2c,1,6.0,Cd,0.0,True
mp-1227073,CdCo3(PO3)8,1.9351018080963267,0.307622927393006,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Cd,0.0,True
mp-1227191,Cd5Si(PO6)2,1.973162864736074,0.3816267275557312,"[6.0, 7.0]",2.0,2.0,2.0,"Face-capped octahedron, Trigonal prism, Square-face capped trigonal prism, Square-face bicapped trigonal prism",4a,4,6.0,Cd,0.0,True
mp-1227191,Cd5Si(PO6)2,1.973162864736074,0.3816267275557312,"[6.0, 7.0]",2.0,2.0,2.0,"Face-capped octahedron, Trigonal prism, Square-face capped trigonal prism, Square-face bicapped trigonal prism",4a,4,7.0,Cd,0.0,True
mp-1227196,Cd5Ge(PO6)2,1.9072411651447303,0.4438242741182099,"[6.0, 7.0]",2.0,2.0,2.0,"Square-face capped trigonal prism, Trigonal prism",4a,2,6.0,Cd,0.0,True
mp-1227196,Cd5Ge(PO6)2,1.9072411651447303,0.4438242741182099,"[6.0, 7.0]",2.0,2.0,2.0,"Square-face capped trigonal prism, Trigonal prism",4a,2,7.0,Cd,0.0,True
mp-1227215,Cd(Pt3O4)3,2.384623173086467,0.0127008470314443,[8.0],2.0,2.0,2.0,Cube,2t,1,8.0,Cd,0.0,True
mp-1227639,CdP6Pb9O26,2.7150779822246287,-0.2815010462217963,[6.0],2.0,2.0,2.0,Square-face capped trigonal prism,1a,1,6.0,Cd,0.0,True
mp-1227791,Ca3Cd5(P2O7)4,1.9339361526584449,0.3839310363548379,"[6.0, 7.0]",2.0,2.0,2.0,"Octahedron, Square-face bicapped trigonal prism",1a,2,6.0,Cd,0.0,True
mp-1227791,Ca3Cd5(P2O7)4,1.9339361526584449,0.3839310363548379,"[6.0, 7.0]",2.0,2.0,2.0,"Octahedron, Square-face bicapped trigonal prism",1a,2,7.0,Cd,0.0,True
mp-1227896,Cd15As9Cl2O37,2.133292878670028,0.225019868022476,"[5.0, 6.0, 6.0]",2.0,2.0,2.0,"Octahedron, Tricapped triangular prism (three square-face caps)",6f,2,5.0,Cd,0.0,True
mp-1227896,Cd15As9Cl2O37,2.133292878670028,0.225019868022476,"[5.0, 6.0, 6.0]",2.0,2.0,2.0,"Octahedron, Tricapped triangular prism (three square-face caps)",6f,2,6.0,Cd,0.0,True
mp-1227896,Cd15As9Cl2O37,2.133292878670028,0.225019868022476,"[5.0, 6.0, 6.0]",2.0,2.0,2.0,"Octahedron, Tricapped triangular prism (three square-face caps)",6f,2,6.0,Cd,0.0,True
mp-13335,Cd(BO2)2,2.019101663980808,0.3536928993073421,"[12.0, 4.0]",2.0,2.0,2.0,"Trigonal prism, Icosahedron","2a, 6c",2,12.0,Cd,0.0,True
mp-13335,Cd(BO2)2,2.019101663980808,0.3536928993073421,"[12.0, 4.0]",2.0,2.0,2.0,"Trigonal prism, Icosahedron","2a, 6c",2,4.0,Cd,0.0,True
mp-13361,Cd2Cu(PO4)2,3.3208362675611505,-0.8155017457671873,[6.0],2.0,2.0,2.0,Trigonal prism,2i,1,6.0,Cd,0.0,True
mp-13602,Cd3(AsO4)2,1.693543385554626,0.6381696054069856,"[5.0, 6.0]",2.0,2.0,2.0,"Square pyramid, Square-face capped trigonal prism, Trigonal prism",4e,3,5.0,Cd,0.0,True
mp-13602,Cd3(AsO4)2,1.693543385554626,0.6381696054069856,"[5.0, 6.0]",2.0,2.0,2.0,"Square pyramid, Square-face capped trigonal prism, Trigonal prism",4e,3,6.0,Cd,0.0,True
mp-13603,CdB4O7,1.5720395951057788,0.6796091362750524,[7.0],2.0,2.0,2.0,Pentagonal bipyramid,8c,1,7.0,Cd,0.0,True
mp-13718,NaCd4(PO4)3,1.578630928939165,0.731267938258173,"[6.0, 7.0]",2.0,2.0,2.0,Square-face capped trigonal prism,8d,1,6.0,Cd,0.0,True
mp-13718,NaCd4(PO4)3,1.578630928939165,0.731267938258173,"[6.0, 7.0]",2.0,2.0,2.0,Square-face capped trigonal prism,8d,1,7.0,Cd,0.0,True
mp-13738,CsCd(PO3)3,2.183898027729162,0.1234482557273034,[6.0],2.0,2.0,2.0,Octahedron,4c,1,6.0,Cd,0.0,True
mp-13820,Cd3SiO5,1.948053922073448,0.3712149188299888,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square pyramid","4e, 2c",2,5.0,Cd,0.0,True
mp-13820,Cd3SiO5,1.948053922073448,0.3712149188299888,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square pyramid","4e, 2c",2,6.0,Cd,0.0,True
mp-14243,Cd3TeO6,1.3422956941679605,0.9220139669448616,"[6.0, 7.0]",2.0,2.0,2.0,"Octahedron, Square-face bicapped trigonal prism","2d, 4e",2,6.0,Cd,0.0,True
mp-14243,Cd3TeO6,1.3422956941679605,0.9220139669448616,"[6.0, 7.0]",2.0,2.0,2.0,"Octahedron, Square-face bicapped trigonal prism","2d, 4e",2,7.0,Cd,0.0,True
mp-14550,TiCdO3,0.9308298161489252,1.227841117697079,[8.0],2.0,2.0,2.0,Square-face bicapped trigonal prism,4c,1,8.0,Cd,0.0,True
mp-14555,LaCd(BO2)5,2.034287539636296,0.2778569443607624,[6.0],2.0,2.0,2.0,Trigonal prism,4e,1,6.0,Cd,0.0,True
mp-14556,SmCd(BO2)5,1.9151272155205208,0.3826368459744252,[6.0],2.0,2.0,2.0,Trigonal prism,4e,1,6.0,Cd,0.0,True
mp-16281,Cd2Sb2O7,1.6619559178282877,0.6038075040721086,[8.0],2.0,2.0,2.0,"Hexagonal bipyramid, Cube","2d, 2a",2,8.0,Cd,0.0,True
mp-16382,KCd6P7O24,1.8011891552810426,0.487543293288639,[6.0],2.0,2.0,2.0,Octahedron,4f,1,6.0,Cd,0.0,True
mp-16783,Cd2Re2O7,1.9868946143519863,0.376847537334867,[8.0],2.0,2.0,2.0,Hexagonal bipyramid,4d,1,8.0,Cd,0.0,True
mp-17161,K6CdO4,1.745647362840406,0.7166121685113696,[4.0],2.0,2.0,2.0,Tetrahedron,2b,1,4.0,Cd,0.0,True
mp-17693,SrCdP2O7,1.6889740256956238,0.6600677816067577,[5.0],2.0,2.0,2.0,Square-face capped trigonal prism,4e,1,5.0,Cd,0.0,True
mp-17759,CrCdO4,2.120870470392864,0.1406392161967014,[6.0],2.0,2.0,2.0,Octahedron,"2i, 2h",1,6.0,Cd,0.0,True
mp-18757,Sr2CdWO6,2.301595356505308,-0.0404779211973739,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Cd,0.0,True
mp-18781,CrCdO4,2.2071370250179427,0.0678907101188589,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Cd,0.0,True
mp-18870,Mn3Cd2O8,1.9935950202143071,0.3042791772981744,[6.0],2.0,2.0,2.0,Trigonal prism,2i,1,6.0,Cd,0.0,True
mp-19014,Sr2CdWO6,2.135109171708632,0.1343424276453904,[6.0],2.0,2.0,2.0,Octahedron,2d,1,6.0,Cd,0.0,True
mp-19387,CdWO4,2.5760224779490826,-0.196557079632224,[6.0],2.0,2.0,2.0,Octahedron,2f,1,6.0,Cd,0.0,True
mp-19449,NaVCdO4,1.9838302932123288,0.2921321170799542,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Cd,0.0,True
mp-19510,V2Cd(PO5)2,2.2390135296776914,0.0186965753750666,[4.0],2.0,2.0,2.0,Square-face capped trigonal prism,4e,1,4.0,Cd,0.0,True
mp-2051619,Cd(HO)2,2.3003150255390894,0.0421059018518733,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Cd,0.0,True
mp-20940,TiCdO3,1.1421292990713463,1.0588046748480455,[8.0],2.0,2.0,2.0,Square-face bicapped trigonal prism,"2b, 2a",1,8.0,Cd,0.0,True
mp-21665,V2CdP2O9,1.6071083140850135,0.7598285197867176,[6.0],2.0,2.0,2.0,Octahedron,4c,1,6.0,Cd,0.0,True
mp-23643,Cd5P3ClO12,2.6175821391794662,-0.1897214067546567,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Tricapped triangular prism (three square-face caps)","6h, 4f",2,5.0,Cd,0.0,True
mp-23643,Cd5P3ClO12,2.6175821391794662,-0.1897214067546567,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Tricapped triangular prism (three square-face caps)","6h, 4f",2,6.0,Cd,0.0,True
mp-24316,CdP2(HO)4,2.0546557067920337,0.2559309190785417,[6.0],2.0,2.0,2.0,Octahedron,2e,1,6.0,Cd,0.0,True
mp-24405,LiCd4Ge5HO15,1.739543831105759,0.5636243646455528,"[6.0, 7.0]",2.0,2.0,2.0,"Octahedron, Square-face capped trigonal prism",2i,2,6.0,Cd,0.0,True
mp-24405,LiCd4Ge5HO15,1.739543831105759,0.5636243646455528,"[6.0, 7.0]",2.0,2.0,2.0,"Octahedron, Square-face capped trigonal prism",2i,2,7.0,Cd,0.0,True
mp-24816,K2Cr2Cd(H2O5)2,2.2179107397070443,0.093066809186726,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Cd,0.0,True
mp-27198,Cd(NO3)2,1.695392814414928,0.5897189556080884,"[6.0, 7.0]",2.0,2.0,2.0,"Pentagonal bipyramid, Face-capped octahedron",4a,2,6.0,Cd,0.0,True
mp-27198,Cd(NO3)2,1.695392814414928,0.5897189556080884,"[6.0, 7.0]",2.0,2.0,2.0,"Pentagonal bipyramid, Face-capped octahedron",4a,2,7.0,Cd,0.0,True
mp-27600,Cd3(PO4)2,1.6212140221227358,0.6944242730755036,[6.0],2.0,2.0,2.0,"Square-face capped trigonal prism, Square-face bicapped trigonal prism","4d, 8g",2,6.0,Cd,0.0,True
mp-27686,Cd2P2O7,1.428396467513903,0.8183169610595961,"[6.0, 7.0]",2.0,2.0,2.0,"Octahedron, Pentagonal bipyramid",2i,2,6.0,Cd,0.0,True
mp-27686,Cd2P2O7,1.428396467513903,0.8183169610595961,"[6.0, 7.0]",2.0,2.0,2.0,"Octahedron, Pentagonal bipyramid",2i,2,7.0,Cd,0.0,True
mp-28290,CdTeO3,2.241101578592457,0.1015234095482811,[6.0],2.0,2.0,2.0,"Square-face capped trigonal prism, Trigonal prism",4e,2,6.0,Cd,0.0,True
mp-29213,Cd2Ge7O16,1.3232283964312834,0.8176633133029719,[8.0],2.0,2.0,2.0,Square antiprism,4g,1,8.0,Cd,0.0,True
mp-29276,Cd2P6O17,1.9044294292718456,0.3499199671542606,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Cd,0.0,True
mp-2951,CdGeO3,1.9559084711919368,0.340899613011327,[6.0],2.0,2.0,2.0,Octahedron,2e,1,6.0,Cd,0.0,True
mp-39419,NdTiCdSbO7,1.7950995335888738,0.5073242213928001,[8.0],2.0,2.0,2.0,Cube,4b,1,8.0,Cd,0.0,True
mp-39684,GdTiCdSbO7,1.875097813240312,0.4457964388254633,[8.0],2.0,2.0,2.0,Cube,4b,1,8.0,Cd,0.0,True
mp-4659,Cd(PO3)2,1.7982710970190237,0.4843331263378823,[6.0],2.0,2.0,2.0,Trigonal prism,8c,1,6.0,Cd,0.0,True
mp-5052,TiCdO3,0.7699080218536379,1.3361364218737537,[8.0],2.0,2.0,2.0,Square-face bicapped trigonal prism,4a,1,8.0,Cd,0.0,True
mp-505424,VCdCuO4,2.6419074314202606,-0.2756655160248619,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Cd,0.0,True
mp-505552,Cd2Ru2O7,1.974916898528183,0.3212345321083774,[8.0],2.0,2.0,2.0,Hexagonal bipyramid,4c,1,8.0,Cd,0.0,True
mp-531175,Cd(GaO2)2,1.9969587011315817,0.2536146322042386,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",1a,2,4.0,Cd,0.0,True
mp-531175,Cd(GaO2)2,1.9969587011315817,0.2536146322042386,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",1a,2,6.0,Cd,0.0,True
