material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Tl_wyckoff,num_Tl_chemenvs,CN,element,charge_range,is_single_charge
mp-1208045,TlFe(SO4)2,2.901517381337711,0.1262380941897253,[12.0],1.0,1.0,1.0,Cuboctahedron,4b,1,12.0,Tl,0.0,True
mp-1208083,TlCr2FeO8,3.7834841116931854,-0.2207403928586905,[10.0],1.0,1.0,1.0,Pentagonal antiprism,1c,1,10.0,Tl,0.0,True
mp-1208134,TlCu2H(SeO5)2,2.8916697230790627,0.002398095580669,[6.0],1.0,1.0,1.0,Cuboctahedron,1a,1,6.0,Tl,0.0,True
mp-1208185,TlV3CdCu4O13,2.892819890244554,0.088797174168827,[10.0],1.0,1.0,1.0,Pentagonal antiprism,2e,1,10.0,Tl,0.0,True
mp-1208238,Tl2Co2(SO4)3,2.1963662537759423,0.3819375494155075,"[15.0, 9.0]",1.0,1.0,1.0,no_data,no_data,1,15.0,Tl,0.0,True
mp-1208238,Tl2Co2(SO4)3,2.1963662537759423,0.3819375494155075,"[15.0, 9.0]",1.0,1.0,1.0,no_data,no_data,1,9.0,Tl,0.0,True
mp-1208295,TiTlAsO5,3.2496049771245565,-0.1022822317867318,"[8.0, 9.0]",1.0,1.0,1.0,Tricapped triangular prism (one square-face cap and two triangular-face caps),4a,1,8.0,Tl,0.0,True
mp-1208295,TiTlAsO5,3.2496049771245565,-0.1022822317867318,"[8.0, 9.0]",1.0,1.0,1.0,Tricapped triangular prism (one square-face cap and two triangular-face caps),4a,1,9.0,Tl,0.0,True
mp-1208325,TlCu(PO3)3,3.009302210959853,-0.0704566024073386,[4.0],1.0,1.0,1.0,Pentagonal-face capped pentagonal antiprism,4e,1,4.0,Tl,0.0,True
mp-1208393,TbTl(MoO4)2,2.557867687436865,0.1702925029451021,[6.0],1.0,1.0,1.0,Metabidiminished icosahedron,4c,1,6.0,Tl,0.0,True
