material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ni_wyckoff,num_Ni_chemenvs,CN,element,charge_range,is_single_charge
mp-1220014,NiTeO4,2.0759950331863504,-0.0173488666131784,[6.0],2.0,2.0,2.0,Octahedron,4a,1,6.0,Ni,0.0,True
mp-1220223,Ni8B3SbO15,1.956691085036412,0.1271838475145644,[6.0],2.0,2.0,2.0,Octahedron,"2i, 1h, 1d, 1a, 1f",1,6.0,Ni,0.0,True
mp-1220251,Nd4Mn(NiO4)3,1.919546661927147,0.1047476562607219,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"1g, 1c, 1f",1,6.0,Ni,1.0,False
mp-1220251,Nd4Mn(NiO4)3,1.919546661927147,0.1047476562607219,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"1g, 1c, 1f",1,6.0,Ni,1.0,False
mp-1220253,Nd4Mn3NiO12,2.0084175221139504,0.0682550565277465,[6.0],2.0,2.0,2.0,Octahedron,1c,1,6.0,Ni,0.0,True
mp-1220540,Nd2FeNiO6,1.893017752273742,0.2125843529555922,[6.0],3.0,3.0,3.0,Octahedron,2c,1,6.0,Ni,0.0,True
mp-1220568,Nd2CoNiO6,1.9709498921998527,0.0600995785176621,[6.0],2.0,2.0,2.0,Octahedron,2b,1,6.0,Ni,0.0,True
mp-1220970,NaNiP2HO7,1.9152250926487329,0.170390439168925,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Ni,0.0,True
mp-1220997,NaNi2Mo2H3O10,2.070696409519954,0.0227738619158723,[6.0],2.0,2.0,2.0,Octahedron,2c,1,6.0,Ni,0.0,True
mp-1221027,NaNi2H3(SeO5)2,2.1990256973575155,-0.0935690321417289,[6.0],2.0,2.0,2.0,Octahedron,4b,1,6.0,Ni,0.0,True
mp-1221038,NaNi2H3(SO5)2,2.296783813323707,-0.1821784003469461,[6.0],2.0,2.0,2.0,Octahedron,2b,1,6.0,Ni,0.0,True
mp-1221170,Na4Ni3(SbO5)2,2.1536261475834064,-0.0278001714942703,[6.0],2.0,2.0,2.0,Octahedron,"4g, 2b",1,6.0,Ni,0.0,True
mp-1221201,Na4FeNi(PO4)3,1.7623129086891538,0.2554718159456158,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Ni,0.0,True
mp-1221227,Na3MnCoNiO6,2.0157583341755294,0.0889348166872698,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Ni,0.0,True
mp-1221264,Na2TiNiO4,1.8526798530313704,0.2406317442949284,[6.0],2.0,2.0,2.0,Octahedron,2g,1,6.0,Ni,0.0,True
mp-1221366,MnNi5(BO5)2,1.911096453738842,0.1632603203643871,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"2b, 2a",1,6.0,Ni,1.0,False
mp-1221366,MnNi5(BO5)2,1.911096453738842,0.1632603203643871,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"2b, 2a",1,6.0,Ni,1.0,False
mp-1221544,Mn5Ni(BO5)2,1.7055755275470026,0.3840581309403568,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Ni,0.0,True
mp-1222033,Mn4Zn3(NiO6)2,1.842831702609824,0.2208277094756159,[6.0],2.0,2.0,2.0,Octahedron,4f,1,6.0,Ni,0.0,True
mp-1222345,LiNiAsO4,1.973173973603738,0.1025340686814428,[6.0],2.0,2.0,2.0,Octahedron,4b,1,6.0,Ni,0.0,True
mp-1222526,Li5Mn2NiO8,1.2338230793594631,1.1019503488108688,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Ni,0.0,True
mp-1222667,Li5Mn2Co(NiO5)2,1.960937726274739,0.1120329385911677,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Ni,0.0,True
mp-1222845,Li2Ti4Ni(PO5)4,1.919201108146412,0.1697036456356743,[6.0],2.0,2.0,2.0,Octahedron,1h,1,6.0,Ni,0.0,True
mp-1222873,Li2Al(NiO2)3,1.9600590320342683,0.1099599802283554,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"2c, 1a, 1b",1,6.0,Ni,1.0,False
mp-1222873,Li2Al(NiO2)3,1.9600590320342683,0.1099599802283554,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"2c, 1a, 1b",1,6.0,Ni,1.0,False
mp-1222967,LaNi4(BiO4)3,2.051687587790421,0.0802038443921068,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Ni,0.0,True
mp-1223005,Li3FeNi2(PO4)3,1.9389728483809805,0.1659531519641643,[6.0],2.0,2.0,2.0,Octahedron,"1a, 1b",1,6.0,Ni,0.0,True
mp-1223093,La4Mn(NiO4)3,2.1354709781813863,-0.165568769400223,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"1a, 2i",1,6.0,Ni,1.0,False
mp-1223093,La4Mn(NiO4)3,2.1354709781813863,-0.165568769400223,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"1a, 2i",1,6.0,Ni,1.0,False
mp-1223185,La4Fe3NiO12,2.067264492700333,-0.0118765064334212,[6.0],3.0,3.0,3.0,Octahedron,1c,1,6.0,Ni,0.0,True
mp-1223214,La2NiRhO6,1.9736362100617124,0.0983171334163844,[6.0],2.0,2.0,2.0,Octahedron,"2d, 2a",1,6.0,Ni,0.0,True
mp-1223348,La5Fe4NiO15,1.8618132047010447,0.2620180410870658,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,Ni,0.0,True
mp-1223391,KNiSbO4,2.087858231813437,0.0164853612223605,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Ni,0.0,True
mp-1223413,La5Fe4NiO15,2.06948124457469,-0.0353348377182154,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,Ni,0.0,True
mp-1223496,KNi2H3(SeO5)2,2.092561640389274,0.0108017477139163,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Ni,0.0,True
mp-1223575,KNaCaSi8Ni5O24,1.9419681516361769,0.1271072189715088,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,1a,1,6.0,Ni,1.0,False
mp-1223575,KNaCaSi8Ni5O24,1.9419681516361769,0.1271072189715088,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,1a,1,6.0,Ni,1.0,False
mp-1223621,KAlSi3Ni3(HO6)2,1.669729138593275,0.3780239086099178,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Ni,0.0,True
mp-1224183,K4Ni7(AsO4)6,1.6955361107307052,0.3897031150383255,[6.0],2.0,2.0,2.0,Octahedron,"2b, 1a",1,6.0,Ni,0.0,True
mp-1224256,K5NaNi5(P2O7)4,2.08113341941833,0.0173893329867741,"[5.0, 6.0]",2.0,2.0,2.0,"Square pyramid, Octahedron",1a,2,5.0,Ni,0.0,True
mp-1224256,K5NaNi5(P2O7)4,2.08113341941833,0.0173893329867741,"[5.0, 6.0]",2.0,2.0,2.0,"Square pyramid, Octahedron",1a,2,6.0,Ni,0.0,True
mp-1224743,Fe2Ni(PO4)2,1.4453303979544578,0.657911630672195,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Ni,0.0,True
mp-1224929,GaFeNiO4,2.075804134030223,0.0036147641684998,[6.0],2.0,2.0,2.0,Octahedron,2c,1,6.0,Ni,0.0,True
mp-1225542,K6Sr2Ni5(P2O7)5,1.9411128521128649,0.1507826718802476,[6.0],2.0,2.0,2.0,Octahedron,"1a, 2i, 1f",1,6.0,Ni,0.0,True
mp-1225946,Cu2NiSnO4,2.193983956308987,-0.0733430995441205,[6.0],2.0,2.0,2.0,Octahedron,2g,1,6.0,Ni,0.0,True
mp-1226272,CrNiPO5,2.0232564824854045,0.0267448914138065,[6.0],2.0,2.0,2.0,Octahedron,2b,1,6.0,Ni,0.0,True
mp-1226305,CoNi2(PO4)2,1.9428030206089093,0.1523584800012316,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Ni,0.0,True
mp-1226789,CdFe4NiO8,1.6649188326364897,0.4025605725587352,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Ni,0.0,True
mp-1227451,Ca2CoSi4NiO12,1.9920202894530057,0.1015405656723507,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Ni,0.0,True
mp-1227517,Ca2Pr2MnNiO8,2.770672754798086,-0.6841436407140183,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Ni,0.0,True
mp-1227535,Ca2Gd2MnNiO8,2.325847187779963,-0.2610978344316835,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Ni,0.0,True
mp-1227573,Ca4MgSi8(NiO8)3,2.0020151401558124,0.0886566133445006,[6.0],2.0,2.0,2.0,Octahedron,"2c, 1a",1,6.0,Ni,0.0,True
mp-1227604,BaSrV4(NiO4)4,1.8701207721888948,0.1572111939618059,[6.0],2.0,2.0,2.0,Octahedron,"4h, 4e",1,6.0,Ni,0.0,True
mp-1227614,Ca4Mg3Si8NiO24,1.9655192452865875,0.1265712203089011,[6.0],2.0,2.0,2.0,Octahedron,1d,1,6.0,Ni,0.0,True
mp-1227707,Ca4Co3Si8NiO24,1.9855403029029728,0.1095935817715635,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Ni,0.0,True
mp-1227711,Ca4CoSi8(NiO8)3,1.989835015597705,0.1014010819708177,[6.0],2.0,2.0,2.0,no_data,no_data,1,6.0,Ni,0.0,True
mp-1227859,Ca3Cu2Ni(PO4)4,1.622262921826691,0.4706414507908899,[5.0],2.0,2.0,2.0,Trigonal bipyramid,2a,1,5.0,Ni,0.0,True
mp-1227893,BaPr3(NiO4)2,2.3034739444866017,-0.2031695053868153,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"1a, 1b",1,6.0,Ni,1.0,False
