material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ag_wyckoff,num_Ag_chemenvs,CN,element,charge_range,is_single_charge
mp-556345,Ag2BrNO3,1.723060922154626,0.4773053049526357,"[4.0, 6.0]",1.0,1.0,1.0,"Hexagonal bipyramid, Square antiprism",4c,2,6.0,Ag,0.0,True
mp-556570,Ag4Se(IO2)2,1.5309189150213196,0.6241965901589002,"[2.0, 2.0, 3.0, 3.0]",1.0,1.0,1.0,"Tetrahedron, Trigonal bipyramid, Octahedron",4a,3,2.0,Ag,0.0,True
mp-556570,Ag4Se(IO2)2,1.5309189150213196,0.6241965901589002,"[2.0, 2.0, 3.0, 3.0]",1.0,1.0,1.0,"Tetrahedron, Trigonal bipyramid, Octahedron",4a,3,2.0,Ag,0.0,True
mp-556570,Ag4Se(IO2)2,1.5309189150213196,0.6241965901589002,"[2.0, 2.0, 3.0, 3.0]",1.0,1.0,1.0,"Tetrahedron, Trigonal bipyramid, Octahedron",4a,3,3.0,Ag,0.0,True
mp-556570,Ag4Se(IO2)2,1.5309189150213196,0.6241965901589002,"[2.0, 2.0, 3.0, 3.0]",1.0,1.0,1.0,"Tetrahedron, Trigonal bipyramid, Octahedron",4a,3,3.0,Ag,0.0,True
mp-556896,Ba4AgAuO6,0.7455534518625994,1.136901608357266,[4.0],1.0,1.0,1.0,See-saw,2c,1,4.0,Ag,0.0,True
mp-557135,VAgSeO5,2.267567372499779,0.1177525824053464,[4.0],1.0,1.0,1.0,Pentagonal pyramid,4d,1,4.0,Ag,0.0,True
mp-557303,Ag2NClO3,1.743391995979053,0.4653078518393055,"[4.0, 6.0]",1.0,1.0,1.0,"Hexagonal bipyramid, Tricapped triangular prism (three square-face caps)",4c,2,4.0,Ag,0.0,True
mp-557303,Ag2NClO3,1.743391995979053,0.4653078518393055,"[4.0, 6.0]",1.0,1.0,1.0,"Hexagonal bipyramid, Tricapped triangular prism (three square-face caps)",4c,2,6.0,Ag,0.0,True
mp-557396,Ag2INO3,1.0824063338065375,0.8007231699924505,"[3.0, 4.0, 5.0]",1.0,1.0,1.0,"Pentagonal pyramid, Square antiprism, Pentagonal bipyramid",4a,3,3.0,Ag,0.0,True
mp-557396,Ag2INO3,1.0824063338065375,0.8007231699924505,"[3.0, 4.0, 5.0]",1.0,1.0,1.0,"Pentagonal pyramid, Square antiprism, Pentagonal bipyramid",4a,3,4.0,Ag,0.0,True
