material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ru_wyckoff,num_Ru_chemenvs,CN,element,charge_range,is_single_charge
mp-1218129,SrNdMgRuO6,1.9715493111499087,0.0838563553702152,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ru,0.0,True
mp-1218130,SrNdFeRuO6,2.030414710795548,-0.0182057990779908,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Ru,0.0,True
mp-1218208,SrLaMgRuO6,1.9584402688274416,0.1415452066467421,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ru,0.0,True
mp-1218253,SrLa(RuO3)2,2.007442839922465,0.1087976551582019,[6.0],4.0,4.0,4.0,Octahedron,4b,1,6.0,Ru,0.0,True
mp-1218344,Sr3LaCuRuO8,1.8137386375028848,1.1054124906791238,[6.0],5.0,5.0,5.0,Octahedron,1b,1,6.0,Ru,0.0,True
mp-1218399,Sr4FeRuO8,2.219039553797756,-1.3056443814834886,[6.0],5.0,5.0,5.0,Octahedron,1c,1,6.0,Ru,0.0,True
mp-1218407,Sr4MnRuO8,2.071820192194925,-0.439806729311066,[6.0],5.0,5.0,5.0,Octahedron,1d,1,6.0,Ru,0.0,True
mp-1218426,Sr3MnRuO7,2.017355927503308,-0.1745338095271468,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-1218437,Sr3LaZnRuO8,1.939356027885189,0.3761997231952064,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-1218458,SrCa3(RuO4)2,1.196252711963457,1.9907054777906128,[6.0],4.0,4.0,4.0,Octahedron,"2b, 2a",1,6.0,Ru,0.0,True
mp-1218460,Sr4La2Mg(RuO6)2,2.583412108094735,-1.4196248399687446,[6.0],4.0,4.0,4.0,Octahedron,2e,1,6.0,Ru,0.0,True
mp-1218461,Sr3FeRuO7,2.0761257599793685,-0.535469717491469,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-1218465,SrCa3(RuO3)4,1.944612963750868,0.186034127649685,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Ru,0.0,True
mp-1218471,Sr3TiRuO7,2.211813510087056,-0.4856632658944148,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-1218485,Sr3CoRuO7,1.9604478051828416,0.0979859959094488,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-1218503,Sr8RuRh3O16,1.7730648867836714,1.209667602272989,[6.0],5.0,5.0,5.0,Octahedron,1c,1,6.0,Ru,0.0,True
mp-1218505,SrCa(RuO3)2,1.8643764423142304,0.3872920858691343,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Ru,0.0,True
mp-1218516,Sr4MnRuO8,2.171046228439764,-1.0411285754976494,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-1218524,Sr6Zn(RuO6)2,2.0903566101146502,-0.7385839321136738,[6.0],5.0,5.0,5.0,Octahedron,2i,1,6.0,Ru,0.0,True
mp-1218532,Sr6Ir2RuO12,2.4499449223227576,-1.1127395872758703,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-1218544,SrCaMnRuO6,2.046586753639288,-0.3299260636496406,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ru,0.0,True
mp-1218614,Sr4Li(RuO4)3,1.878616964499893,0.5588904703528391,[6.0],5.0,5.0,5.0,Octahedron,"1g, 1c, 1f",1,6.0,Ru,0.0,True
mp-1218638,Sr3Ca3(Ru2O7)2,1.999153331759776,0.0568938084704896,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-1218729,Sr2La2Mg(RuO4)3,1.9043953462801944,0.2954209535792035,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-1218769,Sr2MnRuO6,2.020488287229232,-0.2101370468906056,[6.0],5.0,5.0,5.0,Octahedron,1b,1,6.0,Ru,0.0,True
mp-1218854,Sr2CeYCu2RuO10,2.101268120870679,-0.6918729827810493,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-1218868,Sr2GdCu2RuO8,1.960693782935683,-0.0419197315882945,[6.0],5.0,5.0,5.0,Octahedron,1b,1,6.0,Ru,0.0,True
mp-1218869,Sr2Cu2RuPb2ClO8,1.9235999186383463,0.2738595593328403,[6.0],5.0,5.0,5.0,Octahedron,1b,1,6.0,Ru,0.0,True
mp-1218896,Sr10Ti(RuO5)4,2.501046130752892,-1.2217438809370225,[6.0],4.0,4.0,4.0,Octahedron,2e,1,6.0,Ru,0.0,True
mp-1218911,Sr10Mn(RuO5)4,2.041584622349098,-0.0101676085030853,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,2e,1,6.0,Ru,1.0,False
mp-1218911,Sr10Mn(RuO5)4,2.041584622349098,-0.0101676085030853,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,2e,1,6.0,Ru,1.0,False
mp-1220813,NaLi2(RuO2)6,2.0156221579347737,0.0472503999328143,"[6.0, 6.0]",3.5,3.0,4.0,no_data,no_data,1,6.0,Ru,1.0,False
mp-1220813,NaLi2(RuO2)6,2.0156221579347737,0.0472503999328143,"[6.0, 6.0]",3.5,3.0,4.0,no_data,no_data,1,6.0,Ru,1.0,False
mp-1220996,NaP4(RuO7)2,1.9880659064665185,0.0734452875404954,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,1a,1,6.0,Ru,1.0,False
mp-1220996,NaP4(RuO7)2,1.9880659064665185,0.0734452875404954,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,1a,1,6.0,Ru,1.0,False
mp-1222456,LiRuRhO4,1.9034636557819915,0.3473150119914669,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Ru,0.0,True
mp-1222666,LiMn2Cu(RuO4)2,2.088028833678965,-0.2904929915384576,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Ru,0.0,True
mp-1222686,LiCuRu2(RhO4)2,2.111134421699054,-0.1534306315226377,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Ru,0.0,True
mp-1223542,KLi2(RuO2)6,2.022489071512191,0.041607827701988,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"3j, 3k",1,6.0,Ru,1.0,False
mp-1223542,KLi2(RuO2)6,2.022489071512191,0.041607827701988,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"3j, 3k",1,6.0,Ru,1.0,False
mp-1224038,Ho2MnRuO7,1.9901000845467056,0.0982504391948422,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ru,0.0,True
