material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ru_wyckoff,num_Ru_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1173266,Sr2La2MgRuO8,2.32612702771877,-0.7918140584216582,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Ru,0.0,True,11.0,6.0,1.9648271251341607,2.086330223156141,2.0047996609868095,0.055037925596093315,0.12150309802198023,82.95364586516186,36.78989991179038,0.0,178.78007031057317,4.0,0.6666666666666666,2,Octahedron
mp-1173476,Sr18Fe6Ru3O34,2.01642238333896,-0.100160961691998,"[6.0, 6.0]",4.5,4.0,5.0,no_data,no_data,1,6.0,Ru,1.0,False,24.0,6.0,1.940738071046061,2.0502112678095505,1.983693146324563,0.04769474923774621,0.10947319676348943,64.93244499545844,32.87883247379555,8.537736462515939e-07,100.00998140350029,4.0,0.6666666666666666,1,no_data
mp-1173476,Sr18Fe6Ru3O34,2.01642238333896,-0.100160961691998,"[6.0, 6.0]",4.5,4.0,5.0,no_data,no_data,1,6.0,Ru,1.0,False,25.0,6.0,1.960098370352291,2.045075944184494,1.9888177116519372,0.029479012751532575,0.08497757383220295,67.27073611923919,36.86491219990543,0.0,117.10653432066884,4.0,0.6666666666666666,2,no_data
mp-1173476,Sr18Fe6Ru3O34,2.01642238333896,-0.100160961691998,"[6.0, 6.0]",4.5,4.0,5.0,no_data,no_data,1,6.0,Ru,1.0,False,26.0,6.0,1.9600983703522907,2.0450954025243147,1.9888209547085747,0.02948520209632133,0.08499703217202392,72.89315925728462,38.12472586134681,0.0,111.21826128108084,4.0,0.6666666666666666,3,no_data
mp-1173476,Sr18Fe6Ru3O34,2.01642238333896,-0.100160961691998,"[6.0, 6.0]",4.5,4.0,5.0,no_data,no_data,1,6.0,Ru,1.0,False,24.0,6.0,1.940738071046061,2.0502112678095505,1.983693146324563,0.04769474923774621,0.10947319676348943,64.93244499545844,32.87883247379555,8.537736462515939e-07,100.00998140350029,4.0,0.6666666666666666,1,no_data
mp-1173476,Sr18Fe6Ru3O34,2.01642238333896,-0.100160961691998,"[6.0, 6.0]",4.5,4.0,5.0,no_data,no_data,1,6.0,Ru,1.0,False,25.0,6.0,1.960098370352291,2.045075944184494,1.9888177116519372,0.029479012751532575,0.08497757383220295,67.27073611923919,36.86491219990543,0.0,117.10653432066884,4.0,0.6666666666666666,2,no_data
mp-1173476,Sr18Fe6Ru3O34,2.01642238333896,-0.100160961691998,"[6.0, 6.0]",4.5,4.0,5.0,no_data,no_data,1,6.0,Ru,1.0,False,26.0,6.0,1.9600983703522907,2.0450954025243147,1.9888209547085747,0.02948520209632133,0.08499703217202392,72.89315925728462,38.12472586134681,0.0,111.21826128108084,4.0,0.6666666666666666,3,no_data
mp-1173635,Sr18La2MgRu9O40,2.319982282104445,-0.766112907894233,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2i",1,6.0,Ru,0.0,True,21.0,6.0,1.977089163549619,2.0911333822814338,2.012309237807173,0.04810722666485384,0.1140442187318147,68.11950152645484,33.183097779015434,0.0,110.12180804836524,2.0,0.3333333333333333,1,Octahedron
mp-1173635,Sr18La2MgRu9O40,2.319982282104445,-0.766112907894233,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2i",1,6.0,Ru,0.0,True,22.0,6.0,1.9784101457527856,2.0649117870162788,2.006294098350499,0.039381099807221556,0.08650164126349313,68.19140543454847,33.05397752948282,0.0,110.11720319120444,2.0,0.3333333333333333,2,Octahedron
mp-1173635,Sr18La2MgRu9O40,2.319982282104445,-0.766112907894233,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2i",1,6.0,Ru,0.0,True,23.0,6.0,1.978454383294756,2.0631643077324933,2.0061545118942283,0.03915751452420743,0.08470992443773717,68.14418683312422,33.00848238977656,0.0,109.91614898163651,2.0,0.3333333333333333,3,Octahedron
