material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Cu_wyckoff,num_Cu_chemenvs,CN,element,charge_range,is_single_charge
mp-1177402,Li4FeCu3(PO4)4,2.0058897592190994,0.1100335834403067,"[6.0, 6.0]",1.5,1.0,2.0,Octahedron,"1a, 1b",1,6.0,Cu,1.0,False
mp-1177485,Li4Fe3Cu(PO4)4,1.604331909117721,0.3070783511964057,[6.0],1.0,1.0,1.0,Octahedron,1a,1,6.0,Cu,0.0,True
mp-1178032,Li2CrCuO4,2.420972642737591,-0.3646161879076998,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Cu,0.0,True
mp-1178040,Li2Cr3(CuO6)2,1.8293443585786453,0.2334088404221456,[6.0],2.0,2.0,2.0,Octahedron,8d,1,6.0,Cu,0.0,True
mp-1178150,KCu2H2(SO5)2,0.8295068189289825,1.4464296530265257,[6.0],2.5,2.5,2.5,Octahedron,2e,1,6.0,Cu,0.0,True
mp-1178410,Cu2NiO4,1.9062209534520704,-0.062143387011081,[4.0],2.0,2.0,2.0,Square plane,"2b, 2c",1,4.0,Cu,0.0,True
mp-1178492,Cu3Sn(PO4)4,1.8571658886369968,0.0730976497716248,"[4.0, 4.0]",2.5,2.0,3.0,See-saw,"1a, 1b",1,4.0,Cu,1.0,False
mp-1178492,Cu3Sn(PO4)4,1.8571658886369968,0.0730976497716248,"[4.0, 4.0]",2.5,2.0,3.0,See-saw,"1a, 1b",1,4.0,Cu,1.0,False
mp-1178771,YCu(WO4)2,3.636142327357408,-1.3475420349971423,[3.0],1.0,1.0,1.0,Linear,1a,1,3.0,Cu,0.0,True
mp-1179980,NdCu(WO4)2,3.822591896199953,-1.4890080550817315,[3.0],1.0,1.0,1.0,Linear,1a,1,3.0,Cu,0.0,True
mp-1181578,ErCu(WO4)2,3.504876038307239,-1.2484696427007784,[3.0],1.0,1.0,1.0,T-shaped,1a,1,3.0,Cu,0.0,True
mp-1181628,DyCu(WO4)2,3.540978526052136,-1.27567229892014,[3.0],1.0,1.0,1.0,T-shaped,1a,1,3.0,Cu,0.0,True
mp-1181633,CuClO,1.8677301813015188,0.0086569030865568,"[3.0, 3.0, 3.0]",2.0,2.0,2.0,Square plane,4a,1,3.0,Cu,0.0,True
mp-1181633,CuClO,1.8677301813015188,0.0086569030865568,"[3.0, 3.0, 3.0]",2.0,2.0,2.0,Square plane,4a,1,3.0,Cu,0.0,True
mp-1181633,CuClO,1.8677301813015188,0.0086569030865568,"[3.0, 3.0, 3.0]",2.0,2.0,2.0,Square plane,4a,1,3.0,Cu,0.0,True
mp-1181656,Cu2H3ClO3,1.8467768364192616,0.2106956007131822,"[4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square plane","1c, 1a, 2f",2,4.0,Cu,0.0,True
mp-1181656,Cu2H3ClO3,1.8467768364192616,0.2106956007131822,"[4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square plane","1c, 1a, 2f",2,6.0,Cu,0.0,True
mp-1181662,Cu2H3ClO3,1.6634880943878103,0.4303751731808063,"[4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square plane","2a, 4e, 2b",2,4.0,Cu,0.0,True
mp-1181662,Cu2H3ClO3,1.6634880943878103,0.4303751731808063,"[4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square plane","2a, 4e, 2b",2,6.0,Cu,0.0,True
mp-1182677,BaGd2CuO5,4.752322380256609,-2.910554077584573,[5.0],2.0,2.0,2.0,Square pyramid,4c,1,5.0,Cu,0.0,True
mp-1188268,K3(CuO2)2,1.7743756842358684,0.236929471746093,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"2a, 2c",1,4.0,Cu,1.0,False
mp-1188268,K3(CuO2)2,1.7743756842358684,0.236929471746093,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"2a, 2c",1,4.0,Cu,1.0,False
mp-1190199,CuSb6(SO8)2,1.634067181600031,0.5118950529991811,[4.0],2.0,2.0,2.0,Square plane,1g,1,4.0,Cu,0.0,True
mp-1190203,Lu2CuTe2(SO7)2,2.9733703110330394,-0.7526860608676225,[6.0],2.0,2.0,2.0,Octahedron,1e,1,6.0,Cu,0.0,True
mp-1190208,Y2CuTe2(SO7)2,3.0225290368766133,-0.8059518242263394,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Cu,0.0,True
mp-1190344,Er2CuTe2(SO7)2,2.963419082776572,-0.7625780996839053,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Cu,0.0,True
mp-1190351,Tm2CuTe2(SO7)2,2.9606172559976,-0.7578633277817356,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Cu,0.0,True
mp-1190393,Dy2CuTe2(SO7)2,3.035689378573816,-0.8194318178291811,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Cu,0.0,True
mp-1190435,Nd2CuTe2(SO7)2,3.1134439272484813,-0.902777462807346,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Cu,0.0,True
mp-1190440,Ho2CuTe2(SO7)2,2.944504063048662,-0.746508962569209,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Cu,0.0,True
mp-1190446,Sm2CuTe2(SO7)2,3.095070722292351,-0.8701943215379314,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Cu,0.0,True
mp-1190474,Tb2CuTe2(SO7)2,3.015008430596745,-0.8019780948922337,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Cu,0.0,True
mp-1190515,Gd2CuTe2(SO7)2,3.052194003435952,-0.8359449869748999,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Cu,0.0,True
