material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Cu_wyckoff,num_Cu_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1041735,V2ZnCuO7,1.8435532597188584,0.121797050155105,[4.0],2.0,2.0,2.0,no_data,no_data,1,4.0,Cu,0.0,True,21.0,4.0,1.8968445926114639,1.9866080944067943,1.9350370029242483,0.03283030093431122,0.08976350179533044,37.88594207130865,17.316317419333327,12.325078058826449,70.08638926282767,4.0,1.0,4,no_data
mp-1041735,V2ZnCuO7,1.8435532597188584,0.121797050155105,[4.0],2.0,2.0,2.0,no_data,no_data,1,4.0,Cu,0.0,True,22.0,4.0,1.9058416685916812,1.9304506176472038,1.9181461431194429,0.012304474527760734,0.024608949055522578,113.27398519190058,29.978249223964397,82.55715585873232,155.0881424897046,4.0,1.0,5,no_data
mp-1041735,V2ZnCuO7,1.8435532597188584,0.121797050155105,[4.0],2.0,2.0,2.0,no_data,no_data,1,4.0,Cu,0.0,True,23.0,4.0,1.896844592611464,1.986608094406796,1.9350370029242487,0.03283030093431194,0.08976350179533199,37.885942071308655,17.31631741933332,12.32507805882648,70.08638926282767,4.0,1.0,6,no_data
mp-1041741,MgCuP2O7,1.5769700687108283,0.5586912692838026,[5.0],2.0,2.0,2.0,Trigonal bipyramid,2i,1,5.0,Cu,0.0,True,,,,,,,,,,,,,,0,Trigonal bipyramid
mp-1041772,MgV2CuO7,1.891952431884991,0.0700116018765701,[4.0],2.0,2.0,2.0,See-saw,"4g, 2f",1,4.0,Cu,0.0,True,18.0,4.0,1.9012101135618409,1.9805788920593117,1.9404957948544141,0.031059642454792806,0.07936877849747082,46.74155373902505,20.0573406725519,22.967638324217976,84.4927261337903,4.0,1.0,1,See-saw
mp-1041772,MgV2CuO7,1.891952431884991,0.0700116018765701,[4.0],2.0,2.0,2.0,See-saw,"4g, 2f",1,4.0,Cu,0.0,True,19.0,4.0,1.9012101135618416,1.980578892059311,1.9404957948544146,0.031059642454792515,0.07936877849746948,46.74155373902505,20.057340672551906,22.96763832421794,84.49272613379031,4.0,1.0,2,See-saw
mp-1041772,MgV2CuO7,1.891952431884991,0.0700116018765701,[4.0],2.0,2.0,2.0,See-saw,"4g, 2f",1,4.0,Cu,0.0,True,20.0,4.0,1.9421219564894565,1.9437234923004605,1.9429227243949585,0.0008007679055018202,0.0016015358110039735,112.48068436834757,27.848126318870083,83.03180566458705,151.08311176378533,4.0,1.0,3,See-saw
mp-1041772,MgV2CuO7,1.891952431884991,0.0700116018765701,[4.0],2.0,2.0,2.0,See-saw,"4g, 2f",1,4.0,Cu,0.0,True,21.0,4.0,1.9012101135618409,1.9805788920593121,1.9404957948544146,0.031059642454793115,0.07936877849747126,37.98788388440741,17.57019081418981,11.903013809575441,70.51554285075655,4.0,1.0,4,See-saw
mp-1041772,MgV2CuO7,1.891952431884991,0.0700116018765701,[4.0],2.0,2.0,2.0,See-saw,"4g, 2f",1,4.0,Cu,0.0,True,22.0,4.0,1.942121956489456,1.94372349230046,1.942922724394958,0.0008007679055019867,0.0016015358110039735,112.48068436834757,27.848126318870076,83.03180566458711,151.08311176378533,4.0,1.0,5,See-saw
mp-1041772,MgV2CuO7,1.891952431884991,0.0700116018765701,[4.0],2.0,2.0,2.0,See-saw,"4g, 2f",1,4.0,Cu,0.0,True,23.0,4.0,1.901210113561842,1.9805788920593113,1.940495794854414,0.03105964245479215,0.07936877849746926,37.98788388440742,17.57019081418982,11.903013809575441,70.51554285075657,4.0,1.0,6,See-saw
