material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,In_wyckoff,num_In_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-11623,LaInO3,2.204062253030519,-0.0361148417800257,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,In,0.0,True,5.0,6.0,2.1650338993558726,2.183046167903564,2.174973804287876,0.007471110470098974,0.018012268547691335,51.23878816480414,20.34188070964911,19.288316065381284,88.90031748672416,6.0,1.0,2,Octahedron
mp-11623,LaInO3,2.204062253030519,-0.0361148417800257,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,In,0.0,True,6.0,6.0,2.165033899355873,2.1830461679035644,2.174973804287876,0.007471110470099171,0.018012268547691335,59.81789230204947,24.17082753093583,23.026555244181786,94.74916966152291,6.0,1.0,3,Octahedron
mp-11623,LaInO3,2.204062253030519,-0.0361148417800257,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,In,0.0,True,7.0,6.0,2.165033899355873,2.1830461679035658,2.1749738042878763,0.007471110470099313,0.018012268547692667,60.542560137780356,27.357070318821776,14.091133905546982,103.68038245503689,6.0,1.0,4,Octahedron
mp-1173705,NaCdIn2(PO4)3,1.8609183950769967,0.4775525222056825,[6.0],3.0,3.0,3.0,Octahedron,4f,1,6.0,In,0.0,True,4.0,6.0,2.0855089519809016,2.3016763327406577,2.188020608710229,0.06517017324795674,0.21616738075975617,84.53079356715077,35.937792563841384,21.110454594578552,161.72660444261717,6.0,1.0,1,Octahedron
mp-1173705,NaCdIn2(PO4)3,1.8609183950769967,0.4775525222056825,[6.0],3.0,3.0,3.0,Octahedron,4f,1,6.0,In,0.0,True,5.0,6.0,2.0855089831255804,2.3016763794919073,2.188020608497164,0.06517017902112283,0.21616739636632687,74.71463219249573,29.118296031692324,16.097150346020523,123.3196982742199,6.0,1.0,2,Octahedron
mp-1173705,NaCdIn2(PO4)3,1.8609183950769967,0.4775525222056825,[6.0],3.0,3.0,3.0,Octahedron,4f,1,6.0,In,0.0,True,6.0,6.0,2.085508983125581,2.301676379491905,2.1880206084971636,0.06517017902112222,0.2161673963663242,74.71463219249571,29.118296031692324,16.097150346020545,123.3196982742199,6.0,1.0,3,Octahedron
mp-1173705,NaCdIn2(PO4)3,1.8609183950769967,0.4775525222056825,[6.0],3.0,3.0,3.0,Octahedron,4f,1,6.0,In,0.0,True,7.0,6.0,2.0855089519809025,2.3016763327406586,2.1880206087102296,0.06517017324795679,0.21616738075975617,84.53079356715078,35.937792563841384,21.11045459457857,161.7266044426172,6.0,1.0,4,Octahedron
mp-1173861,Na3Mg4InSi8(O11F)2,1.8022577711213263,0.5363635690506523,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,In,0.0,True,7.0,6.0,2.0870319165477973,2.3044573616287023,2.1811263850163556,0.09080928807913598,0.217425445080905,59.78729685074813,28.66196531179345,22.74248778928537,127.00852027489196,6.0,1.0,1,Octahedron
mp-1188515,Ca2InOsO6,2.182488146291171,0.0109375232064938,[6.0],3.0,3.0,3.0,Octahedron,2b,1,6.0,In,0.0,True,4.0,6.0,2.182194102949689,2.1988145169492705,2.1900853365391075,0.0068110770824765885,0.016620413999581363,107.99999991950544,36.043898085857435,87.32811289199621,180.0,6.0,1.0,1,Octahedron
mp-1188515,Ca2InOsO6,2.182488146291171,0.0109375232064938,[6.0],3.0,3.0,3.0,Octahedron,2b,1,6.0,In,0.0,True,5.0,6.0,2.182194102949689,2.1988145169492705,2.190085336539108,0.0068110770824769675,0.016620413999581363,57.160066906422365,33.11165707632217,6.523893113130895,99.0712405038586,6.0,1.0,2,Octahedron
mp-1188700,InAsH2O5,2.087639642182083,0.1397301317400874,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,In,0.0,True,0.0,6.0,2.125933636469086,2.2468029069941045,2.192770750620916,0.041669345473081286,0.12086927052501828,87.78668326456709,37.37061722244991,19.03829501148624,170.88468196331996,6.0,1.0,1,Octahedron
mp-1188700,InAsH2O5,2.087639642182083,0.1397301317400874,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,In,0.0,True,1.0,6.0,2.1259336364690857,2.246802906994105,2.1927707506209155,0.04166934547308169,0.12086927052501917,87.78668326456709,37.37061722244991,19.03829501148622,170.88468196331988,6.0,1.0,2,Octahedron
mp-1190108,Sr2TaInO6,2.17315644595289,0.0185807285029467,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,In,0.0,True,6.0,6.0,2.1833793559667085,2.190178361795205,2.1860632593657887,0.0029544168135524638,0.006799005828496352,107.99999983901088,36.013725935925294,88.73586659788202,180.0,6.0,1.0,1,Octahedron
mp-1190108,Sr2TaInO6,2.17315644595289,0.0185807285029467,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,In,0.0,True,7.0,6.0,2.183379355966709,2.1901783617952053,2.1860632593657896,0.0029544168135525713,0.006799005828496352,45.83994324896646,22.420060616246968,9.693752120898086,77.75859287972123,6.0,1.0,2,Octahedron
mp-1190195,LiIn(WO4)2,2.2070678566123094,-0.0315276850154226,[6.0],3.0,3.0,3.0,Octahedron,2e,1,6.0,In,0.0,True,2.0,6.0,2.1612654479659135,2.221093497227578,2.1835273860352094,0.02671469203577885,0.05982804926166452,97.83299319604316,34.42127694605209,52.13906742385108,167.45609944732672,6.0,1.0,1,Octahedron
