material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ir_wyckoff,num_Ir_chemenvs,CN,element,charge_range,is_single_charge
mp-1227404,Ca2IrRhO6,1.656406792550574,0.872770130032863,[6.0],4.0,4.0,4.0,Octahedron,1c,1,6.0,Ir,0.0,True
mp-1227963,Ba3TmIrRuO9,1.745760121249771,0.6715432236729627,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1228020,Ba3YIrRuO9,1.7358830214713443,0.6919866041662887,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1228168,Ba3SmIrRuO9,1.645228610341541,0.9138231472638936,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1228216,Ba3PrIrRuO9,1.660894934237214,0.8865988696244873,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1228219,Ba3TbIrRuO9,1.737065063225419,0.7039261295459769,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1228233,Ba3ZnIrRuO9,1.8892981158298432,0.6063609972354038,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ir,0.0,True
mp-1228241,Ba3NdIrRuO9,1.6717617051783886,0.859504118172324,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1228246,Ba3LaIrRuO9,1.8022923934214967,0.5278474431491527,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1228263,Ba3MgIrRuO9,1.8679028441014296,0.7146725816690518,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ir,0.0,True
mp-1228273,Ba3NaIrRuO9,1.97397345772458,0.9976993791039352,[6.0],6.0,6.0,6.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1228297,Ba3DyIrRuO9,1.7251242099004167,0.730097311537999,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1228300,Ba3LuIrRuO9,1.7994786558169489,0.5452823857774113,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1228306,Ba6Ca2Ir3RuO18,1.8217867747295715,0.96308584186209,[6.0],5.0,5.0,5.0,Octahedron,"1a, 1c",1,6.0,Ir,0.0,True
mp-1228318,Ba3LiIrRuO9,1.9798288338781007,0.8479181901397537,[6.0],6.0,6.0,6.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1228361,Ba3BiIrRuO9,1.920702770730844,0.266549997722341,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Ir,0.0,True
mp-1228389,Ba3NiIrRuO9,1.889962622727642,0.5745396698473556,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ir,0.0,True
mp-1228390,Ba3ErIrRuO9,1.7473777970553883,0.6728628677639085,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1228398,Ba3HoIrRuO9,1.7799794075780284,0.5943660329579035,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1228412,Ba4Al(IrO5)2,1.9661256601895272,0.1995794507511063,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,2a,1,6.0,Ir,1.0,False
mp-1228412,Ba4Al(IrO5)2,1.9661256601895272,0.1995794507511063,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,2a,1,6.0,Ir,1.0,False
mp-1228718,Ba3InIrRuO9,1.9155644544690584,0.2600219212727994,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1228761,Ba4Li(IrO4)3,1.8863940922598232,0.6331765093555843,[6.0],5.0,5.0,5.0,Octahedron,"2i, 1d",1,6.0,Ir,0.0,True
mp-1228796,Ba3GdIrRuO9,1.7239787086320528,0.7275218322200638,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-12323,NaSm2IrO6,2.005675577802545,-0.0522852839494873,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ir,0.0,True
mp-1287594,Ca2CoIrO6,1.9546975337639343,0.0531846492453929,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ir,0.0,True
mp-1306506,Ca2FeIrO6,1.9914660846881715,0.0016308341333999,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Ir,0.0,True
mp-1310548,Ca2CoIrO6,1.976812209427813,0.0589111745283423,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,1a,1,6.0,Ir,1.0,False
mp-1310548,Ca2CoIrO6,1.976812209427813,0.0589111745283423,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,1a,1,6.0,Ir,1.0,False
