material_id,chem_formula,R$_0$,B,Na_chemenv,num_Na_chemenvs,Na_wyckoff,num_Na_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Na_sites,num_CN_env,num_charge_states,NaX_coordn,NaO_coordn,mean_coordn_Na-X,min_coordn_Na-X,max_coordn_Na-X,mean_coordn_Na-O,min_coordn_Na-O,max_coordn_Na-O,mean_Na_charge,min_Na_charge,max_Na_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_NaO_BondL
mp-555825,Na4Sc2Si4O13,2.2019232827015744,0.1647728624525336,"Face-capped octahedron, Square-face monocapped antiprism, Square-face capped trigonal prism, Dodecahedron with triangular faces",4,4a,1,"[6.146819216198715, 2.6050724426533742, 5.077367008269205, 3.728524468945076]",0.5,4.389445784016592,A2B4C4D13,4,3,1,"[5.0, 8.0, 9.0]","[5.0, 8.0, 9.0]",7.333333333333333,5.0,9.0,7.333333333333333,5.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",r2SCAN,Na-O-Sc-Si,0.0,-3.153178995022489,4.8179,4,Orthorhombic,mm2,Pna2_1,oxide,Na,,Sc,,,Si,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.534613749534395
mp-555851,Na2Cd3(P2O7)2,2.150361246273876,0.2056320575166261,Pentagonal bipyramid,1,2i,1,[5.128562818305865],1.0,5.128562818305865,A2B3C4D14,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Cd-Na-O-P,0.0,-2.422010153101307,3.0538,4,Triclinic,-1,P-1,oxide,Na,,Cd,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.508838008942554
mp-555861,Na2Th(PO4)2,1.0962150807705575,0.7337303222954245,"Square-face capped square prism, Bicapped square prism (adjacent faces)",2,2i,1,"[6.576827949565624, 7.701484410773797, 6.550770704396866, 7.7105714627128155]",1.0,7.1349136318622755,AB2C2D8,2,2,1,"[10.0, 8.0]","[10.0, 8.0]",9.0,8.0,10.0,9.0,8.0,10.0,1.0,1.0,1.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Nonmetals",SCAN,Na-O-P-Th,0.0,-3.096479676503409,4.9443,4,Monoclinic,2/m,C2/c,phosphate,Na,,,,,,"N, O, P",,,,Th,"B $\in$ [0.5, 1]",Positive B,2.672000477377117
mp-555904,NaSmGeO4,2.1472768808489526,0.1826437602609129,Octahedron,1,4b,1,[2.645133675853049],0.0,2.645133675853049,ABCD4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,Ge-Na-O-Sm,0.0,-2.829869232339901,3.6029,4,Orthorhombic,mmm,Pnma,oxide,Na,,,,,Ge,"N, O, S",,,Sm,,"B $\in$ [0.1, 0.5]",Positive B,2.481708752430475
mp-555920,Na2SrVP2O9,2.505657410932588,-0.0051030784633291,Pentagonal bipyramid,1,8d,1,[2.444971143086663],0.0,2.444971143086663,ABC2D2E9,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Na-O-P-Sr-V,0.000404240749996,-2.821255004802955,2.2868,5,Orthorhombic,mmm,Pnma,oxide,Na,Sr,V,,,,"N, O, P, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.494681775986375
mp-555933,Na2P2PbO7,2.0355820173882107,0.2825683231260061,Pentagonal bipyramid,1,2i,1,"[3.480534787374224, 5.233762200946524]",0.5,4.3571484941603735,AB2C2D7,1,2,1,"[5.0, 7.0]","[5.0, 7.0]",6.0,5.0,7.0,6.0,5.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals",GGA,Na-O-P-Pb,0.0,-2.520906898087027,4.2908,4,Triclinic,-1,P-1,oxide,Na,,,,Pb,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.546971228304196
mp-555944,NaP(WO4)2,2.28619560811162,0.1716652919088402,Bicapped square prism (adjacent faces),1,2e,1,[9.204801693806571],1.0,9.204801693806571,ABC2D8,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Na-O-P-W,0.027950023636911,-2.3259336363351792,0.0,4,Monoclinic,2/m,P2_1/m,oxide,Na,,W,,,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.7366178063065423
mp-555973,Na5Er(MoO4)4,2.4610206607783507,-0.0001551176098294,"Trigonal prism, Tetrahedron",2,"2b, 8f",2,"[4.555661213183734, 2.729255041562099]",0.0,3.6424581273729166,AB4C5D16,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Er-Mo-Na-O,0.0,-2.332285659688329,3.8939,4,Tetragonal,4/m,I4_1/a,oxide,Na,,Mo,,,,"N, O",,,Er,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.4372712091923825
mp-555976,Na2TiSiO5,2.840092713100635,-0.2222031502765036,Octahedron,1,"2b, 4c, 2a",3,"[2.591941527959355, 3.770971045448669, 3.9615674179669402]",0.0,3.4414933304583215,ABC2D5,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",SCAN,Na-O-Si-Ti,0.002697615000004,-2.992997699010217,3.2081,4,Orthorhombic,mm2,Pmc2_1,oxide,Na,,Ti,,,Si,"N, O, S",,,,,"B $\in$ [-1, -0.1]",Negative B,2.3999837520607765
mp-556013,Na2Be(SiO3)2,2.1395151347106776,0.1880799033987782,"Trigonal prism, Trigonal bipyramid, Bicapped octahedron (cap faces with one edge in common), Octahedron",4,"4b, 2a",2,"[7.31630438175483, 3.752878281497922, 8.933859515758002, 5.698005828899758]",0.75,6.425262001977629,AB2C2D6,4,3,1,"[5.0, 6.0, 8.0]","[5.0, 6.0, 8.0]",6.333333333333333,5.0,8.0,6.333333333333333,5.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Be-Na-O-Si,0.0,-2.961274072523512,4.7889,4,Orthorhombic,mm2,Fdd2,oxide,Na,Be,,,,"B, Si","N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.5000190835627123
