material_id,chem_formula,R$_0$,B,Sr_chemenv,num_Sr_chemenvs,Sr_wyckoff,num_Sr_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Sr_sites,num_CN_env,num_charge_states,SrX_coordn,SrO_coordn,mean_coordn_Sr-X,min_coordn_Sr-X,max_coordn_Sr-X,mean_coordn_Sr-O,min_coordn_Sr-O,max_coordn_Sr-O,mean_Sr_charge,min_Sr_charge,max_Sr_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_SrO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1214627,Ba2SrY2Cu2PtO10,2.449326884557376,0.14631771569645305,Cube,1,1d,1,[0.045475560270622],0.0,0.045475560270622,ABC2D2E2F10,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",2.6550913707164043,GGA,Ba-Cu-O-Pt-Sr-Y,0.005743350615077,-2.5342192222222213,0.585399999999999,6,Monoclinic,2/m,C2/m,oxide,None,"Sr, Ba","Cu, Y, Pt",None,None,B,"C, O, P, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1214717,Ba3Sr2Re3ClO15,1.504991897319304,0.8194673218771303,Tricapped triangular prism (three square-face caps),1,4b,1,[2.55841745361351],0.0,2.55841745361351,AB2C3D3E15,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Transition Metals",2.708134826676626,GGA,Ba-Cl-O-Re-Sr,0.0,-2.793981701145833,2.5002,5,Hexagonal,6mm,P6_3cm,hypochlorite,None,"Sr, Ba",Re,None,None,B,"C, O, S",Cl,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1217760,SrSmNiO4,3.4577084974756978,-0.5548735715303064,Tricapped triangular prism (three square-face caps),1,1a,1,[2.39080914053347],0.0,2.39080914053347,ABCD4,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.664567047320256,GGA_U,Ni-O-Sm-Sr,0.016043820624996,-2.6389474735714282,0.0,4,Tetragonal,4mm,I4mm,oxide,None,Sr,Ni,None,None,None,"N, O, S",None,None,Sm,None,"B $\in$ [-1, -0.1]",Negative B
mp-1217761,SrSmCoO4,3.3490417770918084,-0.4773556019144155,Tricapped triangular prism (three square-face caps),1,1a,1,[2.299946747322389],0.0,2.299946747322389,ABCD4,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.678896865648432,GGA_U,Co-O-Sm-Sr,0.038024771517876005,-2.715957714999999,0.6552,4,Tetragonal,4mm,I4mm,oxide,None,Sr,Co,None,None,None,"C, O, S",None,None,Sm,None,"B $\in$ [-1, -0.1]",Negative B
mp-1217781,SrSmNiO4,3.360678851721803,-0.4561068460750809,Tricapped triangular prism (three square-face caps),1,2c,1,[3.030200353246316],0.0,3.030200353246316,ABCD4,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.6346016481660555,GGA_U,Ni-O-Sm-Sr,0.036459206339281,-2.618532087857143,0.0,4,Orthorhombic,mmm,Cmcm,oxide,None,Sr,Ni,None,None,None,"N, O, S",None,None,Sm,None,"B $\in$ [-1, -0.1]",Negative B
mp-1217784,SrYAl3O7,2.1066105654370406,0.40215996659227604,Square antiprism,1,2e,1,[1.69926712509774],0.0,1.69926712509774,ABC3D7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",2.7033210626719173,GGA,Al-O-Sr-Y,0.015194742937501001,-3.557073157083333,4.1991,4,Orthorhombic,mm2,Cmm2,oxide,None,Sr,Y,None,Al,None,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1217786,SrYGa3O7,2.0650800982488784,0.4463216401684028,Square antiprism,1,2e,1,[1.70627513099907],0.0,1.70627513099907,ABC3D7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",2.727094720363546,GGA,Ga-O-Sr-Y,0.024719020124999002,-2.828390638958333,3.1775,4,Orthorhombic,mm2,Cmm2,oxide,None,Sr,Y,None,Ga,None,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1217789,SrSmGa3O7,2.5566510865586465,0.10154884363173708,Square antiprism,1,2e,1,[1.611267578850272],0.0,1.611267578850272,ABC3D7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Post-Transition Metals",2.7217171165428384,GGA,Ga-O-Sm-Sr,0.005925765763887,-2.6780786134722243,3.215899999999999,4,Orthorhombic,mm2,Cmm2,oxide,None,Sr,None,None,Ga,None,"O, S",None,None,Sm,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1217801,SrTiNb2Bi2PbO12,2.7778617144942386,0.00040875468003722607,Cuboctahedron,1,1a,1,[0.005773379417876001],0.0,0.005773379417876001,ABCD2E2F12,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",2.778601373370757,GGA,Bi-Nb-O-Pb-Sr-Ti,0.038519382368419,-2.655057635438596,0.9508000000000001,6,Tetragonal,4mm,I4mm,oxide,None,Sr,"Ti, Nb",None,"Pb, Bi",B,"N, O, P, S",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1217828,SrTi3Al8O19,2.634448596231435,0.10461195956651628,Cuboctahedron,1,2c,1,"[0.439802014799395, 0.42550874981088704]",0.0,0.432655382305141,AB3C8D19,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",2.8129746368346793,GGA,Al-O-Sr-Ti,0.0,-3.465720377580646,2.6519,4,Monoclinic,2,C2,oxide,None,Sr,Ti,None,Al,None,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
