material_id,chem_formula,R$_0$,B,Ba_chemenv,num_Ba_chemenvs,Ba_wyckoff,num_Ba_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ba_sites,num_CN_env,num_charge_states,BaX_coordn,BaO_coordn,mean_coordn_Ba-X,min_coordn_Ba-X,max_coordn_Ba-X,mean_coordn_Ba-O,min_coordn_Ba-O,max_coordn_Ba-O,mean_Ba_charge,min_Ba_charge,max_Ba_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_BaO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1019551,BaNa2Mg(PO4)2,4.882200364258656,-1.0666072591210385,Icosahedron,1,1b,1,[3.43358800452048],0.0,3.43358800452048,ABC2D2E8,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",2.9601001800022146,GGA,Ba-Mg-Na-O-P,0.004719869285714,-2.953102795503166,4.8864,5,Trigonal,-3m,P-3m1,phosphate,Na,"Mg, Ba",None,None,None,B,"N, O, P",None,None,None,None,B < -1,Negative B
mp-1019554,BaNaB5O9,2.6702470177427364,0.10085072305741145,Hexagonal bipyramid,1,4e,1,[4.278861218232198],0.0,4.278861218232198,ABC5D9,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",2.793028140353307,GGA,B-Ba-Na-O,0.0,-2.936620327638291,5.1816,4,Monoclinic,2/m,P2_1/c,oxide,Na,Ba,None,None,None,B,"N, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019555,BaNaLi3(BO2)6,1.994392496174577,0.6424624249219433,Tridiminished icosahedron,1,2c,1,[4.512131256763735],0.0,4.512131256763735,ABC3D6E12,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",2.9822138211891334,GGA,B-Ba-Li-Na-O,0.0,-2.844957427668665,5.3099,5,Trigonal,-3,R-3,metaborate,"Li, Na",Ba,None,None,None,B,"N, O",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1019557,BaS4O13,2.63428887107247,0.11472702869001403,Square-face bicapped square antiprism,1,2e,1,[1.769848050474026],0.0,1.769848050474026,AB4C13,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",2.833771857704794,r2SCAN,Ba-O-S,0.0,-2.002589673055556,4.6756,3,Monoclinic,2/m,C2/c,oxide,None,Ba,None,None,None,B,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019558,BaSr2Mg(SiO4)2,4.180999155991943,-0.6288723169780329,Icosahedron,1,1b,1,[2.326095701221223],0.0,2.326095701221223,ABC2D2E8,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",3.0274340787774943,GGA,Ba-Mg-O-Si-Sr,0.0,-3.376693823214286,4.759,5,Trigonal,-3m,P-3m1,silicate,None,"Mg, Sr, Ba",None,None,None,"B, Si","O, S",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1019603,Cs2BaP2O7,3.2788007560054586,-0.53299540948999,Octahedron,1,4e,1,[0.168205482260633],0.0,0.168205482260633,AB2C2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",2.6930416233590577,GGA,Ba-Cs-O-P,0.0,-2.8856225659246713,4.8119,4,Monoclinic,2/m,P2_1/c,oxide,Cs,Ba,None,None,None,B,"C, O, P",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1019605,Cs2Ba3(P2O7)2,2.0354693138042643,0.6098944057925514,"Pentagonal bipyramid, Dodecahedron with triangular faces - p2345 plane normalized",2,4a,1,"[6.701521927581595, 5.077414742261759, 1.199351042184477]",0.667,4.326095904009277,A2B3C4D14,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",2.8298914159954593,GGA,Ba-Cs-O-P,0.004245906195659,-3.042783893820946,4.8929,4,Orthorhombic,222,P2_12_12_1,oxide,Cs,Ba,None,None,None,B,"C, O, P",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1019708,CsBaLiP2O7,2.6955903406960475,0.09357209385189394,Square-face bicapped trigonal prism,1,4e,1,[6.238418151878861],1.0,6.238418151878861,ABCD2E7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",2.8261452309414463,GGA,Ba-Cs-Li-O-P,0.0,-2.939747212689518,5.0427,5,Monoclinic,2/m,P2_1/c,oxide,"Li, Cs",Ba,None,None,None,B,"C, O, P",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1019735,BaNaEu(SiO3)3,1.9603824422680334,0.6902555242330439,Bicapped octahedron (cap faces with one edge in common),1,4a,1,[4.841387272595258],0.0,4.841387272595258,ABCD3E9,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",2.8801246460164505,GGA,Ba-Eu-Na-O-Si,0.024416350083333004,-3.213023907425289,0.0,5,Orthorhombic,222,P2_12_12_1,oxide,Na,Ba,None,None,None,"B, Si","N, O, S",None,None,Eu,None,"B $\in$ [0.5, 1]",Positive B
mp-1022808,Ba2NbFeO6,2.3740139865276717,0.3122940909550602,"Anticuboctahedron, Cuboctahedron",2,"2d, 2a, 4f",3,"[0.035235958692957, 0.155192820588858, 0.191793096997942]",0.0,0.12740729209325233,ABC2D6,2,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Transition Metals",2.952560381199042,GGA_U,Ba-Fe-Nb-O,0.022298484499998,-2.8732552360000003,1.349799999999999,4,Hexagonal,6/mmm,P6_3/mmc,oxide,None,Ba,"Fe, Nb",None,None,B,"N, O",F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
