material_id,chem_formula,R$_0$,B,Sn_chemenv,num_Sn_chemenvs,Sn_wyckoff,num_Sn_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Sn_sites,num_CN_env,num_charge_states,mean_coordn_Sn-X,min_coordn_Sn-X,max_coordn_Sn-X,mean_coordn_Sn-O,min_coordn_Sn-O,max_coordn_Sn-O,mean_Sn_charge,min_Sn_charge,max_Sn_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_SnO_BondL,SnX_coordn,SnO_coordn
mp-27122,LiSn2(PO4)3,1.9401835235966995,0.3014561543350414,Octahedron,1,2i,1,"[0.9979505431336358, 0.7570138390956553, 0.052669137235109104, 0.3745610432579127]",0.0,0.5455486406805782,AB2C3D12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals",GGA,Li-O-P-Sn,0.0034026337499879,-2.522725776097881,3.4473000000000003,4,Triclinic,-1,P-1,phosphate,Li,,,,Sn,,"O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.063511482286247,[6.0],[6.0]
mp-2712526,Na3Zn3SnPS5O24,1.9084718933093008,0.4099840748795778,Octahedron,1,1a,1,"[0.27032652616116004, 0.4283226673914008, 0.37076231173742596]",0.0,0.35647050176332895,ABC3D3E5F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Na-O-P-S-Sn-Zn,0.0333367138288211,-2.0274998725120934,2.2454,6,Triclinic,1,P1,oxide,Na,,Zn,,Sn,,"N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.077394646705069,[6.0],[6.0]
mp-2712540,Na2ZnSn3P4(SO12)2,1.9094061655462475,0.3604825275710922,Octahedron,1,1a,1,"[0.3182815855352452, 0.43339814793922515, 0.4863812090770127, 0.30667722019843824, 0.24177137724201536, 0.2940338202908885, 0.3177609514115446, 0.3702518098110194, 0.2748220195505275]",0.0,0.33815312678399073,AB2C2D3E4F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Na-O-P-S-Sn-Zn,0.0290651355594109,-2.296552293277686,1.7870999999999997,6,Triclinic,1,P1,oxide,Na,,Zn,,Sn,,"N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.058405105362098,[6.0],[6.0]
mp-2712558,Na2ZrSiSn(PO6)2,1.8748187776260865,0.4881740810541166,Octahedron,1,1a,1,"[0.35274181624493867, 0.42379405331549785, 0.344866209635339, 0.3292195531139377, 0.4123507448837306, 0.39450157651586765]",0.0,0.3762456589515519,ABCD2E2F12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Na-O-P-Si-Sn-Zr,0.0376735074736842,-2.8432160381777725,3.2172,6,Triclinic,1,P1,oxide,Na,,Zr,,Sn,Si,"N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.074832364278443,[6.0],[6.0]
mp-2712574,Na3Mg3SnPS5O24,1.8927587453224888,0.448415998399477,Octahedron,1,1a,1,"[0.33543669979110724, 0.560940496895974, 0.4285080680925529]",0.0,0.44162842159321136,ABC3D3E5F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Mg-Na-O-P-S-Sn,0.0168341099099045,-2.30780276408867,2.2724,6,Triclinic,1,P1,oxide,Na,Mg,,,Sn,,"N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0775152381842235,[6.0],[6.0]
mp-2712615,NaAlSnP2SO12,1.95530300131424,0.1858300906301598,Octahedron,1,6a,1,[0.33120104613377743],0.0,0.33120104613377743,ABCDE2F12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals",GGA,Al-Na-O-P-S-Sn,0.0359613737499904,-2.515461880823983,3.3598,6,Monoclinic,m,Cc,oxide,Na,,,,"Al, Sn",,"N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0324489608638268,[6.0],[6.0]
mp-2712617,Na6Mg3SnP4(SO12)2,1.8136791089390003,0.6317296120061788,Octahedron,1,1a,1,"[0.40114269886736426, 0.4354788900083216, 0.6196622941975536]",0.0,0.48542796102441316,AB2C3D4E6F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Mg-Na-O-P-S-Sn,0.0387651437999974,-2.5518615587961824,2.8096000000000005,6,Triclinic,1,P1,oxide,Na,Mg,,,Sn,,"N, O, P, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.0714280772331426,[6.0],[6.0]
mp-2712646,Na2SiSn2(PO6)2,1.8702346363944744,0.4683115009620359,Octahedron,1,2a,1,"[0.36927339332043735, 0.4226825801942666, 0.3379556673135373, 0.38561062686066494, 0.3443642543836404, 0.3537508783396532]",0.0,0.3689395667353666,AB2C2D2E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Na-O-P-Si-Sn,0.0365457590175442,-2.5477614076514565,2.8962,5,Monoclinic,m,Cc,oxide,Na,,,,Sn,Si,"N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.062188081764014,[6.0],[6.0]
mp-2712669,Na2CaSn3P4(SO12)2,1.8982092337569632,0.4399316273657634,Octahedron,1,1a,1,"[0.5979568230646086, 0.4751344763828232, 0.8236531225907626, 0.6452272588155178, 0.14318628977508416, 0.18291077096484665, 0.43117380942076944, 0.5623853260394236, 0.37285452193239005]",0.0,0.4704980443318029,AB2C2D3E4F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Ca-Na-O-P-S-Sn,0.0478062032561696,-2.412030195314724,1.2463999999999995,6,Triclinic,1,P1,oxide,Na,Ca,,,Sn,,"C, N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0800386882854336,[6.0],[6.0]
mp-2712674,NaScSnP2SO12,1.9474120099003784,0.3051112074574701,Octahedron,1,6a,1,[0.38374508436393756],0.0,0.38374508436393756,ABCDE2F12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Na-O-P-S-Sc-Sn,0.0202905508796256,-2.625771499064723,2.4121,6,Monoclinic,m,Cc,oxide,Na,,Sc,,Sn,,"N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.074077387466876,[6.0],[6.0]
