material_id,chem_formula,R$_0$,B,Ga_chemenv,num_Ga_chemenvs,Ga_wyckoff,num_Ga_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ga_sites,num_CN_env,num_charge_states,mean_coordn_Ga-X,min_coordn_Ga-X,max_coordn_Ga-X,mean_coordn_Ga-O,min_coordn_Ga-O,max_coordn_Ga-O,mean_Ga_charge,min_Ga_charge,max_Ga_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_GaO_BondL,GaX_coordn,GaO_coordn
mp-1106089,Ba2InGaO5,1.7333252239761556,0.4687803298606687,Tetrahedron,1,2b,1,[0.53559230441195],0.0,0.53559230441195,ABC2D5,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals",GGA,Ba-Ga-In-O,0.0,-2.5683091707407417,1.4145,4,Orthorhombic,mm2,Ima2,oxide,,Ba,,,"Ga, In",B,O,I,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8668470428039607,[4.0],[4.0]
mp-1153970,Zn4InGaO7,1.8044892683065328,0.2881229503538994,Trigonal bipyramid,1,2d,1,[0.04314427747441472],0.0,0.04314427747441472,ABC4D7,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Ga-In-O-Zn,0.010746780384613,-1.7803372481250024,0.9546,4,Hexagonal,6/mmm,P6_3/mmc,oxide,,,Zn,,"Ga, In",,O,I,,,,"B $\in$ [0.1, 0.5]",Positive B,1.95446835944058,[5.0],[5.0]
mp-1173092,NaCaGaSi2O7,1.7677764934678897,0.2923538570612741,Tetrahedron,1,4a,1,[0.08396285634020537],0.0,0.08396285634020537,ABCD2E7,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Ca-Ga-Na-O-Si,0.0096728346527701,-3.0056205051149423,4.087199999999999,5,Orthorhombic,222,P2_12_12_1,oxide,Na,Ca,,,Ga,Si,"C, N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8520754440379528,[4.0],[4.0]
mp-1173145,SrPrGaCuO5,1.49571133835371,1.3401605680473945,Tetrahedron,1,1a,1,"[0.6576871396370958, 0.5305999689797952]",0.0,0.5941435543084455,ABCDE5,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Cu-Ga-O-Pr-Sr,0.0212228294444472,-2.614337946296297,0.1590999999999995,5,Monoclinic,m,Cc,oxide,,Sr,Cu,,Ga,,"C, O, P, S",,,Pr,,B > 1,Positive B,1.88216546035968,[4.0],[4.0]
mp-1173173,SrLaGaCuO5,1.6148112440327371,0.9101258323123328,Tetrahedron,1,1a,1,"[0.5442359902262475, 0.5394619225710334]",0.0,0.5418489563986404,ABCDE5,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Cu-Ga-La-O-Sr,0.0268164642361155,-2.6510239116666674,0.0,5,Monoclinic,m,Cc,oxide,,Sr,Cu,,Ga,,"C, O, S",,,La,,"B $\in$ [0.5, 1]",Positive B,1.8778198365127527,[4.0],[4.0]
mp-1173241,Sr3La7Ga(Co3O10)3,2.0398746899321645,-0.0717393382185028,Octahedron,1,2c,1,[0.13886062735923319],0.0,0.13886062735923319,AB3C7D9E30,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Co-Ga-La-O-Sr,0.038748952150021,-2.437180019650001,0.0,5,Monoclinic,2,C2,oxide,,Sr,Co,,Ga,,"C, O, S",,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9809302933813835,[6.0],[6.0]
mp-1173259,Sr2NdGaCu2O7,1.8669598398283984,0.0387915364322397,Tetrahedron,1,1a,1,"[0.919535856691237, 0.7959677483673535]",0.0,0.8577518025292953,ABC2D2E7,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Cu-Ga-Nd-O-Sr,0.0129008766666665,-2.4594922240384616,0.0,5,Triclinic,1,P1,oxide,,Sr,Cu,,Ga,,"C, N, O, S",,,Nd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.8781296454940963,[4.0],[4.0]
mp-1173829,Na2Ga2Si3(HO3)4,1.829373293581782,0.0506391485273961,Tetrahedron,1,1a,1,"[0.17587316373203982, 0.217605958547008, 0.0976866762688462, 0.4570454366982531, 0.15966919772868643, 0.16388798923835624, 0.21284787848172784, 0.2188235018639238]",0.0,0.2129299753198552,A2B2C3D4E12,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Ga-H-Na-O-Si,0.0017438470652209,-2.4066768239242866,3.6402,5,Triclinic,1,P1,oxide,Na,,,,Ga,Si,"H, N, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.8441002369377413,[4.0],[4.0]
mp-11773,Nd3GaO6,1.8251212989440664,0.1461815206308377,Tetrahedron,1,2a,1,[0.727739247082574],0.0,0.727739247082574,AB3C6,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals",R2SCAN,Ga-Nd-O,0.0,-3.448302473,3.6505,3,Orthorhombic,mm2,Cmc2_1,oxide,,,,,Ga,,"N, O",,,Nd,,"B $\in$ [0.1, 0.5]",Positive B,1.8711206320898048,[4.0],[4.0]
mp-1178206,Ga3NO3,1.8327963824578863,0.1797669237517732,Tetrahedron,1,"1b, 1a, 2c",3,"[0.3544441947849337, 0.5261165651403957, 0.31402501203211275, 0.1551062345359349, 0.1636738103415599, 0.4399556118205616, 0.6336375561767726, 0.4255214937678253, 0.5188737537360701]",0.0,0.3923726924817963,AB3C3,1,3,1,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,1.6666666666666667,1,2,"N3-, O2-","Nonmetals, Post-Transition Metals",GGA,Ga-N-O,0.0472380660714266,-1.7590370924999996,1.0799999999999998,3,Monoclinic,m,Pm,nitrate,,,,,Ga,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9064763228902573,[4.0],"[2.0, 3.0, 4.0]"
mp-1178283,Gd4Ga2O9,1.7942262164658076,0.2202630262524101,Tetrahedron,1,4e,1,"[1.9588449595894952, 2.6343161454752444]",0.0,2.2965805525323697,A2B4C9,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals",GGA,Ga-Gd-O,0.0135907881666668,-3.368927734333331,3.0853,3,Monoclinic,2/m,P2_1/c,oxide,,,,,Ga,,O,,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,1.8582373143900428,[4.0],[4.0]
mp-1178422,Cs3GaO3,0.0861538441638789,6.292593647956873,Tetrahedron,1,2i,1,[1.225793863859881],0.0,1.225793863859881,AB3C3,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals",R2SCAN,Cs-Ga-O,0.0,-1.7051227407142855,2.877,3,Monoclinic,2/m,C2/m,oxide,Cs,,,,Ga,,"C, O",,,,,B > 1,Positive B,1.8954975500846745,[4.0],[4.0]
mp-1180739,LaGaO3,1.975061851074096,0.047836204102355,Octahedron,1,4b,1,[0.03145709146503721],0.0,0.03145709146503721,ABC3,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals",GGA,Ga-La-O,0.0375457616428605,-3.0903520405,3.2035,3,Orthorhombic,mmm,Pnma,oxide,,,,,Ga,,O,,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.005177628281745,[6.0],[6.0]
mp-1181313,Ga2(TeO3)3,1.7760586920091783,0.298791368721959,Octahedron,1,4f,1,[0.7226086168542246],0.0,0.7226086168542246,A2B3C9,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals",R2SCAN,Ga-O-Te,0.0075063103571411,-1.761193612678571,3.7831,3,Hexagonal,6/m,P6_3/m,oxide,,,,,Ga,Te,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9892624225734992,[6.0],[6.0]
mp-1186921,Rb2Ga2Ge3O10,1.8150100859631508,0.1488161155853336,Tetrahedron,1,2c,1,"[0.20754233207737346, 0.15398796877880622]",0.0,0.18076515042808983,A2B2C3D10,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Ga-Ge-O-Rb,0.0,-2.232357839705883,3.2697000000000003,4,Monoclinic,2,C2,oxide,Rb,,,,Ga,Ge,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8579502104103285,[4.0],[4.0]
mp-1187872,Zn2InGaO5,1.8401207068798928,0.2263075926926092,Trigonal bipyramid,1,2b,1,[0.026530055222236597],0.0,0.026530055222236597,ABC2D5,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Ga-In-O-Zn,0.0125036727777771,-1.84241984840278,1.1762,4,Hexagonal,6/mmm,P6_3/mmc,oxide,,,Zn,,"Ga, In",,O,I,,,,"B $\in$ [0.1, 0.5]",Positive B,1.957920775694188,[5.0],[5.0]
mp-1192369,BaYZn3GaO7,1.7996908874650943,0.2568078357069243,Tetrahedron,1,2a,1,[0.007819727505941973],0.0,0.007819727505941973,ABCD3E7,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Ba-Ga-O-Y-Zn,0.0,-2.531362612307692,2.2037,5,Hexagonal,6mm,P6_3mc,oxide,,Ba,"Zn, Y",,Ga,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8737055815667687,[4.0],[4.0]
mp-1192501,BaScZn3GaO7,1.8871192344736063,-0.0290817776153823,Tetrahedron,1,2a,1,[0.03120811876446598],0.0,0.03120811876446598,ABCD3E7,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Ba-Ga-O-Sc-Zn,0.0061881017387914,-2.5224263223076924,2.3120000000000003,5,Hexagonal,6mm,P6_3mc,oxide,,Ba,"Sc, Zn",,Ga,B,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.8787374029783783,[4.0],[4.0]
mp-1194398,GaHSeO4,1.9222996256643088,0.0939881844743742,Octahedron,1,4a,1,[0.6429647245071901],0.0,0.6429647245071901,ABCD4,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",R2SCAN,Ga-H-O-Se,0.0,-1.3377326946875,4.1423000000000005,4,Orthorhombic,mmm,Pnma,oxide,,,,,Ga,,"H, O, S, Se",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9887267416940435,[6.0],[6.0]
mp-1194652,BaGaB4H3O10,1.5361275149916809,0.8012552535151715,Trigonal bipyramid,1,2i,1,[0.6577055287540182],0.0,0.6577055287540182,ABC3D4E10,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",SCAN,B-Ba-Ga-H-O,0.0,-2.5202439751535084,4.976,5,Triclinic,-1,P-1,oxide,,Ba,,,Ga,B,"H, O",,,,,"B $\in$ [0.5, 1]",Positive B,1.9264394408644847,[5.0],[5.0]
mp-1195154,BaGaB4H3O10,1.5232623519886292,0.8295231791320361,Trigonal bipyramid,1,4f,1,[0.6044578172781551],0.0,0.6044578172781551,ABC3D4E10,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",SCAN,B-Ba-Ga-H-O,0.000964252105315,-2.5192797230482458,5.0726,5,Monoclinic,2/m,C2/c,oxide,,Ba,,,Ga,B,"H, O",,,,,"B $\in$ [0.5, 1]",Positive B,1.9276717727666828,[5.0],[5.0]
mp-1195176,Ba4NaGa2B8(ClO6)3,1.8770397482857475,-0.0716638784692088,Tetrahedron,1,4c,1,[0.1050424996957805],0.0,0.1050424996957805,AB2C3D4E8F18,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals",GGA,B-Ba-Cl-Ga-Na-O,0.0,-2.9157037461031297,4.4547,6,Tetragonal,4mm,P4_2nm,hypochlorite,Na,Ba,,,Ga,B,"C, N, O",Cl,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.8563604891662813,[4.0],[4.0]
mp-1195423,Ba4NaGa2B8(BrO6)3,1.8523643957712024,0.0274329618592891,Tetrahedron,1,4c,1,[0.07376823066746982],0.0,0.07376823066746982,AB2C3D4E8F18,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals",GGA,B-Ba-Br-Ga-Na-O,0.0,-2.8741755306864625,3.4734,6,Tetragonal,4mm,P4_2nm,hypobromite,Na,Ba,,,Ga,B,"N, O",Br,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.8601640498361505,[4.0],[4.0]
mp-1195440,GaAs(H2O3)2,1.97219320270082,0.0452565212009383,Octahedron,1,8c,1,[0.2703388279830203],0.0,0.2703388279830203,ABC4D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals",GGA,As-Ga-H-O,0.0233196761111083,-1.3290508056249994,3.063,4,Orthorhombic,mmm,Pbca,oxide,,,,,Ga,As,"H, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0047452848644105,[6.0],[6.0]
mp-1195660,Ba4GaB10H7O24,1.9234052012950875,-0.2089435712329932,Tetrahedron,1,2a,1,[0.11136731217856712],0.0,0.11136731217856712,AB4C7D10E24,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,B-Ba-Ga-H-O,0.0018229750543463,-2.62520267245471,4.3361,5,Monoclinic,m,Cc,oxide,,Ba,,,Ga,B,"H, O",,,,,"B $\in$ [-1, -0.1]",Negative B,1.8623082541493965,[4.0],[4.0]
mp-1195697,VGa(TeO4)2,1.9590318079126408,0.0676491192488409,Octahedron,1,4e,1,[0.8151986167633247],0.0,0.8151986167633247,ABC2D8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Ga-O-Te-V,0.0178454145833333,-1.8938147202777769,2.8924,4,Monoclinic,2/m,P2_1/c,oxide,,,V,,Ga,Te,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.022335900428885,[6.0],[6.0]
mp-1195913,Ga4Bi2O9,1.7946605303175756,0.291420586205921,"Tetrahedron, Octahedron",2,"4c, 8d",2,"[0.8675166674630884, 0.40375203349932554, 0.34930020333897277]",0.0,0.5401896347671289,A2B4C9,2,2,1,5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals",GGA,Bi-Ga-O,0.0,-2.071566727666668,2.8053,3,Orthorhombic,mmm,Pnma,oxide,,,,,"Ga, Bi",B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9594630867743008,"[4.0, 6.0]","[4.0, 6.0]"
mp-1196063,Ga2Se2O7,1.7425427064832295,0.3643941850771669,"Tetrahedron, Octahedron",2,"4c, 4d, 8e",3,"[1.4144029898586552, 1.9615154764885914, 0.8184469648995387]",0.0,1.398121810415595,A2B2C7,2,2,1,5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",R2SCAN,Ga-O-Se,0.0,-1.398936280738636,3.4975,3,Orthorhombic,mmm,Pccn,oxide,,,,,Ga,,"O, S, Se",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9666102611707967,"[4.0, 6.0]","[4.0, 6.0]"
