material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,W_wyckoff,num_W_chemenvs,CN,element,charge_range,is_single_charge
mp-1043389,NiP2WO9,1.9551690433563884,0.3451949217878298,[6.0],6.0,6.0,6.0,Octahedron,4c,1,6.0,W,0.0,True
mp-1043542,CaNiP2WO9,1.7567268462153318,0.796900094865854,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,W,0.0,True
mp-1044027,CaLaFeWO6,1.6973258289083035,0.7887274945672889,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,W,0.0,True
mp-1044375,MgTiP3WO12,1.985951999751181,0.1714699282056254,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,W,0.0,True
mp-1044377,CaTiP3WO12,1.990012696245245,0.1622995799622424,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,W,0.0,True
mp-1045062,Zn2MoWO6,2.013161024698726,0.0662801411308223,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,W,0.0,True
mp-1045238,Ca2CrWO6,2.007346500364911,-0.3290060968319024,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,W,0.0,True
mp-1047110,YAg(WO4)2,2.024961974039738,0.959708494025555,[6.0],6.0,6.0,6.0,Octahedron,2i,1,6.0,W,0.0,True
mp-1047241,Ca2MoWO6,2.014443567455169,-0.3557489346771488,[6.0],6.0,6.0,6.0,Octahedron,1c,1,6.0,W,0.0,True
mp-1076412,K5Na3Nb6(WO12)2,2.0052223653665746,0.6085146659655708,[6.0],6.0,6.0,6.0,no_data,no_data,1,6.0,W,0.0,True
mp-1076481,K5Na3Nb5(WO8)3,2.0084845296795777,0.3808054300869274,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,W,0.0,True
mp-1076659,KNaMoWO6,1.964922962251108,1.2068393248989764,[6.0],6.0,6.0,6.0,Octahedron,"1a, 2c",1,6.0,W,0.0,True
mp-1076685,K4Na4MoW7O24,1.994214449669006,-0.0460167828707692,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"1a, 1b, 2c",1,6.0,W,1.0,False
mp-1076685,K4Na4MoW7O24,1.994214449669006,-0.0460167828707692,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"1a, 1b, 2c",1,6.0,W,1.0,False
mp-1076751,K4Na4NbW7O24,2.011114202353688,-0.1291372087423692,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"1a, 1b, 2c",1,6.0,W,1.0,False
mp-1076751,K4Na4NbW7O24,2.011114202353688,-0.1291372087423692,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"1a, 1b, 2c",1,6.0,W,1.0,False
mp-1076812,K2Na2Nb(WO4)3,2.0013201496845574,-0.283458067460958,[6.0],6.0,6.0,6.0,Octahedron,"1a, 1b",1,6.0,W,0.0,True
mp-1078671,Sr2CaWO6,1.9559183109461995,-0.0123209965933227,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,W,0.0,True
mp-1099601,K4Na4Mo3W5O24,1.9762327344898083,0.8721135374598832,[6.0],6.0,6.0,6.0,Octahedron,"1a, 1b, 1c",1,6.0,W,0.0,True
mp-1099622,K5Na3Nb7WO24,1.965725197667992,0.0089073762885742,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,W,0.0,True
mp-1099687,K4Na4Nb3W5O24,2.003445216384118,-0.071215257440018,[6.0],6.0,6.0,6.0,Octahedron,"1a, 1b, 1c",1,6.0,W,0.0,True
mp-1099727,K4Na4Mo5(WO8)3,1.9703865258856628,0.6556473313003353,[6.0],6.0,6.0,6.0,Octahedron,"1a, 1c",1,6.0,W,0.0,True
mp-1099821,K2Na2Mo(WO4)3,1.9863381628129084,0.6872283668108204,[6.0],6.0,6.0,6.0,Octahedron,"1a, 1b",1,6.0,W,0.0,True
mp-1099943,K5Na3Nb4(WO6)4,1.998540915460629,0.1083874392656293,[6.0],6.0,6.0,6.0,Octahedron,"1a, 2b",1,6.0,W,0.0,True
mp-1101187,V3Ni2P6WO24,1.9934234125127093,1.2304494661882055,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,W,0.0,True
mp-1101400,Sr5W3O14,1.95533551945385,0.2558286980175326,[6.0],6.0,6.0,6.0,Octahedron,"4a, 8c",1,6.0,W,0.0,True
mp-1103556,ErWClO4,1.925613058639044,0.2690316006157684,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,W,0.0,True
mp-1103683,TmWClO4,2.0021574794767583,0.4533814552336139,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,W,0.0,True
mp-1103690,LuWClO4,2.04265514265113,0.558109924568521,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,W,0.0,True
mp-1103766,DyWClO4,1.930109426031496,0.2843042491533947,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,W,0.0,True
mp-1103778,HoWClO4,1.9444527957242703,0.3189952049401986,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,W,0.0,True
mp-1103802,TbWClO4,1.955331640625488,0.3442724173359973,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,W,0.0,True
mp-1104817,Rb3Na(WO4)2,1.8702810125168143,0.1250630709896162,[4.0],6.0,6.0,6.0,Tetrahedron,2d,1,4.0,W,0.0,True
mp-1105157,RbNdMnWO6,1.9732367872527807,1.1999621031322825,[6.0],6.0,6.0,6.0,Octahedron,2a,1,6.0,W,0.0,True
mp-1105199,RbLaMnWO6,1.963084456974204,1.2325645583374618,[6.0],6.0,6.0,6.0,Octahedron,2a,1,6.0,W,0.0,True
mp-1105240,KNdMnWO6,1.96508203876428,1.5675912719615757,[6.0],6.0,6.0,6.0,Octahedron,2a,1,6.0,W,0.0,True
mp-1105247,Sr2CaWO6,1.9608981582453109,0.1210796695472576,[6.0],6.0,6.0,6.0,Octahedron,2a,1,6.0,W,0.0,True
mp-1105335,KYMnWO6,1.9678411376750704,1.6829618566605475,[6.0],6.0,6.0,6.0,Octahedron,2a,1,6.0,W,0.0,True
mp-1105374,RbYMnWO6,1.972503864451097,1.228777111213461,[6.0],6.0,6.0,6.0,Octahedron,2a,1,6.0,W,0.0,True
mp-1105401,NaYMnWO6,1.9665190236479584,2.095842405868587,[6.0],6.0,6.0,6.0,Octahedron,2a,1,6.0,W,0.0,True
mp-1105566,KLaMnWO6,1.9632964162659508,1.4658874732236735,[6.0],6.0,6.0,6.0,Octahedron,2a,1,6.0,W,0.0,True
mp-1105823,NaLaFeWO6,1.9606476002598687,1.5085448891954394,[6.0],6.0,6.0,6.0,Octahedron,2a,1,6.0,W,0.0,True
mp-1173567,NaLaMgWO6,1.963708256687773,1.369323584936915,[6.0],6.0,6.0,6.0,Octahedron,2e,1,6.0,W,0.0,True
mp-1173608,NaLa5Mg4(WO6)4,1.964194840395639,0.3462083866343303,[6.0],6.0,6.0,6.0,Octahedron,"1a, 2b",1,6.0,W,0.0,True
mp-1173612,Pr5Te7WCl3O23,1.8733934199060989,0.1354595382917717,[4.0],6.0,6.0,6.0,Tetrahedron,2c,1,4.0,W,0.0,True
mp-1173651,NaLaNiWO6,1.9526761027549744,0.4803133502932896,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,W,0.0,True
mp-1176594,LiP4WO12,1.902091112038634,0.3653806854517887,[6.0],3.0,3.0,3.0,Octahedron,2c,1,6.0,W,0.0,True
mp-1176966,Li6P8W3O29,1.982467144037215,0.2047747564839084,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,W,0.0,True
mp-1177221,Li4V3Fe3(WO8)2,2.006421303094239,0.4633304265128729,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,W,0.0,True
mp-1177533,Li3P5(WO6)4,1.92679258630752,0.4276761498167699,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,W,0.0,True
mp-1177825,Li2V3WO8,1.9653268871798304,0.0838464941057959,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,1a,1,6.0,W,1.0,False
mp-1177825,Li2V3WO8,1.9653268871798304,0.0838464941057959,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,1a,1,6.0,W,1.0,False
mp-1178148,KLi(WO3)3,2.001619319144313,-0.1926540662319067,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,1a,1,6.0,W,1.0,False
mp-1178148,KLi(WO3)3,2.001619319144313,-0.1926540662319067,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,1a,1,6.0,W,1.0,False
mp-1178157,K(WO3)3,1.9602727869979748,-0.0955454193941353,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,2a,1,6.0,W,1.0,False
mp-1178157,K(WO3)3,1.9602727869979748,-0.0955454193941353,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,2a,1,6.0,W,1.0,False
mp-1178164,K(WO3)3,1.950829191794438,-0.0195904378680096,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"1c, 1a, 1d, 2e",1,6.0,W,1.0,False
mp-1178164,K(WO3)3,1.950829191794438,-0.0195904378680096,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"1c, 1a, 1d, 2e",1,6.0,W,1.0,False
mp-1178771,YCu(WO4)2,1.972751269049061,0.6246704530312017,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,W,0.0,True
mp-1179800,Rb(WO3)3,1.958085087844388,-0.0908554184790427,"[6.0, 6.0]",5.5,5.0,6.0,no_data,no_data,1,6.0,W,1.0,False
mp-1179800,Rb(WO3)3,1.958085087844388,-0.0908554184790427,"[6.0, 6.0]",5.5,5.0,6.0,no_data,no_data,1,6.0,W,1.0,False
mp-1179980,NdCu(WO4)2,1.9711154535720137,0.6237636803308295,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,W,0.0,True
mp-1180022,P2W9O31,1.9312653656462504,0.3019964806550638,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"4e, 2c",1,6.0,W,1.0,False
mp-1180022,P2W9O31,1.9312653656462504,0.3019964806550638,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"4e, 2c",1,6.0,W,1.0,False
mp-1180043,P2W2O11,1.9422474910640308,0.3025012404183701,[6.0],6.0,6.0,6.0,Octahedron,2a,1,6.0,W,0.0,True
mp-1181578,ErCu(WO4)2,1.9748571170319589,0.6228806529734684,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,W,0.0,True
mp-1181628,DyCu(WO4)2,1.974872041294374,0.6257113158120615,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,W,0.0,True
mp-1182867,AlWO4,1.857255456562724,0.6503896550448864,[6.0],5.0,5.0,5.0,Octahedron,1d,1,6.0,W,0.0,True
mp-1189143,NaNdFeWO6,1.9605956512109,1.314534017631945,[6.0],6.0,6.0,6.0,Octahedron,2a,1,6.0,W,0.0,True
mp-1190195,LiIn(WO4)2,2.019905480646777,1.1397746467090832,[6.0],6.0,6.0,6.0,Octahedron,4f,1,6.0,W,0.0,True
mp-1190561,KTb(WO4)2,2.042795625691767,1.4952500743170405,[6.0],6.0,6.0,6.0,Octahedron,4f,1,6.0,W,0.0,True
mp-1190882,LiLu(WO4)2,2.030359044395362,1.1217007749332717,[6.0],6.0,6.0,6.0,Octahedron,4g,1,6.0,W,0.0,True
mp-1191085,LiY(WO4)2,2.0324196796133784,0.9516025352597142,[6.0],6.0,6.0,6.0,Octahedron,4g,1,6.0,W,0.0,True
mp-1191127,LiCr(WO4)2,2.019470803713705,1.1295941421047415,[6.0],6.0,6.0,6.0,no_data,no_data,1,6.0,W,0.0,True
mp-1191729,LiHo(WO4)2,2.030952711599247,0.9723122621898952,[6.0],6.0,6.0,6.0,Octahedron,4g,1,6.0,W,0.0,True
mp-1192111,LiEr(WO4)2,2.0342119907881377,0.9743994593739708,[6.0],6.0,6.0,6.0,Octahedron,4g,1,6.0,W,0.0,True
mp-1192153,LiDy(WO4)2,2.03504819049866,0.9861003594880088,[6.0],6.0,6.0,6.0,Octahedron,4g,1,6.0,W,0.0,True
mp-1192188,KHo(WO4)2,2.0203341041340863,1.0900842360059635,[6.0],6.0,6.0,6.0,Octahedron,4f,1,6.0,W,0.0,True
mp-1192345,AgBi(WO4)2,1.959330787445407,0.6322655847038494,[6.0],6.0,6.0,6.0,Octahedron,"2h, 2i",1,6.0,W,0.0,True
mp-1192384,DyWBrO4,1.97809226070376,0.3938489638791579,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,W,0.0,True
mp-1192451,HoWBrO4,2.0210298425153863,0.4999433962382615,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,W,0.0,True
mp-1192455,TmWBrO4,2.036853119271309,0.5339654886558017,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,W,0.0,True
mp-1192505,YWBrO4,2.012598777191261,0.4775576645193861,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,W,0.0,True
mp-1192573,TbWBrO4,1.9753974655743185,0.3888722777359176,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,W,0.0,True
mp-1192576,ErWBrO4,2.011983023172759,0.548378662760457,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,W,0.0,True
mp-1192808,GdWBrO4,1.9424708954401104,0.3790118155003815,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,W,0.0,True
mp-1193656,Cs2WO4,1.9823097293119745,0.4694562861307453,[4.0],6.0,6.0,6.0,Tetrahedron,4c,1,4.0,W,0.0,True
mp-1193715,Rb(WO3)3,1.9431887837797504,0.1267028033227988,[6.0],5.67,5.67,5.67,Octahedron,6c,1,6.0,W,0.0,True
mp-1193947,BiW2(Cl4O)2,1.9396450935177365,0.6201255051568397,"[2.0, 2.0]",4.5,4.0,5.0,Octahedron,2i,1,2.0,W,1.0,False
mp-1193947,BiW2(Cl4O)2,1.9396450935177365,0.6201255051568397,"[2.0, 2.0]",4.5,4.0,5.0,Octahedron,2i,1,2.0,W,1.0,False
mp-1194610,K4Mg(WO4)3,2.02212284345445,0.497265149021502,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,W,0.0,True
mp-1194639,ThTe2WO9,1.951885316142948,0.2038527419187357,[6.0],6.0,6.0,6.0,Octahedron,8f,1,6.0,W,0.0,True
mp-1194656,MnPb2WO6,1.975013730751898,0.3115469369701787,[6.0],6.0,6.0,6.0,Octahedron,4c,1,6.0,W,0.0,True
mp-1194833,P3RuW2O15,1.9419089732889088,0.3264785256296988,[6.0],6.0,6.0,6.0,Octahedron,4f,1,6.0,W,0.0,True
mp-1194839,P3RhW2O15,1.9374141086614167,0.3317424606749221,[6.0],6.0,6.0,6.0,Octahedron,4f,1,6.0,W,0.0,True
mp-1194840,NaAsW2O9,1.9600251402111413,0.6157138444256787,[6.0],6.0,6.0,6.0,Octahedron,4a,1,6.0,W,0.0,True
mp-1195026,Rb2Mg2(WO4)3,1.8341613640307948,0.0497751165102154,[4.0],6.0,6.0,6.0,Tetrahedron,12b,1,4.0,W,0.0,True
mp-1195092,MnPb2WO6,1.965465211840728,0.2601089517340617,[6.0],6.0,6.0,6.0,Octahedron,4a,1,6.0,W,0.0,True
mp-1195362,Sr2ZnWO6,1.9582830616024216,0.0179913723050944,[6.0],6.0,6.0,6.0,Octahedron,2i,1,6.0,W,0.0,True
mp-1195392,Na5ErH6WO10,1.8305763248500773,0.0187091396659431,[4.0],6.0,6.0,6.0,Tetrahedron,4f,1,4.0,W,0.0,True
mp-1195400,ThTeWO7,2.0286390323161,0.1793886661835507,[6.0],6.0,6.0,6.0,Octahedron,4e,1,6.0,W,0.0,True
mp-1195571,Cs2Mg2(WO4)3,1.8418067869869752,0.0628707849939108,[4.0],6.0,6.0,6.0,Tetrahedron,12b,1,4.0,W,0.0,True
mp-1195712,K4H6W2S2O9,1.8974240912599607,0.2121575225633474,[3.0],6.0,6.0,6.0,Tetrahedron,4f,1,3.0,W,0.0,True
mp-1196529,Na6W6Se2O25,1.9642347084001035,0.5240440141376872,[6.0],6.0,6.0,6.0,Octahedron,2c,1,6.0,W,0.0,True
mp-1196620,SrLa2WO7,1.9664818744561576,-0.0514876867233635,[6.0],6.0,6.0,6.0,Octahedron,4e,1,6.0,W,0.0,True
mp-1196881,Li2TeWO6,1.9901203973316983,0.6594583643639957,[6.0],6.0,6.0,6.0,Octahedron,4e,1,6.0,W,0.0,True
mp-1196931,Rb2BiPWO8,2.059555193124751,0.5891446170134896,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,W,0.0,True
mp-1197089,Na2LuPWO8,2.044947046517115,0.5551048334671005,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,W,0.0,True
mp-1197102,Rb4WS3O14,1.982658489557021,0.7064237709645435,[6.0],6.0,6.0,6.0,Octahedron,4e,1,6.0,W,0.0,True
mp-1197770,W17O47,1.957323494104232,0.1757461984443953,"[6.0, 6.0, 7.0]",5.666666666666667,5.0,6.0,"Octahedron, Pentagonal bipyramid","2m, 1g",2,6.0,W,1.0,False
mp-1197770,W17O47,1.957323494104232,0.1757461984443953,"[6.0, 6.0, 7.0]",5.666666666666667,5.0,6.0,"Octahedron, Pentagonal bipyramid","2m, 1g",2,6.0,W,1.0,False
mp-1197770,W17O47,1.957323494104232,0.1757461984443953,"[6.0, 6.0, 7.0]",5.666666666666667,5.0,6.0,"Octahedron, Pentagonal bipyramid","2m, 1g",2,7.0,W,1.0,False
mp-1197813,Na2DyPWO8,2.00175846027565,0.4520269185286546,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,W,0.0,True
mp-1198358,B2Pb6WO12,2.292493398780553,1.1570754112261854,[4.0],6.0,6.0,6.0,Tetrahedron,2c,1,4.0,W,0.0,True
mp-1198481,KAsW2O9,1.9622127418187385,0.6090219320498214,[6.0],6.0,6.0,6.0,Octahedron,4a,1,6.0,W,0.0,True
mp-1198653,Na2TmPWO8,2.027269533380403,0.5150042880760878,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,W,0.0,True
mp-1198777,ErBiW2O9,1.9631852208184324,0.2932128755586743,"[5.0, 6.0]",6.0,6.0,6.0,"Trigonal bipyramid, Octahedron",4c,2,5.0,W,0.0,True
mp-1198777,ErBiW2O9,1.9631852208184324,0.2932128755586743,"[5.0, 6.0]",6.0,6.0,6.0,"Trigonal bipyramid, Octahedron",4c,2,6.0,W,0.0,True
mp-1198790,Nb12WO33,1.8173533264298487,0.0115940658129037,[4.0],6.0,6.0,6.0,Tetrahedron,1a,1,4.0,W,0.0,True
mp-1198812,TbCu(WO4)2,1.9813646717484108,0.6148190927057361,[6.0],6.0,6.0,6.0,Octahedron,2i,1,6.0,W,0.0,True
mp-1199562,Na2TbPWO8,1.9688760164829413,0.3737423931807483,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,W,0.0,True
mp-1200418,Na4Th(WO4)4,2.113892314803654,0.7187320257778282,[4.0],6.0,6.0,6.0,Tetrahedron,8f,1,4.0,W,0.0,True
mp-1200859,Na2HoPWO8,2.003286362263188,0.4555126439603034,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,W,0.0,True
mp-1200917,SmBiW2O9,1.9700327471541168,0.3050474302081916,"[5.0, 6.0]",6.0,6.0,6.0,"Trigonal bipyramid, Octahedron",4c,2,5.0,W,0.0,True
mp-1200917,SmBiW2O9,1.9700327471541168,0.3050474302081916,"[5.0, 6.0]",6.0,6.0,6.0,"Trigonal bipyramid, Octahedron",4c,2,6.0,W,0.0,True
mp-1201110,Pb3WO6,2.026584416550552,1.4664210051925146,[6.0],6.0,6.0,6.0,Octahedron,4e,1,6.0,W,0.0,True
mp-1201418,Na2YPWO8,2.008261525427867,0.463006121301607,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,W,0.0,True
mp-1201517,Na2ErPWO8,2.0021809035590885,0.4570703180562084,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,W,0.0,True
mp-1201679,BaLa2WO7,1.9673778390162464,-0.3571028509971617,[6.0],6.0,6.0,6.0,Octahedron,4e,1,6.0,W,0.0,True
mp-1201710,WS2O9,1.931847817011287,0.359914742645644,[7.0],6.0,6.0,6.0,Pentagonal bipyramid,4e,1,7.0,W,0.0,True
mp-1201858,Cs2BiPWO8,2.0272184111194043,0.5817459767687574,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,W,0.0,True
mp-1202686,La2WO6,1.9771888066406595,0.6271297134628916,[6.0],6.0,6.0,6.0,Octahedron,"2a, 4b",1,6.0,W,0.0,True
mp-1202939,Na4NiH38(W3O20)2,1.9606181126155977,0.3097127540820887,[6.0],6.0,6.0,6.0,Octahedron,2i,1,6.0,W,0.0,True
mp-1203086,Sr3WO6,1.9647550264874032,0.2629856220290392,[6.0],6.0,6.0,6.0,Octahedron,2a,1,6.0,W,0.0,True
mp-1203123,BaLa2WO7,1.967345192557716,0.7437720045901688,[6.0],6.0,6.0,6.0,Octahedron,2a,1,6.0,W,0.0,True
mp-1203346,PW5O17,1.9323985213426984,0.2559082126076683,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,2a,1,6.0,W,1.0,False
mp-1203346,PW5O17,1.9323985213426984,0.2559082126076683,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,2a,1,6.0,W,1.0,False
mp-1203800,Na2H4WO6,1.7610559226456548,-0.1483101022078446,[4.0],6.0,6.0,6.0,Tetrahedron,8c,1,4.0,W,0.0,True
mp-1204185,Ag6Te4W3O20,1.9751079931119733,0.359077504647526,[6.0],6.0,6.0,6.0,Octahedron,"4f, 2e",1,6.0,W,0.0,True
mp-1204662,Sr3WO6,1.966344551398577,0.3326712429480108,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,W,0.0,True
mp-1204806,CeBiW2O9,1.9866659199923613,0.8211295687174511,[6.0],6.0,6.0,6.0,Octahedron,4f,1,6.0,W,0.0,True
mp-1207601,YWClO4,1.9648841851083407,0.3759046738599462,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,W,0.0,True
mp-1207646,YTl(WO4)2,2.018088547243885,1.076963071937076,[6.0],6.0,6.0,6.0,Octahedron,4f,1,6.0,W,0.0,True
mp-1207659,YAg(WO4)2,1.9599588275669328,0.6053713318716584,[6.0],6.0,6.0,6.0,Octahedron,"2i, 2h",1,6.0,W,0.0,True
mp-1207739,TmTl(WO4)2,2.01160933082393,1.027764740046491,[6.0],6.0,6.0,6.0,Octahedron,4f,1,6.0,W,0.0,True
mp-1207940,TmWClO4,1.938746907270549,0.3057459257037232,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,W,0.0,True
mp-1208042,TmAg(WO4)2,1.9595934577401728,0.5887004354719916,[6.0],6.0,6.0,6.0,Octahedron,"2i, 2h",1,6.0,W,0.0,True
mp-1208096,TlBi(WO4)2,2.0262131119015456,1.1487978394657614,[6.0],6.0,6.0,6.0,Octahedron,4f,1,6.0,W,0.0,True
mp-1208360,TbTl(WO4)2,2.0206320711417667,1.0856914642829554,[6.0],6.0,6.0,6.0,Octahedron,4f,1,6.0,W,0.0,True
mp-1208373,TbAg(WO4)2,1.9603729924551403,0.6034119079505806,[6.0],6.0,6.0,6.0,Octahedron,"2i, 2h",1,6.0,W,0.0,True
mp-1208979,SmAg(WO4)2,1.9348888829492887,0.6271079261271012,[6.0],6.0,6.0,6.0,Octahedron,"2i, 2h",1,6.0,W,0.0,True
mp-1209122,RbTm(WO4)2,2.131842782664076,0.783012914516951,[4.0],6.0,6.0,6.0,Tetrahedron,2d,1,4.0,W,0.0,True
mp-1209133,RbY(WO4)2,2.0216838223650693,1.051481646777265,[6.0],6.0,6.0,6.0,Octahedron,4f,1,6.0,W,0.0,True
mp-1209136,RbSm(WO4)2,2.029561114293573,1.2361203441183664,[6.0],6.0,6.0,6.0,Octahedron,4f,1,6.0,W,0.0,True
mp-1209144,RbTb(WO4)2,2.0212788681959384,1.0686858781326145,[6.0],6.0,6.0,6.0,Octahedron,4f,1,6.0,W,0.0,True
mp-1209155,ScCu(WO4)2,2.024307786946159,1.1033546398036924,[6.0],6.0,6.0,6.0,Octahedron,4f,1,6.0,W,0.0,True
mp-1209157,RbTm(WO4)2,2.02334955123481,1.246553646316746,[6.0],6.0,6.0,6.0,Octahedron,4f,1,6.0,W,0.0,True
mp-1209159,RbSc(WO4)2,2.10657715576678,0.721372156005313,[4.0],6.0,6.0,6.0,Tetrahedron,2d,1,4.0,W,0.0,True
mp-1209210,RbTm(WO4)2,2.007937922166548,0.673711554653104,"[5.0, 6.0]",6.0,6.0,6.0,"Octahedron, Square pyramid",4e,2,5.0,W,0.0,True
