material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Te_wyckoff,num_Te_chemenvs,CN,element,charge_range,is_single_charge
mp-561174,Ba2Cu4Te4Cl4O11,2.058050555392973,0.6404417793821895,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",2i,2,3.0,Te,0.0,True
mp-561174,Ba2Cu4Te4Cl4O11,2.058050555392973,0.6404417793821895,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",2i,2,4.0,Te,0.0,True
mp-561180,Nd2Te4MoO14,2.028254454376914,1.0482180352212536,"[4.0, 5.0]",4.0,4.0,4.0,See-saw,2i,1,4.0,Te,0.0,True
mp-561180,Nd2Te4MoO14,2.028254454376914,1.0482180352212536,"[4.0, 5.0]",4.0,4.0,4.0,See-saw,2i,1,5.0,Te,0.0,True
mp-561228,Rb4Te8O23,2.0633023197340647,-0.385609828405242,"[5.0, 6.0]",5.25,5.25,5.25,no_data,no_data,1,5.0,Te,0.0,True
mp-561228,Rb4Te8O23,2.0633023197340647,-0.385609828405242,"[5.0, 6.0]",5.25,5.25,5.25,no_data,no_data,1,6.0,Te,0.0,True
mp-561343,Fe3(TeO3)4,2.110466057708179,0.4492188410077096,"[3.0, 4.0, 5.0, 6.0]",4.0,4.0,4.0,"See-saw, Square pyramid, Triangular non-coplanar",4e,3,3.0,Te,0.0,True
mp-561343,Fe3(TeO3)4,2.110466057708179,0.4492188410077096,"[3.0, 4.0, 5.0, 6.0]",4.0,4.0,4.0,"See-saw, Square pyramid, Triangular non-coplanar",4e,3,4.0,Te,0.0,True
mp-561343,Fe3(TeO3)4,2.110466057708179,0.4492188410077096,"[3.0, 4.0, 5.0, 6.0]",4.0,4.0,4.0,"See-saw, Square pyramid, Triangular non-coplanar",4e,3,5.0,Te,0.0,True
mp-561343,Fe3(TeO3)4,2.110466057708179,0.4492188410077096,"[3.0, 4.0, 5.0, 6.0]",4.0,4.0,4.0,"See-saw, Square pyramid, Triangular non-coplanar",4e,3,6.0,Te,0.0,True
mp-561374,CaTeO3,2.139699583415966,0.9452661596863624,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",1a,2,3.0,Te,0.0,True
mp-561374,CaTeO3,2.139699583415966,0.9452661596863624,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",1a,2,4.0,Te,0.0,True
mp-561380,Ag2Te4O11,2.0500250658430463,-0.5029874842635975,"[5.0, 6.0]",5.0,5.0,5.0,"Square pyramid, Octahedron",2i,2,5.0,Te,0.0,True
mp-561380,Ag2Te4O11,2.0500250658430463,-0.5029874842635975,"[5.0, 6.0]",5.0,5.0,5.0,"Square pyramid, Octahedron",2i,2,6.0,Te,0.0,True
mp-561385,SrTeO3,2.15991456841722,1.070639335627901,"[3.0, 4.0]",4.0,4.0,4.0,Triangular non-coplanar,2c,1,3.0,Te,0.0,True
mp-561385,SrTeO3,2.15991456841722,1.070639335627901,"[3.0, 4.0]",4.0,4.0,4.0,Triangular non-coplanar,2c,1,4.0,Te,0.0,True
mp-561489,AgTeO3,2.093981735059354,-0.2643917580318444,"[5.0, 6.0]",4.0,4.0,4.0,"Square pyramid, Octahedron","2e, 2a",2,5.0,Te,0.0,True
mp-561489,AgTeO3,2.093981735059354,-0.2643917580318444,"[5.0, 6.0]",4.0,4.0,4.0,"Square pyramid, Octahedron","2e, 2a",2,6.0,Te,0.0,True
mp-561564,Co5Te4(ClO6)2,2.012101169361673,0.3415106016934285,[3.0],4.0,4.0,4.0,"See-saw, Triangular non-coplanar",4f,2,3.0,Te,0.0,True
