material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Sb_wyckoff,num_Sb_chemenvs,CN,element,charge_range,is_single_charge
mp-1079670,TmSb(PbO3)2,2.006384344207002,0.058557803327141,[6.0],5.0,5.0,5.0,Octahedron,1d,1,6.0,Sb,0.0,True
mp-1100902,VSbO4,1.9284832022045024,0.5005790020600275,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Sb,0.0,True
mp-1101682,Na5SbO5,1.763418903330378,1.6052128261157044,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Sb,0.0,True
mp-1105367,KB2SbO6,1.9570899171206837,0.2521971856323672,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Sb,0.0,True
mp-1105409,YSb(PbO3)2,2.0138859028856384,0.0430687218339748,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Sb,0.0,True
mp-1105510,Mn2CrSbO6,2.0846053391488306,-0.3746471450398794,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Sb,0.0,True
mp-1176842,Li8Mn7Sb(PO4)12,1.8773870724395532,0.6112818743355561,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Sb,0.0,True
mp-1177363,Li4Mn3Sn3(SbO8)2,1.9389346054327832,0.7412888028526956,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Sb,0.0,True
mp-1177866,Li2SbPCO7,2.127405072461123,0.1517675363500119,[5.0],3.0,3.0,3.0,Square pyramid,2e,1,5.0,Sb,0.0,True
mp-1178209,FeSbO4,1.964020315776878,0.2096303629730785,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Sb,0.0,True
mp-1189102,Sr2LaSbO6,2.050935169441668,-0.0680467496624861,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Sb,0.0,True
mp-1189105,Mn2FeSbO6,2.055993557278634,-0.2231997318899444,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Sb,0.0,True
mp-1189528,Ca2ScSbO6,2.0122014966154476,-0.0072545720168985,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Sb,0.0,True
