material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,P_wyckoff,num_P_chemenvs,CN,element,charge_range,is_single_charge
mp-1212936,MnBP(HO3)2,1.7212830829704342,0.7606134029028768,[4.0],5.0,5.0,5.0,Tetrahedron,6c,1,4.0,P,0.0,True
mp-1212978,K7Nb14(P3O20)3,1.560996752076985,0.1259687343147416,[4.0],5.0,5.0,5.0,no_data,no_data,1,4.0,P,0.0,True
mp-1213012,Eu(PO3)3,1.5864780726390597,0.2510461302080758,[4.0],5.0,5.0,5.0,Tetrahedron,"2a, 4c",1,4.0,P,0.0,True
mp-1213081,CsMn2(PO3)6,1.6039430709820148,0.2441785801542679,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,P,0.0,True
mp-1213198,CuAg2P2O7,1.6358620834295956,0.3458957718951463,[4.0],5.0,5.0,5.0,Tetrahedron,4f,1,4.0,P,0.0,True
mp-1213222,CuAg2(PO3)4,1.6167970480192522,0.2748798220694698,[4.0],5.0,5.0,5.0,Tetrahedron,4f,1,4.0,P,0.0,True
mp-1213232,CsPO3,1.6169474641893793,0.3247728984255801,[4.0],5.0,5.0,5.0,Tetrahedron,4c,1,4.0,P,0.0,True
mp-1213332,Fe6CuP4(H4O7)4,1.5561381911462957,0.0203642977126696,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,P,0.0,True
mp-1213459,FeSb(P2O7)2,1.5965218718041094,0.2385589429971777,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,P,0.0,True
mp-1213518,CsSi2Mo3P6O25,1.599170454149307,0.2415607092327329,[4.0],5.0,5.0,5.0,Tetrahedron,12i,1,4.0,P,0.0,True
mp-1213520,CsNb3(PO5)3,1.564019825954937,0.0995437477140125,[4.0],5.0,5.0,5.0,Tetrahedron,4g,1,4.0,P,0.0,True
mp-1213522,CsRbMo3P3O17,1.533502441360303,-0.067001183938675,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,P,0.0,True
mp-1213675,FeBP(HO3)2,1.7922392456914764,1.0749297367756243,[4.0],5.0,5.0,5.0,Tetrahedron,6c,1,4.0,P,0.0,True
mp-1213687,CsCoPO4,1.8003573007994944,1.1102908318624596,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,P,0.0,True
mp-1213689,CsCe(PO3)4,1.6269876662197702,0.3283061833783217,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1213696,CsCoPO4,1.5372075191433587,-0.0030320371092069,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1213813,Cs2ZrMn(PO4)3,1.6072505092240228,0.2486416382192518,[4.0],5.0,5.0,5.0,Tetrahedron,12b,1,4.0,P,0.0,True
mp-1213909,CeTl2(PO3)5,1.6327054334826443,0.3532211147154853,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1213911,CdCo(PO3)4,1.6122798396772366,0.2724713880687794,[4.0],5.0,5.0,5.0,Tetrahedron,4f,1,4.0,P,0.0,True
mp-1213935,CdNi(PO3)4,1.594130692126979,0.269280061607059,[4.0],5.0,5.0,5.0,Tetrahedron,4f,1,4.0,P,0.0,True
mp-1213968,CaMgPO4F,1.5770321581592508,0.0762963531504389,[4.0],5.0,5.0,5.0,Tetrahedron,2e,1,4.0,P,0.0,True
mp-1214015,CeTl(PO3)4,1.6417566419559957,0.3746479320947525,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,P,0.0,True
mp-1214043,CaP2PdO7,1.621796726025794,0.3041386082488453,[4.0],5.0,5.0,5.0,"Tetrahedron, Square plane","4a, 4c",2,4.0,P,0.0,True
mp-1214060,CaMg5P3HCO16,1.5790818285185306,0.1078170717525732,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,P,0.0,True
mp-1214126,Ca10VP5(O12F)2,1.4766343259917885,-0.3591175815098129,[4.0],5.0,5.0,5.0,Tetrahedron,"1b, 1a",1,4.0,P,0.0,True
mp-1214153,Ca2P3Pb3ClO12,1.5701852102745426,0.1114889713987647,[4.0],5.0,5.0,5.0,"Tetrahedron, Square-face capped trigonal prism",6h,2,4.0,P,0.0,True
mp-1214156,Ca2FeP2(H2O5)2,1.6974517783041787,0.6036483192799538,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,P,0.0,True
mp-1214296,BaTi(PO4)2,1.6368573874540708,0.3904093055401891,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,P,0.0,True
mp-1214414,BaP2PdO7,1.6304282274339947,0.3177026707598289,[4.0],5.0,5.0,5.0,"Tetrahedron, Square plane","4a, 4c",2,4.0,P,0.0,True
mp-1214441,BaTl(PO3)3,1.6407129286457909,0.3517014625388635,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,P,0.0,True
mp-1214449,BaFeP(O2F)2,1.7094745924928787,0.6884486970603151,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,P,0.0,True
mp-1214465,BiP5O14,1.587635701972155,0.2424102565255513,[4.0],5.0,5.0,5.0,Tetrahedron,"8d, 4c",1,4.0,P,0.0,True
mp-1214476,BaNaPO4,1.616780971571424,0.2613002613604652,[4.0],5.0,5.0,5.0,Tetrahedron,4c,1,4.0,P,0.0,True
mp-1214497,Ba5P3O12F,1.569263658617862,0.0333971278354485,[4.0],5.0,5.0,5.0,Tetrahedron,6h,1,4.0,P,0.0,True
mp-1214995,Cs2Mo3P3O17,1.5344719372527096,-0.0658247393188624,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,P,0.0,True
mp-1215028,Al2P3H12(NO4)3,1.5461685380954506,-0.0203318517491755,[4.0],5.0,5.0,5.0,Tetrahedron,"4f, 2e",1,4.0,P,0.0,True
mp-1215559,ZnCuP2O7,1.5978918305473075,0.2199886575837676,[4.0],5.0,5.0,5.0,Tetrahedron,2c,1,4.0,P,0.0,True
mp-12159,Na2PO3F,1.554112832482526,0.1144124221464083,[3.0],5.0,5.0,5.0,Tetrahedron,4a,1,3.0,P,0.0,True
mp-1216151,Zn3Fe9(PO4)8,1.7090931174706767,0.6629704861170119,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,P,0.0,True
mp-1216213,ZnAgPO4,1.512309321330358,-0.2052992126380472,[4.0],5.0,5.0,5.0,Tetrahedron,1a,1,4.0,P,0.0,True
mp-1216361,VP2PbO8,1.610930164427928,0.2725921837664664,[4.0],5.0,5.0,5.0,"Cube, Tetrahedron",4a,2,4.0,P,0.0,True
