material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ge_wyckoff,num_Ge_chemenvs,CN,element,charge_range,is_single_charge
mp-560398,K2Zn(GeO3)2,1.7804942617614743,0.5495973980150347,[4.0],4.0,4.0,4.0,Tetrahedron,4c,1,4.0,Ge,0.0,True
mp-560872,Mg10Ge3(H2O9)2,1.7996549098866566,0.3984325036498638,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron","2a, 4g",2,4.0,Ge,0.0,True
mp-560872,Mg10Ge3(H2O9)2,1.7996549098866566,0.3984325036498638,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron","2a, 4g",2,6.0,Ge,0.0,True
mp-560875,K2Ge4O9,1.7843334350193132,0.3398496245462842,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron","12g, 6f, 4d, 2b",2,4.0,Ge,0.0,True
mp-560875,K2Ge4O9,1.7843334350193132,0.3398496245462842,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron","12g, 6f, 4d, 2b",2,6.0,Ge,0.0,True
mp-561034,Ag9Ge2IO8,1.7846831729905337,0.3575632183525414,[4.0],4.0,4.0,4.0,Tetrahedron,2i,1,4.0,Ge,0.0,True
mp-561095,LiHo3Ge2(O4F)2,1.781422880307845,0.4255237342017837,[4.0],4.0,4.0,4.0,Tetrahedron,4f,1,4.0,Ge,0.0,True
mp-561166,Na2ZrGe2O7,1.7728040849640627,0.434153928006262,[4.0],4.0,4.0,4.0,Tetrahedron,2i,1,4.0,Ge,0.0,True
mp-561254,NaLi3GeO4,1.780876502434023,-0.101045642739735,[4.0],4.0,4.0,4.0,Tetrahedron,8f,1,4.0,Ge,0.0,True
mp-561315,Cs3AlGe2O7,1.7618120767928511,0.588652095344816,[4.0],4.0,4.0,4.0,Tetrahedron,4f,1,4.0,Ge,0.0,True
mp-561346,Na2ZrGeO5,1.7718349860700715,-0.1956731394478314,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-561441,Y2GeO5,1.7524494845288046,0.2107994236993873,[4.0],4.0,4.0,4.0,Tetrahedron,4f,1,4.0,Ge,0.0,True
