material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Al_wyckoff,num_Al_chemenvs,CN,element,charge_range,is_single_charge
mp-1197037,Ca2Al4Si4H10O21,1.7557859294874263,0.0427583808806707,[4.0],3.0,3.0,3.0,Tetrahedron,4f,1,4.0,Al,0.0,True
mp-1197125,K3Al2(AsO4)3,1.7372121757730554,0.108530010816517,[4.0],3.0,3.0,3.0,Tetrahedron,4a,1,4.0,Al,0.0,True
mp-1197226,KNaAl6Si6(HO6)4,1.6359719246934517,0.4350566790317823,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron",4g,2,4.0,Al,0.0,True
mp-1197226,KNaAl6Si6(HO6)4,1.6359719246934517,0.4350566790317823,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron",4g,2,6.0,Al,0.0,True
mp-1197323,CaZrAl9BO18,1.7280924832955642,0.2885798364841419,[6.0],3.0,3.0,3.0,Octahedron,6c,1,6.0,Al,0.0,True
mp-1197399,LaTi2Al9O19,1.7063725534499228,0.3140071974228567,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron","2e, 4f",2,4.0,Al,0.0,True
mp-1197399,LaTi2Al9O19,1.7063725534499228,0.3140071974228567,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron","2e, 4f",2,6.0,Al,0.0,True
mp-1197607,K3Al(PO4)2,1.7311117907518412,0.1208130998137596,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Al,0.0,True
mp-1197684,Na5Al(HO)8,1.893820181577924,0.0923218667638244,[6.0],3.0,3.0,3.0,Octahedron,4a,1,6.0,Al,0.0,True
mp-1197821,AlH14SeNO14,1.9053755827017915,-0.0341879962690439,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,Al,0.0,True
mp-1197829,KAl2P2H9O13,1.7906512065444982,0.1609915320484858,[6.0],3.0,3.0,3.0,Octahedron,4c,1,6.0,Al,0.0,True
mp-1197875,Ba4NaAl2B8(BrO6)3,1.8654436445011424,-0.3086125013377854,[4.0],3.0,3.0,3.0,Tetrahedron,4c,1,4.0,Al,0.0,True
