material_id,chem_formula,R$_0$,B,Er_chemenv,num_Er_chemenvs,Er_wyckoff,num_Er_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Er_sites,num_CN_env,num_charge_states,ErX_coordn,ErO_coordn,mean_coordn_Er-X,min_coordn_Er-X,max_coordn_Er-X,mean_coordn_Er-O,min_coordn_Er-O,max_coordn_Er-O,mean_Er_charge,min_Er_charge,max_Er_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_ErO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1196674,Cs2ErSi4O10F,2.1113439986722313,0.17314870483550684,Octahedron,1,8d,1,[0.28046055180565305],0.0,0.28046055180565305,ABC2D4E10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2,2,O2-,"Alkali Metals, Halogens, Lanthanides, Metalloids, Nonmetals",2.2316631139795104,GGA,Cs-Er-F-O-Si,0.0,-3.317721275933908,4.809,5,Orthorhombic,mmm,Pnma,fluoride,Cs,None,None,None,None,Si,"C, O, S",F,None,Er,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1196892,RbErP2O7,1.9452652131730939,0.42484528168281327,Octahedron,1,4e,1,[0.30056543173350503],0.0,0.30056543173350503,ABC2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",2.240063340781767,GGA,Er-O-P-Rb,0.0,-3.1548688499350632,5.0563,4,Monoclinic,2/m,P2_1/c,oxide,Rb,None,None,None,None,None,"O, P",None,None,Er,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1197536,Er(NO3)3,2.1338868781544353,0.2831880442279888,Square-face bicapped square antiprism,1,4e,1,[4.066901744687883],0.0,4.066901744687883,AB3C9,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",2.4642411471289725,GGA,Er-N-O,0.0,-1.454117109999999,3.2472,3,Monoclinic,2/m,P2_1/c,nitrate,None,None,None,None,None,None,"N, O",None,None,Er,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1198204,CsErP2O7,1.999180194662398,0.35146672733559337,Octahedron,1,4e,1,[0.4386557460007],0.0,0.4386557460007,ABC2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",2.243064478713947,GGA,Cs-Er-O-P,0.0,-3.158335579221898,5.1312,4,Monoclinic,2/m,P2_1/c,oxide,Cs,None,None,None,None,None,"C, O, P",None,None,Er,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1198224,ErHSO5,1.8350995099682739,0.5671589653952407,Square antiprism,1,4e,1,"[1.099781388332974, 1.076962090555909]",0.0,1.0883717394444414,ABCD5,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",2.384660351384643,GGA,Er-H-O-S,0.011717701510409,-2.283835343997406,5.6272,4,Monoclinic,2/m,P2_1/c,oxide,None,None,None,None,None,None,"H, O, S",None,None,Er,None,"B $\in$ [0.5, 1]",Positive B
mp-1198777,ErBiW2O9,2.1795622861294612,0.1728859290193768,Square-face capped trigonal prism,1,4c,1,[4.176868191769581],0.0,4.176868191769581,ABC2D9,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",2.322357403889569,GGA_U,Bi-Er-O-W,0.015147634230769001,-2.488751735961538,2.6869,4,Orthorhombic,mmm,Pnma,oxide,None,None,W,None,Bi,B,O,None,None,Er,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1199169,Er5B2(O2F3)3,1.944482508183039,0.41028936267874483,"Square-face monocapped antiprism, Tricapped triangular prism (three square-face caps)",2,"4f, 2e",2,"[0.9891171217938951, 1.628211104790383, 2.159195135965797]",0.0,1.5921744541833582,A2B5C6D9,2,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,3.0,3.0,3.0,2.0,2,2,O2-,"Halogens, Lanthanides, Metalloids, Nonmetals",2.386456370282345,GGA,B-Er-F-O,0.022032946818185,-4.037555718333333,5.9864,4,Monoclinic,2/m,C2/c,fluoride,None,None,None,None,None,B,O,F,None,Er,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1199670,Rb5Er(MoO4)4,1.771055758702731,0.7142091104375162,Octahedron,1,2e,1,[1.335180279890434],0.0,1.335180279890434,AB4C5D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.266321488041395,GGA_U,Er-Mo-O-Rb,0.0,-2.365945834326924,4.061100000000001,4,Monoclinic,2/m,P2/c,oxide,Rb,None,Mo,None,None,None,O,None,None,Er,None,"B $\in$ [0.5, 1]",Positive B
mp-1200438,ErSbMo2O9,2.3750308112867087,-0.010206432291335409,Dodecahedron with triangular faces - p2345 plane normalized,1,2e,1,"[0.429962108034295, 1.26872935940294]",0.0,0.8493457337186175,ABC2D9,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",2.364586958464816,GGA_U,Er-Mo-O-Sb,0.018773808653845002,-2.377287946153846,3.222299999999999,4,Monoclinic,2/m,C2/c,oxide,None,None,Mo,None,None,Sb,"O, S",None,None,Er,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1201517,Na2ErPWO8,1.9409302161947977,0.4555310208589087,Dodecahedron with triangular faces - p2345 plane normalized,1,4d,1,[0.509400341127695],0.0,0.509400341127695,ABCD2E8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.3513043315818294,GGA_U,Er-Na-O-P-W,0.0069729953846270004,-2.806768939415498,4.7911,5,Orthorhombic,mmm,Ibca,oxide,Na,None,W,None,None,None,"N, O, P",None,None,Er,None,"B $\in$ [0.1, 0.5]",Positive B
