material_id,chem_formula,R$_0$,B,Mo_chemenv,num_Mo_chemenvs,Mo_wyckoff,num_Mo_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Mo_sites,num_CN_env,num_charge_states,MoX_coordn,MoO_coordn,mean_coordn_Mo-X,min_coordn_Mo-X,max_coordn_Mo-X,mean_coordn_Mo-O,min_coordn_Mo-O,max_coordn_Mo-O,mean_Mo_charge,min_Mo_charge,max_Mo_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_MoO_BondL
mp-705333,LiMo(PO4)2,1.92635912288716,0.3048854212830291,Octahedron,1,4a,1,[0.916646172051623],0.0,0.916646172051623,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mo-O-P,0.043281097430559,-2.470748678343254,2.6869,4,Orthorhombic,222,P2_12_12_1,phosphate,Li,,Mo,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0225388979541843
mp-705341,Li3Mo4P9O32,2.003855449663353,0.1411518002649449,Octahedron,1,8e,1,[0.8666661869591831],0.0,0.8666661869591831,A3B4C9D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mo-O-P,0.032838056631915,-2.516339798891368,1.8339,4,Tetragonal,-42m,P-42_1c,oxide,Li,,Mo,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.062175202695913
mp-705358,Mo2P3O13,1.896056696459668,0.3614451835900715,Octahedron,1,2i,1,"[0.338081258098876, 0.340730884008061]",0.0,0.33940607105346854,A2B3C13,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.5,5.5,1.0,1,1,Mo5.50+-O2-,"Nonmetals, Transition Metals",r2SCAN,Mo-O-P,0.027177709027778,-2.343272488551587,0.0987,3,Monoclinic,2/m,C2/c,oxide,,,Mo,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.962230824127121
mp-705470,Li3Mo4P5O24,1.9302196690039144,0.3437647978250487,Octahedron,1,2a,1,"[0.48755955149491303, 0.40568324601853906, 0.38955228431514904, 0.7898536042946861]",0.0,0.5181621715308218,A3B4C5D24,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mo-O-P,0.037757108611154,-2.424595469950397,2.5369,4,Monoclinic,m,Cc,oxide,Li,,Mo,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0208208145089537
mp-705562,Mo4P5O24,1.9339563415383112,0.3213710288232054,Octahedron,1,2a,1,"[0.22754655502384102, 0.5698755828419291, 0.27841587967053805, 0.46057683718374404]",0.0,0.384103713680013,A4B5C24,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.0,6.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mo-O-P,0.007057286287937,-2.315242966612555,1.4836,3,Monoclinic,m,Cc,oxide,,,Mo,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9917920943515968
mp-705680,La2Mo2O9,1.9700574522362144,0.4423946936592202,"Tetrahedron, Trigonal bipyramid",2,1a,1,"[0.933199057708431, 0.038225678406345005, 0.8924525008852731, 0.8845172251359241]",0.0,0.6870986155339933,A2B2C9,2,2,1,"[4.0, 5.0]","[4.0, 5.0]",4.5,4.0,5.0,4.5,4.0,5.0,6.0,6.0,6.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,La-Mo-O,0.042248866987181,-2.793216375000001,3.0654999999999992,3,Triclinic,1,P1,oxide,,,Mo,,,,O,,,La,,"B $\in$ [0.1, 0.5]",Positive B,1.846703579683886
mp-705801,Sm3MoO7,1.93639555473166,0.1997325424380377,Octahedron,1,4a,1,[0.37537674594868603],0.0,0.37537674594868603,AB3C7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Mo-O-Sm,0.0,-3.339929460681817,1.7639,3,Orthorhombic,222,P2_12_12_1,oxide,,,Mo,,,,"O, S",,,Sm,,"B $\in$ [0.1, 0.5]",Positive B,1.9643385427199274
mp-705844,Mo5(O4F)3,1.9205883733080635,0.12126845747826,Octahedron,1,1a,1,"[0.275560782055546, 0.12275783638901001, 0.23991599958890403, 0.368967375387164, 0.14370470385693102]",0.0,0.230181339455511,A3B5C12,1,3,2,"[6.0, 6.0, 6.0]","[4.0, 5.0, 5.0]",6.0,6.0,6.0,4.666666666666667,4.0,5.0,5.333333333333333,5.0,6.0,2.0,2,2,"F-, O2-","Halogens, Nonmetals, Transition Metals",GGA_U,F-Mo-O,0.001539219000008,-2.091100529749999,0.0,3,Triclinic,1,P1,fluoride,,,Mo,,,,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9189145220906285
mp-705896,MgVFeMo3O14,1.9038312827235804,0.2703914120737232,Tetrahedron,1,2a,1,"[0.079939038524273, 0.23286563689575301, 0.053704882978314]",0.0,0.12216985279944666,ABCD3E14,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Fe-Mg-Mo-O-V,0.020259331765602,-2.1089558975,2.374,5,Monoclinic,2,P2_1,oxide,,Mg,"V, Fe, Mo",,,,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.799281381124339
mp-705900,Hf3Tl10Mo12PbO48,2.0021545906812004,0.5745744433143739,Tetrahedron,1,6f,1,"[0.069508633279404, 0.08587043497302001]",0.0,0.077689534126212,AB3C10D12E48,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,Hf-Mo-O-Pb-Tl,0.0,-2.074633520045076,2.8327,5,Trigonal,-3,R-3,oxide,,,"Mo, Hf",,"Tl, Pb",,"H, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.7706299999959636
mp-706231,NaSr9Fe5(MoO6)5,1.9230869604191585,0.4784548994892902,Octahedron,1,1b,1,"[0.11742153653535001, 0.044474209531126005, 0.040514490824538, 0.037771259584609, 0.064946141905206]",0.0,0.0610255276761658,AB5C5D9E30,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.0,6.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Fe-Mo-Na-O-Sr,0.019797875233333,-2.469885917627584,0.6118,5,Monoclinic,2,C2,oxide,Na,Sr,"Fe, Mo",,,,"N, O, S",F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.970335046067357
mp-706242,Sr20FeCo9(MoO6)10,1.946331551477165,0.1460665008593381,Octahedron,1,2i,1,"[0.0068619121891460005, 0.001806721341351, 0.001365914946274, 0.015702526022150002, 0.005376699752093]",0.0,0.0062227548502028,AB9C10D20E60,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.0,6.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Co-Fe-Mo-O-Sr,0.003084857849975,-2.479082471099999,0.219899999999999,5,Triclinic,-1,P-1,oxide,,Sr,"Fe, Co, Mo",,,,"C, O, S",F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9580654901854038
mp-706490,Mo9O26,1.974129978632471,0.2316902364484116,Octahedron,1,1a,1,"[1.826428720371968, 0.554437708368375, 0.6057869491129111, 0.9942467359696521, 1.075463031586042, 0.548794969699199, 1.803481246944409, 1.801218476667777, 0.546619906064652, 0.5566074919258911, 1.017650028793811, 0.661697896943614, 0.603685143275288, 0.6574735466846451, 1.024631010725894, 0.5482925013275131, 0.5973792610730501, 1.8713891947007721, 0.6018105918175171, 0.6107769373663381, 1.8561395040699482, 0.635777810639088, 0.5530228251660091, 1.828814910319589, 0.555069274296285, 0.563111900192929, 0.595720179490109, 1.004415017422485, 0.616340458902369, 1.068086332334989, 1.089781046809681, 1.087322621737485, 0.6449074864840341, 1.833182528672653, 0.5936610867155491, 1.818628796646535]",0.0,0.9681070313699739,A9B26,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.0,6.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mo-O,0.0,-1.9340294184285711,0.4984,2,Monoclinic,2/m,C2/c,oxide,,,Mo,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9922142868143426
mp-720106,Sr10Fe4Co(MoO6)5,1.9447169753997784,0.1570436739125534,Octahedron,1,"1g, 2i",2,"[0.07322873543890601, 0.010258000935666001, 0.0031302452204400003]",0.0,0.02887232719833734,AB4C5D10E30,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.0,6.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Co-Fe-Mo-O-Sr,0.016231558900015,-2.512302680599998,0.227999999999999,5,Triclinic,-1,P-1,oxide,,Sr,"Fe, Co, Mo",,,,"C, O, S",F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9606964865054262
mp-720269,Sr20Fe9Co(MoO6)10,1.9377788499750512,0.311715239672344,Octahedron,1,2i,1,"[0.027434533699368, 0.032693715434043, 0.013985706908886002, 0.020151001834849, 0.011481106743386002, 0.027770313469417003, 0.035345600766660004, 0.018034881568446, 0.033033090034378, 0.039213163871334]",0.0,0.025914311433076702,AB9C10D20E60,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.0,6.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Co-Fe-Mo-O-Sr,0.0,-2.534179709250001,0.2971,5,Triclinic,-1,P-1,oxide,,Sr,"Fe, Co, Mo",,,,"C, O, S",F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9710803204049938
mp-721324,Gd2(MoO4)3,1.9526187851902528,0.4682575537081394,Tetrahedron,1,"2a, 4e",2,"[0.0226724042038, 0.000563011650953]",0.0,0.0116177079273765,A2B3C12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Gd-Mo-O,0.000597341176469,-2.6352809873529432,1.3237,3,Tetragonal,-42m,P-42_1m,oxide,,,Mo,,,,O,,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,1.7628348682256902
mp-725121,K3LiMn4(MoO4)6,1.9267393103289256,0.3079238307871853,Tetrahedron,1,6b,1,"[0.098080978963512, 0.049529270321625005]",0.0,0.0738051246425685,AB3C4D6E24,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,K-Li-Mn-Mo-O,0.0,-2.143332453994935,3.0348,5,Trigonal,3m,R3c,oxide,"Li, K",,"Mn, Mo",,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8018964470920968
mp-726052,KMgIn(MoO4)3,1.8650535361482992,0.1729276622247821,Tetrahedron,1,6b,1,[0.05772183105524101],0.0,0.05772183105524101,ABCD3E12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,In-K-Mg-Mo-O,0.001805629166667,-2.197665409662038,3.8234,5,Trigonal,3m,R3c,oxide,K,Mg,Mo,,In,,O,I,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7951438452907569
mp-726071,MgZr3Tl10(MoO4)12,2.068994907334237,0.6586733245047336,Tetrahedron,1,3b,1,"[0.15440289945087401, 0.11556443826799001, 0.123441179831851, 0.151415661381143]",0.0,0.13620604473296452,AB3C10D12E48,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Mg-Mo-O-Tl-Zr,0.0,-2.088383034707208,3.032,5,Trigonal,32,R32,oxide,,Mg,"Zr, Mo",,Tl,,O,,,,,"B $\in$ [0.5, 1]",Positive B,1.8033438623705937
