material_id,chem_formula,R$_0$,B,Mn_chemenv,num_Mn_chemenvs,Mn_wyckoff,num_Mn_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Mn_sites,num_CN_env,num_charge_states,MnX_coordn,MnO_coordn,mean_coordn_Mn-X,min_coordn_Mn-X,max_coordn_Mn-X,mean_coordn_Mn-O,min_coordn_Mn-O,max_coordn_Mn-O,mean_Mn_charge,min_Mn_charge,max_Mn_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_MnO_BondL
mp-32027,Li2Mn3(P2O7)2,2.06810891308929,0.1422564990079551,Octahedron,1,2i,1,"[3.091116986356741, 1.5085301034344072, 4.5544776459151315]",0.0,3.051374911902093,A2B3C4D14,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mn-O-P,0.023397898913034,-2.604979450610052,3.701,4,Triclinic,-1,P-1,oxide,Li,,Mn,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.2234595233858374
mp-32028,Mn(PO3)4,1.8850782794456424,0.1252816247592429,Octahedron,1,2a,1,[0.153183092558485],0.0,0.153183092558485,AB4C12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mn-O-P,0.037124947843137,-2.3892843418530862,0.438799999999999,3,Monoclinic,2,P2_1,phosphite,,,Mn,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9370559803697056
mp-3224,Mn7SiO12,1.7961158009107263,0.3963144333186378,"Cube, Octahedron",2,"8e, 8c, 8f, 4b",4,"[3.459084162069661, 1.180260510023884, 1.614659999824114, 1.913903159718803]",0.0,2.0419769579091156,AB7C12,2,2,2,"[8.0, 6.0]","[8.0, 6.0]",7.0,6.0,8.0,7.0,6.0,8.0,2.5,2.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA_U,Mn-O-Si,0.0,-2.236868358525862,0.3909,3,Tetragonal,4/mmm,I4_1/acd,oxide,,,Mn,,,Si,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.2179661749085318
mp-33461,Li3Mn3O8,1.831206644122381,0.2974095545843526,Octahedron,1,3d,1,[0.5297359672385611],0.0,0.5297359672385611,A3B3C8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.33,4.33,4.33,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mn-O,0.045589849095231,-1.9626407702709368,0.0,3,Trigonal,-3m,R-3m,oxide,Li,,Mn,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9295244033474703
mp-33737,Mn3Cu3O8,1.7744975466802375,0.3803717403479772,Octahedron,1,3e,1,[0.475379752014695],0.0,0.475379752014695,A3B3C8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Cu-Mn-O,0.040167264568446,-1.4737661195566512,0.0,3,Trigonal,-3m,R-3m,oxide,,,"Mn, Cu",,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9295380755377665
mp-34237,Mn2CuO4,1.999590366645203,0.0868575213749892,"Tetrahedron, Octahedron",2,"1a, 2b",2,"[0.029655465608566002, 0.31379955414536304, 0.069001564680469, 1.245227937626941, 0.36970143566260705, 0.9358771133497971, 0.32703087264670505, 0.8776196067080031, 1.036958280964435]",0.0,0.5783190923769873,AB2C4,2,3,2,"[4.0, 6.0, 6.0]","[4.0, 6.0, 6.0]",5.333333333333333,4.0,6.0,5.333333333333333,4.0,6.0,3.333333333333333,3.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Cu-Mn-O,0.03937949098212,-1.668504666551724,0.0,3,Monoclinic,m,Cm,oxide,,,"Mn, Cu",,,,"C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.01966543136171
mp-34461,Li7Mn11O24,1.7829226766239246,0.399799568250993,Octahedron,1,"1a, 1d, 2i, 1b",4,"[0.644963413115691, 0.635677466963882, 1.377269458037992, 0.5234229017958021, 0.676905590554155, 1.481288493156758, 1.780389682781407]",0.0,1.0171310009150982,A7B11C24,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mn-O,0.041071630595237,-2.026475279775588,0.909799999999999,3,Triclinic,-1,P-1,oxide,Li,,Mn,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0036848625157626
mp-34650,LiMn3O4,2.072456386266768,0.1229942658684684,Octahedron,1,"4j, 1d, 1b",3,"[0.16619674950218402, 0.519863004818319, 0.33919019295087005]",0.0,0.341749982423791,AB3C4,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,2.5,2.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mn-O,0.047139429375,-2.049080435890804,0.0,3,Monoclinic,2/m,C2/m,oxide,Li,,Mn,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.177354891020197
mp-35530,LiMn4O8,1.8080454401130504,0.2171100677376645,Octahedron,1,"12b, 4a",2,"[0.6516348679078641, 0.649561720776208]",0.0,0.6505982943420361,AB4C8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.75,3.75,3.75,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,Li-Mn-O,0.048668408403846,-1.908730573465959,0.0,3,Cubic,-43m,F-43m,oxide,Li,,Mn,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9105375315996664
mp-36240,LiMn8O16,1.8858581662494456,0.1658155676720899,Octahedron,1,"4e, 4f, 4d",3,"[0.967663484207778, 0.7548090960479381, 0.9034166088294431, 0.7079584598971771]",0.0,0.833461912245584,AB8C16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.88,3.88,3.88,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mn-O,0.047369138036678,-1.845291736071264,0.0,3,Orthorhombic,mmm,Pmmn,oxide,Li,,Mn,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9615366463157315
