material_id,chem_formula,R$_0$,B,Te_chemenv,num_Te_chemenvs,Te_wyckoff,num_Te_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Te_sites,num_CN_env,num_charge_states,TeX_coordn,TeO_coordn,mean_coordn_Te-X,min_coordn_Te-X,max_coordn_Te-X,mean_coordn_Te-O,min_coordn_Te-O,max_coordn_Te-O,mean_Te_charge,min_Te_charge,max_Te_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_TeO_BondL
mp-1105362,MnTeMoO6,1.921739154985569,0.8431943975025693,See-saw,1,2c,1,[1.821417123944638],0.0,1.821417123944638,ABCD6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA_U,Mn-Mo-O-Te,0.025443103333319,-1.862078398288633,2.5418000000000003,4,Tetragonal,-42m,P-42_1m,oxide,,,"Mn, Mo",,,Te,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.3113575114650238
mp-1105700,TePb2O5,1.944048640862831,0.5691236266234142,Octahedron,1,2a,1,[0.123960319125492],0.0,0.123960319125492,AB2C5,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals",r2SCAN,O-Pb-Te,0.0,-1.567598920833333,2.019599999999999,3,Monoclinic,2/m,C2/c,oxide,,,,,Pb,Te,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.9463801225420294
mp-1106129,Bi4Te2Br2O9,1.938635136761495,0.7092014527011535,"Square non-coplanar, Square pyramid",2,"1a, 1b",2,"[0.119312578506471, 1.797928633660049]",0.0,0.95862060608326,A2B2C4D9,2,2,1,"[4.0, 5.0]","[4.0, 5.0]",4.5,4.0,5.0,4.5,4.0,5.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Metalloids, Nonmetals, Post-Transition Metals",GGA,Bi-Br-O-Te,0.04556907080882,-1.548109987549021,1.8311,4,Tetragonal,4mm,P4mm,oxide,,,,,Bi,"B, Te",O,Br,,,,"B $\in$ [0.5, 1]",Positive B,2.067671090308369
mp-1173529,Nd2TeMo6H38O43,1.9617247185039008,-0.0018430944465329,Octahedron,1,1a,1,[0.27553525147471003],0.0,0.27553525147471003,AB2C6D38E43,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,H-Mo-Nd-O-Te,0.019297088675912,-1.606650135824074,3.3103,5,Triclinic,1,P1,oxide,,,Mo,,,Te,"H, N, O",,,Nd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9617013385138529
mp-1173612,Pr5Te7WCl3O23,1.9454789841435407,0.3825594438706707,"See-saw, Triangular non-coplanar",2,2c,1,"[2.228631132122769, 2.237622721463874, 1.613035646807298, 2.988004603748939, 2.7410496848004433, 2.7557289961820253, 2.509711073236874]",0.0,2.439111979766032,AB3C5D7E23,2,4,1,"[4.0, 5.0, 5.0, 6.0]","[3.0, 3.0, 4.0, 4.0]",5.0,4.0,6.0,3.5,3.0,4.0,4.0,4.0,4.0,2.0,2,2,"Cl-, O2-","Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Cl-O-Pr-Te-W,0.0,-2.380788661410257,2.6893,5,Monoclinic,2,C2,oxide,,,W,,,Te,"C, O, P",Cl,,Pr,,"B $\in$ [0.1, 0.5]",Positive B,1.955319063181965
mp-1176529,Mn3TeO6,1.963771100001816,-0.3602995663066317,no_data,1,no_data,1,no_data,0.0,no_data,AB3C6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA_U,Mn-O-Te,0.037560843999984,-1.8826917350459784,0.5495999999999991,3,Monoclinic,2/m,P2_1/c,oxide,,,Mn,,,Te,O,,,,,"B $\in$ [-1, -0.1]",Negative B,1.9636104055241945
mp-1176834,Li8Fe7Te(PO4)12,1.9684030848158147,1.2075908076150297,Octahedron,1,1a,1,[0.758465940125539],0.0,0.758465940125539,AB7C8D12E48,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,Fe-Li-O-P-Te,0.022555604749994,-2.413536943671679,0.030899999999999,5,Triclinic,1,P1,phosphate,Li,,Fe,,,Te,"O, P",F,,,,B > 1,Positive B,1.9685553076104423
mp-1177314,Li4NbCr(TeO6)2,1.9516326147696976,0.5029892126103706,Octahedron,1,1a,1,"[0.09057151456340701, 0.089635566276695, 0.10307117494953101, 0.10443732457771401]",0.0,0.09692889509183675,ABC2D4E12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Cr-Li-Nb-O-Te,0.037331824687495,-2.166235920833334,1.2101,5,Triclinic,1,P1,oxide,Li,,"Cr, Nb",,,Te,"C, N, O",,,,,"B $\in$ [0.5, 1]",Positive B,1.9522392858674513
mp-1177425,Li4Fe3Co3(TeO8)2,1.981389323709504,0.5310574710952428,Octahedron,1,1a,1,"[0.19078297818374101, 0.22808584279019803]",0.0,0.20943441048696954,A2B3C3D4E16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,Co-Fe-Li-O-Te,0.019231506249993,-1.721947722380952,0.0,5,Triclinic,1,P1,oxide,Li,,"Fe, Co",,,Te,"C, O",F,,,,"B $\in$ [0.5, 1]",Positive B,1.9815194364864162
mp-1177448,Li4Cr(TeO4)3,2.18379785002358,-0.7017370359001646,Octahedron,1,"1d, 1b, 1c",3,"[0.8148597061332521, 0.43842829532082706, 0.36984960044180504]",0.0,0.541045867298628,AB3C4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.67,4.67,4.67,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Cr-Li-O-Te,0.042551372250002,-1.889486811166666,0.0,4,Monoclinic,2,P2,oxide,Li,,Cr,,,Te,"C, O",,,,,"B $\in$ [-1, -0.1]",Negative B,2.006706438938098
mp-1179315,SrTeO3,2.1876132617661512,1.0794419211769568,Triangular non-coplanar,1,1a,1,"[1.4112711841872732, 1.624884802567331, 1.199677986281025, 1.394198611652408, 1.177621735804873, 1.051208871099346, 1.164319679691035, 0.535831085196797, 1.602361052584158, 0.533697320508707, 1.379463555187425, 1.002838189747497, 1.5656249013103651, 1.15505379785721, 0.544414171529031, 1.418498995579769, 0.9954050355782621, 1.582067546120573, 1.018783630979667, 0.5231392627789541, 1.053778141466493, 1.060735923739971, 1.00562912365441, 1.042683508593408]",0.0,1.1267995047373327,ABC3,1,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,O-Sr-Te,0.003206168583333,-2.377819146416667,3.2315,3,Triclinic,1,P1,oxide,,Sr,,,,Te,"O, S",,,,,B > 1,Positive B,1.9300342418599992
mp-1179320,SrTeO3,2.1903461100281367,1.1176965737860605,Triangular non-coplanar,1,2i,1,"[1.281322111584425, 1.619372734193516, 1.301904901298943, 1.408651242624043, 1.149862254900617, 1.032368047668171, 0.515530602978666, 1.570973797180303, 0.8820692944353391, 0.49445612409263506, 1.022830464636287, 0.9710425851978671]",0.0,1.1041986800659012,ABC3,1,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,O-Sr-Te,0.004332333833333,-2.3766929811666677,3.3726000000000003,3,Monoclinic,2/m,C2/c,oxide,,Sr,,,,Te,"O, S",,,,,B > 1,Positive B,1.940419846188893
mp-1179820,Rb2TeH6SeO10,1.9542524412309272,0.0519815865368814,Octahedron,1,"2d, 2a",2,"[0.053533237178727, 0.005412700559965]",0.0,0.029472968869346,ABC2D6E10,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,H-O-Rb-Se-Te,0.0,-1.495781350450521,3.529,5,Monoclinic,2/m,P2_1/c,oxide,Rb,,,,,Te,"H, O, S, Se",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9544021233674786
mp-1181006,LiVTeO5,2.1755634199461333,1.327212681834637,Square pyramid,1,4a,1,[2.478314995128478],0.0,2.478314995128478,ABCD5,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Li-O-Te-V,0.002606150468756,-2.0766940428125,2.7905,4,Orthorhombic,222,P2_12_12_1,oxide,Li,,V,,,Te,O,,,,,B > 1,Positive B,2.0760813322072056
mp-1181313,Ga2(TeO3)3,1.936966758126107,0.1410853378450527,Triangular non-coplanar,1,6h,1,[1.787787936589845],0.0,1.787787936589845,A2B3C9,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals",r2SCAN,Ga-O-Te,0.007506310357141,-1.7639596453571431,3.7830999999999992,3,Hexagonal,6/m,P6_3/m,oxide,,,,,Ga,Te,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.896763961900054
mp-1182595,BaTe2Mo2(HO6)2,2.087467302404714,0.2250281199421363,See-saw,1,4a,1,"[2.198171025202978, 3.3749497456465942]",0.0,2.786560385424786,AB2C2D2E12,1,2,1,"[4.0, 5.0]","[4.0, 5.0]",4.5,4.0,5.0,4.5,4.0,5.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Ba-H-Mo-O-Te,0.013550905921047,-1.904601950833333,3.0286,5,Orthorhombic,222,P2_12_12_1,oxide,,Ba,Mo,,,"B, Te","H, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1220736235089523
mp-11887,K2U3(TeO7)2,1.91768012664269,0.0170124699276104,See-saw,1,2i,1,[3.192497619595581],0.0,3.192497619595581,A2B2C3D14,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Metalloids, Nonmetals",GGA,K-O-Te-U,0.0,-2.874956071325395,1.8600999999999992,4,Triclinic,-1,P-1,oxide,K,,,,,Te,O,,,,U,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9129714494449708
mp-1190021,TeO2,2.066459755714567,0.2979080000728175,"See-saw, Square pyramid",2,2i,1,"[2.513825472317036, 4.328667008451379, 1.149927579321285]",0.0,2.6641400200299,AB2,2,2,1,"[4.0, 5.0]","[4.0, 5.0]",4.5,4.0,5.0,4.5,4.0,5.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals",r2SCAN,O-Te,0.026844574444442,-1.468215429444444,2.582099999999999,2,Triclinic,-1,P-1,oxide,,,,,,Te,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0935670034974687
mp-1190177,Dy2CoTe2(SO7)2,1.8347657779952584,-0.2614527577119615,Triangular non-coplanar,1,2i,1,[2.12181945575815],0.0,2.12181945575815,AB2C2D2E14,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Co-Dy-O-S-Te,0.0,-2.338550634841268,3.0606,5,Triclinic,-1,P-1,oxide,,,Co,,,Te,"C, O, S",,,Dy,,"B $\in$ [-1, -0.1]",Negative B,1.9099675135749816
mp-1190196,Er2CoTe2(SO7)2,1.807790672348678,-0.3527631620147959,Triangular non-coplanar,1,2i,1,[2.224639335590791],0.0,2.224639335590791,AB2C2D2E14,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Co-Er-O-S-Te,0.038097327892753,-2.297523956587301,1.8416,5,Triclinic,-1,P-1,oxide,,,Co,,,Te,"C, O, S",,,Er,,"B $\in$ [-1, -0.1]",Negative B,1.9092563855426636
mp-1190203,Lu2CuTe2(SO7)2,1.704371155855489,-0.7370435722936534,Triangular non-coplanar,1,2i,1,[2.494456803937881],0.0,2.494456803937881,AB2C2D2E14,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Cu-Lu-O-S-Te,0.008943035396845,-2.299995892460317,0.6058,5,Triclinic,-1,P-1,oxide,,,Cu,,,Te,"C, O, S",,,Lu,,"B $\in$ [-1, -0.1]",Negative B,1.916341181904133
mp-1190208,Y2CuTe2(SO7)2,1.627396519787308,-1.0232475248689286,Triangular non-coplanar,1,2i,1,[2.438234237295567],0.0,2.438234237295567,AB2C2D2E14,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA,Cu-O-S-Te-Y,0.011501252698433,-2.270365908492063,0.879,5,Triclinic,-1,P-1,oxide,,,"Cu, Y",,,Te,"C, O, S",,,,,B < -1,Negative B,1.9217143670787085
mp-1190336,Ho2CoTe2(SO7)2,1.8319514680998488,-0.2699463008970778,Triangular non-coplanar,1,2i,1,[2.160802528843571],0.0,2.160802528843571,AB2C2D2E14,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Co-Ho-O-S-Te,0.0,-2.337953107063491,3.0518,5,Triclinic,-1,P-1,oxide,,,Co,,,Te,"H, C, O, S",,,Ho,,"B $\in$ [-1, -0.1]",Negative B,1.9095964582862486
mp-1190341,Nd2CoTe2(SO7)2,1.866986432338188,-0.1497105322970288,Triangular non-coplanar,1,2i,1,[1.89763160909638],0.0,1.89763160909638,AB2C2D2E14,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Co-Nd-O-S-Te,0.0,-2.323792596825397,3.1295,5,Triclinic,-1,P-1,oxide,,,Co,,,Te,"C, N, O, S",,,Nd,,"B $\in$ [-1, -0.1]",Negative B,1.9100478206642941
mp-1190344,Er2CuTe2(SO7)2,1.6221799210241574,-1.039562834680471,Triangular non-coplanar,1,2i,1,[2.5156743645585493],0.0,2.5156743645585493,AB2C2D2E14,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Cu-Er-O-S-Te,0.017043508809543,-2.283829658492063,0.8785000000000001,5,Triclinic,-1,P-1,oxide,,,Cu,,,Te,"C, O, S",,,Er,,B < -1,Negative B,1.921190353313947
mp-1190350,Ho2ZnTe2(SO7)2,1.829101572912854,-0.2749640962345329,Triangular non-coplanar,1,2i,1,[2.16064995863209],0.0,2.16064995863209,AB2C2D2E14,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ho-O-S-Te-Zn,0.004480191746038,-2.375672215158729,3.9851,5,Triclinic,-1,P-1,oxide,,,Zn,,,Te,"H, O, S",,,Ho,,"B $\in$ [-1, -0.1]",Negative B,1.9081895476047714
mp-1190351,Tm2CuTe2(SO7)2,1.6164355875518226,-1.0617116397578656,Triangular non-coplanar,1,2i,1,[2.580672031728864],0.0,2.580672031728864,AB2C2D2E14,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Cu-O-S-Te-Tm,0.019873987301604,-2.285249686587301,0.875599999999999,5,Triclinic,-1,P-1,oxide,,,Cu,,,Te,"C, O, S",,,Tm,,B < -1,Negative B,1.9218168087792697
mp-1190377,Er2ZnTe2(SO7)2,1.8381656266522988,-0.2442252735357351,Triangular non-coplanar,1,2i,1,[2.148758444886639],0.0,2.148758444886639,AB2C2D2E14,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Er-O-S-Te-Zn,0.005941538333331,-2.377290538968253,3.9585999999999992,5,Triclinic,-1,P-1,oxide,,,Zn,,,Te,"O, S",,,Er,,"B $\in$ [-1, -0.1]",Negative B,1.9084123011223102
mp-1190385,Tb2CoTe2(SO7)2,1.815068556184494,-0.2534192270986396,Triangular non-coplanar,1,2i,1,[2.20981272866798],0.0,2.20981272866798,AB2C2D2E14,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",r2SCAN,Co-O-S-Tb-Te,0.0,-2.339155171984126,3.0646,5,Triclinic,-1,P-1,oxide,,,Co,,,Te,"C, O, S",,,Tb,,"B $\in$ [-1, -0.1]",Negative B,1.8879600481745487
mp-1190393,Dy2CuTe2(SO7)2,1.634859847890996,-1.0055869947004052,Triangular non-coplanar,1,2i,1,[2.489664772334612],0.0,2.489664772334612,AB2C2D2E14,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Cu-Dy-O-S-Te,0.010645019444464,-2.283447090555554,0.878699999999999,5,Triclinic,-1,P-1,oxide,,,Cu,,,Te,"C, O, S",,,Dy,,B < -1,Negative B,1.9240979545291321
mp-1190396,Sm2ZnTe2(SO7)2,1.888466922706172,-0.0707248282834737,Triangular non-coplanar,1,2i,1,[1.958378965166257],0.0,1.958378965166257,AB2C2D2E14,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,O-S-Sm-Te-Zn,0.0,-2.368064410873015,4.0068,5,Triclinic,-1,P-1,oxide,,,Zn,,,Te,"O, S",,,Sm,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9088099276874166
mp-1190435,Nd2CuTe2(SO7)2,1.6725774608661754,-0.7911140465929926,Triangular non-coplanar,1,2i,1,[2.340125657944003],0.0,2.340125657944003,AB2C2D2E14,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",r2SCAN,Cu-Nd-O-S-Te,0.0,-2.268456409206348,0.8712000000000001,5,Triclinic,-1,P-1,oxide,,,Cu,,,Te,"C, N, O, S",,,Nd,,"B $\in$ [-1, -0.1]",Negative B,1.9001260792050967
mp-1190438,Eu2CoTe2(SO7)2,1.18679740539593,-2.571378955914295,Triangular non-coplanar,1,2i,1,[2.11465192132425],0.0,2.11465192132425,AB2C2D2E14,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Co-Eu-O-S-Te,0.0,-2.142900158492063,0.010899999999999,5,Triclinic,-1,P-1,oxide,,,Co,,,Te,"C, O, S",,,Eu,,B < -1,Negative B,1.926405383326724
