material_id,chem_formula,R$_0$,B,Cu_chemenv,num_Cu_chemenvs,Cu_wyckoff,num_Cu_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Cu_sites,num_CN_env,num_charge_states,CuX_coordn,CuO_coordn,mean_coordn_Cu-X,min_coordn_Cu-X,max_coordn_Cu-X,mean_coordn_Cu-O,min_coordn_Cu-O,max_coordn_Cu-O,mean_Cu_charge,min_Cu_charge,max_Cu_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_CuO_BondL
mp-1221994,Mn3Cu(Te2O5)4,1.531981557666444,0.5510702541577548,Octahedron,1,2d,1,[3.62612015249172],0.0,3.62612015249172,AB3C8D20,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA_U,Cu-Mn-O-Te,0.013009074374998,-1.5934812516289512,0.707499999999999,4,Tetragonal,-42m,P-4b2,oxide,,,"Mn, Cu",,,Te,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.193624073813069
mp-1222038,MgCu2(PO4)2,1.8001015532215745,0.2766324162208899,"Trigonal bipyramid, Square plane",2,1a,1,"[0.055128280108482, 1.613452979113506]",0.0,0.834290629610994,AB2C2D8,2,2,1,"[4.0, 5.0]","[4.0, 5.0]",4.5,4.0,5.0,4.5,4.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Cu-Mg-O-P,0.009216281153851,-2.259736336483516,0.309199999999999,4,Triclinic,1,P1,phosphate,,Mg,Cu,,,,"C, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0296956890057607
mp-1222077,Mn5Cu3(Te2O5)8,1.5764880475553418,0.5124871134114211,Octahedron,1,"1d, 1c, 1a",3,"[3.596058606203612, 3.310307553458208, 3.601222907788822]",0.0,3.502529689150214,A3B5C16D40,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA_U,Cu-Mn-O-Te,0.014759895078125,-1.550147666348777,0.4852,4,Orthorhombic,222,C222,oxide,,,"Mn, Cu",,,Te,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.1918110670857214
mp-1222146,MgIn2Ga2CuO8,0.7428144888056194,1.429563837070153,Trigonal bipyramid,1,1b,1,[0.44837235133547004],0.0,0.44837235133547004,ABC2D2E8,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Cu-Ga-In-Mg-O,0.031698858214282,-2.081686441666666,0.0013,5,Monoclinic,m,Pm,oxide,,Mg,Cu,,"Ga, In",,"C, O",I,,,,B > 1,Positive B,2.040998157791991
mp-1222156,Mn5Cu(PO4)4,1.8870196490178464,0.182030070689051,See-saw,1,2a,1,[1.7296033393762],0.0,1.7296033393762,AB4C5D16,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Cu-Mn-O-P,0.018660137115393,-2.421552915316408,0.139999999999999,4,Monoclinic,2,P2_1,phosphate,,,"Mn, Cu",,,,"C, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.013486460899691
mp-1222158,MgV4Cu3O14,1.7034585473445834,0.3557451152111748,Trigonal bipyramid,1,1a,1,"[2.6179476712642122, 1.9943421944735171, 2.603418428603233]",0.0,2.405236098113654,AB3C4D14,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cu-Mg-O-V,0.0,-2.026821811590909,0.348099999999999,4,Triclinic,1,P1,oxide,,Mg,"V, Cu",,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0344914698626058
mp-1222453,LiLa4CuO8,1.613396864170764,0.5950611006858113,Octahedron,1,1c,1,[1.270476173503424],0.0,1.270476173503424,ABC4D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Cu-La-Li-O,0.047946908214286,-3.135025580238095,0.022199999999999,4,Monoclinic,2/m,C2/m,oxide,Li,,Cu,,,,"C, O",,,La,,"B $\in$ [0.5, 1]",Positive B,2.0267619969614565
mp-1222487,LiLa8Cu3O16,2.010682300154313,0.0569184025628489,Octahedron,1,"1g, 1a, 1b",3,"[1.103520612605829, 1.712024350107996, 1.7033739803814951]",0.0,1.5063063143651068,AB3C8D16,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,2.5,2.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Cu-La-Li-O,0.045453080446402,-3.072720760833334,0.214599999999999,4,Triclinic,-1,P-1,oxide,Li,,Cu,,,,"C, O",,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0647844074878305
mp-1222546,LiCuSbO4,0.9392057914968136,1.0940854058479714,Octahedron,1,2a,1,"[2.545840863794022, 2.5216418148028152]",0.0,2.5337413392984187,ABCD4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,Cu-Li-O-Sb,0.033670591071426,-1.748695176190476,0.5012999999999991,4,Monoclinic,2,P2_1,oxide,Li,,Cu,,,Sb,"C, O, S",,,,,B > 1,Positive B,2.164080001179388
mp-1222666,LiMn2Cu(RuO4)2,1.993826786527248,0.015001132274233,Tetrahedron,1,1a,1,[0.43198895846962204],0.0,0.43198895846962204,ABC2D2E8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Cu-Li-Mn-O-Ru,0.041635374285704,-1.64010487494253,0.0,5,Orthorhombic,mm2,Imm2,oxide,Li,,"Mn, Cu, Ru",,,,"C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.015205744119025
mp-1222686,LiCuRu2(RhO4)2,1.1052115410113532,0.7005313106686085,Tetrahedron,1,1b,1,[0.8404601568905481],0.0,0.8404601568905481,ABC2D2E8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Cu-Li-O-Rh-Ru,0.041019591428572,-1.30284280595238,0.0,5,Orthorhombic,mm2,Imm2,oxide,Li,,"Cu, Ru, Rh",,,,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.0792609482539177
mp-1222709,Li3(CuO2)2,1.87955053002122,0.008029245682952,Square plane,1,1a,1,"[0.14707283467072202, 0.13898090894552]",0.0,0.14302687180812101,A2B3C4,1,2,2,"[4.0, 4.0]","[4.0, 4.0]",4.0,4.0,4.0,4.0,4.0,4.0,2.5,2.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,Cu-Li-O,0.010326508888889,-1.5847087977777772,0.0,3,Monoclinic,m,Cm,oxide,Li,,Cu,,,,"C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.8835065678900642
mp-1222758,Mg3V6Cd2Cu3PbO24,1.7082299786550323,0.3488714053339471,"Octahedron, Square plane",2,1a,1,"[0.7525842664881781, 1.00063083299473, 1.549144619203914]",0.0,1.1007865728956074,AB2C3D3E6F24,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Cd-Cu-Mg-O-Pb-V,0.012428039358975,-2.153091445256409,1.6862,6,Triclinic,1,P1,oxide,,Mg,"V, Cu, Cd",,Pb,,"C, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.012196909904152
