material_id,chem_formula,R$_0$,B,Sm_chemenv,num_Sm_chemenvs,Sm_wyckoff,num_Sm_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Sm_sites,num_CN_env,num_charge_states,SmX_coordn,SmO_coordn,mean_coordn_Sm-X,min_coordn_Sm-X,max_coordn_Sm-X,mean_coordn_Sm-O,min_coordn_Sm-O,max_coordn_Sm-O,mean_Sm_charge,min_Sm_charge,max_Sm_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_SmO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-558842,Sm7BP2O17,2.081319224221921,0.4153552215447992,"Bicapped octahedron (cap faces with one atom in common), Square antiprism, Square-face capped trigonal prism, Bicapped octahedron (cap faces with one edge in common)",4,4e,1,"[3.733586484063709, 1.984056552293542, 6.008377567872612, 3.493957690975334, 2.90771499084679, 3.6796963973216963, 5.49798198713553]",0.286,3.9007673815013155,AB2C7D17,4,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",2.464834064051714,GGA,B-O-P-Sm,0.021762771697529,-3.6130215369797183,4.9482,4,Monoclinic,2/m,P2_1/c,oxide,None,None,None,None,None,B,"O, P, S",None,None,Sm,None,"B $\in$ [0.1, 0.5]",Positive B
mp-558997,SmMoClO4,1.844879687992839,0.6432367833191885,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[0.7481691864582011],0.0,0.7481691864582011,ABCD4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2,2,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",2.472782243940496,GGA_U,Cl-Mo-O-Sm,0.0,-2.681250011428571,2.8361,4,Monoclinic,2/m,C2/m,perchlorate,None,None,Mo,None,None,None,"C, O, S",Cl,None,Sm,None,"B $\in$ [0.5, 1]",Positive B
mp-559046,Sm2MnTe5Cl2O13,2.2450350671800128,0.21482151649346037,"Cube, Square antiprism",2,4e,1,"[3.272638939335369, 2.9076257474496052]",0.0,3.0901323433924874,AB2C2D5E13,2,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",2.464998366985751,GGA_U,Cl-Mn-O-Sm-Te,0.0,-2.138053874076711,2.691099999999999,5,Monoclinic,2/m,P2_1/c,oxide,None,None,Mn,None,None,Te,"C, O, S",Cl,None,Sm,None,"B $\in$ [0.1, 0.5]",Positive B
mp-559160,NaSmSe2O7,2.4636637118111153,0.08005719498237387,Tricapped triangular prism (two square-face caps and one triangular-face cap),1,4e,1,[4.011348752785695],0.0,4.011348752785695,ABC2D7,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",2.5089902134690294,r2SCAN,Na-O-Se-Sm,0.0,-1.803799697329545,3.3052,4,Monoclinic,2/m,P2_1/c,oxide,Na,None,None,None,None,None,"N, O, S, Se",None,None,Sm,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-559574,K3Sm(BO3)2,2.6350918264917587,-0.25143435540396625,Pentagonal bipyramid,1,4c,1,[0.933016789091697],0.0,0.933016789091697,AB2C3D6,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",2.4221846346250047,GGA,B-K-O-Sm,0.0,-2.813610893965278,3.5401,4,Orthorhombic,mmm,Pnma,orthoborate,K,None,None,None,None,B,"O, S",None,None,Sm,None,"B $\in$ [-1, -0.1]",Negative B
mp-559755,Sm2(SeO3)3,2.1226950340721324,0.3335576522190475,"Square-face bicapped trigonal prism, Square-face monocapped antiprism",2,2i,1,"[4.111735846811165, 3.331038612887996]",0.0,3.7213872298495803,A2B3C9,2,2,1,"[8.0, 9.0]","[8.0, 9.0]",8.5,8.0,9.0,8.5,8.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",2.4651739667484307,r2SCAN,O-Se-Sm,0.0,-2.040677010513391,3.9313000000000002,3,Triclinic,-1,P-1,oxide,None,None,None,None,None,None,"O, S, Se",None,None,Sm,None,"B $\in$ [0.1, 0.5]",Positive B
mp-560093,Sr10Sm6Al6Si30N54O7,2.5616569990905194,-0.07017617166051861,"Square-face bicapped trigonal prism, Trigonal prism, Octahedron",3,"2b, 2c",2,"[4.375290695976473, 2.848850809634189, 11.078773197216014]",0.333,6.100971567608892,A6B6C7D10E30F54,3,3,1,"[3.0, 0, 3.0]","[3.0, 0, 3.0]",2.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,1.6666666666666667,1,2,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Post-Transition Metals",2.492847708870805,GGA,Al-N-O-Si-Sm-Sr,0.0016671944745860002,-1.6638711787168141,2.9163,6,Orthorhombic,mm2,Fmm2,oxide,None,Sr,None,None,Al,Si,"N, O, S",None,None,Sm,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-560235,K9Sm3Si12(O16F)2,1.6006937684257938,1.0814956966856069,Octahedron,1,"1b, 2i",2,"[4.090537331659314, 0.31333797270087604]",0.0,2.201937652180095,A2B3C9D12E32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Metalloids, Nonmetals",2.3497849083352005,GGA,F-K-O-Si-Sm,0.0,-3.186331584487068,4.898499999999999,5,Triclinic,-1,P-1,fluoride,K,None,None,None,None,Si,"O, S",F,None,Sm,None,B > 1,Positive B
mp-560512,Sm2EuBeO5,2.318369398098118,0.24847911544889775,"Dodecahedron with triangular faces - p2345 plane normalized, Tricapped triangular prism (three square-face caps)",2,4e,1,"[0.634569118304056, 1.820979184489758]",0.0,1.2277741513969072,ABC2D5,2,2,1,"[8.0, 9.0]","[8.0, 9.0]",8.5,8.0,9.0,8.5,8.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",2.5215931597729075,GGA,Be-Eu-O-Sm,0.002327879027779,-3.52681868,0.0,4,Monoclinic,2/m,P2_1/c,oxide,None,Be,None,None,None,B,"O, S",None,None,"Sm, Eu",None,"B $\in$ [0.1, 0.5]",Positive B
mp-560690,Sm2(MoO4)3,2.415321102346932,0.00490524421311753,Square-face bicapped trigonal prism,1,4f,1,[2.498585784025331],0.0,2.498585784025331,A2B3C12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.4220607471625146,r2SCAN,Mo-O-Sm,0.0,-2.62636344235294,3.2499000000000002,3,Monoclinic,2/m,C2/c,oxide,None,None,Mo,None,None,None,"O, S",None,None,Sm,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
