material_id,chem_formula,R$_0$,B,K_chemenv,num_K_chemenvs,K_wyckoff,num_K_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_K_sites,num_CN_env,num_charge_states,KX_coordn,KO_coordn,mean_coordn_K-X,min_coordn_K-X,max_coordn_K-X,mean_coordn_K-O,min_coordn_K-O,max_coordn_K-O,mean_K_charge,min_K_charge,max_K_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_KO_BondL
mp-862811,Cs2KU2(Si2O7)2,2.9269295438252474,-0.0004074915757404,no_data,1,no_data,1,no_data,0.0,no_data,AB2C2D4E14,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Metalloids, Nonmetals",GGA,Cs-K-O-Si-U,0.0,-3.237675478111318,0.0,5,Orthorhombic,mmm,Cmmm,oxide,"K, Cs",,,,,Si,"C, O, S",,,,U,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.925910674707533
mp-863010,K2TeH6SeO10,2.7984963902554787,0.0780516367514928,Square-face capped square prism,1,2a,1,"[3.337327766253036, 3.411105082911906]",0.0,3.374216424582471,ABC2D6E10,1,2,1,"[7.0, 9.0]","[7.0, 9.0]",8.0,7.0,9.0,8.0,7.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,H-K-O-Se-Te,0.00078725925,-1.493870694050521,3.532,5,Monoclinic,m,Cc,oxide,K,,,,,Te,"H, O, S, Se",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.9989651367699435
mp-863358,KAl11O17,3.732307946622291,-0.3602782539915442,Tricapped octahedron (all 3 cap faces are sharingone edge of a face),1,2c,1,[14.575210469738106],1.0,14.575210469738106,AB11C17,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals",GGA,Al-K-O,0.000784997586152,-3.379337824560344,4.675599999999999,3,Orthorhombic,mmm,Cmcm,oxide,K,,,,Al,,O,,,,,"B $\in$ [-1, -0.1]",Negative B,2.9548565157394506
mp-863678,KZn4(SbO4)3,2.736809016388308,0.1195464825323944,Cuboctahedron,1,1a,1,[0.8622490616398191],0.0,0.8622490616398191,AB3C4D12,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,K-O-Sb-Zn,0.0,-1.9203241388624992,1.6514000000000002,4,Trigonal,3,R3,oxide,K,,Zn,,,Sb,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.067506171557136
mp-866662,K5La4Si4O16F,0.5607306754033214,1.1458614522943793,"Bicapped square prism (opposite faces), Pentagonal bipyramid",2,"4g, 1b",2,"[3.3453146014762, 1.553702109827837]",0.0,2.4495083556520187,AB4C4D5E16,2,2,1,"[7.0, 10.0]","[7.0, 8.0]",8.5,7.0,10.0,7.5,7.0,8.0,1.0,1.0,1.0,1.5,1,2,"O2-, F-","Alkali Metals, Halogens, Lanthanides, Metalloids, Nonmetals",GGA,F-K-La-O-Si,0.0,-3.311082736708333,4.6591000000000005,5,Tetragonal,-4,I-4,fluoride,K,,,,,Si,"O, S",F,,La,,B > 1,Positive B,2.8276205752281642
mp-867920,K2Rh2O5,1.8313676705803013,0.422483779919063,"Cube, Cuboctahedron",2,"1a, 1b",2,"[3.131121101969699, 0.5823686502438441]",0.0,1.8567448761067715,A2B2C5,2,2,1,"[12.0, 8.0]","[12.0, 8.0]",10.0,8.0,12.0,10.0,8.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,K-O-Rh,0.0,-1.229401517722222,0.0,3,Tetragonal,4/mmm,P4/mmm,oxide,K,,Rh,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.834302605373492
mp-8696,K3Na(SeO4)2,2.43711440926408,0.2279772810772198,"Bicapped square prism (adjacent faces), Icosahedron",2,"2d, 1b",2,"[2.562593170767923, 7.857144466535154]",0.5,5.209868818651539,AB2C3D8,2,2,1,"[10.0, 12.0]","[10.0, 12.0]",11.0,10.0,12.0,11.0,10.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",SCAN,K-Na-O-Se,0.003379660357144,-1.788362359844056,3.5425,4,Trigonal,-3m,P-3m1,oxide,"Na, K",,,,,,"N, O, S, Se",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.005867277135743
mp-8709,KIn(GeO3)2,2.746204605593344,0.0220150837785902,Bicapped octahedron (cap faces with one edge in common),1,2e,1,[2.7987913918902203],0.0,2.7987913918902203,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals",GGA,Ge-In-K-O,0.00854391641667,-2.121082943891665,2.3143,4,Monoclinic,2/m,C2/c,oxide,K,,,,In,Ge,O,I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.7793189016903064
mp-8794,K4UO5,2.6547512439488847,0.0921731138886558,Octahedron,1,"2i, 1h, 1c",3,"[3.533020959854314, 3.244703922167428, 4.708574060967188, 3.823111113976048, 4.4336066661752]",0.0,3.9486033446280357,AB4C5,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Nonmetals",r2SCAN,K-O-U,0.0,-2.6296852469000003,2.1712,3,Triclinic,-1,P-1,oxide,K,,,,,,O,,,,U,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.7984797331162903
mp-9157,K3AlO3,1.8207309035941184,0.6030944618616714,"Trigonal bipyramid, Octahedron",2,"2i, 2g, 2h",3,"[8.537282432392331, 5.012194242282952, 7.529477137794145]",1.0,7.02631793748981,AB3C3,2,3,1,"[4.0, 5.0, 6.0]","[4.0, 5.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals",r2SCAN,Al-K-O,0.0,-2.257201830250001,2.8977,3,Monoclinic,2/m,C2/m,oxide,K,,,,Al,,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.79752212031093
