material_id,chem_formula,R$_0$,B,Zn_chemenv,num_Zn_chemenvs,Zn_wyckoff,num_Zn_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Zn_sites,num_CN_env,num_charge_states,ZnX_coordn,ZnO_coordn,mean_coordn_Zn-X,min_coordn_Zn-X,max_coordn_Zn-X,mean_coordn_Zn-O,min_coordn_Zn-O,max_coordn_Zn-O,mean_Zn_charge,min_Zn_charge,max_Zn_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_ZnO_BondL
mp-2714640,NaTaZn3(SO4)6,1.7914468173106664,0.272933411760546,Octahedron,1,"1c, 1b, 1a",3,"[0.48198914908809604, 0.127840124404717, 0.6880181661823761, 0.195666339859165, 0.282707342216031, 0.28767636821201703, 0.15948219698661, 0.1403376299146, 0.128093942091556]",0.0,0.27686791766168534,ABC3D6E24,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Na-O-S-Ta-Zn,0.007399426351194,-2.009868058772743,1.366299999999999,5,Trigonal,3,P3,sulfate,Na,,"Zn, Ta",,,,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1026934011239096
mp-2714652,Na2MgZn(SO4)3,1.66232196734185,0.4089562896247702,Octahedron,1,1a,1,"[0.48734036630931105, 0.48670939073013403, 0.456789125274276, 0.38212694780342804, 0.45472207344067606, 0.38147625111972705]",0.0,0.44152735911292534,ABC2D3E12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Mg-Na-O-S-Zn,0.017474542653512,-2.154861141241682,4.681699999999999,5,Triclinic,1,P1,sulfate,Na,Mg,Zn,,,,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1154660844627537
mp-2714661,NaNbZn3(SO4)6,1.7905168247306755,0.2761476683274553,Octahedron,1,"1c, 1b, 1a",3,"[0.517263238021206, 0.13467440590311502, 0.7883322897153251, 0.210351081213267, 0.315360582108264, 0.279414808739406, 0.16890738693311502, 0.146364276716477, 0.14427230747709602]",0.0,0.3005489307585857,ABC3D6E24,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Na-Nb-O-S-Zn,0.006641112303572,-1.979297919610838,0.8480000000000001,5,Trigonal,3,P3,sulfate,Na,,"Zn, Nb",,,,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1054346872118255
mp-2714687,Na2Ti3Zn5(SO4)12,1.847312710464277,0.2087554607249134,Octahedron,1,1a,1,"[0.24248202691599102, 0.263802836321102, 0.26961497586896205, 0.21286103403113601, 0.347162593459138, 0.328384696147277, 0.347987389188378, 0.141900078084212, 0.286450577080165, 0.40127771856716304, 0.25231514383555403, 0.127283312245597, 0.10415600774619801, 0.072395915886815, 0.09370836133729]",0.0,0.2327855111143319,A2B3C5D12E48,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Na-O-S-Ti-Zn,0.0,-2.088688762801315,1.6793,5,Triclinic,1,P1,sulfate,Na,,"Ti, Zn",,,,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0791769563619673
mp-2714689,NaZnGa3(SO4)6,1.888528386857541,0.1571170860288038,Octahedron,1,"1c, 1a",2,"[0.138667241718191, 0.265284053006871, 0.262383920092439]",0.0,0.22211173827250033,ABC3D6E24,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Ga-Na-O-S-Zn,0.016043171547599,-1.947019252348934,3.3853,5,Trigonal,3,P3,sulfate,Na,,Zn,,Ga,,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0624455706777116
mp-2714694,Na2Zn2(SO4)3,1.6351090366636272,0.4257119142406533,Octahedron,1,12f,1,[0.311363360198324],0.0,0.311363360198324,A2B2C3D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Na-O-S-Zn,0.031736834013151,-1.970362467118876,4.292,4,Monoclinic,2/m,C2/c,sulfate,Na,,Zn,,,,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1068258210748616
mp-2714703,NaLa3Zn(SO4)6,1.4820030596639169,0.6273273804595122,Octahedron,1,"1c, 1a",2,"[0.040928397650921, 0.363759978042967, 0.35093895278491505]",0.0,0.25187577615960105,ABC3D6E24,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,La-Na-O-S-Zn,0.027167929404741,-2.453639547467981,4.2137,5,Trigonal,3,P3,sulfate,Na,,Zn,,,,"N, O, S",,,La,,"B $\in$ [0.5, 1]",Positive B,2.1764146178528927
mp-2714706,Na6Ti7Zn(PO4)12,1.730974523510086,0.307729319987727,no_data,1,no_data,1,no_data,0.0,no_data,AB6C7D12E48,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Na-O-P-Ti-Zn,0.018457688548642,-2.926436852125993,2.1464,5,Triclinic,1,P1,phosphate,Na,,"Ti, Zn",,,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0814241531890247
mp-2714707,NaAl3Zn(SO4)6,1.8772136028238773,0.164332567128241,Octahedron,1,"1c, 1a",2,"[0.220581067668488, 0.333369402843251, 0.33430179578880304]",0.0,0.2960840887668474,ABC3D6E24,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Al-Na-O-S-Zn,0.011794082732142,-2.232692217610838,5.1162,5,Trigonal,3,P3,sulfate,Na,,Zn,,Al,,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.059117363683843
mp-2714729,Na6ZnSn7(PO4)12,1.686049164746198,0.3792344757117517,Octahedron,1,1a,1,"[0.709204771794223, 0.704665159065283, 0.5437889155537581]",0.0,0.6525529488044214,AB6C7D12E48,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Na-O-P-Sn-Zn,0.019320640367118,-2.50774622084221,2.4987999999999992,5,Triclinic,1,P1,phosphate,Na,,Zn,,Sn,,"N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.117926843445882
