material_id,chem_formula,R$_0$,B,Be_chemenv,num_Be_chemenvs,Be_wyckoff,num_Be_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Be_sites,num_CN_env,num_charge_states,BeX_coordn,BeO_coordn,mean_coordn_Be-X,min_coordn_Be-X,max_coordn_Be-X,mean_coordn_Be-O,min_coordn_Be-O,max_coordn_Be-O,mean_Be_charge,min_Be_charge,max_Be_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_BeO_BondL
mp-1208515,Tb2Be2SiO7,1.3644594891809132,0.3952357503430842,Tetrahedron,1,4e,1,[0.46149003674569505],0.0,0.46149003674569505,AB2C2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-O-Si-Tb,0.0,-3.5810270248611102,5.1182,4,Tetragonal,-42m,P-42_1m,oxide,,Be,,,,"B, Si","O, S",,,Tb,,"B $\in$ [0.1, 0.5]",Positive B,1.6444495600913545
mp-1208778,Sr2SmBeO5,2.129738076694369,-0.6687914686914713,Tetrahedron,1,4c,1,[0.039255002876737],0.0,0.039255002876737,ABC2D5,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-O-Sm-Sr,0.015718832939813,-3.144075671944444,0.0,4,Orthorhombic,mmm,Pnma,oxide,,"Be, Sr",,,,B,"O, S",,,Sm,,"B $\in$ [-1, -0.1]",Negative B,1.665923651905707
mp-1208779,Sr2NdBeO5,2.072752460052965,-0.5930416999303444,Tetrahedron,1,4c,1,[0.046786487091711],0.0,0.046786487091711,ABC2D5,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-Nd-O-Sr,0.007751844675926,-3.129707903055554,0.0,4,Orthorhombic,mmm,Pnma,oxide,,"Be, Sr",,,,B,"N, O, S",,,Nd,,"B $\in$ [-1, -0.1]",Negative B,1.6614679001758388
mp-1208818,Sr2LaBeO5,2.013371648932498,-0.5076286703988678,Tetrahedron,1,4c,1,[0.046998374931550006],0.0,0.046998374931550006,ABC2D5,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-La-O-Sr,0.009051647175926,-3.154625205555556,0.0,4,Orthorhombic,mmm,Pnma,oxide,,"Be, Sr",,,,B,"O, S",,,La,,"B $\in$ [-1, -0.1]",Negative B,1.6613253140199378
mp-1208884,Sm2Be2SiO7,1.3454464206294212,0.4349393850927384,Tetrahedron,1,4e,1,[0.43201541632607204],0.0,0.43201541632607204,AB2C2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-O-Si-Sm,0.0,-3.548922657083332,5.1019,4,Tetragonal,-42m,P-42_1m,oxide,,Be,,,,"B, Si","O, S",,,Sm,,"B $\in$ [0.1, 0.5]",Positive B,1.6535161513364292
mp-1209324,RbBePO4,1.5675797934621192,0.1006129286447606,Tetrahedron,1,4a,1,[0.020543624220328002],0.0,0.020543624220328002,ABCD4,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Be-O-P-Rb,0.0,-2.881756237806122,4.9629,4,Orthorhombic,mm2,Pna2_1,phosphate,Rb,Be,,,,B,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6373371173915545
mp-1209882,Nd2Be2GeO7,1.3312207915708547,0.4618608335021484,Tetrahedron,1,4e,1,[0.521076292909428],0.0,0.521076292909428,AB2C2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-Ge-Nd-O,0.0,-3.2384237737499992,4.3178,4,Tetragonal,-42m,P-42_1m,oxide,,Be,,,,"B, Ge","N, O",,,Nd,,"B $\in$ [0.1, 0.5]",Positive B,1.6583233181431827
mp-1210044,NdEu2BeO5,0.4376307498089071,1.738951196988273,Tetrahedron,1,4c,1,[0.17732533218586402],0.0,0.17732533218586402,ABC2D5,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-Eu-Nd-O,0.000269468194442,-3.3907701363888902,0.0,4,Orthorhombic,mmm,Pnma,oxide,,Be,,,,B,"N, O",,,"Nd, Eu",,B > 1,Positive B,1.643159656102678
mp-1210829,Lu2Be2SiO7,1.4119186830621144,0.3134562385580551,Tetrahedron,1,4e,1,[0.5378364361821231],0.0,0.5378364361821231,AB2C2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-Lu-O-Si,0.013585066875016,-3.596297815277777,5.2839,4,Tetragonal,-42m,P-42_1m,oxide,,Be,,,,"B, Si","O, S",,,Lu,,"B $\in$ [0.1, 0.5]",Positive B,1.634285095746927
mp-1210839,Lu2Be2GeO7,1.4045586427636847,0.3220927346297049,Tetrahedron,1,4e,1,[0.7442112100634101],0.0,0.7442112100634101,AB2C2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-Ge-Lu-O,0.024284135546877,-3.291327234444444,4.2438,4,Tetragonal,-42m,P-42_1m,oxide,,Be,,,,"B, Ge",O,,,Lu,,"B $\in$ [0.1, 0.5]",Positive B,1.632981367833735
