material_id,chem_formula,R$_0$,B,S_chemenv,num_S_chemenvs,S_wyckoff,num_S_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_S_sites,num_CN_env,num_charge_states,SX_coordn,SO_coordn,mean_coordn_S-X,min_coordn_S-X,max_coordn_S-X,mean_coordn_S-O,min_coordn_S-O,max_coordn_S-O,mean_S_charge,min_S_charge,max_S_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_SO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-5126,ZnSO4,1.6017768949224318,0.3137370339122882,Tetrahedron,1,4c,1,[0.07557064388581901],0.0,0.07557064388581901,ABC4,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.474919878304374,r2SCAN,O-S-Zn,0.0,-1.5844343263020821,3.823299999999999,3,Orthorhombic,mmm,Pnma,sulfate,None,None,Zn,None,None,None,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-5285,SrSO4,1.5439289912210432,0.17236093574088546,"Tetrahedron, Bicapped square prism (adjacent faces)",2,4c,1,"[8.288368827869528, 0.015410346077605]",0.5,4.151889586973566,ABC4,2,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals",1.4761144429625834,r2SCAN,O-S-Sr,0.0,-2.436359903385417,5.9178,3,Orthorhombic,mmm,Pnma,sulfate,None,Sr,None,None,None,None,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-532575,Na13Ca7S12(O16F)3,1.619994317918395,0.31669647088692043,no_data,1,no_data,1,no_data,0.0,no_data,A3B7C12D13E48,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Halogens, Nonmetals",1.492329165055222,GGA,Ca-F-Na-O-S,0.001972910993968,-2.498058694734109,5.244499999999999,5,Monoclinic,m,Pm,fluoride,Na,Ca,None,None,None,None,"C, N, O, S",F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-532590,LiMgCr7(SO4)12,1.6385038917738108,0.3801675034751317,Tetrahedron,1,1a,1,"[0.046121419960115005, 0.053233797115726005, 0.056120471687504, 0.060033805492835005, 0.042810037796305, 0.06037495118236601, 0.05031644991587501, 0.12413471023698501, 0.050883920953678004, 0.051290805877242, 0.05795885151447801, 0.07636972043491501]",0.0,0.060804078514002,ABC7D12E48,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",1.4846464490675164,GGA_U,Cr-Li-Mg-O-S,0.004807484221021,-2.059654313454106,2.7801,5,Triclinic,1,P1,sulfate,Li,Mg,Cr,None,None,None,"C, O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-532701,Na3Mg3In(SO4)6,1.606148957267294,0.29910032436135153,Tetrahedron,1,1a,1,"[0.045938069685305005, 0.027244424074779002, 0.06996811432944901, 0.045457202067616005, 0.06308725272858301, 0.057799134097029005, 0.060075964932763, 0.057291239979854004, 0.030408565228672003, 0.064811062824195, 0.047666069977655004, 0.063127048831514]",0.0,0.052739512396451166,AB3C3D6E24,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Halogens, Nonmetals, Post-Transition Metals",1.485215378648148,GGA,In-Mg-Na-O-S,0.0,-2.25151374015688,3.7666,5,Triclinic,1,P1,sulfate,Na,Mg,None,None,In,None,"N, O, S",I,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-532759,LiZnCr3(SO4)6,1.618606658948001,0.3288035677633134,Tetrahedron,1,1a,1,"[0.039729039701294, 0.029313761559793, 0.045355862444307005, 0.031647142394788004, 0.05114055552510301, 0.046429014395003, 0.043003920604299, 0.05241249283326101, 0.038389337343928, 0.041607859972626005, 0.039677217173662, 0.057914420021126005]",0.0,0.043051718664099174,ABC3D6E24,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.485445582661806,GGA_U,Cr-Li-O-S-Zn,0.009555367535712001,-2.008340651380951,0.0,5,Triclinic,1,P1,sulfate,Li,None,"Cr, Zn",None,None,None,"C, O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-540686,CsPr(SO4)2,1.439848797679611,-0.13388676152759477,no_data,1,no_data,1,no_data,0.0,no_data,ABC2D8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",1.4941295662859817,GGA,Cs-O-Pr-S,0.0,-2.5486680576101532,5.4295,4,Orthorhombic,mmm,Pnna,sulfate,Cs,None,None,None,None,None,"C, O, P, S",None,None,Pr,None,"B $\in$ [-1, -0.1]",Negative B
mp-540981,CsHSO4,2.1739485120581237,1.7082579824797535,Tetrahedron,1,4e,1,[0.110699408647649],0.0,0.110699408647649,ABCD4,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",1.4817614370552117,SCAN,Cs-H-O-S,0.004962081071433,-1.95452436762931,5.2874,4,Monoclinic,2/m,P2_1/c,bisulfate,Cs,None,None,None,None,None,"H, C, O, S",None,None,None,None,B > 1,Positive B
mp-541081,NaMg2H3(SO4)2,1.5646304159061841,0.04705034776343107,Triangular non-coplanar,1,2i,1,"[0.19062877249882001, 0.46692012192033405]",0.0,0.32877444720957705,AB2C2D3E8,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",1.5511237943283076,GGA,H-Mg-Na-O-S,0.041496817460938,-2.030936267820581,4.8723,5,Monoclinic,2/m,C2/m,sulfate,Na,Mg,None,None,None,None,"H, N, O, S",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-541093,Nb2Hg3S(O2F5)2,1.560697743553661,0.3254840452902779,Tetrahedron,1,2a,1,[0.06645375300570701],0.0,0.06645375300570701,AB2C3D4E10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",1.4886002999575343,GGA,F-Hg-Nb-O-S,0.0,-2.515471557999999,2.3509,5,Orthorhombic,mm2,Fdd2,fluoride,None,None,"Nb, Hg",None,None,None,"H, N, O, S",F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
