material_id,chem_formula,R$_0$,B,Mg_chemenv,num_Mg_chemenvs,Mg_wyckoff,num_Mg_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Mg_sites,num_CN_env,num_charge_states,MgX_coordn,MgO_coordn,mean_coordn_Mg-X,min_coordn_Mg-X,max_coordn_Mg-X,mean_coordn_Mg-O,min_coordn_Mg-O,max_coordn_Mg-O,mean_Mg_charge,min_Mg_charge,max_Mg_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_MgO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1020860,Rb2MgSi5O12,1.8707602896309559,0.11431740568661031,Tetrahedron,1,8c,1,[0.34776995728748805],0.0,0.34776995728748805,AB2C5D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",1.9504182642308816,GGA,Mg-O-Rb-Si,0.0,-3.128192425124999,4.7822,4,Orthorhombic,mmm,Pbca,oxide,Rb,Mg,None,None,None,Si,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1031034,LiMg6CrO8,1.743651323486656,0.3485550861036383,Octahedron,1,"1b, 4i, 1d",3,"[0.0018986112089150002, 0.090323090966196, 0.10203863323332]",0.0,0.06475344513614367,ABC6D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",2.1181970955155993,GGA_U,Cr-Li-Mg-O,0.044029538749998,-2.8368578020833333,3.2513,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Cr,None,None,None,"C, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1031142,LiMg6GaO8,1.8571156161850737,0.23856514573653823,Octahedron,1,"1d, 4i, 1c",3,"[0.0029767688077300004, 0.005745813031902001, 0.257645992805615]",0.0,0.088789524881749,ABC6D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",2.126614505026097,GGA,Ga-Li-Mg-O,0.049103884218750005,-2.824346687552083,4.433800000000001,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,None,None,Ga,None,O,None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1031344,LiMg6TiO8,1.8807904971161875,0.22321392472992696,Octahedron,1,"1b, 4i, 1d",3,"[0.04968542743832301, 2.8576612293097723e-06, 0.05604556530416101]",0.0,0.03524461680123778,ABC6D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",2.117935098633725,GGA,Li-Mg-O-Ti,0.0433063828125,-2.980264731666666,0.08,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Ti,None,None,None,O,None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-10320,La2MgRhO6,1.9950086932863844,0.0777741187403548,Octahedron,1,2b,1,[0.017489541029252],0.0,0.017489541029252,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.0810288856892503,GGA,La-Mg-O-Rh,0.0,-2.943168876,0.0,4,Monoclinic,2/m,P2_1/c,oxide,None,Mg,Rh,None,None,None,O,None,None,La,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1032403,LiMg6MnO8,1.8585925651888011,0.24282163790868524,Octahedron,1,"1d, 4i, 1c",3,"[0.005332600596839001, 0.003530392316093, 0.217171124865108]",0.0,0.07534470592601333,ABC6D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",2.132325937660644,GGA_U,Li-Mg-Mn-O,0.024520575312499,-2.794178793204023,1.5316,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Mn,None,None,None,O,None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1032414,LiMg6MnO8,1.7545573108382602,0.33898545722010376,Octahedron,1,"1b, 4i, 1d",3,"[0.061531960245441004, 0.007433118397071001, 0.09126078292476401]",0.0,0.05340862052242534,ABC6D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",2.1221812809239995,GGA_U,Li-Mg-Mn-O,0.028895311562499002,-2.789804056954023,0.6831,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Mn,None,None,None,O,None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1032467,LiMg6FeO8,1.7966400919578622,0.29899928400541015,Octahedron,1,"1b, 4i, 1d",3,"[0.054199565687038, 0.003954951216325, 0.07234411416251]",0.0,0.04349954368862433,ABC6D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",2.119615916492859,GGA_U,Fe-Li-Mg-O,0.025679222343748,-2.739286842083332,2.777799999999999,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Fe,None,None,None,O,F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1032500,LiMg6FeO8,1.813082858277862,0.2848361512725563,Octahedron,1,"1d, 4i, 1c",3,"[0.000824551939454, 0.014333711501815002, 0.213217017815083]",0.0,0.07612509375211733,ABC6D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",2.1299737758878328,GGA_U,Fe-Li-Mg-O,0.034435981718749,-2.730530082708332,1.939299999999999,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Fe,None,None,None,O,F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1034083,NaMg14TiO16,1.7291739187643458,0.3467191002665132,Octahedron,1,"2f, 4o, 4j, 4m",4,"[0.146513168687591, 0.036717772666094, 0.10055528347983801, 0.150111474714256]",0.0,0.10847442488694475,ABC14D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",2.114808617137114,r2SCAN,Mg-Na-O-Ti,0.04940576280771,-2.9579809367097702,0.12399999999999901,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,Ti,None,None,None,"N, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
