material_id,chem_formula,R$_0$,B,Zr_chemenv,num_Zr_chemenvs,Zr_wyckoff,num_Zr_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Zr_sites,num_CN_env,num_charge_states,ZrX_coordn,ZrO_coordn,mean_coordn_Zr-X,min_coordn_Zr-X,max_coordn_Zr-X,mean_coordn_Zr-O,min_coordn_Zr-O,max_coordn_Zr-O,mean_Zr_charge,min_Zr_charge,max_Zr_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_ZrO_BondL
mp-1197988,Rb8Zr(MoO4)6,0.5264707025841421,3.9521502214487634,Octahedron,1,1a,1,[0.360368071518237],0.0,0.360368071518237,AB6C8D24,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mo-O-Rb-Zr,0.0,-2.294839558974359,3.8611,4,Monoclinic,2/m,C2/m,oxide,Rb,,"Zr, Mo",,,,O,,,,,B > 1,Positive B,2.1289686808498427
mp-1198740,Li7Nd3Zr2O12,2.1227001886462906,0.0176550124368493,Octahedron,1,8c,1,[0.293283145774419],0.0,0.293283145774419,A2B3C7D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Li-Nd-O-Zr,0.013406111614583,-3.088062591180554,4.2749,4,Tetragonal,4/mmm,I4_1/acd,oxide,Li,,Zr,,,,"N, O",,,Nd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1298591745639723
mp-1201289,K2CaZrH16(CO3)8,2.1598578425612933,0.1147720789768292,Dodecahedron with triangular faces - p2345 plane normalized,1,1a,1,[0.19734129047071503],0.0,0.19734129047071503,ABC2D8E16F24,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,C-Ca-H-K-O-Zr,0.042166005913466,-1.693794678163461,3.077499999999999,6,Tetragonal,-4,I-4,carbonate,K,Ca,Zr,,,,"H, C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.2403151404804795
mp-1202083,SrZr4(AsO4)6,1.9095219266679788,0.4878924985534469,Octahedron,1,2c,1,"[0.017328733360918003, 0.48434267383690705]",0.0,0.2508357035989125,AB4C6D24,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,As-O-Sr-Zr,0.0,-2.574786395285715,4.0082,4,Trigonal,-3,R-3,oxide,,Sr,Zr,,,As,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1092648040845874
mp-1202377,Zr2Te4Br2O11,2.034020865567728,0.2582812080118131,Pentagonal bipyramid,1,2i,1,"[1.066373415625891, 1.095522291918253]",0.0,1.080947853772072,A2B2C4D11,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Metalloids, Nonmetals, Transition Metals",GGA,Br-O-Te-Zr,0.0,-2.164308814035088,2.8298,4,Triclinic,-1,P-1,oxide,,,Zr,,,"B, Te",O,Br,,,,"B $\in$ [0.1, 0.5]",Positive B,2.183024403822123
mp-1202818,LiZr2(AsO4)3,1.900277079304423,0.5027835060869537,Octahedron,1,4e,1,"[1.129885709657327, 0.19324407515577902]",0.0,0.6615648924065529,AB2C3D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,As-Li-O-Zr,0.0,-2.506418453657408,3.8841,4,Monoclinic,2/m,P2_1/c,oxide,Li,,Zr,,,As,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.1053686566037464
mp-1202980,Zr2Te4Cl2O11,2.0061427106757974,0.2599695932940732,Pentagonal bipyramid,1,2i,1,"[1.027025955200372, 1.050680927711477]",0.0,1.0388534414559245,A2B2C4D11,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Metalloids, Nonmetals, Transition Metals",r2SCAN,Cl-O-Te-Zr,0.0,-2.20500998745614,3.163999999999999,4,Triclinic,-1,P-1,oxide,,,Zr,,,Te,"C, O",Cl,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1550522518059485
mp-1205663,Sr2ZrTiO6,2.1934924227081565,-0.1170879930205427,Octahedron,1,1a,1,[0.500979072023228],0.0,0.500979072023228,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,O-Sr-Ti-Zr,0.044961566749999,-3.487515519416663,1.8689,4,Tetragonal,4mm,P4mm,oxide,,Sr,"Ti, Zr",,,,"O, S",,,,,"B $\in$ [-1, -0.1]",Negative B,2.093565034133635
mp-1207388,Zr3TiO8,2.0518151833106564,0.2722280419939582,"Cube, Square antiprism",2,"2d, 1b",2,"[2.565895029410758, 3.7262813543252973]",0.0,3.146088191868028,AB3C8,2,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,O-Ti-Zr,0.032136206249999,-3.633340354722222,3.2762,3,Tetragonal,-42m,I-42m,oxide,,,"Ti, Zr",,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.264352705713238
mp-1207474,Zr4N3OF5,2.2915453191586863,-0.0591415348585963,"Square antiprism, Square-face bicapped trigonal prism, Square-face capped trigonal prism",3,4e,1,"[1.447205955174543, 1.084279117654993, 1.435249332282496, 4.027850742494361]",0.0,1.9986462869015984,AB3C4D5,3,3,1,"[7.0, 7.0, 8.0]","[2.0, 1.0, 0]",7.333333333333333,7.0,8.0,1.5,0.0,2.0,4.0,4.0,4.0,2.6666666666666665,2,3,"O2-, N3-, F-","Halogens, Nonmetals, Transition Metals",r2SCAN,F-N-O-Zr,0.0,-3.129757613461538,2.3129,4,Monoclinic,2/m,P2_1/c,fluoride,,,Zr,,,,"N, O",F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.2133248216527766
