material_id,chem_formula,R$_0$,B,Si_chemenv,num_Si_chemenvs,Si_wyckoff,num_Si_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Si_sites,num_CN_env,num_charge_states,mean_coordn_Si-X,min_coordn_Si-X,max_coordn_Si-X,mean_coordn_Si-O,min_coordn_Si-O,max_coordn_Si-O,mean_Si_charge,min_Si_charge,max_Si_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_SiO_BondL,SiX_coordn,SiO_coordn
mp-556740,NaSiBO4,1.641026689419163,-0.0501402078928109,Tetrahedron,1,6c,1,"[0.023105356431744346, 0.03547140695694095, 0.06837033742208494]",0.0,0.042315700270256745,ABCD4,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,B-Na-O-Si,0.0011999991269977,-2.9082321466652976,5.5023,4,Hexagonal,6,P6_3,oxide,Na,,,,,"B, Si","N, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.6410175849406563,[4.0],[4.0]
mp-556771,Nd2Si2O7,1.6213384965342057,0.2392566053740929,Tetrahedron,1,4a,1,"[0.15408760124024679, 0.2066418181547131]",0.0,0.18036470969747995,A2B2C7,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",SCAN,Nd-O-Si,0.0032729663636548,-3.474919751931812,5.0399,3,Orthorhombic,222,P2_12_12_1,oxide,,,,,,Si,"N, O, S",,,Nd,,"B $\in$ [0.1, 0.5]",Positive B,1.6215965860867758,[4.0],[4.0]
mp-556797,K2Si3SnO9,1.6434664156250691,0.3316198462440771,Tetrahedron,1,3b,1,"[0.05151478819520787, 0.0664762702961628]",0.0,0.05899552924568534,AB2C3D9,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,K-O-Si-Sn,0.0,-2.8799624708,3.8617,4,Trigonal,3,R3,oxide,K,,,,Sn,Si,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6439274129159378,[4.0],[4.0]
mp-556806,BaNa2(SiO3)2,1.6506864599245823,0.4461689353361664,Tetrahedron,1,2a,1,"[0.26134099543926975, 0.221480298949707]",0.0,0.24141064719448838,AB2C2D6,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Ba-Na-O-Si,0.0141201586363619,-2.9996366802507834,4.1731,4,Monoclinic,2,P2_1,oxide,Na,Ba,,,,"B, Si","N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6517446704978036,[4.0],[4.0]
mp-556820,Sm3Si2Cl5O6,1.6343755203230623,0.1358536073707157,Tetrahedron,1,4j,1,[0.3836379364338983],0.0,0.3836379364338983,A2B3C5D6,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Lanthanides, Metalloids, Nonmetals",GGA,Cl-O-Si-Sm,0.0,-3.2197355718750003,4.6078,4,Monoclinic,2/m,C2/m,oxide,,,,,,Si,"C, O, S",Cl,,Sm,,"B $\in$ [0.1, 0.5]",Positive B,1.6351294295976158,[4.0],[4.0]
mp-556860,Y2Si2O7,1.649516909987773,0.3092357951524592,Tetrahedron,1,2i,1,"[0.30786078333593836, 0.43183756836078824, 0.28841892693643767, 0.2718214706494334]",0.0,0.32498468732064945,A2B2C7,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA,O-Si-Y,0.0360026309848571,-3.632282304772727,4.6683,3,Triclinic,-1,P-1,oxide,,,Y,,,Si,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6507516496380266,[4.0],[4.0]
mp-556884,CaSi2(NO)2,1.6571732902577785,0.3730108111999106,Tetrahedron,1,2a,1,"[0.167080721817551, 0.07418228999053154, 0.23283835726997276, 0.21126348288301017, 0.31681793951947745, 0.08867822795050016, 0.29994018453793564, 0.19181391010017085, 0.21272018342042898, 0.16658711289678904, 0.13683601468006687, 0.12137915514303925]",0.0,0.18501146501745613,AB2C2D2,1,1,1,4.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,2,2,"N3-, O2-","Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Ca-N-O-Si,0.0,-2.400296695238096,4.3692,4,Monoclinic,2,P2_1,oxide,,Ca,,,,Si,"C, N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6280004043186465,[4.0],[1.0]
mp-556942,Ca2SiO4,1.6337484349675009,0.1646973064728932,Tetrahedron,1,4e,1,"[0.08664482914879802, 0.17659924806186436]",0.0,0.1316220386053312,AB2C4,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",SCAN,Ca-O-Si,0.0154332680357125,-3.324722757321429,4.5153,3,Monoclinic,2/m,P2_1/c,silicate,,Ca,,,,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6339061555475225,[4.0],[4.0]
mp-557027,Rb2Be2Si2O7,1.636471200923929,0.4213423492704217,Tetrahedron,1,4c,1,[0.026493328876274286],0.0,0.026493328876274286,A2B2C2D7,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Be-O-Rb-Si,0.0,-2.9720508001923074,4.3938,4,Orthorhombic,mm2,Pnn2,oxide,Rb,Be,,,,"B, Si","O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6366727714727234,[4.0],[4.0]
mp-557084,Al2CuSi2O7F2,1.6514260031521537,0.0800042412578635,Tetrahedron,1,8d,1,[0.06564437097951871],0.0,0.06564437097951871,AB2C2D2E7,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Al-Cu-F-O-Si,0.0170326795833286,-3.0863032637500005,0.6347999999999998,5,Orthorhombic,mmm,Pnma,fluoride,,,Cu,,Al,Si,"C, O, S",F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.6516628847388597,[4.0],[4.0]
mp-557123,Na2CuSi3O8,1.642187578459146,0.3171308755868344,Tetrahedron,1,4e,1,"[0.11131677593261129, 0.0723890665324638, 0.15776255409701706]",0.0,0.11382279885403072,AB2C3D8,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,Cu-Na-O-Si,0.0052240666071394,-2.529542535297617,0.4591,4,Monoclinic,2/m,P2_1/c,oxide,Na,,Cu,,,Si,"C, N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6426141668636516,[4.0],[4.0]
mp-557126,NaPr(Si3O7)2,1.6322012066298757,0.2425836757704469,Tetrahedron,1,"4j, 8k",2,"[0.25881088720005224, 0.097244560308969, 0.17876780507638856, 0.10804567037851374]",0.0,0.16071723074098088,ABC6D14,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,Na-O-Pr-Si,0.0013820153598533,-3.27630048275209,4.789,4,Orthorhombic,mmm,Ibam,oxide,Na,,,,,Si,"N, O, P, S",,,Pr,,"B $\in$ [0.1, 0.5]",Positive B,1.6349158160574586,[4.0],[4.0]
mp-557227,KCa12Si4S2O26F,1.662082516515064,0.0433501693713532,Tetrahedron,1,2c,1,"[0.02697564827890242, 0.18882026538949265]",0.0,0.10789795683419753,ABC2D4E12F26,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Halogens, Metalloids, Nonmetals",GGA,Ca-F-K-O-S-Si,0.0008353012499915,-3.2345048071684785,4.2813,6,Trigonal,-3m,R-3m,fluoride,K,Ca,,,,Si,"C, O, S",F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.6553699462209963,[4.0],[4.0]
