material_id,chem_formula,R$_0$,B,In_chemenv,num_In_chemenvs,In_wyckoff,num_In_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_In_sites,num_CN_env,num_charge_states,mean_coordn_In-X,min_coordn_In-X,max_coordn_In-X,mean_coordn_In-O,min_coordn_In-O,max_coordn_In-O,mean_In_charge,min_In_charge,max_In_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_InO_BondL,InX_coordn,InO_coordn
mp-2715463,Na3In2(PO4)3,1.8027063794523048,0.5138305008350106,Octahedron,1,2a,1,"[0.5248927482026808, 0.5636556819873101, 0.5844187805959267, 0.5791029634330344, 0.5772033730986567, 0.5646159794280124]",0.0,0.5656482544576035,A2B3C3D12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Post-Transition Metals",GGA,In-Na-O-P,0.0230055320833333,-2.518483636736657,3.4267000000000003,4,Monoclinic,m,Cc,phosphate,Na,,,,In,,"N, O, P",I,,,,"B $\in$ [0.5, 1]",Positive B,2.160302547412835,[6.0],[6.0]
mp-2715465,Na3InGa(PO4)3,1.826290493619848,0.4738243082241802,Octahedron,1,1a,1,"[1.1587132157711115, 0.9926533619217341, 1.2013955668569278, 0.6077872009706995, 0.6058204344930676, 0.6158638349487309]",0.0,0.8637056024937119,ABC3D3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Post-Transition Metals",GGA,Ga-In-Na-O-P,0.0299419741666611,-2.533391406028324,3.5346,5,Triclinic,1,P1,phosphate,Na,,,,"Ga, In",,"N, O, P",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.156428801664521,[6.0],[6.0]
mp-2715466,Na3AlIn(PO4)3,1.8766669164833083,0.3931915434020806,Octahedron,1,1a,1,"[0.8758593791462312, 0.9696471286501156, 0.8023841209591216, 0.6502404819762037]",0.0,0.824532777682918,ABC3D3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Post-Transition Metals",GGA,Al-In-Na-O-P,0.0309371995416656,-2.6876058188616576,3.8286,5,Triclinic,1,P1,phosphate,Na,,,,"Al, In",,"N, O, P",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.151590194775601,[6.0],[6.0]
mp-2715469,Na6NbIn3Si2(PO6)4,1.85868772997,0.4483822577132487,Octahedron,1,1a,1,"[1.172441940893732, 0.8543763429966643, 1.1016580835544152, 0.558652701437517, 0.6318987327396994, 0.5046125925254898, 0.7799053401764784, 0.9605830680522368, 0.7073132054987923]",0.0,0.8079380008750028,AB2C3D4E6F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-Na-Nb-O-P-Si,0.0447042482500021,-2.6218379034211825,2.6242,6,Triclinic,1,P1,oxide,Na,,Nb,,In,Si,"N, O, P, S",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1728918444935714,[6.0],[6.0]
mp-2715515,Na3ScIn(PO4)3,1.8845658273903176,0.4095820245955053,Octahedron,1,1a,1,"[0.8843704575868281, 0.941526867688343, 0.6665455506268437, 0.693676686423362]",0.0,0.7965298905813443,ABC3D3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-Na-O-P-Sc,0.0121153595000009,-2.7934103148616574,3.8559,5,Triclinic,1,P1,phosphate,Na,,Sc,,In,,"N, O, P, S",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1709662483173133,[6.0],[6.0]
mp-2715527,Na2Ta6In2Si7S5O48,1.9526090873624649,0.2776095173207509,Octahedron,1,1a,1,"[0.6136563368704684, 0.7063842962839597, 0.6346238198167381, 0.6583457187737428, 0.36578361913831936, 0.40637270113619206]",0.0,0.56419441533657,A2B2C5D6E7F48,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-Na-O-S-Si-Ta,0.0465345571428592,-2.723059949989408,2.4307,6,Triclinic,1,P1,oxide,Na,,Ta,,In,Si,"N, O, S",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.169054762220607,[6.0],[6.0]
mp-2715539,Na7Sc2In2SiP5O24,1.6877185458631192,0.6943818380945341,Octahedron,1,1a,1,"[0.5258182122698678, 0.9978679828160086, 1.0096832724569333, 0.6890287669792653, 0.6963591692950528, 0.5298831982049095]",0.0,0.7414401003370062,AB2C2D5E7F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-Na-O-P-Sc-Si,0.0225487806199176,-2.785160806004946,3.7229,6,Triclinic,1,P1,oxide,Na,,Sc,,In,Si,"N, O, P, S",I,,,,"B $\in$ [0.5, 1]",Positive B,2.171349873643683,[6.0],[6.0]
mp-2715557,Na2Nb3InSi2(PO6)4,1.9758654465572083,0.2198721080625739,Octahedron,1,1a,1,"[0.22095718271071155, 0.2456510640024371, 0.44213274857971996]",0.0,0.3029136650976229,AB2C2D3E4F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-Na-Nb-O-P-Si,0.0229135947916709,-2.84961997698139,2.2768,6,Triclinic,1,P1,oxide,Na,,Nb,,In,Si,"N, O, P, S",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.132618019481583,[6.0],[6.0]
mp-2715621,Na7Y2In2SiP5O24,1.6889050707426556,0.7003018001418501,Octahedron,1,1a,1,"[0.7022849205140892, 0.707952847720266, 0.6660090233316465, 0.7355661249624074, 0.6844172481032312, 0.7135382144907325]",0.0,0.7016280631870622,AB2C2D5E7F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-Na-O-P-Si-Y,0.0292022854674822,-2.7915568755984417,3.6753,6,Triclinic,1,P1,oxide,Na,,Y,,In,Si,"N, O, P, S",I,,,,"B $\in$ [0.5, 1]",Positive B,2.176596327856985,[6.0],[6.0]
mp-2715638,Na7In4SiP5O24,1.695336809066487,0.6756770381072822,Octahedron,1,1a,1,"[0.5255722745109389, 0.5717107365586852, 0.8158028008476067, 0.7657229880555775, 0.8129364623024377, 0.6994756521242593, 0.6822330287073805, 0.590880989267034, 0.6516994258413279, 0.7794692244899686, 0.5261408785426859, 0.6569874361457255]",0.0,0.6732193247828023,AB4C5D7E24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals",GGA,In-Na-O-P-Si,0.0289717528455417,-2.5232602378748643,3.246,5,Triclinic,1,P1,oxide,Na,,,,In,Si,"N, O, P, S",I,,,,"B $\in$ [0.5, 1]",Positive B,2.16537033980301,[6.0],[6.0]
