material_id,chem_formula,R$_0$,B,Ir_chemenv,num_Ir_chemenvs,Ir_wyckoff,num_Ir_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ir_sites,num_CN_env,num_charge_states,IrX_coordn,IrO_coordn,mean_coordn_Ir-X,min_coordn_Ir-X,max_coordn_Ir-X,mean_coordn_Ir-O,min_coordn_Ir-O,max_coordn_Ir-O,mean_Ir_charge,min_Ir_charge,max_Ir_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_IrO_BondL
mp-1195131,Sr3CaIr2O9,1.890940633295862,0.582042218742522,Octahedron,1,4e,1,"[0.099999705695599, 0.11798997664831201]",0.0,0.10899484117195551,AB2C3D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA,Ca-Ir-O-Sr,0.0,-2.378208411333334,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,"Ca, Sr",Ir,,,,"C, O, S",I,,,,"B $\in$ [0.5, 1]",Positive B,1.9990273372875806
mp-1198098,La3IrO7,1.9377396713123392,0.3813069687978847,Octahedron,1,4e,1,"[0.6804986936512051, 0.232742511759705]",0.0,0.456620602705455,AB3C7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Ir-La-O,0.021000318295454,-3.056486025340909,0.0,3,Monoclinic,2/m,P2_1/c,oxide,,,Ir,,,,O,I,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.0083505428503203
mp-1198129,Nd3IrO7,1.9579950964962527,0.1795172973382864,Octahedron,1,"2c, 2a",2,"[0.5433608661056121, 0.46095790031385003]",0.0,0.5021593832097311,AB3C7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",r2SCAN,Ir-Nd-O,0.0,-3.002844181136364,0.0,3,Monoclinic,2/m,P2_1/c,oxide,,,Ir,,,,"N, O",I,,Nd,,"B $\in$ [0.1, 0.5]",Positive B,1.991264777878117
mp-1199190,Ba4Bi(IrO4)3,1.854729290214518,0.5473307874266734,Octahedron,1,"2i, 1c",2,"[0.387821079867854, 0.24313956538390402, 0.19583016676792503, 0.259401916219376, 0.198636191929997]",0.0,0.2569657840338112,AB3C4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.33,4.33,4.33,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Ba-Bi-Ir-O,0.0,-2.090615967166667,0.0,4,Monoclinic,2/m,C2/m,oxide,,Ba,Ir,,Bi,B,O,I,,,,"B $\in$ [0.5, 1]",Positive B,2.0357387728574423
mp-11992,LiLa2IrO6,1.9945786008775304,0.014053982211259,Octahedron,1,2d,1,[0.005649054617931],0.0,0.005649054617931,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Ir-La-Li-O,0.0,-2.774933723833334,0.0,4,Monoclinic,2/m,P2_1/c,oxide,Li,,Ir,,,,O,I,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9971572906428168
mp-1205402,Ba3SmIr2O9,1.6092423136163478,1.419501724151213,Octahedron,1,4f,1,[0.057396257579241],0.0,0.057396257579241,AB2C3D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.5,4.5,4.5,1.0,1,1,Ir4.50+-O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Ir-O-Sm,0.0,-2.502996392666668,0.0,4,Hexagonal,6/mmm,P6_3/mmc,oxide,,Ba,Ir,,,B,"O, S",I,,Sm,,B > 1,Positive B,2.018323226670922
mp-1210185,Na4Y2(IrO4)3,1.982941287038391,0.1207175822040542,Octahedron,1,3f,1,[1.218425969097426],0.0,1.218425969097426,A2B3C4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.67,4.67,4.67,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Ir-Na-O-Y,0.0,-2.093037366453202,0.0,4,Hexagonal,-6m2,P-62m,oxide,Na,,"Y, Ir",,,,"N, O",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0136064490524177
mp-1210209,Na4Er2(IrO4)3,1.9881539028331985,0.0918954074367479,Octahedron,1,3f,1,[1.136105397015527],0.0,1.136105397015527,A2B3C4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.67,4.67,4.67,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Er-Ir-Na-O,0.0,-2.115248631691296,0.0,4,Hexagonal,-6m2,P-62m,oxide,Na,,Ir,,,,"N, O",I,,Er,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0114968712567736
mp-1210216,Na4Dy2(IrO4)3,1.987163793263764,0.1053037790913461,Octahedron,1,3f,1,[1.19016958113665],0.0,1.19016958113665,A2B3C4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.67,4.67,4.67,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Dy-Ir-Na-O,0.0,-2.108435732802408,0.0,4,Hexagonal,-6m2,P-62m,oxide,Na,,Ir,,,,"N, O",I,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.013913323464174
mp-1210223,Na4Tb2(IrO4)3,2.0378057735166704,-0.0561606060977202,Octahedron,1,3f,1,[1.196912851852934],0.0,1.196912851852934,A2B3C4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Ir-Na-O-Tb,0.0,-2.105858693754789,0.0,4,Hexagonal,-6m2,P-62m,oxide,Na,,Ir,,,,"N, O",I,,Tb,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.014889146933465
