material_id,chem_formula,R$_0$,B,Sb_chemenv,num_Sb_chemenvs,Sb_wyckoff,num_Sb_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Sb_sites,num_CN_env,num_charge_states,SbX_coordn,SbO_coordn,mean_coordn_Sb-X,min_coordn_Sb-X,max_coordn_Sb-X,mean_coordn_Sb-O,min_coordn_Sb-O,max_coordn_Sb-O,mean_Sb_charge,min_Sb_charge,max_Sb_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_SbO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-759876,Na5SbO5,1.6747310581102368,2.228699263976789,Octahedron,1,1b,1,[0.24382015258174003],0.0,0.24382015258174003,AB5C5,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",2.060109265804097,r2SCAN,Na-O-Sb,0.001006113181819,-1.841294021990595,1.653599999999999,3,Monoclinic,2,C2,oxide,Na,None,None,None,None,Sb,"N, O, S",None,None,None,None,B > 1,Positive B
mp-760060,Sb(SO4)2,2.174612494732764,-0.033445342011082776,Octahedron,1,8c,1,[0.40801041095863205],0.0,0.40801041095863205,AB2C8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Metalloids, Nonmetals",2.1678350974632945,GGA,O-S-Sb,0.008576995719737001,-1.684548557386361,0.0,3,Orthorhombic,mmm,Pbca,sulfate,None,None,None,None,None,Sb,"O, S",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-760134,NbSb3O8,2.2235349993455236,-0.1491600503721969,"Square pyramid, Octahedron",2,1a,1,"[8.477607249554445, 8.058263259481272, 0.38429298360281305, 0.29239158918629105, 8.421755278214984, 8.507044138492205, 8.29735968829583, 8.13848943982413, 0.38573789686805704, 0.302119930238259, 8.526293632406317, 8.515070368164865]",0.667,5.692202121194121,AB3C8,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,3.67,3.67,3.67,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",2.1610341635614567,GGA,Nb-O-Sb,0.0055662439583270005,-2.175503535624999,1.817899999999999,3,Triclinic,1,P1,oxide,None,None,Nb,None,None,Sb,"N, O, S",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-761281,FeSbO4,1.959091921183326,0.15073849450854906,Octahedron,1,"1b, 1a",2,"[0.8178565271080701, 0.465269554701968]",0.0,0.641563040905019,ABC4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Metalloids, Nonmetals, Transition Metals",1.9869412789631367,r2SCAN,Fe-O-Sb,0.00011288750000100001,-1.834288585833332,0.0,3,Tetragonal,4mm,I4_1md,oxide,None,None,Fe,None,None,Sb,"O, S",F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-761825,LiSb(TeO4)3,2.0451797622588606,-0.11225011671666199,Octahedron,1,1a,1,[0.8606807158359651],0.0,0.8606807158359651,ABC3D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",2.0244083860190876,GGA,Li-O-Sb-Te,0.0014468440686290001,-1.569226888431372,1.658799999999999,4,Monoclinic,2,P2,oxide,Li,None,None,None,None,"Sb, Te","O, S",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-762067,Li4Ti3V3(SbO8)2,2.4438909237203563,-0.10091400453307835,Octahedron,1,2a,1,"[2.305257670785202, 2.166685665533627]",0.0,2.2359716681594146,A2B3C3D4E16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",2.37384341093647,GGA_U,Li-O-Sb-Ti-V,0.044887989761905,-2.655216414761906,1.115399999999999,5,Triclinic,1,P1,oxide,Li,None,"Ti, V",None,None,Sb,"O, S",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-764048,Li4Fe2Ni3Sb3O16,1.9507183168495232,0.39307526456445807,Octahedron,1,1a,1,"[0.380574054452112, 0.372820287014665, 0.45174512247935306]",0.0,0.40171315464871,A2B3C3D4E16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",2.0230311714813163,GGA_U,Fe-Li-Ni-O-Sb,0.047356937642856006,-1.799107586904762,0.689199999999999,5,Triclinic,1,P1,oxide,Li,None,"Fe, Ni",None,None,Sb,"N, O, S",F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-764385,Li4Fe3Cu3(SbO8)2,2.0400397948109066,0.004787343176163772,Octahedron,1,1a,1,"[0.30608143495419105, 0.326359832650681]",0.0,0.31622063380243604,A2B3C3D4E16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",2.0394015443963025,GGA_U,Cu-Fe-Li-O-Sb,0.035282842433038,-1.6689839844047611,0.0,5,Monoclinic,m,Cm,oxide,Li,None,"Fe, Cu",None,None,Sb,"C, O, S",F,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-765493,Ba2Sb2O5,1.9598254712095389,0.6650193338846808,Triangular non-coplanar,1,4c,1,"[0.9531793654688271, 0.976944440862575]",0.0,0.9650619031657011,A2B2C5,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",1.9610908913533447,r2SCAN,Ba-O-Sb,0.0,-2.4892227763888912,2.5904,3,Orthorhombic,mmm,Pnma,oxide,None,Ba,None,None,None,"B, Sb","O, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-765741,Li4Mn2V3Sb3O16,1.9628182310093774,0.3805031758678154,Octahedron,1,"2b, 1a",2,"[0.48544460785889704, 0.40237254941007305]",0.0,0.4439085786344851,A2B3C3D4E16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",2.0358890608716007,GGA_U,Li-Mn-O-Sb-V,0.031044272142850004,-2.223952859971263,0.0,5,Monoclinic,m,Cm,oxide,Li,None,"V, Mn",None,None,Sb,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
