material_id,chem_formula,R$_0$,B,Y_chemenv,num_Y_chemenvs,Y_wyckoff,num_Y_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Y_sites,num_CN_env,num_charge_states,YX_coordn,YO_coordn,mean_coordn_Y-X,min_coordn_Y-X,max_coordn_Y-X,mean_coordn_Y-O,min_coordn_Y-O,max_coordn_Y-O,mean_Y_charge,min_Y_charge,max_Y_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_YO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1020706,SrY2Si3O10,1.9300854735159239,0.5439051929195641,"Square-face capped trigonal prism, Octahedron",2,2i,1,"[3.811691416344857, 2.025031229319407]",0.0,2.9183613228321317,AB2C3D10,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",2.3468130809748433,GGA,O-Si-Sr-Y,0.012435645989588,-3.5867759590625,4.9314,4,Triclinic,-1,P-1,oxide,None,Sr,Y,None,None,Si,"O, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1020714,Y4AlSiNO8,1.8122487540127197,0.6990352583504539,"Face-capped octahedron, Square-face capped trigonal prism, Octahedron",3,4e,1,"[5.187572804992657, 3.291545064458758, 2.940949024906102, 4.170138148888563]",0.25,3.89755126081152,ABCD4E8,3,3,1,"[6.0, 7.0, 7.0]","[6.0, 6.0, 7.0]",6.666666666666667,6.0,7.0,6.333333333333333,6.0,7.0,3.0,3.0,3.0,1.3333333333333333,1,2,"N3-, O2-","Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",2.395505842905628,GGA,Al-N-O-Si-Y,0.014346557287501002,-3.532447881166666,3.9046000000000003,5,Monoclinic,2/m,P2_1/c,oxide,None,None,Y,None,Al,Si,"N, O, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1020715,Sr6Y2Al4O15,2.3991225896178863,-0.1792927615353882,Octahedron,1,2c,1,[0.6165889541001911],0.0,0.6165889541001911,A2B4C6D15,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",2.2742818653530126,GGA,Al-O-Sr-Y,0.007723411836419,-3.447766316481481,3.9869,4,Monoclinic,2,C2,oxide,None,Sr,Y,None,Al,None,"O, S",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1020740,YBe2B5O11,2.2102034728906563,0.22406951794816346,Square antiprism,1,4a,1,[2.6802308404399],0.0,2.6802308404399,AB2C5D11,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",2.4291175731446595,GGA,B-Be-O-Y,0.0,-3.090871714517543,5.3906,4,Orthorhombic,mm2,Pna2_1,oxide,None,Be,Y,None,None,B,O,None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1035901,LiYMg14O16,2.6914580600974403,-0.6970660709488756,Octahedron,1,1a,1,[0.022949812672468],0.0,0.022949812672468,ABC14D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",2.207495242684001,GGA,Li-Mg-O-Y,0.046438368359375,-3.018014186354166,3.8415,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Y,None,None,None,O,None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1035918,LiYMg14O16,2.400608498821715,-0.28697807052441265,Octahedron,1,1a,1,[0.022552373852654],0.0,0.022552373852654,ABC14D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",2.201053152488667,GGA,Li-Mg-O-Y,0.046480612734375,-3.017971941979166,3.9025,4,Orthorhombic,mmm,Pmmm,oxide,Li,Mg,Y,None,None,None,O,None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1037595,NaYMg30O32,1.6046807149272273,0.869270958986679,no_data,1,no_data,1,no_data,0.0,no_data,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",2.207839663497332,GGA,Mg-Na-O-Y,0.032125768320312005,-3.011022875490301,4.225,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,Y,None,None,None,"N, O",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1037656,LiYMg30O32,2.054414577219699,0.23416461513672412,Octahedron,1,1a,1,[0.0015950812730330002],0.0,0.0015950812730330002,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",2.216894297365997,GGA,Li-Mg-O-Y,0.020977481210938002,-3.030403381145833,4.344299999999999,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Y,None,None,None,O,None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1037661,LiYMg30O32,1.9167290790299156,0.43690318489312513,no_data,1,no_data,1,no_data,0.0,no_data,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",2.2195846327856628,GGA,Li-Mg-O-Y,0.020209441210937002,-3.031171421145833,4.311299999999999,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Y,None,None,None,O,None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1037716,YMg30CuO32,1.7524487261838548,0.671493094872936,Octahedron,1,1a,1,[0.000720635727042],0.0,0.000720635727042,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",2.2179185755919932,GGA,Cu-Mg-O-Y,0.046310274287109,-2.9716582907812503,1.0525,4,Tetragonal,4/mmm,P4/mmm,oxide,None,Mg,"Cu, Y",None,None,None,"C, O",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1037730,YMg30CuO32,1.7682052238501889,0.6404767529195294,Octahedron,1,1a,1,[0.011976418997183],0.0,0.011976418997183,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",2.2126111545346663,GGA,Cu-Mg-O-Y,0.048320610224609005,-2.96964795484375,0.8411999999999991,4,Tetragonal,4/mmm,P4/mmm,oxide,None,Mg,"Cu, Y",None,None,None,"C, O",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1041730,YSb(WO4)2,2.002348720791786,0.3965191201649526,Square antiprism,1,2e,1,[1.806796550615483],0.0,1.806796550615483,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",2.4049127042495715,GGA_U,O-Sb-W-Y,0.039379059895829,-2.434418105833332,0.0,4,Monoclinic,2/m,P2/c,oxide,None,None,"Y, W",None,None,Sb,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1041757,YBi(WO4)2,1.9170399933426023,0.5087104727089891,Square antiprism,1,2e,1,[2.178817470429213],0.0,2.178817470429213,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",2.4365961332751036,GGA_U,Bi-O-W-Y,0.018504666562503002,-2.453547619166666,1.7894,4,Monoclinic,2/m,P2/c,oxide,None,None,"Y, W",None,Bi,B,O,None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1042160,YMn(WO4)2,2.4307211262962243,-0.18147402791744088,Octahedron,1,2i,1,[1.177408215353931],0.0,1.177408215353931,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",2.2957875935361223,GGA_U,Mn-O-W-Y,0.025805019062499,-2.566241396077586,1.6614,4,Triclinic,-1,P-1,oxide,None,None,"Mn, Y, W",None,None,None,O,None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1042176,YV(WO4)2,2.540485806738428,-0.39165241855892413,Octahedron,1,2e,1,[1.039097611659363],0.0,1.039097611659363,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",2.2661093693255414,GGA_U,O-V-W-Y,0.036554183229169,-2.61175255875,1.8602,4,Monoclinic,2/m,P2/c,oxide,None,None,"V, Y, W",None,None,None,O,None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1042205,YCo(WO4)2,2.3418802372216616,-0.07716053809444931,Octahedron,1,"1d, 1a",2,"[0.9797158135039501, 0.834600407783179]",0.0,0.9071581106435646,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",2.2864457526491537,GGA_U,Co-O-W-Y,0.031811689479157,-2.411102331250001,1.6945000000000001,4,Monoclinic,2,P2,oxide,None,None,"Co, Y, W",None,None,None,"C, O",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1042328,YMo(WO4)2,2.4899438906352303,-0.30854004366221455,Octahedron,1,2f,1,[0.8846051993485651],0.0,0.8846051993485651,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",2.2737924140045975,GGA_U,Mo-O-W-Y,0.013579423229170001,-2.484737683749999,1.8828,4,Monoclinic,2/m,P2/c,oxide,None,None,"Y, Mo, W",None,None,None,O,None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1042339,YFe(WO4)2,2.4356070572124175,-0.18730036477980475,Octahedron,1,1a,1,"[1.336437007708972, 1.319532540600109]",0.0,1.3279847741545405,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",2.2963591506947405,GGA_U,Fe-O-W-Y,0.026453615312499002,-2.468656441666667,1.792699999999999,4,Triclinic,-1,P-1,oxide,None,None,"Fe, Y, W",None,None,None,O,F,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1042471,BaYCoCuO5,1.1271858552261476,1.3181048246729665,Cube,1,1a,1,[0.05081144561167],0.0,0.05081144561167,ABCDE5,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",2.421728247964574,GGA_U,Ba-Co-Cu-O-Y,0.039010675229695,-2.328158312777779,0.0,5,Tetragonal,4mm,P4mm,oxide,None,Ba,"Co, Cu, Y",None,None,B,"C, O",None,None,None,None,B > 1,Positive B
mp-1047019,Sr2YAlFe2O7,1.5651806446664274,1.4086200300639924,Cube,1,2a,1,[2.134210320483853],0.0,2.134210320483853,ABC2D2E7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",2.407688165371287,GGA_U,Al-Fe-O-Sr-Y,0.043374861314103,-2.827538141538461,1.377899999999999,5,Orthorhombic,mm2,Ima2,oxide,None,Sr,"Fe, Y",None,Al,None,"O, S",F,None,None,None,B > 1,Positive B
mp-1047110,YAg(WO4)2,2.272733059548142,0.07867075367072354,Octahedron,1,1g,1,[1.003900993799076],0.0,1.003900993799076,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",2.333106753362287,GGA_U,Ag-O-W-Y,0.036485202916667,-2.328499878472222,1.9676999999999991,4,Triclinic,-1,P-1,oxide,None,None,"Y, Ag, W",None,None,None,O,None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1048385,YMn3Se2ClO8,1.8331631956975407,0.6555452081682306,Cube,1,2a,1,[0.478614159563284],0.0,0.478614159563284,ABC2D3E8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",2.467238476581368,GGA_U,Cl-Mn-O-Se-Y,0.047182378637503006,-2.035307623898708,1.8113000000000001,5,Orthorhombic,mmm,Pmmn,hypochlorite,None,None,"Mn, Y",None,None,None,"C, O, S, Se",Cl,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1078392,YSb(PbO3)2,2.224309727855674,0.052364467423173036,Octahedron,1,1a,1,[0.154503917291685],0.0,0.154503917291685,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",2.260953987759715,GGA,O-Pb-Sb-Y,0.02189566451041,-2.086140399656284,2.2943,4,Monoclinic,2/m,C2/m,oxide,None,None,Y,None,Pb,Sb,"O, P, S",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1080719,Sr2YTaO6,2.2842673195298433,-0.08833649056773117,Octahedron,1,1a,1,[0.001512677595882],0.0,0.001512677595882,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",2.2226224440048434,SCAN,O-Sr-Ta-Y,0.017271496499999,-3.569693758733333,3.825799999999999,4,Tetragonal,4/m,I4/m,oxide,None,Sr,"Y, Ta",None,None,None,"O, S",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1096960,CsY(MoO4)2,1.8522302656392977,0.5560649045540568,Square antiprism,1,2e,1,[0.9295285723426291],0.0,0.9295285723426291,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",2.405468164518309,GGA_U,Cs-Mo-O-Y,0.025687457083334003,-2.534052753721264,3.6086,4,Orthorhombic,mmm,Pccm,oxide,Cs,None,"Y, Mo",None,None,None,"C, O",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1100878,YNO4,1.970737285590285,0.43653814420821113,Square antiprism,1,4c,1,[2.588734354166901],0.0,2.588734354166901,ABC4,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",2.4051026047594197,r2SCAN,N-O-Y,0.010502589097225,-2.1346661429166662,2.7487,3,Orthorhombic,mmm,Pcca,oxide,None,None,Y,None,None,None,"N, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1100882,Y7Ta3O18,1.9683274748191129,0.45878000132831753,"Cube, Pentagonal bipyramid, Square-face capped trigonal prism",3,"1e, 1f, 2i",3,"[3.9720454678232002, 1.110137862454196, 3.75171049708806, 3.673361670471774, 1.067149357337501, 3.8182713388961282, 0.8906530395876421, 0.9177422319347001]",0.0,2.4001339331991502,A3B7C18,3,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",2.391457047471791,GGA,O-Ta-Y,0.033798266428572005,-3.6685566190000003,2.9334000000000002,3,Triclinic,-1,P-1,oxide,None,None,"Y, Ta",None,None,None,O,None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1100937,Y10Ta4O25,1.9164384188018093,0.5370351689239468,"Cube, Face-capped octahedron",2,"1b, 1a",2,"[3.991866264781282, 4.075419466205097, 3.994713689920742, 1.340765746734478, 0.8280966448859791, 0.8184769749246771, 0.8195772551332091, 0.9236151641412381, 0.7603067586157071, 0.5570449717516041, 0.9569896481692821, 4.014341754580202, 4.071779887095516, 4.095276630186277, 4.08049887626405, 3.992825904423426, 3.9714923023427, 3.946230071326168, 2.946276122678168, 3.984239254659431]",0.0,2.708491669440962,A4B10C25,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",2.4031847893216334,GGA,O-Ta-Y,0.04811132833334401,-3.664083699213681,3.0184,3,Monoclinic,m,Pm,oxide,None,None,"Y, Ta",None,None,None,O,None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1101177,Y2Hf2O7,2.284706130815242,0.08634426090265378,Octahedron,1,2g,1,[5.817916637813121],1.0,5.817916637813121,A2B2C7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",2.3079148688302547,GGA,Hf-O-Y,0.047235059431812006,-3.868027537386369,4.428199999999999,3,Monoclinic,2/m,C2/m,oxide,None,None,"Y, Hf",None,None,None,"H, O",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1101181,Y11Ta5O28,1.946261479667958,0.476593954076844,"Cube, Face-capped octahedron, Hexagonal bipyramid",3,"2g, 2f, 2i, 1c",4,"[3.591202939930101, 2.098881602948532, 3.577950236059544, 1.008387144108031, 1.862024973603913, 3.97365694199046]",0.0,2.68535063977343,A5B11C28,3,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",2.396479801191086,GGA,O-Ta-Y,0.033515085659100004,-3.638670805743952,0.345699999999999,3,Monoclinic,2/m,C2/m,oxide,None,None,"Y, Ta",None,None,None,O,None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1101793,YSeO3F,2.0759111964644066,0.31810474827878477,Pentagonal bipyramid,1,2e,1,[1.0006494626393],0.0,1.0006494626393,ABCD3,1,1,1,[7.0],[5.0],7.0,7.0,7.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,2,2,"F-, O2-","Halogens, Nonmetals, Transition Metals",2.3288558688824637,r2SCAN,F-O-Se-Y,0.0,-2.589210019010416,3.8843,4,Monoclinic,2/m,P2_1/m,fluoride,None,None,Y,None,None,None,"O, S, Se",F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1105335,KYMnWO6,2.4663396164370157,-0.003931020437470246,Square-face bicapped trigonal prism,1,2a,1,[2.143838778823691],0.0,2.143838778823691,ABCDE6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",2.43390341766123,GGA_U,K-Mn-O-W-Y,0.019553592875,-2.651699235518103,2.8095,5,Monoclinic,2,P2_1,oxide,K,None,"Mn, Y, W",None,None,None,O,None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1105374,RbYMnWO6,3.683926584473761,-1.2331878659580482,Square-face bicapped trigonal prism,1,2a,1,[2.165911805277108],0.0,2.165911805277108,ABCDE6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",2.4369918901108907,GGA_U,Mn-O-Rb-W-Y,0.030997922374998002,-2.637586802043103,2.6968,5,Monoclinic,2,P2_1,oxide,Rb,None,"Mn, Y, W",None,None,None,O,None,None,None,None,B < -1,Negative B
