material_id,chem_formula,R$_0$,B,Bi_chemenv,num_Bi_chemenvs,Bi_wyckoff,num_Bi_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Bi_sites,num_CN_env,num_charge_states,BiX_coordn,BiO_coordn,mean_coordn_Bi-X,min_coordn_Bi-X,max_coordn_Bi-X,mean_coordn_Bi-O,min_coordn_Bi-O,max_coordn_Bi-O,mean_Bi_charge,min_Bi_charge,max_Bi_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_BiO_BondL
mp-1100812,Zr4FeBiPb4O15,0.9748968911768144,2.2518189109959925,Octahedron,1,2a,1,[7.121754661522388],1.0,7.121754661522388,ABC4D4E15,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Bi-Fe-O-Pb-Zr,0.034414068849995,-2.6013954582,2.3058,5,Monoclinic,m,Cc,oxide,,,"Fe, Zr",,"Pb, Bi",B,"O, P",F,,,,B > 1,Positive B,2.467679295691607
mp-1100861,V16Bi3O32,2.162709480697237,0.953548845029236,Square plane,1,1a,1,"[0.44548611600957405, 0.21393655453741503, 0.032712597324202]",0.0,0.2307117559570637,A3B16C32,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Bi-O-V,0.021479056691186,-2.378997222156864,0.508599999999999,3,Triclinic,1,P1,oxide,,,V,,Bi,B,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.442627963068654
mp-1101536,Li3Bi(PO4)2,2.023283520812058,0.537040404398941,"Icosahedron, Octahedron",2,1a,1,"[1.2669514120865881, 1.246867263265887, 1.5438934634374282]",0.0,1.3525707129299676,AB2C3D8,2,2,1,"[6.0, 9.0]","[6.0, 9.0]",7.5,6.0,9.0,7.5,6.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Bi-Li-O-P,0.044659964166664,-2.563301716853742,3.8058,4,Triclinic,1,P1,phosphate,Li,,,,Bi,B,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.492845407007524
mp-1101629,Ba8Bi4O17,2.120694513249701,0.3119563250275478,"Square pyramid, Octahedron",2,1a,1,"[0.18012347042010501, 0.09293070882616301, 2.9642821709065243, 0.259669567789836]",0.0,0.8742514794856572,A4B8C17,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,4.5,4.5,4.5,1.0,1,1,Bi4.50+-O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Ba-Bi-O,0.022675270229886,-2.337711358103448,1.3327,3,Tetragonal,4mm,I4mm,oxide,,Ba,,,Bi,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.205488244727146
mp-1101681,Nd2(BiO2)7,2.217968913922958,0.2367633498150519,"Face-capped octahedron, Tetrahedron, Square pyramid, Trigonal bipyramid",4,1a,1,"[4.890331923558102, 3.5222190598483802, 1.125564176268385, 9.906386293774167, 8.500678177975333, 2.173654382758802, 3.60861315747277]",0.286,4.818206738807992,A2B7C14,4,3,1,"[4.0, 5.0, 7.0]","[4.0, 5.0, 7.0]",5.333333333333333,4.0,7.0,5.333333333333333,4.0,7.0,3.2900000000000005,3.29,3.29,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Post-Transition Metals",GGA,Bi-Nd-O,0.047316997527174,-2.043335826739131,0.8950999999999991,3,Monoclinic,m,Cm,oxide,,,,,Bi,B,"N, O",,,Nd,,"B $\in$ [0.1, 0.5]",Positive B,2.3436338603847986
mp-1104660,Bi(PdO2)2,2.51073464929439,0.0745360590427585,Square-face capped trigonal prism,1,2i,1,[6.859193862506214],1.0,6.859193862506214,AB2C4,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,2.0,2,2,"O-, O2-","Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,Bi-O-Pd,0.0,-0.8967017942857141,0.0,3,Triclinic,-1,P-1,oxide,,,Pd,,Bi,B,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.533067321126857
mp-1105091,CoBiAsO5,2.079751652241093,0.5099568316260821,Square pyramid,1,4i,1,[3.075051026130395],0.0,3.075051026130395,ABCD5,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,As-Bi-Co-O,0.0,-1.6534395684375,2.0761,4,Triclinic,-1,P-1,oxide,,,Co,,Bi,"B, As","C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.3114471619688115
mp-1105271,MnBiO3,1.5272002157384736,1.1780633763149695,Square-face bicapped trigonal prism,1,4c,1,[1.533987072403715],0.0,1.533987072403715,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Bi-Mn-O,0.025675421600012,-1.808453582086208,0.0,3,Orthorhombic,mmm,Pnma,oxide,,,Mn,,Bi,B,O,,,,,B > 1,Positive B,2.549168685930754
mp-1105584,VZn2BiO6,1.9276414536108697,0.6733877788169799,Square-face capped trigonal prism,1,2i,1,[3.225344454434347],0.0,3.225344454434347,ABC2D6,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Bi-O-V-Zn,0.021287609499998,-1.9875375465,2.7248,4,Triclinic,-1,P-1,oxide,,,"V, Zn",,Bi,B,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.52427088072789
mp-1105718,NiBiO3,1.4789889397608111,1.1374697177908528,"Square-face capped trigonal prism, Octahedron",2,2i,1,"[1.346448956876892, 3.825761012244085]",0.0,2.5861049845604884,ABC3,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Bi-Ni-O,0.020718875250009,-1.344834674,0.0,3,Triclinic,-1,P-1,oxide,,,Ni,,Bi,B,"N, O",,,,,B > 1,Positive B,2.340974535222599
