material_id,chem_formula,R$_0$,B,As_chemenv,num_As_chemenvs,As_wyckoff,num_As_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_As_sites,num_CN_env,num_charge_states,AsX_coordn,AsO_coordn,mean_coordn_As-X,min_coordn_As-X,max_coordn_As-X,mean_coordn_As-O,min_coordn_As-O,max_coordn_As-O,mean_As_charge,min_As_charge,max_As_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_AsO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1096784,Ni(AsO2)2,1.819034738937675,0.5011428077143025,Triangular non-coplanar,1,8h,1,[1.276617466530841],0.0,1.276617466530841,AB2C4,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",1.822354489973513,r2SCAN,As-Ni-O,0.0,-1.536824326785713,2.7724,3,Tetragonal,4/mmm,P4_2/mbc,oxide,None,None,Ni,None,None,As,"N, O",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1096874,Co(AsO2)2,1.8181903867433313,0.4087738851055617,Triangular non-coplanar,1,8h,1,[1.24357514955539],0.0,1.24357514955539,AB2C4,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",1.8208974388714054,r2SCAN,As-Co-O,0.013419314999999002,-1.522453137500001,1.4247,3,Tetragonal,4/mmm,P4_2/mbc,oxide,None,None,Co,None,None,As,"C, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1105091,CoBiAsO5,1.7565079704524056,0.12291704719485327,Tetrahedron,1,4i,1,[0.07346342610380001],0.0,0.07346342610380001,ABCD5,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",1.7296282966405205,GGA_U,As-Bi-Co-O,0.0,-1.6534395684375,2.0761,4,Triclinic,-1,P-1,oxide,None,None,Co,None,Bi,"B, As","C, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1105233,Ba(AsO3)2,1.7930509979450093,0.36484188688034763,"Octahedron, Tetrahedron",2,2e,1,"[1.051833247047239, 1.365854972926936]",0.0,1.2088441099870875,AB2C6,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",1.7984159194872198,r2SCAN,As-Ba-O,0.0,-2.188986189444444,2.7763,3,Monoclinic,2/m,C2/c,oxide,None,Ba,None,None,None,"B, As",O,None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1105278,KAsO3,1.8195169919626728,0.4852267769855338,Tetrahedron,1,4a,1,[0.586253999745042],0.0,0.586253999745042,ABC3,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",1.7158263178737914,r2SCAN,As-K-O,0.010709009749995,-1.928226401199999,3.3848000000000003,3,Orthorhombic,222,P2_12_12_1,oxide,K,None,None,None,None,As,O,None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1105528,Pr5As2ClO10,1.819982124061082,3.039138598059398,Triangular non-coplanar,1,2i,1,[0.830314622281611],0.0,0.830314622281611,AB2C5D10,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Metalloids, Nonmetals",1.8200541331914675,GGA,As-Cl-O-Pr,0.0,-3.202888005740741,3.2745,4,Monoclinic,2/m,C2/m,hypochlorite,None,None,None,None,None,As,"C, O, P",Cl,None,Pr,None,B > 1,Positive B
mp-1173826,Na7As11O31,1.81028738040728,0.3977680525912603,no_data,1,no_data,1,no_data,0.0,no_data,A7B11C31,3,3,1,"[4.0, 5.0, 6.0]","[4.0, 5.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",1.8503861323943107,GGA,As-Na-O,0.0,-1.819513673683438,2.1627,3,Triclinic,1,P1,oxide,Na,None,None,None,None,As,"N, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1176418,Na2BiAsCO7,1.7504920799421833,0.22290904617626506,Tetrahedron,1,2e,1,[0.072152117379863],0.0,0.072152117379863,ABCD2E7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",1.700790852408059,r2SCAN,As-Bi-C-Na-O,0.0,-1.939039629813212,3.480299999999999,5,Monoclinic,2/m,P2_1/m,oxide,Na,None,None,None,Bi,"B, As","C, N, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1177164,Li4VAs2O9,1.853917766078458,0.5785527330661038,Tetrahedron,1,8f,1,[0.6732873825374891],0.0,0.6732873825374891,AB2C4D9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",1.725177875545224,GGA_U,As-Li-O-V,0.045154135468746005,-2.1825237019270842,2.9741,4,Tetragonal,4/mmm,P4/ncc,oxide,Li,None,V,None,None,As,O,None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1178156,K2AsPCO7,1.8980339015529224,0.40460138866235384,Square pyramid,1,2e,1,[4.131069018741227],0.0,4.131069018741227,ABCD2E7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",2.125154699723029,GGA,As-C-K-O-P,0.013530992812499,-2.193028965345237,4.0808,5,Monoclinic,2/m,P2_1/m,oxide,K,None,None,None,None,As,"C, O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
