material_id,chem_formula,R$_0$,B,Re_chemenv,num_Re_chemenvs,Re_wyckoff,num_Re_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Re_sites,num_CN_env,num_charge_states,ReX_coordn,ReO_coordn,mean_coordn_Re-X,min_coordn_Re-X,max_coordn_Re-X,mean_coordn_Re-O,min_coordn_Re-O,max_coordn_Re-O,mean_Re_charge,min_Re_charge,max_Re_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_ReO_BondL
mp-686110,Li(ReO3)5,1.9059497536313263,0.032706734980961,Octahedron,1,"1g, 2i, 1d, 1e, 1b",5,"[0.028547962894021003, 0.021004755480819003, 0.023209825010677, 0.027591727052898002, 0.025196626980197003, 0.041075301635905004, 0.029895745083153003, 0.031149223545371002, 0.039636245137014005, 0.035242077008233, 0.02147190075853, 0.031096246651446002]",0.0,0.029593136436522005,AB5C15,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Li-O-Re,0.028476777301589,-2.123106817777778,0.0,3,Triclinic,-1,P-1,oxide,Li,,Re,,,,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9073970850344426
mp-695984,BaRe2H2O9,1.7510997967061208,-0.0067571088027706,Tetrahedron,1,2i,1,"[0.031445764901223, 0.026403626865003003, 0.031887543363328004, 0.018997154752165003]",0.0,0.02718352247042975,AB2C2D9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-H-O-Re,0.0,-2.255222034642858,3.9278999999999993,4,Triclinic,-1,P-1,oxide,,Ba,Re,,,B,"H, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.754868893149232
mp-695995,ReSbH4O7,1.7807214786816314,0.0455065618695317,Tetrahedron,1,8c,1,[0.026992246974204003],0.0,0.026992246974204003,ABC4D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA,H-O-Re-Sb,0.001910518269237,-1.670012090673077,2.9049,4,Orthorhombic,mmm,Pbca,oxide,,,Re,,,Sb,"H, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.7570652868979666
mp-696020,CaRe2H6C(NO5)2,1.7562582603041488,0.002517040260173,Tetrahedron,1,2i,1,"[0.0026442039766, 0.017285416601548]",0.0,0.009964810289074,ABC2D2E6F10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,C-Ca-H-N-O-Re,0.031872704419196,-1.679345825909091,3.3871,6,Triclinic,-1,P-1,oxide,,Ca,Re,,,,"H, C, N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.7548678436172067
mp-698001,La5Re3NiO16,1.9840974546610293,0.0764009945876309,Octahedron,1,"4i, 2a",2,"[0.09928944635941901, 0.9803815614445031]",0.0,0.539835503901961,AB3C5D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,La-Ni-O-Re,0.037142854600014,-2.9433375481,0.0,4,Triclinic,-1,P-1,oxide,,,"Ni, Re",,,,"N, O",,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.996210507348741
mp-698050,La5CoRe3O16,1.973354718171501,0.1175807190072704,Octahedron,1,"2i, 1a, 1b",3,"[0.091800486189547, 0.09383662733749701, 0.969454702959972, 0.950998297712178]",0.0,0.5265225285497985,AB3C5D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Co-La-O-Re,0.035916592700015,-2.9488634777,0.0185,4,Triclinic,-1,P-1,oxide,,,"Co, Re",,,,"C, O",,,La,,"B $\in$ [0.1, 0.5]",Positive B,1.9949007625149475
mp-698096,La5FeRe3O16,1.976408687943076,0.1081249856593154,Octahedron,1,2i,1,"[0.08923991977446301, 0.9754999687738941, 1.003443046739291]",0.0,0.6893943117625495,AB3C5D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Fe-La-O-Re,0.049177381599996,-2.953135516099999,0.0,4,Triclinic,-1,P-1,oxide,,,"Fe, Re",,,,O,F,,La,,"B $\in$ [0.1, 0.5]",Positive B,1.9962330178159773
mp-698206,Ba5Re3O16,3.906902297757708,6.155425407087502,Square pyramid,1,6c,1,[1.812061271798021],0.0,1.812061271798021,A3B5C16,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-O-Re,0.0,-2.685463896770834,0.5103,3,Hexagonal,6mm,P6_3cm,oxide,,Ba,Re,,,B,O,,,,,B > 1,Positive B,1.8388120687842706
mp-699243,La5MgRe3O16,1.9413142715678808,0.2975699589266847,Octahedron,1,"1a, 2i",2,"[0.9586264425216051, 0.08829240139307501]",0.0,0.5234594219573401,AB3C5D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,La-Mg-O-Re,0.031109370666664,-3.0983716451,0.094199999999999,4,Triclinic,-1,P-1,oxide,,Mg,Re,,,,O,,,La,,"B $\in$ [0.1, 0.5]",Positive B,1.9937234203893146
mp-707097,NaGdRe4(H2O5)4,1.7856744721953788,0.0560535990623714,Tetrahedron,1,8i,1,[0.014402856863532001],0.0,0.014402856863532001,ABC4D8E20,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Gd-H-Na-O-Re,0.0,-2.009472192981745,3.1586,5,Tetragonal,-42m,P-4n2,oxide,Na,,Re,,,,"H, N, O",,,Gd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.75521672083844
