material_id,chem_formula,R$_0$,B,Tb_chemenv,num_Tb_chemenvs,Tb_wyckoff,num_Tb_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Tb_sites,num_CN_env,num_charge_states,TbX_coordn,TbO_coordn,mean_coordn_Tb-X,min_coordn_Tb-X,max_coordn_Tb-X,mean_coordn_Tb-O,min_coordn_Tb-O,max_coordn_Tb-O,mean_Tb_charge,min_Tb_charge,max_Tb_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_TbO_BondL
mp-1195159,Tb2SeOF2,2.209762005766982,0.0820760699460729,"Square-face bicapped trigonal prism, Square-face monocapped antiprism",2,6h,1,"[1.349577868333375, 3.098970239164849]",0.0,2.224274053749112,ABC2D2,2,2,1,"[9.0, 8.0]","[1.0, 3.0]",8.5,8.0,9.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3,3,"F-, Se2-, O2-","Halogens, Lanthanides, Nonmetals",r2SCAN,F-O-Se-Tb,0.0,-3.740112495668405,2.8112999999999992,4,Hexagonal,6/m,P6_3/m,fluoride,,,,,,,"O, S, Se",F,,Tb,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.2639060497854016
mp-1195189,TbP4HO12,2.1132007117119143,0.2299866150637626,Square-face capped trigonal prism,1,4e,1,[2.744763914984776],0.0,2.744763914984776,ABC4D12,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",r2SCAN,H-O-P-Tb,0.0,-2.785404879249336,5.865,4,Monoclinic,2/m,P2_1/c,oxide,,,,,,,"H, O, P",,,Tb,,"B $\in$ [0.1, 0.5]",Positive B,2.3152056678424633
mp-1196473,TbSbMo2O9,2.408466578923138,-0.0118979251308251,Dodecahedron with triangular faces - p2345 plane normalized,1,2e,1,"[0.43185666061714906, 1.33885317913701]",0.0,0.8853549198770795,ABC2D9,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Mo-O-Sb-Tb,0.015814496923137,-2.379057779551282,3.2235,4,Monoclinic,2/m,C2/c,oxide,,,Mo,,,Sb,"O, S",,,Tb,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.3962853018997965
mp-1197743,TbV(SeO4)2,2.4240105670414827,0.0357078987008892,"Square-face monocapped antiprism, Tricapped triangular prism (three square-face caps)",2,2e,1,"[4.616671694232871, 3.620871759246249]",0.0,4.11877172673956,ABC2D8,2,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,O-Se-Tb-V,0.000864832916667,-2.18090161094618,2.0322,4,Monoclinic,2/m,P2_1/m,oxide,,,V,,,,"O, S, Se",,,Tb,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.4746388698888553
mp-1197851,Tb2(MoO4)3,2.090639317436384,0.271527226128095,Square-face capped trigonal prism,1,4e,1,[2.7714957327976197],0.0,2.7714957327976197,A2B3C12,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Mo-O-Tb,0.000141394558824,-2.656798237549019,3.5679,3,Tetragonal,-42m,P-42_1m,oxide,,,Mo,,,,O,,,Tb,,"B $\in$ [0.1, 0.5]",Positive B,2.3242555010571064
mp-1198731,NaTb(SiO3)2,2.218085605812165,0.2056898396245861,Pentagonal bipyramid,1,4e,1,[1.648551145761844],0.0,1.648551145761844,ABC2D6,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",SCAN,Na-O-Si-Tb,0.001424607499993,-3.179643088166675,4.701799999999999,4,Monoclinic,2/m,P2_1/c,oxide,Na,,,,,Si,"N, O, S",,,Tb,,"B $\in$ [0.1, 0.5]",Positive B,2.3461290056425077
mp-1198812,TbCu(WO4)2,2.373400529570536,0.0461346667148588,"Square antiprism, Face-capped octahedron",2,2i,1,"[3.175828445126368, 2.80093735027919, 2.649001992801614]",0.0,2.8752559294023907,ABC2D8,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Cu-O-Tb-W,0.043168135711812,-2.377088294166666,1.3653,4,Triclinic,-1,P-1,oxide,,,"Cu, W",,,,"C, O",,,Tb,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.420599694641222
mp-1199026,Tb4BClO7,1.9357601957648816,0.5181027194811111,"Face-capped octahedron, Square-face capped trigonal prism, Trigonal prism",3,4e,1,"[1.956081665441228, 4.982362982297648, 8.284113262533388, 2.168122377486251]",0.25,4.347670071939629,ABC4D7,3,3,1,"[7.0, 7.0, 8.0]","[5.0, 6.0, 7.0]",7.333333333333333,7.0,8.0,6.0,5.0,7.0,3.0,3.0,3.0,2.0,2,2,"Cl-, O2-","Halogens, Lanthanides, Metalloids, Nonmetals",GGA,B-Cl-O-Tb,0.0,-3.720197822371794,4.7323,4,Monoclinic,2/m,P2_1/c,hypochlorite,,,,,,B,"C, O",Cl,,Tb,,"B $\in$ [0.5, 1]",Positive B,2.3462669497173887
mp-1199480,KTbH2C2SO9,2.348040028799754,0.0493489349076605,Square-face bicapped trigonal prism,1,4e,1,[1.4085400891539661],0.0,1.4085400891539661,ABCD2E2F9,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,C-H-K-O-S-Tb,0.03398619791903,-2.143985147432292,3.0575,6,Monoclinic,2/m,P2_1/c,oxide,K,,,,,,"H, C, O, S",,,Tb,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.3997743818810164
mp-1199562,Na2TbPWO8,1.9747195582006056,0.4536736772562241,Dodecahedron with triangular faces - p2345 plane normalized,1,4d,1,[0.55452155196909],0.0,0.55452155196909,ABCD2E8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Na-O-P-Tb-W,0.007943532115396,-2.8002153524283173,4.7698,5,Orthorhombic,mmm,Ibca,oxide,Na,,W,,,,"N, O, P",,,Tb,,"B $\in$ [0.1, 0.5]",Positive B,2.385645635761601
