material_id,chem_formula,R$_0$,B,Fe_chemenv,num_Fe_chemenvs,Fe_wyckoff,num_Fe_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Fe_sites,num_CN_env,num_charge_states,mean_coordn_Fe-X,min_coordn_Fe-X,max_coordn_Fe-X,mean_coordn_Fe-O,min_coordn_Fe-O,max_coordn_Fe-O,mean_Fe_charge,min_Fe_charge,max_Fe_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_FeO_BondL,FeX_coordn,FeO_coordn,elements
mp-1210021,NaFeAsO4F,1.7927918539478718,0.3459077796558333,Octahedron,1,4a,1,[0.051436584521493994],0.0,0.051436584521493994,ABCDE4,1,1,1,6.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2,2,"F-, O2-",GGA_U,As-F-Fe-Na-O,0.0,-2.051367177047413,1.5887000000000002,5,Monoclinic,2/m,C2/c,fluoride,Na,,Fe,,,As,"N, O",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.01750770658183,[6.0],[4.0],"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals"
mp-1210261,NaCr2FeO8,1.8332725979149007,0.1628882088871,Octahedron,1,1a,1,[0.0483957044756943],0.0,0.0483957044756943,ABC2D8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Cr-Fe-Na-O,0.0031629434374993,-1.7350843817816075,1.7069,4,Monoclinic,2/m,C2/m,oxide,Na,,"Cr, Fe",,,,"C, N, O",F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.946310614173408,[6.0],[6.0],"Alkali Metals, Halogens, Nonmetals, Transition Metals"
mp-1210319,NdFeGe2O7,1.947334747245136,0.0583723796319679,Trigonal bipyramid,1,4e,1,[1.7187186270123456],0.0,1.7187186270123456,ABC2D7,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Fe-Ge-Nd-O,0.0107738577272717,-2.455060316590908,2.813,4,Monoclinic,2/m,P2_1/c,oxide,,,Fe,,,Ge,"N, O",F,,Nd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9772622267960327,[5.0],[5.0],"Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals"
mp-1210320,Na6Fe(SO4)4,2.2938940612161423,-0.1440985836732754,Octahedron,1,2a,1,[0.19754730086317093],0.0,0.19754730086317093,AB4C6D16,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,GGA_U,Fe-Na-O-S,0.0,-2.132832850121327,4.276,4,Monoclinic,2/m,P2_1/c,sulfate,Na,,Fe,,,,"N, O, S",F,,,,"B $\in$ [-1, -0.1]",Negative B,2.1350977664428807,[6.0],[6.0],"Alkali Metals, Halogens, Nonmetals, Transition Metals"
mp-1210323,NaAl5FeP4(H5O12)2,1.8951987693305088,0.2196815089283762,Octahedron,1,2d,1,[3.2054497997422904],0.0,3.2054497997422904,ABC4D5E10F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,GGA_U,Al-Fe-H-Na-O-P,0.0112680703888852,-2.425336600721127,4.577999999999999,6,Monoclinic,2/m,C2/c,oxide,Na,,Fe,,Al,,"H, N, O, P",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1385182819125563,[6.0],[6.0],"Alkali Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals"
mp-1210392,Na2ZnFe2(PO4)3,1.821396635565075,0.3895355377053682,Octahedron,1,4f,1,[1.4007684628793133],0.0,1.4007684628793133,AB2C2D3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Fe-Na-O-P-Zn,0.0296646047083353,-2.39229880283436,0.0,5,Monoclinic,2/m,C2/c,phosphate,Na,,"Fe, Zn",,,,"N, O, P",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.088584550382821,[6.0],[6.0],"Alkali Metals, Halogens, Nonmetals, Transition Metals"
mp-1210421,NaCaZrFeSi2O8F,1.8698513829728007,0.286581993453395,Octahedron,1,4e,1,[1.2843648841803434],0.0,1.2843648841803434,ABCDEF2G8,1,1,1,6.0,6.0,6.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2,2,"F-, O2-",GGA_U,Ca-F-Fe-Na-O-Si-Zr,0.00633088113889,-3.167338320425287,3.7187,7,Monoclinic,2/m,P2_1/c,fluoride,Na,Ca,"Fe, Zr",,,Si,"C, N, O, S",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.201430116507922,[6.0],[5.0],"Alkali Metals, Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Transition Metals"
mp-1210430,Na2ZrFeSi2O8F,1.8878308721250363,0.2624545577582654,Octahedron,1,4e,1,[0.9134137611757119],0.0,0.9134137611757119,ABCD2E2F8,1,1,1,6.0,6.0,6.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,2,2,"F-, O2-",GGA_U,F-Fe-Na-O-Si-Zr,0.0075691507222304,-2.965033171183907,2.8616,6,Monoclinic,2/m,P2_1/c,fluoride,Na,,"Fe, Zr",,,Si,"N, O, S",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0722819846295435,[6.0],[5.0],"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals"
mp-1210544,Na2Fe2Ni(PO4)3,1.7392133735310888,0.5097668761578393,Octahedron,1,4f,1,[1.4892714791936075],0.0,1.4892714791936075,AB2C2D3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Fe-Na-Ni-O-P,0.0176260246250192,-2.3410687523343583,0.3422999999999998,5,Monoclinic,2/m,C2/c,phosphate,Na,,"Fe, Ni",,,,"N, O, P",F,,,,"B $\in$ [0.5, 1]",Positive B,2.083942165024548,[6.0],[6.0],"Alkali Metals, Halogens, Nonmetals, Transition Metals"
mp-1210561,Na2MgFe2(PO4)3,1.83073425001028,0.3790939522808553,Octahedron,1,4f,1,[1.470558308380391],0.0,1.470558308380391,AB2C2D3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Fe-Mg-Na-O-P,0.0128717355416601,-2.54746118633436,0.3233999999999999,5,Monoclinic,2/m,C2/c,phosphate,Na,Mg,Fe,,,,"N, O, P",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0883499195002475,[6.0],[6.0],"Alkali Metals, Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals"
