material_id,chem_formula,R$_0$,B,C_chemenv,num_C_chemenvs,C_wyckoff,num_C_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_C_sites,num_CN_env,num_charge_states,mean_coordn_C-X,min_coordn_C-X,max_coordn_C-X,mean_coordn_C-O,min_coordn_C-O,max_coordn_C-O,mean_C_charge,min_C_charge,max_C_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_CO_BondL,CX_coordn,CO_coordn
mp-1176329,Na5Ni2P(CO4)4,1.4158500496284174,0.4230370580779289,Trigonal plane,1,4f,1,"[0.005659467469305136, 0.007530958523739521]",0.0,0.006595212996522329,AB2C4D5E16,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Na-Ni-O-P,0.0484570246205278,-1.919097095769265,0.0,5,Monoclinic,2/m,C2/c,oxide,Na,,Ni,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2941994557013394,[3.0],[3.0]
mp-1176341,Na5Mn2P2(CO7)2,1.4491412396729466,0.5185222128559159,Trigonal plane,1,1a,1,"[0.037397416048038916, 0.005116515534667255, 0.06049039414953076, 0.03397028674690292]",0.0,0.03424365311978496,A2B2C2D5E14,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Mn-Na-O-P,0.0077505895999996,-2.326645396081774,0.1070999999999999,5,Triclinic,1,P1,oxide,Na,,Mn,,,,"C, N, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.3001411490375585,[3.0],[3.0]
mp-1176343,Na5LiFe2P2(CO7)2,1.3757601183023804,0.2639749994145517,Trigonal plane,1,1a,1,"[0.008791380458561515, 0.0017875527115519887, 0.004685880558333078, 0.00202390173795267]",0.0,0.004322178866599813,AB2C2D2E5F14,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,C-Fe-Li-Na-O-P,0.0144667030769216,-2.276976860942907,3.6433,6,Triclinic,1,P1,oxide,"Li, Na",,Fe,,,,"C, N, O, P",F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2998633249524885,[3.0],[3.0]
mp-1176345,Na5Fe2P2(CO7)2,1.46387531987078,0.5701121564493601,Trigonal plane,1,2i,1,"[0.054423205733775785, 0.003059003603406661]",0.0,0.028741104668591224,A2B2C2D5E14,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,C-Fe-Na-O-P,0.0110888979999987,-2.2516748306472905,0.6225,5,Triclinic,-1,P-1,oxide,Na,,Fe,,,,"C, N, O, P",F,,,,"B $\in$ [0.5, 1]",Positive B,1.3000814502811078,[3.0],[3.0]
mp-1176347,Na5Fe2P2(CO7)2,1.4898334102134918,0.6635039556785103,Trigonal plane,1,2i,1,"[0.05319869174276367, 0.007686286700568269]",0.0,0.03044248922166597,A2B2C2D5E14,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,C-Fe-Na-O-P,0.0063807559999986,-2.2563829726472897,1.7834,5,Triclinic,-1,P-1,oxide,Na,,Fe,,,,"C, N, O, P",F,,,,"B $\in$ [0.5, 1]",Positive B,1.299183551127393,[3.0],[3.0]
mp-1176348,Na5Fe2P2(CO7)2,1.457708354407956,0.5494900257256692,Trigonal plane,1,2i,1,"[0.004318379252694576, 0.04887540072312663]",0.0,0.026596889987910603,A2B2C2D5E14,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,C-Fe-Na-O-P,0.009099879999999,-2.2536638486472897,1.2907000000000002,5,Triclinic,-1,P-1,oxide,Na,,Fe,,,,"C, N, O, P",F,,,,"B $\in$ [0.5, 1]",Positive B,1.2998133075211602,[3.0],[3.0]
mp-1176351,Na3Li3Fe2P2(CO7)2,1.334642868116831,0.1225165713801746,Trigonal plane,1,1a,1,"[0.015572975617613127, 0.010619216206952095]",0.0,0.013096095912282611,A2B2C2D3E3F14,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,C-Fe-Li-Na-O-P,0.0246173125000028,-2.3023940212855245,3.8891,6,Triclinic,1,P1,oxide,"Li, Na",,Fe,,,,"C, N, O, P",F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2994376982960336,[3.0],[3.0]
mp-1176352,Na5Mn2P2(CO7)2,1.4403772452465469,0.4879105056434935,Trigonal plane,1,2i,1,"[0.04743237342813587, 0.039863710457832706]",0.0,0.043648041942984286,A2B2C2D5E14,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Mn-Na-O-P,0.0014492463999999,-2.332946739281773,0.6247999999999998,5,Triclinic,-1,P-1,oxide,Na,,Mn,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3002345381642468,[3.0],[3.0]
mp-1176354,Na3Li3Fe2P2(CO7)2,1.3550426667791078,0.1865850099330242,Trigonal plane,1,1a,1,"[0.010947295874887276, 0.013177487286304527, 0.0036676186045606824, 0.009264348603404271]",0.0,0.00926418759228919,A2B2C2D3E3F14,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,C-Fe-Li-Na-O-P,0.0268417613461569,-2.3001695724393705,3.9236,6,Triclinic,1,P1,oxide,"Li, Na",,Fe,,,,"C, N, O, P",F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3014401973801917,[3.0],[3.0]
mp-1176357,Na5Mn2P2(CO7)2,1.4465762263172524,0.5159238975671308,Trigonal plane,1,"1b, 1a",2,"[0.04133012783509853, 0.0012407050907298693, 0.0869660417919253, 0.03343172005356758, 0.023072227680760737, 0.14153575815560202]",0.0,0.054596096767947334,A2B2C2D5E14,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Mn-Na-O-P,0.0024213935999997,-2.3319745920817727,0.0,5,Monoclinic,m,Pm,oxide,Na,,Mn,,,,"C, N, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.2984558579510228,[3.0],[3.0]
