material_id,chem_formula,R$_0$,B,Ca_chemenv,num_Ca_chemenvs,Ca_wyckoff,num_Ca_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ca_sites,num_CN_env,num_charge_states,CaX_coordn,CaO_coordn,mean_coordn_Ca-X,min_coordn_Ca-X,max_coordn_Ca-X,mean_coordn_Ca-O,min_coordn_Ca-O,max_coordn_Ca-O,mean_Ca_charge,min_Ca_charge,max_Ca_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_CaO_BondL
mp-1019745,K2Ca3Si3O10,1.259240042566956,1.0772215058013683,"Octahedron, Pentagonal bipyramid",2,"4f, 2e",2,"[1.474479404730122, 2.584021486612586]",0.0,2.0292504456713543,A2B3C3D10,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Ca-K-O-Si,0.009612258333333,-3.194926496083334,4.7685,4,Monoclinic,2/m,C2/c,oxide,K,Ca,,,,Si,"C, O, S",,,,,B > 1,Positive B,2.49452745924857
mp-1019746,K2Ca4Si8O21,2.236372996226112,0.2131391647643909,"Trigonal prism, Face-capped octahedron",2,2i,1,"[3.594686278381208, 2.584926034933004]",0.0,3.0898061566571062,A2B4C8D21,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Ca-K-O-Si,0.0,-3.287697046557144,4.594,4,Triclinic,-1,P-1,oxide,K,Ca,,,,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.485258642933434
mp-1019747,K2Ca3Si3O10,1.8209820890146584,0.5408267601992998,Octahedron,1,2i,1,"[1.138807190421858, 2.718310676472726, 4.185685145471404]",0.0,2.6809343374553296,A2B3C3D10,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Ca-K-O-Si,0.0,-3.204538754416666,4.1123,4,Triclinic,-1,P-1,oxide,K,Ca,,,,Si,"C, O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.4201583732069376
mp-1020009,Li2Ca2Si2O7,1.986049823140273,0.3853403855538683,"Trigonal prism, Octahedron",2,"6a, 6b",2,"[1.435583813749743, 5.350237032751978]",0.5,3.3929104232508607,A2B2C2D7,2,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Ca-Li-O-Si,0.010006000705129,-3.192593183846154,4.7409,4,Hexagonal,622,P6_122,oxide,Li,Ca,,,,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.4224053822638774
mp-1020641,Rb2Ca2(SiO3)3,2.413819148265858,-0.1047198906721353,"Trigonal prism, Square pyramid",2,2a,1,"[8.637964765510787, 2.723980932245761]",0.5,5.680972848878274,A2B2C3D9,2,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Ca-O-Rb-Si,0.0,-3.167380317812501,4.133500000000001,4,Monoclinic,m,Pc,oxide,Rb,Ca,,,,Si,"C, O, S",,,,,"B $\in$ [-1, -0.1]",Negative B,2.3172555663628014
mp-1020683,NaCa(PO3)3,1.7884462344422951,0.552396537905455,Square-face bicapped trigonal prism,1,2i,1,[1.273747282508052],0.0,1.273747282508052,ABC3D9,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",GGA,Ca-Na-O-P,0.0,-2.858141192521992,5.4489,4,Triclinic,-1,P-1,phosphite,Na,Ca,,,,,"C, N, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.5208515171646635
mp-10299,Ca4PdO6,0.8969180540440945,1.2987726426110413,"Trigonal prism, Square antiprism",2,"2a, 6e",2,"[1.871064571096861, 2.147087565126495]",0.0,2.009076068111678,AB4C6,2,2,1,"[6.0, 8.0]","[6.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",r2SCAN,Ca-O-Pd,0.0,-2.553049070454544,1.822699999999999,3,Trigonal,-3m,R-3c,oxide,,Ca,Pd,,,,"C, O, P",,,,,B > 1,Positive B,2.4781823089100827
mp-10347,CsCa2Ta3O10,1.911063257038365,0.4618002484563873,Cuboctahedron,1,2h,1,[0.14259810004491202],0.0,0.14259810004491202,AB2C3D10,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Ca-Cs-O-Ta,0.02355284802828,-3.318698403853449,2.1798,4,Tetragonal,4/mmm,P4/mmm,oxide,Cs,Ca,Ta,,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.7868810550695167
mp-1040806,CaLaTaCrO6,1.6969694032338396,0.6523176705046329,Square-face capped trigonal prism,1,4a,1,[2.505249913220025],0.0,2.505249913220025,ABCDE6,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ca-Cr-La-O-Ta,0.03514532087499,-3.291822536483333,2.104599999999999,5,Monoclinic,m,Pc,oxide,,Ca,"Cr, Ta",,,,"C, O",,,La,,"B $\in$ [0.5, 1]",Positive B,2.527373000227852
mp-1040822,CaCr3(P2O7)2,3.49801760035714,-0.6131696151914344,Cube,1,2b,1,[2.195452126068506],0.0,2.195452126068506,AB3C4D14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Cr-O-P,0.026352107613634,-2.671128187435065,2.3839,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,Cr,,,,"C, O, P",,,,,"B $\in$ [-1, -0.1]",Negative B,2.6386389289989056
