material_id,chem_formula,R$_0$,B,U_chemenv,num_U_chemenvs,U_wyckoff,num_U_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_U_sites,num_CN_env,num_charge_states,UX_coordn,UO_coordn,mean_coordn_U-X,min_coordn_U-X,max_coordn_U-X,mean_coordn_U-O,min_coordn_U-O,max_coordn_U-O,mean_U_charge,min_U_charge,max_U_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_UO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1191464,UTe(PbO4)2,2.114977357918711,1.4321329461833312,Octahedron,1,2b,1,[0.7236844297853271],0.0,0.7236844297853271,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Metalloids, Nonmetals, Post-Transition Metals",2.1259016434678033,GGA,O-Pb-Te-U,0.0,-2.284696672638887,1.745,4,Monoclinic,2/m,P2_1/c,oxide,None,None,None,None,Pb,Te,"O, P",None,None,None,U,B > 1,Positive B
mp-1192547,Ba2U(PO5)2,2.3029559495580636,1.1214466361143802,Octahedron,1,2i,1,[3.026290992249162],0.0,3.026290992249162,AB2C2D10,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkaline Earth Metals, Metalloids, Nonmetals",2.1232982408105103,GGA,Ba-O-P-U,0.0,-3.33624709795238,2.1977,4,Triclinic,-1,P-1,oxide,None,Ba,None,None,None,B,"O, P",None,None,None,U,B > 1,Positive B
mp-1192578,K2Ca4U(SiO4)4,2.0927139236429815,1.073796358254985,Octahedron,1,1b,1,[0.6764700847926111],0.0,0.6764700847926111,AB2C4D4E16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",2.1036354639308343,GGA,Ca-K-O-Si-U,0.001786890154304,-3.346679059425926,2.0773,5,Triclinic,-1,P-1,silicate,K,Ca,None,None,None,Si,"C, O, S",None,None,None,U,B > 1,Positive B
mp-1192638,Cs4U3Si4O17,2.144511498426584,0.1141764086001231,Octahedron,1,"2i, 1b",2,"[0.132520093536816, 0.15009397856611]",0.0,0.141307036051463,A3B4C4D17,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,4.5,4.0,5.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Metalloids, Nonmetals",2.1800265890484294,r2SCAN,Cs-O-Si-U,0.0,-3.256705192629312,0.023500000000000004,4,Monoclinic,2/m,C2/m,oxide,Cs,None,None,None,None,Si,"C, O, S",None,None,None,U,"B $\in$ [0.1, 0.5]",Positive B
mp-1193709,UTeO5,2.0767922535917656,0.3160276319974291,Pentagonal bipyramid,1,4a,1,[2.749830297711646],0.0,2.749830297711646,ABC5,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Metalloids, Nonmetals",2.2362823898610453,GGA,O-Te-U,0.0009394139285770001,-2.7039030527380943,1.8424,3,Orthorhombic,mm2,Pca2_1,oxide,None,None,None,None,None,Te,O,None,None,None,U,"B $\in$ [0.1, 0.5]",Positive B
mp-1194022,CsNa3U4(MoO10)2,2.0775041063827615,0.5730550467467679,Pentagonal bipyramid,1,2i,1,"[2.483464808300282, 2.014148231928275]",0.0,2.2488065201142784,AB2C3D4E20,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Nonmetals, Transition Metals",2.210409412319813,GGA_U,Cs-Mo-Na-O-U,0.0,-2.947905821126436,1.791799999999999,5,Triclinic,-1,P-1,oxide,"Na, Cs",None,Mo,None,None,None,"C, N, O",None,None,None,U,"B $\in$ [0.5, 1]",Positive B
mp-1194254,U(BO2)4,1.9628007801289882,0.6796367455232838,Bicapped square prism (adjacent faces),1,2e,1,[2.899396702282809],0.0,2.899396702282809,AB4C8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Metalloids, Nonmetals",2.4294357802001096,GGA,B-O-U,0.036986485256406,-2.980851654743588,0.0,3,Monoclinic,2/m,C2/c,metaborate,None,None,None,None,None,B,O,None,None,None,U,"B $\in$ [0.5, 1]",Positive B
mp-1194480,UPO5,2.2612339713988927,-0.06147075781907334,Octahedron,1,4f,1,[3.992974444453374],0.0,3.992974444453374,ABC5,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Actinides, Nonmetals",2.204853688159362,GGA,O-P-U,0.029508868571390002,-3.19967051280612,0.0,3,Orthorhombic,mmm,Cmce,oxide,None,None,None,None,None,None,"O, P",None,None,None,U,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1194519,K4Eu2U(GeO4)4,2.110229450781916,1.4061105521036488,Octahedron,1,1e,1,[0.7121605053597071],0.0,0.7121605053597071,AB2C4D4E16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Lanthanides, Metalloids, Nonmetals",2.120116743003646,GGA,Eu-Ge-K-O-U,0.029932174753086002,-2.6096114666296293,0.0,5,Triclinic,-1,P-1,oxide,K,None,None,None,None,Ge,O,None,None,Eu,U,B > 1,Positive B
mp-1194764,K4U3(AsO8)2,2.0238009421032985,0.9571381026517901,"Pentagonal bipyramid, Square plane",2,"2d, 4e",2,"[2.297927489327911, 1.1296623791732099]",0.0,1.7137949342505605,A2B3C4D16,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Metalloids, Nonmetals",2.249535415914632,GGA,As-K-O-U,0.000993767999998,-2.844375022559999,1.8696000000000002,4,Monoclinic,2/m,P2_1/c,oxide,K,None,None,None,None,As,O,None,None,None,U,"B $\in$ [0.5, 1]",Positive B
mp-1194801,K6U5As2O23,2.081888607744664,0.5432311700894963,"Pentagonal bipyramid, Octahedron",2,"2c, 4e",2,"[1.628150030197675, 2.128684493765583, 2.6317855758069912]",0.0,2.12954003325675,A2B5C6D23,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Metalloids, Nonmetals",2.199839907765469,GGA,As-K-O-U,0.0,-2.9990442977361083,1.8012000000000001,4,Monoclinic,2/m,P2_1/c,oxide,K,None,None,None,None,As,O,None,None,None,U,"B $\in$ [0.5, 1]",Positive B
mp-1194810,UVH3O7,2.0744324243038705,0.4609952675146564,Pentagonal bipyramid,1,4e,1,[1.7347489612707552],0.0,1.7347489612707552,ABC3D7,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Nonmetals, Transition Metals",2.2162252568766543,GGA_U,H-O-U-V,0.041648620520832,-2.319607172604166,2.095799999999999,4,Monoclinic,2/m,P2_1/c,oxide,None,None,V,None,None,None,"H, O",None,None,None,U,"B $\in$ [0.1, 0.5]",Positive B
mp-1194845,K2U(Si2O5)3,2.1373536575320005,0.3575435058385107,"Square-face capped trigonal prism, Octahedron",2,2i,1,"[1.111056738227732, 3.149214430071984]",0.0,2.130135584149858,AB2C6D15,2,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Metalloids, Nonmetals",2.282675023025303,GGA,K-O-Si-U,0.008686972829860001,-3.194151639979166,0.11580000000000001,4,Triclinic,-1,P-1,oxide,K,None,None,None,None,Si,"O, S",None,None,None,U,"B $\in$ [0.1, 0.5]",Positive B
mp-1195011,Na2U2O7,2.1161633567809566,0.7388962446212524,Octahedron,1,4e,1,"[1.691148288540623, 4.528208962675311]",0.0,3.109678625607967,A2B2C7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Nonmetals",2.1237152521970586,GGA,Na-O-U,0.001299833409092,-3.2729278841144183,1.6069,3,Monoclinic,2/m,P2_1/c,oxide,Na,None,None,None,None,None,"N, O",None,None,None,U,"B $\in$ [0.5, 1]",Positive B
mp-1195078,Cs6U5(AsO7)4,2.0954627156776655,0.6242855525889337,"Pentagonal bipyramid, Octahedron",2,"1f, 2i",2,"[4.73735206138009, 1.784045218066384, 2.961692141443437]",0.0,3.161029806963304,A4B5C6D28,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Metalloids, Nonmetals",2.215130551270286,GGA,As-Cs-O-U,0.0,-2.797650562510023,2.0327,4,Triclinic,-1,P-1,oxide,Cs,None,None,None,None,As,"C, O",None,None,None,U,"B $\in$ [0.5, 1]",Positive B
mp-1195125,Na5UH3S4O19,2.0534237450706114,0.9008829091933173,Pentagonal bipyramid,1,2i,1,[1.604488890942152],0.0,1.604488890942152,AB3C4D5E19,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Nonmetals",2.2333325411440863,GGA,H-Na-O-S-U,0.0012340421093740002,-2.190378323770204,1.887399999999999,5,Triclinic,-1,P-1,oxide,Na,None,None,None,None,None,"H, N, O, S",None,None,None,U,"B $\in$ [0.5, 1]",Positive B
mp-1195470,Rb4U3(AsO8)2,2.0580079490908867,0.7158820290162197,"Pentagonal bipyramid, Octahedron",2,"4f, 2e",2,"[8.226378238575732, 1.648778564821547]",0.5,4.937578401698639,A2B3C4D16,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Metalloids, Nonmetals",2.25980902104247,GGA,As-O-Rb-U,0.0,-2.8365866923999983,1.9191999999999991,4,Monoclinic,2/m,P2_1/m,oxide,Rb,None,None,None,None,As,O,None,None,None,U,"B $\in$ [0.5, 1]",Positive B
mp-1195515,K2U(Si2O5)3,2.0451740023047624,0.5318603442943237,Octahedron,1,4f,1,[0.378570240561072],0.0,0.378570240561072,AB2C6D15,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Metalloids, Nonmetals",2.261389001096411,GGA,K-O-Si-U,0.008337351371526,-3.1945012614375,0.016,4,Monoclinic,2/m,C2/c,oxide,K,None,None,None,None,Si,"O, S",None,None,None,U,"B $\in$ [0.5, 1]",Positive B
