material_id,chem_formula,R$_0$,B,B_chemenv,num_B_chemenvs,B_wyckoff,num_B_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_B_sites,num_CN_env,num_charge_states,mean_coordn_B-X,min_coordn_B-X,max_coordn_B-X,mean_coordn_B-O,min_coordn_B-O,max_coordn_B-O,mean_B_charge,min_B_charge,max_B_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_BO_BondL,BX_coordn,BO_coordn
mp-764502,Li3Fe4(BO3)4,1.3911099774640363,0.2613247142145652,Trigonal plane,1,1a,1,"[0.021327892279083466, 0.037886109966260635, 0.010291267371124941, 0.004528962583982332, 0.0058918325698565106, 0.005350566869926081, 0.015147996461304495, 0.035529979313603466]",0.0,0.01699432592689274,A3B4C4D12,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Fe-Li-O,0.03430625206519,-2.2998179239855063,1.3877000000000002,4,Triclinic,1,P1,orthoborate,Li,,Fe,,,B,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3915979262857594,[3.0],[3.0]
mp-764554,Li5Fe8(BO3)8,1.3891702838261195,0.2565913760216865,Trigonal plane,1,1a,1,"[0.05058823527936926, 0.022669921884545963, 0.01270104112871221, 0.026436235811228483, 0.02626781642632013, 0.04833064760856684, 0.01867008795251059, 0.042809017926165684]",0.0,0.031059125502177393,A5B8C8D24,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Fe-Li-O,0.0499184913680572,-2.2834718944444434,1.3078,4,Triclinic,1,P1,orthoborate,Li,,Fe,,,B,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3901014116324666,[3.0],[3.0]
mp-764654,Li5Fe8(BO3)8,1.3893561322148194,0.2959819334071752,Trigonal plane,1,1a,1,"[0.030233140985462315, 0.006105358751625546, 0.014381343415526597, 0.005878081174551177, 0.002812986353889084, 0.01220010573856055, 0.017431505425323405, 0.01512850321502875]",0.0,0.013021378132495928,A5B8C8D24,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Fe-Li-O,0.0484091278125013,-2.284981258,1.3898,4,Triclinic,1,P1,orthoborate,Li,,Fe,,,B,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.389904656264374,[3.0],[3.0]
mp-764798,Li5Fe8(BO3)8,1.3890951285569593,0.2991000405236909,Trigonal plane,1,1a,1,"[0.036585561959322326, 0.026272837067730006, 0.0049559696199719065, 0.016734295109561686, 0.027228425879276864, 0.018916536139340752, 0.023400332625875146, 0.009247308915995293]",0.0,0.02041765841463425,A5B8C8D24,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Fe-Li-O,0.049832199812501,-2.283558185999999,1.4374,4,Triclinic,1,P1,orthoborate,Li,,Fe,,,B,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3901321743154509,[3.0],[3.0]
mp-764888,Li3Fe4(BO3)4,1.390892162452497,0.2840253793043265,Trigonal plane,1,1a,1,"[0.026312229275700316, 0.03488729562962966, 0.023241423839393927, 0.015857406186046002, 0.03135087997772049, 0.009921735477972468, 0.001109524428867657, 0.003848864203247329]",0.0,0.018316169877322232,A3B4C4D12,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Fe-Li-O,0.0400586185869293,-2.294065557463767,1.3589,4,Triclinic,1,P1,orthoborate,Li,,Fe,,,B,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3917139691592333,[3.0],[3.0]
mp-764896,Li7Fe8(BO3)8,1.393131836630976,0.3136811594225744,Trigonal plane,1,1a,1,"[0.013490366567853074, 0.010767101665867786, 0.018403445941833685, 0.004941232297746487, 0.024094124007843335, 0.014049890552392436, 0.017111941127728816, 0.007860042333435029]",0.0,0.01383976806183758,A7B8C8D24,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Fe-Li-O,0.0244297919680711,-2.30758293716312,0.8384,4,Triclinic,1,P1,orthoborate,Li,,Fe,,,B,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3921487612623633,[3.0],[3.0]
mp-764904,LiFe2(BO3)2,1.3861180076595132,0.3004643813108363,Trigonal plane,1,2a,1,"[0.010599040477069178, 0.003627769466450353, 0.013742045178724257, 0.006620389718945289]",0.0,0.008647311210297269,AB2C2D6,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Fe-Li-O,0.0495011821874973,-2.2771103062878777,2.219,4,Monoclinic,m,Pc,orthoborate,Li,,Fe,,,B,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3864444262972435,[3.0],[3.0]
mp-764932,Li3Fe4(BO3)4,1.3887438208924108,0.3823331925759688,Trigonal plane,1,1a,1,"[0.012041599681157682, 0.008597309951362106, 0.012903540925485941, 0.017435141425735375, 0.01680906579064902, 0.02225761117082657, 0.005310162800269688, 0.019143858515396735]",0.0,0.01431228628261039,A3B4C4D12,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Fe-Li-O,0.0366839807608423,-2.297440195289853,1.2706,4,Triclinic,1,P1,orthoborate,Li,,Fe,,,B,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3890806965178013,[3.0],[3.0]
mp-764966,Na2B8O13,1.3818888322027214,0.3296780370280753,"Tetrahedron, Trigonal plane",2,2a,1,"[0.032859625894443724, 0.040510344877516063, 0.09912417385900382, 0.047959688098912746, 0.09600896149504075, 0.03954519201251661, 0.025573107773583643, 0.015431591374970183, 0.02121289831878687, 0.04290659652535613, 0.014739977825748462, 0.02455675242712534, 0.0331684338676597, 0.046599422329131064, 0.040653034985991196, 0.02864853380893313]",0.0,0.04059364596716997,A2B8C13,2,2,1,3.5,3.0,4.0,3.5,3.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,B-Na-O,0.0092172501086942,-2.792220881569216,5.635,3,Monoclinic,2,P2_1,oxide,Na,,,,,B,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.411631533567869,"[3.0, 4.0]","[3.0, 4.0]"
mp-766175,RbInBP2HO9,1.4478484647800287,0.0692023611380917,Tetrahedron,1,2i,1,[0.05933109855177093],0.0,0.05933109855177093,ABCDE2F9,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals",R2SCAN,B-H-In-O-P-Rb,0.0,-2.517200944757936,3.8236,6,Triclinic,-1,P-1,oxide,Rb,,,,In,B,"H, O, P",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.4679074144301505,[4.0],[4.0]
mp-766484,Li11Mn12(BO3)12,1.393056764930781,0.2854610215475204,Trigonal plane,1,1a,1,"[0.0069180443599298905, 0.013510714936817755, 0.021102670738053414, 0.010407397411840914, 0.00601403534754258, 0.018375166616890596, 0.0070442536617015645, 0.011901119404883285, 0.010885360762657293, 0.011367052694191426, 0.020836522428690177, 0.010205681265710741]",0.0,0.012380668302409137,A11B12C12D36,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Li-Mn-O,0.022965515387324,-2.488020231434354,0.0,4,Triclinic,1,P1,orthoborate,Li,,Mn,,,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3932627868200929,[3.0],[3.0]
mp-766500,Li5Mn3(BO3)4,1.392233464094398,0.090107309842779,Trigonal plane,1,2a,1,"[0.03503863045073355, 0.03524156478875587, 0.0087171684465768, 0.008794660600392098]",0.0,0.021948006071614578,A3B4C5D12,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Li-Mn-O,0.0401604481250013,-2.493867472796934,0.0,4,Monoclinic,m,Pc,orthoborate,Li,,Mn,,,B,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.3923255103731684,[3.0],[3.0]
mp-766507,Li5Fe3(BO3)4,1.3929860795026467,0.3292699359011783,Trigonal plane,1,2a,1,"[0.018928580208008396, 0.019979798378698482, 0.009895084835675838, 0.0315724006689611]",0.0,0.020093966022835953,A3B4C5D12,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Fe-Li-O,0.0313286378125061,-2.3754646165972217,1.6586999999999998,4,Monoclinic,m,Pc,orthoborate,Li,,Fe,,,B,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3936044889826908,[3.0],[3.0]
mp-766508,Li5Mn2Fe(BO3)4,1.3932171325455198,0.0732422655442711,Trigonal plane,1,2a,1,"[0.007129553589422159, 0.007632302606515624, 0.0390349220717563, 0.034430897175949424]",0.0,0.02205691886091088,AB2C4D5E12,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Fe-Li-Mn-O,0.0484439675520773,-2.4516706414248084,0.0,5,Monoclinic,m,Pc,orthoborate,Li,,"Mn, Fe",,,B,O,F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.3933304925113532,[3.0],[3.0]
mp-766525,Li11Mn12(BO3)12,1.394452710703187,0.2217146389036673,Trigonal plane,1,1a,1,"[0.009668518081777114, 0.004678940878440455, 0.004945875597498175, 0.007043064374636562, 0.005976648769774938, 0.005924361021756829, 0.010593127548953904, 0.022223839951536373, 0.005345778016468411, 0.00554400863893848, 0.005817458883755061, 0.004403996424593999]",0.0,0.007680468182344191,A11B12C12D36,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Li-Mn-O,0.0221964284859161,-2.488789318335762,0.0436,4,Triclinic,1,P1,orthoborate,Li,,Mn,,,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3946900347310969,[3.0],[3.0]
mp-766526,Li11Mn12(BO3)12,1.391424560131911,0.2393749881514081,Trigonal plane,1,1a,1,"[0.0016585790492327599, 0.029714252799125984, 0.0022411251482661763, 0.010686268283489177, 0.0015184557381215259, 0.010198195824999135, 0.007586398843023878, 0.0008159002428387054, 0.0010224955660373522, 0.0020306696845144674, 0.0007848843989734796, 0.0012716870645895113]",0.0,0.005794076053601014,A11B12C12D36,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Li-Mn-O,0.0220010891901409,-2.488984657631537,0.0,4,Triclinic,1,P1,orthoborate,Li,,Mn,,,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3916010207593592,[3.0],[3.0]
mp-766536,Li5Mn6(BO3)6,1.3905613800959888,0.2166439086377586,Trigonal plane,1,"4b, 2a",2,"[0.004543051961353818, 0.012392507675313445, 0.005293671992270706, 0.008994560462166236, 0.004799235771023927]",0.0,0.007204605572425626,A5B6C6D18,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Li-Mn-O,0.0333570299143062,-2.47568053969294,0.1641999999999999,4,Triclinic,1,P1,orthoborate,Li,,Mn,,,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3907577104085294,[3.0],[3.0]
mp-766637,Li5Fe6(BO3)6,1.392386603542232,0.3197881362657239,Trigonal plane,1,2a,1,"[0.0073457564904459635, 0.006699624146034241, 0.007283937310734966, 0.015884718439930622, 0.012945395732547629, 0.02348967298550069]",0.0,0.012274850850865687,A5B6C6D18,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Fe-Li-O,0.0252834522142855,-2.307423038047619,1.1128,4,Monoclinic,m,Cc,orthoborate,Li,,Fe,,,B,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3927063631284118,[3.0],[3.0]
mp-766660,Li11Fe12(BO3)12,1.389960505377252,0.3554333007737332,Trigonal plane,1,1a,1,"[0.02462308725352009, 0.01768819147334634, 0.0001529582951315575, 0.00022976001203399397, 0.0017812753020005213, 0.002953512956262364, 0.006490037825956427, 0.011043596225627929, 0.0011968745256788476, 0.008625127271263943, 0.005303223884384153, 0.001040299756115356]",0.0,0.006760662065110127,A11B12C12D36,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Fe-Li-O,0.0233281670774365,-2.308000572206572,1.5745,4,Triclinic,1,P1,orthoborate,Li,,Fe,,,B,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3901887469280496,[3.0],[3.0]
mp-766960,Li11Fe12(BO3)12,1.390973961065321,0.3197011163160835,Trigonal plane,1,1a,1,"[0.00610947581262198, 0.0039200372241013975, 0.01849009926271792, 0.011100501993164084, 0.004702243454109256, 0.01139459905103484, 0.010701354147962555, 0.016744793380149937, 0.01117012169420763, 0.0068749878073493045, 0.0023615898171772103, 0.005850837518682831]",0.0,0.009118386763606578,A11B12C12D36,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Fe-Li-O,0.0151413167957468,-2.316187422488261,1.0162999999999998,4,Triclinic,1,P1,orthoborate,Li,,Fe,,,B,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.391256158136135,[3.0],[3.0]
mp-767613,RbVBP2HO9,1.4188216941916802,0.2207830552668254,Tetrahedron,1,4e,1,[0.09125877679575886],0.0,0.09125877679575886,ABCDE2F9,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,B-H-O-P-Rb-V,0.0,-2.616054919146825,1.7429,6,Monoclinic,2/m,P2_1/c,oxide,Rb,,V,,,B,"H, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.482631528402633,[4.0],[4.0]
mp-767762,Li5Mn6(BO3)6,1.390807736523919,0.2252612936631144,Trigonal plane,1,2a,1,"[0.007171793967008917, 0.007088278975934791, 0.030019346460335366, 0.013642850247080384, 0.010433871600146407, 0.015330841068267237]",0.0,0.013947830386462183,A5B6C6D18,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Li-Mn-O,0.0345651467857166,-2.4745399189786537,3.1684,4,Monoclinic,m,Cc,orthoborate,Li,,Mn,,,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.391228353406034,[3.0],[3.0]
