material_id,chem_formula,R$_0$,B,Ni_chemenv,num_Ni_chemenvs,Ni_wyckoff,num_Ni_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ni_sites,num_CN_env,num_charge_states,NiX_coordn,NiO_coordn,mean_coordn_Ni-X,min_coordn_Ni-X,max_coordn_Ni-X,mean_coordn_Ni-O,min_coordn_Ni-O,max_coordn_Ni-O,mean_Ni_charge,min_Ni_charge,max_Ni_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_NiO_BondL
mp-1043125,CaMnNiP2O9,2.031422638435273,0.0303532344106729,Octahedron,1,4a,1,[1.3560845685742882],0.0,1.3560845685742882,ABCD2E9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Mn-Ni-O-P,0.025862091131113,-2.507063476765482,0.026199999999999,5,Orthorhombic,mmm,Pnma,oxide,,Ca,"Mn, Ni",,,,"C, N, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.066577197257431
mp-1043130,CaFeNiP2O9,2.0119590963049,0.0448388549255838,Octahedron,1,4b,1,[1.558030603703078],0.0,1.558030603703078,ABCD2E9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Ca-Fe-Ni-O-P,0.02955819400794,-2.428921200306123,0.1203,5,Orthorhombic,mmm,Pnma,oxide,,Ca,"Fe, Ni",,,,"C, N, O, P",F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0442065432765992
mp-1043139,CaNi(GeO3)2,1.69991727767334,0.3965534687308409,Octahedron,1,4e,1,[1.476592393677808],0.0,1.476592393677808,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Ca-Ge-Ni-O,0.022752394416665,-2.25752711225,2.6157,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,Ni,,,Ge,"C, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1089881123438556
mp-1043162,MgNi(GeO3)2,1.8002234722174582,0.2895835178043449,Octahedron,1,4e,1,[0.43538178974324104],0.0,0.43538178974324104,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Ge-Mg-Ni-O,0.018148755750002,-2.17000875475,2.606899999999999,4,Monoclinic,2/m,C2/c,oxide,,Mg,Ni,,,Ge,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1007757709682653
mp-1043165,CaNi(GeO3)2,1.8692137533594304,0.2357649142157008,Octahedron,1,4e,1,[0.668866624572588],0.0,0.668866624572588,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Ca-Ge-Ni-O,0.004226829166664,-2.2760526775,2.7331000000000003,4,Monoclinic,2/m,C2/c,oxide,,Ca,Ni,,,Ge,"C, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.109182829030837
mp-1043166,ZnNi(GeO3)2,1.848007982416476,0.2620431179089204,Octahedron,1,2e,1,[0.451195654782689],0.0,0.451195654782689,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA_U,Ge-Ni-O-Zn,0.043645082500002,-1.8743939525,0.241099999999999,4,Monoclinic,2/m,C2/c,oxide,,,"Ni, Zn",,,Ge,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.106211406218559
mp-1043243,MgNi(GeO3)2,1.699365521003131,0.3889270474353126,Octahedron,1,4e,1,[0.701177436676069],0.0,0.701177436676069,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Ge-Mg-Ni-O,0.025945144000002,-2.1622123665,2.5291,4,Monoclinic,2/m,P2_1/c,oxide,,Mg,Ni,,,Ge,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.10252265384651
mp-1043305,ZnNi(GeO3)2,1.7450364691437226,0.364842847117342,Octahedron,1,4e,1,[0.771176389781219],0.0,0.771176389781219,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA_U,Ge-Ni-O-Zn,0.045104689500002,-1.8729343455,2.1827,4,Monoclinic,2/m,P2_1/c,oxide,,,"Ni, Zn",,,Ge,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.111635533769824
mp-1043389,NiP2WO9,1.9231309713941105,0.1535721950277645,Octahedron,1,4b,1,[0.5787733347671451],0.0,0.5787733347671451,ABC2D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Ni-O-P-W,0.037674566057701,-2.28442717532967,2.279,4,Orthorhombic,mmm,Pnma,oxide,,,"Ni, W",,,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1003686811759525
mp-1043448,MgNi3(P2O7)2,2.186194653544704,-0.0704860991404085,Octahedron,1,"2a, 4e",2,"[1.129455188827632, 1.37787699686894]",0.0,1.253666092848286,AB3C4D14,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Ni-O-P,0.046678269261366,-2.369689106298701,4.1792,4,Monoclinic,2/m,P2_1/c,oxide,,Mg,Ni,,,,"N, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.103050440184652
mp-1043455,CaNiSnP2O9,1.9592599800839792,0.1314007080090139,Octahedron,1,4b,1,[1.518443761492988],0.0,1.518443761492988,ABCD2E9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Ca-Ni-O-P-Sn,0.017821697809527,-2.577476221556121,2.8949,5,Orthorhombic,mmm,Pnma,oxide,,Ca,Ni,,Sn,,"C, N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1040287348253153
mp-1043472,NiMoP2O9,1.9119224811435784,0.1656332415197338,Octahedron,1,4b,1,[0.618351620826191],0.0,0.618351620826191,ABC2D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mo-Ni-O-P,0.043649754519221,-2.205641923791208,1.4081,4,Orthorhombic,mmm,Pnma,oxide,,,"Ni, Mo",,,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.103083894613189
mp-1043542,CaNiP2WO9,2.067514174513823,0.0334143192999156,Octahedron,1,4a,1,[1.4374475669787912],0.0,1.4374475669787912,ABCD2E9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Ni-O-P-W,0.019470775714282,-2.5677016217346957,0.0,5,Orthorhombic,mmm,Pnma,oxide,,Ca,"Ni, W",,,,"C, N, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1043279087349642
mp-1043722,Ca(Ni2O3)2,1.9061324731050728,0.1625965762782111,Octahedron,1,4f,1,"[0.25282583417205, 0.31991398170428603]",0.0,0.286369907938168,AB4C6,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,2.5,2.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Ni-O,0.033673340681814,-1.466961943181817,0.0,3,Orthorhombic,mmm,Cmcm,oxide,,Ca,Ni,,,,"C, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.068758042495177
mp-1043759,CaNiMoP2O9,2.086093557245879,0.0141953487616367,Octahedron,1,4a,1,[1.451798649130219],0.0,1.451798649130219,ABCD2E9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Mo-Ni-O-P,0.001701712440439,-2.573872554948979,1.6824,5,Orthorhombic,mmm,Pnma,oxide,,Ca,"Ni, Mo",,,,"C, N, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1025356177478427
mp-1043874,CaLaFeNiO6,1.9827149263290549,0.0698333471695898,Octahedron,1,2a,1,[0.03841525565814],0.0,0.03841525565814,ABCDE6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ca-Fe-La-Ni-O,0.0,-2.352552896,0.0,5,Monoclinic,m,Pc,oxide,,Ca,"Fe, Ni",,,,"C, N, O",F,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.011132510738656
mp-1044226,MgTiNi(PO4)3,1.828501133959434,0.2402242865613397,Octahedron,1,2a,1,[0.581765994532367],0.0,0.581765994532367,ABCD3E12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Ni-O-P-Ti,0.049734940802474,-2.666333629570106,0.0,5,Trigonal,3m,R3c,phosphate,,Mg,"Ti, Ni",,,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9994500435739024
mp-1044432,CaTiNi(PO4)3,1.8238933305153424,0.2667466906926021,Octahedron,1,2a,1,[0.271502587856118],0.0,0.271502587856118,ABCD3E12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Ni-O-P-Ti,0.039900930337966,-2.756225437903439,0.0,5,Trigonal,3m,R3c,phosphate,,Ca,"Ti, Ni",,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0137219923679615
mp-1044564,Al4Si2Ni13(SbO14)2,1.5983772691566438,0.5037501384463873,"Octahedron, Trigonal bipyramid",2,"4j, 2g, 1a",3,"[0.55643597355978, 0.545633120304395, 1.5277040891365, 1.4537393316201581, 1.200593855481974]",0.0,1.0568212740205616,A2B2C4D13E28,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Al-Ni-O-Sb-Si,0.013562062551019,-2.01942869244898,2.347699999999999,5,Monoclinic,2/m,C2/m,oxide,,,Ni,,Al,"Si, Sb","N, O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.089599748352962
mp-1044733,CaPr(NiO3)2,1.884992567973712,0.1716690594150231,Octahedron,1,4b,1,[0.024455395948349],0.0,0.024455395948349,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ca-Ni-O-Pr,0.019238472124991,-2.096811694166666,0.0,4,Orthorhombic,mm2,Pmn2_1,oxide,,Ca,Ni,,,,"C, N, O, P",,,Pr,,"B $\in$ [0.1, 0.5]",Positive B,1.953915587985742
mp-1045516,Li(NiO2)2,1.6851780502163378,0.4698559816566332,Octahedron,1,"1h, 1c",2,"[0.269786034584625, 1.100704346723576]",0.0,0.6852451906541005,AB2C4,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Ni-O,0.033880358392855,-1.182512773333333,0.0731,3,Monoclinic,2/m,P2/m,oxide,Li,,Ni,,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9289943854942482
mp-1045574,Li3(NiO2)4,2.285933093345992,-0.5653598900114103,Octahedron,1,"2h, 2i",2,"[0.313047052310858, 1.000991948925758]",0.0,0.6570195006183079,A3B4C8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.25,3.25,3.25,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,Li-Ni-O,0.014831634361118,-1.351747186666665,0.0,3,Monoclinic,2/m,C2/m,oxide,Li,,Ni,,,,"N, O",,,,,"B $\in$ [-1, -0.1]",Negative B,1.933326279557768
mp-1045786,MgNi(PO3)4,1.8572896953403863,0.2084347500506145,Octahedron,1,2c,1,[0.603944829665597],0.0,0.603944829665597,ABC4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Ni-O-P,0.0,-2.614905074087302,0.086899999999999,4,Monoclinic,2/m,C2/c,phosphite,,Mg,Ni,,,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0902404042862286
mp-1045813,CaNi(PO3)4,1.8956353147922875,0.1513066133112575,Octahedron,1,2d,1,[0.025159449957967],0.0,0.025159449957967,ABC4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",r2SCAN,Ca-Ni-O-P,0.0,-2.68302037575397,4.6204,4,Monoclinic,2/m,C2/c,phosphite,,Ca,Ni,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0647364189991015
mp-1046134,Mg2Ta2NiO8,2.071373631725561,0.0506094324219777,Octahedron,1,4e,1,[0.315245556177065],0.0,0.315245556177065,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Ni-O-Ta,0.017765058974351,-2.950889255358974,2.584599999999999,4,Monoclinic,2/m,C2/c,oxide,,Mg,"Ni, Ta",,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1146428921643583
mp-1046140,Ta2Zn2NiO8,2.031285494780596,0.073938548538031,Octahedron,1,4i,1,[0.300877903628854],0.0,0.300877903628854,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Ni-O-Ta-Zn,0.019010797307695,-2.533209058435898,3.6028,4,Monoclinic,2/m,C2/c,oxide,,,"Ni, Zn, Ta",,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.116963458948868
mp-1046412,SrMgNi(PO4)2,1.7791071490626664,0.2944105142959575,Octahedron,1,2i,1,[1.6037861984098232],0.0,1.6037861984098232,ABCD2E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Ni-O-P-Sr,0.009859213269235,-2.833767644175824,4.2789,5,Triclinic,-1,P-1,phosphate,,"Mg, Sr",Ni,,,,"N, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.103007107642958
mp-1046437,SrCaNi(PO4)2,1.438277384284423,0.6421559582465208,Octahedron,1,2i,1,[2.599534734528244],0.0,2.599534734528244,ABCD2E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Ni-O-P-Sr,0.023721595427353,-2.909063978791209,3.8435,5,Triclinic,-1,P-1,phosphate,,"Ca, Sr",Ni,,,,"C, N, O, P, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.1400408027740734
