material_id,chem_formula,R$_0$,B,Hg_chemenv,num_Hg_chemenvs,Hg_wyckoff,num_Hg_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Hg_sites,num_CN_env,num_charge_states,HgX_coordn,HgO_coordn,mean_coordn_Hg-X,min_coordn_Hg-X,max_coordn_Hg-X,mean_coordn_Hg-O,min_coordn_Hg-O,max_coordn_Hg-O,mean_Hg_charge,min_Hg_charge,max_Hg_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_HgO_BondL
mp-1228161,Ba6Ca3Cu6Hg3O19,1.645026858663531,1.2410554781290248,"T-shaped, Square plane",2,"1a, 2i",2,"[1.915422736873451, 2.063625841490192]",0.0,1.9895242891818214,A3B3C6D6E19,2,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Ca-Cu-Hg-O,0.040676224954955,-1.984070004121621,0.0,5,Monoclinic,2/m,C2/m,oxide,,"Ca, Ba","Cu, Hg",,,B,"H, C, O",,,,,B > 1,Positive B,2.308347346777102
mp-1228371,Ba8Ca4Cu8Hg4O25,1.7045751676447078,1.269512641434814,T-shaped,1,4j,1,[1.96254340582672],0.0,1.96254340582672,A4B4C8D8E25,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Ca-Cu-Hg-O,0.030428928061226,-1.996043782142858,0.0,5,Monoclinic,2/m,C2/m,oxide,,"Ca, Ba","Cu, Hg",,,B,"H, C, O",,,,,B > 1,Positive B,2.2472585065313173
mp-1228760,Ba6Ca6Cu9Hg3O25,1.6437253194740962,1.258620551801327,"T-shaped, Square plane",2,"1c, 2i",2,"[1.992148722526665, 1.9830799417862541]",0.0,1.9876143321564594,A3B6C6D9E25,2,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Ca-Cu-Hg-O,0.032186673945576,-2.021393518214285,0.0,5,Monoclinic,2/m,C2/m,oxide,,"Ca, Ba","Cu, Hg",,,B,"H, C, O",,,,,B > 1,Positive B,2.315090204677873
mp-1229053,AgHgAsO4,0.9976709035220728,1.5165739270973813,Trigonal prism,1,2a,1,[3.033386991733522],0.0,3.033386991733522,ABCD4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA,Ag-As-Hg-O,0.00372296404762,-1.131254678809524,0.0,4,Orthorhombic,mm2,Fdd2,oxide,,,"Ag, Hg",,,As,"H, O",,,,,B > 1,Positive B,2.4961323595139255
mp-1229082,Ba6Ca12Cu15Hg3O37,1.6406071463190317,1.2407495510535824,"T-shaped, Square plane",2,"1a, 2i",2,"[1.935430545960362, 1.990896049609663]",0.0,1.9631632977850124,A3B6C12D15E37,2,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Ca-Cu-Hg-O,0.025236989360736,-2.057572151678081,0.0,5,Monoclinic,2/m,C2/m,oxide,,"Ca, Ba","Cu, Hg",,,B,"H, C, O",,,,,B > 1,Positive B,2.3037345296711678
mp-1229139,Ba10Ca5Cu10Hg5O31,1.8091405628992976,1.0881746701373245,"T-shaped, Linear",2,"1a, 2i",2,"[2.005310219004897, 2.0061023015876, 1.3820179722400542e-27]",0.0,1.3371375068641658,A5B5C10D10E31,2,2,1,"[2.0, 3.0]","[2.0, 3.0]",2.5,2.0,3.0,2.5,2.0,3.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Ca-Cu-Hg-O,0.028136469781413,-1.999383450286885,0.0,5,Triclinic,-1,P-1,oxide,,"Ca, Ba","Cu, Hg",,,B,"H, C, O",,,,,B > 1,Positive B,2.2037225877866016
mp-1229200,Ba10Cu5Hg5O21,1.8144615710257528,1.0932086461802353,"T-shaped, Linear",2,"1a, 2i",2,"[2.011790477348138, 2.003473951846832, 2.135840880375953e-28]",0.0,1.338421476398323,A5B5C10D21,2,2,1,"[2.0, 3.0]","[2.0, 3.0]",2.5,2.0,3.0,2.5,2.0,3.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Cu-Hg-O,0.042857528780484,-1.922231440670732,0.0,4,Triclinic,-1,P-1,oxide,,Ba,"Cu, Hg",,,B,"H, C, O",,,,,B > 1,Positive B,2.210538830125215
mp-1229281,Ba6Ca15Cu18Hg3O43,1.640412734406532,1.248618221534788,"T-shaped, Square plane",2,"1a, 2i",2,"[1.943134250494774, 2.019956689257947]",0.0,1.9815454698763604,A3B6C15D18E43,2,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Ca-Cu-Hg-O,0.025898271921576,-2.065335683794118,0.0,5,Monoclinic,2/m,C2/m,oxide,,"Ca, Ba","Cu, Hg",,,B,"H, C, O",,,,,B > 1,Positive B,2.306377131261487
mp-13803,Nb2Hg2O7,2.029080654503692,0.3715974878834608,Hexagonal bipyramid,1,4d,1,[2.195170087992927],0.0,2.195170087992927,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Hg-Nb-O,0.003425043441561,-2.158362852272729,0.443999999999999,3,Cubic,m-3m,Fd-3m,oxide,,,"Nb, Hg",,,,"H, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.5928334369244292
mp-14469,KHg(PO3)3,2.05107647567242,0.3348094075398745,Octahedron,1,4a,1,[2.278161985328791],0.0,2.278161985328791,ABC3D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Hg-K-O-P,0.0,-2.38562078329847,3.204399999999999,4,Orthorhombic,222,P2_12_12_1,phosphite,K,,Hg,,,,"H, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.419535667850104
mp-15994,Hg(PO3)2,1.7044459809249943,0.6415182608615853,Trigonal prism,1,8c,1,[4.79915155055022],0.0,4.79915155055022,AB2C6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Hg-O-P,0.0,-1.9186013528835968,2.5782,3,Orthorhombic,mmm,Pbca,phosphite,,,Hg,,,,"H, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.3675747137914933
mp-16585,HgB4O7,2.210658237337891,0.0655261627138071,Pentagonal bipyramid,1,8c,1,[7.428468455385759],1.0,7.428468455385759,AB4C7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",r2SCAN,B-Hg-O,0.0,-2.228213902083332,2.7564,3,Orthorhombic,mmm,Pbca,tetraborate,,,Hg,,,B,"H, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.256297161990302
mp-18901,VAgHgO4,2.83009498051504,-0.2952536627424803,"Tetrahedron, Trigonal prism",2,"1a, 1b",2,"[3.473627072069273, 6.590299839101756]",0.5,5.031963455585514,ABCD4,2,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Ag-Hg-O-V,0.029641454285721,-1.405343847738096,1.2204,4,Monoclinic,2,C2,oxide,,,"V, Ag, Hg",,,,"H, O",,,,,"B $\in$ [-1, -0.1]",Negative B,2.502936845167073
mp-19132,HgWO4,3.574977460595245,-0.8225763835896771,Octahedron,1,2d,1,[3.81090400404966],0.0,3.81090400404966,ABC4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Hg-O-W,0.024316027291667,-1.647943537916667,2.2876,3,Monoclinic,2/m,C2/c,oxide,,,"W, Hg",,,,"H, O",,,,,"B $\in$ [-1, -0.1]",Negative B,2.537433644575559
mp-19155,CrHgO4,1.7925899442977244,0.6643359988688717,Pentagonal bipyramid,1,4e,1,[1.307956235565722],0.0,1.307956235565722,ABC4,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Cr-Hg-O,0.0,-1.299659134583327,1.931,3,Monoclinic,2/m,P2_1/c,oxide,,,"Cr, Hg",,,,"H, C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.4536830281087885
mp-19363,HgMoO4,3.500634651907585,-0.8072040917912606,Octahedron,1,2d,1,[4.352298712829667],0.0,4.352298712829667,ABC4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Hg-Mo-O,0.0,-1.5400649545833351,2.2557,3,Monoclinic,2/m,C2/c,oxide,,,"Mo, Hg",,,,"H, O",,,,,"B $\in$ [-1, -0.1]",Negative B,2.5050579593465905
mp-19380,CrHgO4,2.2588385614643376,0.0676615963442426,Octahedron,1,2a,1,[0.649809678164538],0.0,0.649809678164538,ABC4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Cr-Hg-O,0.002098004999995,-1.2975611295833271,1.3635,3,Orthorhombic,mmm,Cmcm,oxide,,,"Cr, Hg",,,,"H, C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.3344566753418134
mp-22999,Hg3(ClO)2,0.1891415583486494,3.1022378527416,"Square pyramid, Linear",2,"2a, 4e",2,"[3.178825974144766, 5.658837818707129e-30]",0.0,1.589412987072383,A2B2C3,2,2,1,"[6.0, 6.0]","[2.0, 3.0]",6.0,6.0,6.0,2.5,2.0,3.0,2.0,2.0,2.0,2.0,2,2,"Cl-, O2-","Halogens, Nonmetals, Transition Metals",GGA,Cl-Hg-O,0.007352333392866,-0.5100289139285631,0.3047,3,Monoclinic,2/m,P2_1/c,hypochlorite,,,Hg,,,,"H, C, O",Cl,,,,B > 1,Positive B,2.2797398697886915
mp-23358,Hg5(ClO2)2,0.6789869613684651,2.5117702009509086,"Tetrahedron, See-saw, Linear",3,"4j, 4g, 2b",3,"[0.09424367778482201, 10.270550159456986, 5.792632644564576]",0.667,5.385808827268796,A2B4C5,3,3,1,"[6.0, 4.0, 6.0]","[2.0, 4.0, 4.0]",5.333333333333333,4.0,6.0,3.333333333333333,2.0,4.0,2.0,2.0,2.0,1.6666666666666667,1,2,"Cl-, O2-","Halogens, Nonmetals, Transition Metals",r2SCAN,Cl-Hg-O,0.0,-0.47208003977273,0.186199999999999,3,Orthorhombic,mmm,Ibam,chlorite,,,Hg,,,,"H, C, O",Cl,,,,B > 1,Positive B,2.2875605714991156
mp-23395,Hg2ClO,1.934892478237014,0.5841334031887397,"See-saw, Triangular non-coplanar, Linear",3,"4f, 2e, 2d",3,"[4.3973530899499504, 3.49470270672769, 6.721958600446003e-31]",0.0,2.6306852655592134,ABC2,3,3,2,"[4.0, 6.0, 4.0]","[2.0, 2.0, 2.0]",4.666666666666667,4.0,6.0,2.0,2.0,2.0,1.6666666666666667,1.0,2.0,2.0,2,2,"Cl-, O2-","Halogens, Nonmetals, Transition Metals",GGA,Cl-Hg-O,0.014014276249998,-0.478195675000002,1.5862,3,Monoclinic,2/m,C2/c,hypochlorite,,,Hg,,,,"H, C, O",Cl,,,,"B $\in$ [0.5, 1]",Positive B,2.311656153923419
mp-23407,Hg(IO3)2,2.457962671081245,0.0716218888305722,Dodecahedron with triangular faces - p2345 plane normalized,1,2a,1,[5.345551890382516],1.0,5.345551890382516,AB2C6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",r2SCAN,Hg-I-O,0.0,-0.38190114638889,2.6932,3,Monoclinic,2,P2_1,iodate,,,Hg,,,,"H, O",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.5486621280338215
mp-23543,Hg5(BrO2)2,0.6097023854327682,2.661671598094076,"See-saw, Linear",2,"4j, 4g, 2a",3,"[0.06234903084095401, 10.431067110236814, 5.360044082777704]",0.667,5.284486741285157,A2B4C5,2,3,1,"[6.0, 4.0, 6.0]","[2.0, 4.0, 4.0]",5.333333333333333,4.0,6.0,3.333333333333333,2.0,4.0,2.0,2.0,2.0,1.6666666666666667,1,2,"Br-, O2-","Halogens, Metalloids, Nonmetals, Transition Metals",r2SCAN,Br-Hg-O,0.0,-0.42264327522728,0.0,3,Orthorhombic,mmm,Ibam,bromite,,,Hg,,,B,"H, O",Br,,,,B > 1,Positive B,2.313513821959503
