material_id,chem_formula,R$_0$,B,Ce_chemenv,num_Ce_chemenvs,Ce_wyckoff,num_Ce_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ce_sites,num_CN_env,num_charge_states,CeX_coordn,CeO_coordn,mean_coordn_Ce-X,min_coordn_Ce-X,max_coordn_Ce-X,mean_coordn_Ce-O,min_coordn_Ce-O,max_coordn_Ce-O,mean_Ce_charge,min_Ce_charge,max_Ce_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_CeO_BondL
mp-1195398,CeCO4,2.169064365214865,0.3411131468068916,Square-face monocapped antiprism,1,6l,1,"[3.044938565334233, 2.900184236132831, 2.912525569568826]",0.0,2.9525494570119633,ABC4,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",GGA,C-Ce-O,0.047082104259258,-2.801253861990741,1.2835,3,Hexagonal,-6,P-6,oxide,,,,,,,"C, O",,,Ce,,"B $\in$ [0.1, 0.5]",Positive B,2.465006930679078
mp-1195550,K2Ce(PO4)2,2.085257325278046,0.431653022410261,Square antiprism,1,4e,1,[1.282851192075214],0.0,1.282851192075214,AB2C2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",SCAN,Ce-K-O-P,0.0,-3.014878776060439,1.4179,4,Monoclinic,2/m,P2_1/c,phosphate,K,,,,,,"C, O, P",,,Ce,,"B $\in$ [0.1, 0.5]",Positive B,2.3848331251686083
mp-1195865,Ce2Te4Cl2O11,2.0736722782581367,0.422028634374694,Pentagonal bipyramid,1,2i,1,"[1.726334687091621, 1.056705031311078]",0.0,1.3915198592013494,A2B2C4D11,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Lanthanides, Metalloids, Nonmetals",r2SCAN,Ce-Cl-O-Te,0.0,-2.228754549035084,1.4548,4,Triclinic,-1,P-1,oxide,,,,,,Te,"C, O",Cl,,Ce,,"B $\in$ [0.1, 0.5]",Positive B,2.313311976979889
mp-1196379,CeMoClO4,2.558029938960672,-0.1803222353223153,"Square-face bicapped trigonal prism, Square-face monocapped antiprism",2,4e,1,"[1.719765570011192, 5.892936248084819]",0.5,3.8063509090480054,ABCD4,2,1,1,[9.0],[6.0],9.0,9.0,9.0,6.0,6.0,6.0,4.0,4.0,4.0,2.0,2,2,"Cl-, O2-","Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ce-Cl-Mo-O,0.035987463668368,-2.657283573928571,0.0,4,Monoclinic,2/m,P2_1/c,perchlorate,,,Mo,,,,"C, O",Cl,,Ce,,"B $\in$ [-1, -0.1]",Negative B,2.389188877078625
mp-1196951,Ce2Te7Br2O17,2.153935149961681,0.3154582506863865,Hexagonal bipyramid,1,4g,1,[1.001781588050587],0.0,1.001781588050587,A2B2C7D17,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Lanthanides, Metalloids, Nonmetals",GGA,Br-Ce-O-Te,0.0,-1.969177184166666,1.2014,4,Monoclinic,2/m,P2/c,oxide,,,,,,"B, Te","C, O",Br,,Ce,,"B $\in$ [0.1, 0.5]",Positive B,2.3997191439186585
mp-1197286,Ce9(SbO)5,2.172851815416074,0.3352773439175203,"See-saw, Square pyramid, Angular",3,"8g, 2c",2,"[2.125428362164553, 8.531388971240812, 3.983535686257294]",0.333,4.880117673220886,A5B5C9,3,3,2,"[6.0, 6.0, 6.0]","[4.0, 1.0, 1.0]",6.0,6.0,6.0,2.0,1.0,4.0,2.333333333333333,2.0,3.0,2.6666666666666665,2,3,"Sb2-, Sb-, O2-","Lanthanides, Metalloids, Nonmetals",GGA,Ce-O-Sb,0.024002494210527,-2.344547057916665,0.0,3,Tetragonal,4/m,P4/n,oxide,,,,,,Sb,"C, O, S",,,Ce,,"B $\in$ [0.1, 0.5]",Positive B,2.3508948054021683
mp-1199150,CeB2O4F,2.3673052999951087,0.2072450387311686,Tricapped triangular prism (two square-face caps and one triangular-face cap),1,8c,1,[4.556505415287179],0.0,4.556505415287179,ABC2D4,1,1,1,[9.0],[6.0],9.0,9.0,9.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2,2,"F-, O2-","Halogens, Lanthanides, Metalloids, Nonmetals",GGA,B-Ce-F-O,0.023007321753471,-3.324694501510415,0.2384,4,Orthorhombic,mmm,Pbca,fluoride,,,,,,B,"C, O",F,,Ce,,"B $\in$ [0.1, 0.5]",Positive B,2.5801595188913926
mp-1199771,Ce2Nb2S7O30,2.2097977679225567,0.2678069067734243,Dodecahedron with triangular faces - p2345 plane normalized,1,4e,1,[1.773553011708602],0.0,1.773553011708602,A2B2C7D30,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Ce-Nb-O-S,0.007934710548768,-2.312373829939024,0.6364000000000001,4,Tetragonal,-42m,P-42_1m,oxide,,,Nb,,,,"C, N, O, S",,,Ce,,"B $\in$ [0.1, 0.5]",Positive B,2.412098175238145
mp-1200659,CeRh2O5,1.939083123800788,0.8136927487242562,Square-face bicapped trigonal prism,1,4c,1,[6.8471577449205405],1.0,6.8471577449205405,AB2C5,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Ce-O-Rh,0.0,-1.985038210937501,0.7865000000000001,3,Orthorhombic,mmm,Pnma,oxide,,,Rh,,,,"C, O",,,Ce,,"B $\in$ [0.5, 1]",Positive B,2.351676153848082
mp-1201068,CeP5O14,2.28177216664346,0.2301891855196897,Square antiprism,1,4e,1,[0.34724462846318205],0.0,0.34724462846318205,AB5C14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",GGA,Ce-O-P,0.004919700125,-2.8065395657857133,0.173,3,Monoclinic,2/m,P2_1/c,oxide,,,,,,,"C, O, P",,,Ce,,"B $\in$ [0.1, 0.5]",Positive B,2.509252860313425
