material_id,chem_formula,R$_0$,B,N_chemenv,num_N_chemenvs,N_wyckoff,num_N_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_N_sites,num_CN_env,num_charge_states,NX_coordn,NO_coordn,mean_coordn_N-X,min_coordn_N-X,max_coordn_N-X,mean_coordn_N-O,min_coordn_N-O,max_coordn_N-O,mean_N_charge,min_N_charge,max_N_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_NO_BondL
mp-1211215,Li2Nd(NO3)5,1.8234557653994856,1.0889315687512051,"Icosahedron, Trigonal plane",2,"4e, 2c, 2a, 4g, 8h",5,"[1.674196664681524, 1.802897408131083, 0.044179354080403, 0.040975756030159, 0.016741931002461, 0.007115421085615001]",0.0,0.5976844225018741,AB2C5D15,2,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Li-N-Nd-O,0.0,-1.4313096113768111,3.6948,4,Orthorhombic,mmm,Pnnm,nitrate,Li,,,,,,"N, O",,,Nd,,B > 1,Positive B,1.2678151500805752
mp-1211252,Li2La(NO3)5,1.8248796552610724,1.0908526468882238,Trigonal plane,1,"4g, 8h, 4e",3,"[0.035813925990165, 0.034616989383694, 0.014281594910666, 0.00470752550946]",0.0,0.022355008948496253,AB2C5D15,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,La-Li-N-O,0.0,-1.449697932463769,3.7223,4,Orthorhombic,mmm,Pnnm,nitrate,Li,,,,,,"N, O",,,La,,B > 1,Positive B,1.2682062289546476
mp-1211322,Li2Sm(NO3)5,1.7778643309686324,0.9989431931098112,Trigonal plane,1,"4g, 8h, 4e",3,"[0.043386419864099, 0.042248937710231006, 0.014962562226588, 0.007972048586168]",0.0,0.0271424920967715,AB2C5D15,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Li-N-O-Sm,0.0,-1.428793071376812,3.6957,4,Orthorhombic,mmm,Pnnm,nitrate,Li,,,,,,"N, O, S",,,Sm,,"B $\in$ [0.5, 1]",Positive B,1.2680936391128006
mp-1211772,Li3Dy(NO3)6,1.4008065140003108,0.2601047293594169,Trigonal plane,1,4e,1,"[0.046374002990343006, 0.07658746192603001, 0.021499325004559002, 0.051135859819437, 0.044089812855847, 0.029085076950384002]",0.0,0.04479525659110001,AB3C6D18,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Dy-Li-N-O,0.0,-1.425532440059524,3.1081,4,Monoclinic,2/m,P2_1/c,nitrate,Li,,,,,,"N, O",,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,1.2688253292038256
mp-1212059,Li3Tm(NO3)6,1.3929780435400878,0.2450824974397726,Trigonal plane,1,4e,1,"[0.046572179739982004, 0.079272227226673, 0.025191865712048, 0.053369366470303006, 0.050264198220502, 0.032670666971537005]",0.0,0.04789008405684083,AB3C6D18,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Li-N-O-Tm,0.0,-1.423629258214286,3.0238,4,Monoclinic,2/m,P2_1/c,nitrate,Li,,,,,,"N, O",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,1.2686189082228043
mp-1212130,Li3Tb(NO3)6,1.392700481734175,0.2443568560440384,Trigonal plane,1,4e,1,"[0.041786935639835, 0.06791365825966701, 0.021109910353242, 0.050425926855730004, 0.03991833938284, 0.027746053656549002]",0.0,0.0414834706913105,AB3C6D18,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Li-N-O-Tb,0.0,-1.426259162827382,3.104,4,Monoclinic,2/m,P2_1/c,nitrate,Li,,,,,,"N, O",,,Tb,,"B $\in$ [0.1, 0.5]",Positive B,1.2687096141337375
mp-1212171,Li3Y(NO3)6,1.3940861960497035,0.2473038333712985,Trigonal plane,1,4e,1,"[0.04442866465661, 0.069311423815117, 0.020611800006185, 0.049066322339334, 0.039966552454458, 0.026938518188307004]",0.0,0.04172054691000184,AB3C6D18,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Li-N-O-Y,0.0,-1.421155140357144,3.1094,4,Monoclinic,2/m,P2_1/c,nitrate,Li,,Y,,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2686011120505805
mp-1212266,K2Th(NO3)6,1.6508858589755449,0.7492246031743391,Trigonal plane,1,6g,1,"[0.056578582630367004, 0.038699526120030005, 0.04986827118506]",0.0,0.04838212664515234,AB2C6D18,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Nonmetals",GGA,K-N-O-Th,0.0,-1.436932916216049,3.5914,4,Trigonal,-3,P-3,nitrate,K,,,,,,"N, O",,,,Th,"B $\in$ [0.5, 1]",Positive B,1.2687271642846805
mp-1212270,Li3Lu(NO3)6,1.3966891742544776,0.2537079493899262,Trigonal plane,1,4e,1,"[0.050483517708329005, 0.08462051929844601, 0.028993184277392003, 0.059546206604198, 0.053320711824864, 0.036884212505394004]",0.0,0.05230805870310382,AB3C6D18,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Li-Lu-N-O,0.0,-1.420543826041668,3.1118,4,Monoclinic,2/m,P2_1/c,nitrate,Li,,,,,,"N, O",,,Lu,,"B $\in$ [0.1, 0.5]",Positive B,1.2679545298100394
mp-1212476,Li3Gd(NO3)6,1.3868960968062771,0.2341578183734914,Trigonal plane,1,4e,1,"[0.045327792153806, 0.068433832766634, 0.017199765352215002, 0.048144461690134005, 0.038124472200257005, 0.024107517216565]",0.0,0.0402229735632685,AB3C6D18,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Gd-Li-N-O,0.0,-1.419740796607143,2.6228,4,Monoclinic,2/m,P2_1/c,nitrate,Li,,,,,,"N, O",,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,1.2684692136325078
