material_id,chem_formula,R$_0$,B,P_chemenv,num_P_chemenvs,P_wyckoff,num_P_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_P_sites,num_CN_env,num_charge_states,PX_coordn,PO_coordn,mean_coordn_P-X,min_coordn_P-X,max_coordn_P-X,mean_coordn_P-O,min_coordn_P-O,max_coordn_P-O,mean_P_charge,min_P_charge,max_P_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_PO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1019782,K2LiB(PO4)2,1.6958892143671704,0.7032106050074451,Tetrahedron,1,4e,1,"[0.095281704395739, 0.23074650517198403]",0.0,0.16301410478386152,ABC2D2E8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",1.5399094514877643,r2SCAN,B-K-Li-O-P,0.0,-2.739611065448979,5.5562000000000005,5,Monoclinic,2/m,P2_1/c,phosphate,"Li, K",None,None,None,None,B,"O, P",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1019791,K2Zn(PO3)4,1.6262416294405277,0.3182408016380656,Tetrahedron,1,2a,1,"[0.261654572158928, 0.26567151085858803, 0.22980370270249703, 0.28470568775375904]",0.0,0.260458868368443,AB2C4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.5602247953792614,GGA,K-O-P-Zn,0.006197255921053001,-2.592679571214285,4.849699999999999,4,Monoclinic,m,Cc,phosphite,K,None,Zn,None,None,None,"O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019793,K3La(PO4)2,1.6012680501874168,0.18903771929218377,Tetrahedron,1,2e,1,"[0.01515919524053, 0.008689896711423001]",0.0,0.011924545975976501,AB2C3D8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",1.5596112820664754,GGA,K-La-O-P,0.0,-2.9902919022168373,4.662000000000001,4,Monoclinic,2/m,P2_1/m,phosphate,K,None,None,None,None,None,"O, P",None,None,La,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019794,K3LiP2O7,1.6494262123328116,0.3898943850145958,Tetrahedron,1,4c,1,[0.11332650670630001],0.0,0.11332650670630001,AB2C3D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",1.565372169147195,GGA,K-Li-O-P,0.0,-2.6719741380283892,5.0761,4,Orthorhombic,222,C222_1,oxide,"Li, K",None,None,None,None,None,"O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019796,K4P2O7,1.600210020252666,0.28884551171601724,Tetrahedron,1,4f,1,[0.06721026704199201],0.0,0.06721026704199201,A2B4C7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",1.5378886858525633,r2SCAN,K-O-P,0.0,-2.6051445840989,3.7435,3,Hexagonal,6/mmm,P6_3/mmc,oxide,K,None,None,None,None,None,"O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019802,KAl(PO3)4,1.611681532869198,0.2754827083360576,Tetrahedron,1,4j,1,"[0.17989556721038302, 0.250096877602745]",0.0,0.21499622240656402,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals",1.5558953473766255,GGA,Al-K-O-P,0.001154180972229,-2.796808548378968,5.179699999999999,4,Monoclinic,2/m,C2/m,phosphite,K,None,None,None,Al,None,"O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019891,KPSO2,1.6555181289952454,0.48102591743680145,Tetrahedron,1,4a,1,"[1.07069231302969, 1.075480565907582, 1.069340560178418]",0.0,1.0718378130385633,ABCD2,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,2,2,O2-,"Alkali Metals, Nonmetals",1.599910234741454,GGA,K-O-P-S,0.009601876166662,-2.0997501807119052,4.1722,4,Orthorhombic,mm2,Pna2_1,oxide,K,None,None,None,None,None,"O, P, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020109,LiMg3P3O11,1.629156733706973,0.34322825686781194,Tetrahedron,1,"8d, 4c",2,"[0.067689370290194, 0.131900988851391]",0.0,0.09979517957079251,AB3C3D11,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",1.554975659003828,GGA,Li-Mg-O-P,0.0,-2.972969114570104,5.3095,4,Orthorhombic,mmm,Pnma,oxide,Li,Mg,None,None,None,None,"O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020146,Na2LiB5(PO7)2,1.6920711122864265,0.6197327790821772,Tetrahedron,1,4f,1,[0.04985064075048801],0.0,0.04985064075048801,AB2C2D5E14,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",1.554344360284606,GGA,B-Li-Na-O-P,0.0,-2.7806599083837913,5.5805,5,Monoclinic,2/m,P2_1/m,oxide,"Li, Na",None,None,None,None,B,"N, O, P",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1020147,Na2Mg2P3NO9,1.5408288304369662,0.025530672395152425,Tetrahedron,1,12b,1,[0.21682950038577],0.0,0.21682950038577,AB2C2D3E9,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,2,2,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",1.5337237953751628,GGA,Mg-N-Na-O-P,0.0,-2.680814938334541,5.2409,5,Cubic,23,P2_13,oxide,Na,Mg,None,None,None,None,"N, O, P",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
