material_id,chem_formula,R$_0$,B,Tl_chemenv,num_Tl_chemenvs,Tl_wyckoff,num_Tl_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Tl_sites,num_CN_env,num_charge_states,TlX_coordn,TlO_coordn,mean_coordn_Tl-X,min_coordn_Tl-X,max_coordn_Tl-X,mean_coordn_Tl-O,min_coordn_Tl-O,max_coordn_Tl-O,mean_Tl_charge,min_Tl_charge,max_Tl_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_TlO_BondL
mp-1208185,TlV3CdCu4O13,2.892819890244554,0.088797174168827,Pentagonal antiprism,1,2e,1,[8.060277799539545],1.0,8.060277799539545,ABC3D4E13,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Cd-Cu-O-Tl-V,0.04361203992423,-1.652226397424243,0.0,5,Monoclinic,2/m,P2_1/m,oxide,,,"V, Cu, Cd",,Tl,,"C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.030402644838673
mp-1208238,Tl2Co2(SO4)3,2.1963662537759423,0.3819375494155075,no_data,1,no_data,1,no_data,0.0,no_data,A2B2C3D12,2,2,1,"[15.0, 9.0]","[15.0, 9.0]",12.0,9.0,15.0,12.0,9.0,15.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Co-O-S-Tl,0.00311743197368,-1.709620645745614,2.929699999999999,4,Cubic,23,P2_13,sulfate,,,Co,,Tl,,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.1499673589478543
mp-1208295,TiTlAsO5,3.2496049771245565,-0.1022822317867318,Tricapped triangular prism (one square-face cap and two triangular-face caps),1,4a,1,"[8.328603822451594, 7.403769760494104]",1.0,7.866186791472849,ABCD5,1,2,1,"[8.0, 9.0]","[8.0, 9.0]",8.5,8.0,9.0,8.5,8.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,As-O-Ti-Tl,0.0,-2.309175717552086,2.8120000000000003,4,Orthorhombic,mm2,Pna2_1,oxide,,,Ti,,Tl,As,O,,,,,"B $\in$ [-1, -0.1]",Negative B,3.017863154193704
mp-1208325,TlCu(PO3)3,3.009302210959853,-0.0704566024073386,Pentagonal-face capped pentagonal antiprism,1,4e,1,[9.065828971707965],1.0,9.065828971707965,ABC3D9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA,Cu-O-P-Tl,0.0,-2.249703198911565,0.9173,4,Monoclinic,2/m,P2_1/c,phosphite,,,Cu,,Tl,,"C, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.9116003402732487
mp-1208393,TbTl(MoO4)2,2.557867687436865,0.1702925029451021,Metabidiminished icosahedron,1,4c,1,[6.603532151548677],1.0,6.603532151548677,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,Mo-O-Tb-Tl,0.0,-2.377716833958333,3.2868,4,Orthorhombic,mmm,Pbcn,oxide,,,Mo,,Tl,,O,,,Tb,,"B $\in$ [0.1, 0.5]",Positive B,2.852468040692925
mp-1208422,TlCr2FeO8,2.795686392382738,0.1283609353832553,Pentagonal prism,1,4c,1,[9.110872566879529],1.0,9.110872566879529,ABC2D8,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1,1,O2-,"Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Cr-Fe-O-Tl,0.012075135624987,-1.623650177986111,2.0252,4,Orthorhombic,mmm,Pnma,oxide,,,"Cr, Fe",,Tl,,"C, O",F,,,,"B $\in$ [0.1, 0.5]",Positive B,3.1150247414544774
mp-1208571,Tl2Ni2(MoO4)3,2.7909763172669924,0.2050242757548625,"Truncated tetrahedron, Tricapped triangular prism (three square-face caps)",2,4a,1,"[5.800741378348972, 1.716080493181944]",0.5,3.758410935765458,A2B2C3D12,2,2,1,"[12.0, 6.0]","[12.0, 6.0]",9.0,6.0,12.0,9.0,6.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Mo-Ni-O-Tl,0.003347283552638,-1.711383492324563,3.8078,4,Cubic,23,P2_13,oxide,,,"Ni, Mo",,Tl,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.264808443001554
mp-1208792,Sr2PrTlCu2O7,0.9993222346589288,2.1768949824021,Octahedron,1,1a,1,[1.311538055267362],0.0,1.311538055267362,ABC2D2E7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Cu-O-Pr-Sr-Tl,0.011396976953985,-2.047978034579548,0.0,5,Tetragonal,4/mmm,P4/mmm,oxide,,Sr,Cu,,Tl,,"C, O, P, S",,,Pr,,B > 1,Positive B,2.528311257421376
mp-1208994,ScTl(SO4)2,2.6665913918244524,0.2234152304007604,Cuboctahedron,1,1b,1,[10.461034859458906],1.0,10.461034859458906,ABC2D8,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA,O-S-Sc-Tl,0.004932880520843,-2.309568390277777,4.2982,4,Trigonal,32,P321,sulfate,,,Sc,,Tl,,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.2874183587982024
mp-1209177,RbTl3O5,1.9904487313811985,0.4426609235123864,Octahedron,1,4c,1,"[0.950187817165927, 0.549284296577085, 0.723106512522105]",0.0,0.7408595420883723,AB3C5,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals",r2SCAN,O-Rb-Tl,0.0,-1.201315490555558,0.2713,3,Orthorhombic,mmm,Pnma,oxide,Rb,,,,Tl,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.3245272590041415
mp-1210136,NdTl(WO4)2,2.7604454448899696,0.1098375245346735,Square antiprism,1,4c,1,[5.351992379655427],1.0,5.351992379655427,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Nd-O-Tl-W,0.046425653541664,-2.437850165694446,4.0423,4,Orthorhombic,mmm,Pbcn,oxide,,,W,,Tl,,"N, O",,,Nd,,"B $\in$ [0.1, 0.5]",Positive B,2.924101150123086
mp-1210788,Mn2Tl2(SO4)3,2.276273783586885,0.3755749264315184,no_data,1,no_data,1,no_data,0.0,no_data,A2B2C3D12,2,2,1,"[15.0, 9.0]","[15.0, 9.0]",12.0,9.0,15.0,12.0,9.0,15.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Mn-O-S-Tl,0.0,-1.925286948948882,4.3732,4,Cubic,23,P2_13,sulfate,,,Mn,,Tl,,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.215572550027139
mp-1210978,LuTl(MoO4)2,2.7745193010582305,0.1646774075625355,Pentagonal-face capped pentagonal antiprism,1,4c,1,[10.532959161520647],1.0,10.532959161520647,ABC2D8,1,1,1,[11.0],[11.0],11.0,11.0,11.0,11.0,11.0,11.0,1.0,1.0,1.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Lu-Mo-O-Tl,0.007155215833364,-2.391052673541669,3.9398,4,Orthorhombic,mmm,Pnma,oxide,,,Mo,,Tl,,O,,,Lu,,"B $\in$ [0.1, 0.5]",Positive B,3.2041557939088903
mp-1211724,Mn2Tl2(MoO4)3,2.649094190008795,0.2982390954820081,"Truncated tetrahedron, Tricapped triangular prism (three square-face caps)",2,4a,1,"[5.789224191809325, 1.660526994793092]",0.5,3.7248755933012085,A2B2C3D12,2,2,1,"[6.0, 9.0]","[6.0, 9.0]",7.5,6.0,9.0,7.5,6.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Mn-Mo-O-Tl,0.008449772763148,-1.91882250921204,2.8053,4,Cubic,23,P2_13,oxide,,,"Mn, Mo",,Tl,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,3.2669716647239424
mp-1212243,HoTl(MoO4)2,2.60084526970035,0.1767854171241832,Metabidiminished icosahedron,1,4c,1,[6.2952904234588765],1.0,6.2952904234588765,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Ho-Mo-O-Tl,0.0,-2.378023333402778,3.291,4,Orthorhombic,mmm,Pbcn,oxide,,,Mo,,Tl,,"H, O",,,Ho,,"B $\in$ [0.1, 0.5]",Positive B,2.890804248627612
