material_id,chem_formula,R$_0$,B,Ti_chemenv,num_Ti_chemenvs,Ti_wyckoff,num_Ti_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ti_sites,num_CN_env,num_charge_states,mean_coordn_Ti-X,min_coordn_Ti-X,max_coordn_Ti-X,mean_coordn_Ti-O,min_coordn_Ti-O,max_coordn_Ti-O,mean_Ti_charge,min_Ti_charge,max_Ti_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_TiO_BondL,TiX_coordn,TiO_coordn
mp-1247687,SrCa7Ti2Mn6O24,1.9466595192155407,0.0513501725151693,Octahedron,1,1a,1,"[0.030573476214411706, 0.05682905439419176, 0.048717049194865795, 0.03623717347757353, 0.05019044823593224, 0.03232255446880253, 0.0181233953578181, 0.05719896156135628]",0.0,0.04127401411311899,AB2C6D7E24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Mn-O-Sr-Ti,0.0414084900625013,-2.746113316481322,0.3421000000000003,5,Triclinic,1,P1,oxide,,"Ca, Sr","Ti, Mn",,,,"C, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.967524073332574,[6.0],[6.0]
mp-1247707,Ca4TiMn3O12,1.931054975960079,0.0907249759013877,Octahedron,1,2c,1,"[0.009661318951950774, 0.01043382097730344]",0.0,0.010047569964627107,AB3C4D12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Mn-O-Ti,0.0251170178749999,-2.7629578968563218,0.4592999999999998,4,Monoclinic,m,Pm,oxide,,Ca,"Ti, Mn",,,,"C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9679184095715936,[6.0],[6.0]
mp-1247708,Ca8TiMn7O24,1.907259069206117,0.143156022912281,Octahedron,1,2c,1,"[0.008367328723912543, 0.01095618325974135]",0.0,0.009661755991826946,AB7C8D24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Mn-O-Ti,0.0400512002291693,-2.620451945846264,0.4087999999999998,4,Monoclinic,m,Pm,oxide,,Ca,"Ti, Mn",,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9654267873011968,[6.0],[6.0]
mp-1247714,SrCa7Ti3Mn5O24,1.8699372035040704,0.2519735635148659,Octahedron,1,1a,1,"[0.03172398058471678, 0.055120113238731734, 0.02301730898037173, 0.053552804001062444, 0.02541409958003078, 0.03816975791503489, 0.044613654652331414, 0.031336493380113066, 0.02593644799329083, 0.017283930321687048, 0.05709480100452512, 0.02313273817685393]",0.0,0.03553301081906248,AB3C5D7E24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Mn-O-Sr-Ti,0.0348811827083386,-2.8802123924913787,0.5068000000000001,5,Triclinic,1,P1,oxide,,"Ca, Sr","Ti, Mn",,,,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9723191295849785,[6.0],[6.0]
mp-1273123,Li2TiFeO4,1.5574314932365074,1.323388275616805,Octahedron,1,1a,1,"[0.5351490568986111, 0.5123146717329272, 0.5344599236341921, 0.5315247813953365]",0.0,0.5283621084152668,ABC2D4,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Fe-Li-O-Ti,0.0385525440625009,-2.566141746562499,1.2211999999999996,4,Triclinic,1,P1,oxide,Li,,"Ti, Fe",,,,O,F,,,,B > 1,Positive B,2.0458964485645805,[6.0],[6.0]
mp-1273419,Li3TiV2O6,1.7509492309473202,0.653379633183248,Octahedron,1,2a,1,[0.20804692899868818],0.0,0.20804692899868818,AB2C3D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-O-Ti-V,0.0217605230208315,-2.6567965986111126,0.3746999999999998,4,Triclinic,1,P1,oxide,Li,,"Ti, V",,,,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.0105761778744644,[6.0],[6.0]
mp-1274020,Li2TiVO4,1.7329355298314908,0.7612160784127153,Octahedron,1,2c,1,"[0.07195936824503846, 0.05587608973195566]",0.0,0.06391772898849706,ABC2D4,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-O-Ti-V,0.0321575220312517,-2.7398633187500003,0.0,4,Orthorhombic,222,I222,oxide,Li,,"Ti, V",,,,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.042309298353961,[6.0],[6.0]
mp-1274264,Li2TiFeO4,1.445697645597164,1.5358714740935722,Octahedron,1,2i,1,[0.26306086767945286],0.0,0.26306086767945286,ABC2D4,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Fe-Li-O-Ti,0.0396365075000009,-2.565057783124999,1.3399,4,Monoclinic,2/m,C2/m,oxide,Li,,"Ti, Fe",,,,O,F,,,,B > 1,Positive B,2.011738010011744,[6.0],[6.0]
mp-1275017,Li3Ti(NiO3)2,2.01298999792486,-0.0680399907041612,Octahedron,1,1a,1,"[0.15914733739605416, 0.1389740727994358]",0.0,0.149060705097745,AB2C3D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Ni-O-Ti,0.0388869090277683,-2.1522835836111107,0.0727999999999999,4,Triclinic,-1,P-1,oxide,Li,,"Ti, Ni",,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.985326885692005,[6.0],[6.0]
mp-1275461,Li2TiCr3O8,1.810528028793059,0.4270970105761568,Octahedron,1,2f,1,[0.4676802642073151],0.0,0.4676802642073151,AB2C3D8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Cr-Li-O-Ti,0.0154213867658725,-2.5662397828571426,0.8332999999999997,4,Monoclinic,2/m,C2/m,oxide,Li,,"Ti, Cr",,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9839188670038,[6.0],[6.0]
