material_id,chem_formula,R$_0$,B,Se_chemenv,num_Se_chemenvs,Se_wyckoff,num_Se_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Se_sites,num_CN_env,num_charge_states,SeX_coordn,SeO_coordn,mean_coordn_Se-X,min_coordn_Se-X,max_coordn_Se-X,mean_coordn_Se-O,min_coordn_Se-O,max_coordn_Se-O,mean_Se_charge,min_Se_charge,max_Se_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_SeO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-542115,Hg3Se3O10,1.6309537889153571,-0.20974273857262213,"Tetrahedron, Triangular non-coplanar",2,2a,1,"[1.246918581638097, 1.227053532989288, 0.044410487573586004]",0.0,0.8394608674003236,A3B3C10,2,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,4.67,4.67,4.67,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.6991633027905064,r2SCAN,Hg-O-Se,0.0,-0.6548926490429701,1.8688999999999991,3,Monoclinic,2,P2_1,oxide,None,None,Hg,None,None,None,"H, O, S, Se",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-542117,Cd3Se3O10,1.6231559599404766,-0.22154839771301602,"Tetrahedron, Triangular non-coplanar",2,2a,1,"[1.339044708870466, 1.18804144801206, 0.02081521194382]",0.0,0.8493004562754488,A3B3C10,2,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,4.67,4.67,4.67,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.6955309265847736,r2SCAN,Cd-O-Se,0.001657839374989,-1.373679018564463,3.0782,3,Monoclinic,2,P2_1,oxide,None,None,Cd,None,None,None,"C, O, S, Se",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-542284,Rb2CoH12(SeO7)2,1.661339775707905,-0.045637300553581756,Tetrahedron,1,4e,1,[0.01756735210048],0.0,0.01756735210048,AB2C2D12E14,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.6796952510782277,GGA_U,Co-H-O-Rb-Se,0.010621584919351001,-1.397784997086693,2.8485,5,Monoclinic,2/m,P2_1/c,oxide,Rb,None,Co,None,None,None,"H, C, O, S, Se",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-542464,Ga2H6(SeO4)3,1.7363775225935558,-0.027721840142270145,Triangular non-coplanar,1,6b,1,[1.231850549703916],0.0,1.231850549703916,A2B3C6D12,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",1.7438710227628906,GGA,Ga-H-O-Se,0.0055070041304320005,-1.175717940312518,4.0406,4,Trigonal,3m,R3c,oxide,None,None,None,None,Ga,None,"H, O, S, Se",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-542813,K2BeH4(SeO5)2,1.7861388584660602,0.2684142440567232,Tetrahedron,1,4e,1,"[0.085212312424954, 0.09050508453205601]",0.0,0.087858698478505,AB2C2D4E10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",1.6774414253737482,GGA,Be-H-K-O-Se,0.0,-1.658622659299342,3.8147,5,Monoclinic,2/m,P2_1/c,oxide,K,Be,None,None,None,B,"H, O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-545482,PdSeO3,1.9471107673423198,0.7397199733648263,Triangular non-coplanar,1,2e,1,[0.87528580978043],0.0,0.87528580978043,ABC3,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.7362250120753757,r2SCAN,O-Pd-Se,0.0,-0.696230124812498,1.0589,3,Monoclinic,2/m,P2_1/m,oxide,None,None,Pd,None,None,None,"O, P, S, Se",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-546684,PdSeO3,1.92559093281645,0.6963684605780333,Triangular non-coplanar,1,2i,1,[0.506711845812025],0.0,0.506711845812025,ABC3,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.7270644324884517,r2SCAN,O-Pd-Se,0.004668684000002,-0.691561440812499,0.8236000000000001,3,Monoclinic,2/m,C2/m,oxide,None,None,Pd,None,None,None,"O, P, S, Se",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-551407,CoSeO4,1.812435568957374,0.36830111678253025,Tetrahedron,1,2c,1,[0.065649342827929],0.0,0.065649342827929,ABC4,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.6635200945574065,r2SCAN,Co-O-Se,0.0,-1.333769276640624,1.3657,3,Orthorhombic,mmm,Cmcm,oxide,None,None,Co,None,None,None,"C, O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-553909,Tl2(SeO3)3,1.8000318379968938,0.2779103474825845,Triangular non-coplanar,1,4e,1,"[1.377455721810719, 0.7974721150191351, 0.9290805847178971]",0.0,1.0346694738492503,A2B3C9,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",1.7206828343367007,r2SCAN,O-Se-Tl,0.0,-1.205015005264139,2.2182,3,Monoclinic,2/m,P2_1/c,oxide,None,None,None,None,Tl,None,"O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-553947,Sr2NiSe2(ClO3)2,1.895684062078138,0.6345863776281129,Triangular non-coplanar,1,8e,1,[0.8314884819966],0.0,0.8314884819966,AB2C2D2E6,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",1.7135157462032449,r2SCAN,Cl-Ni-O-Se-Sr,0.0,-2.067703398052886,3.387,5,Monoclinic,2/m,P2_1/c,chlorate,None,Sr,Ni,None,None,None,"C, N, O, S, Se",Cl,None,None,None,"B $\in$ [0.5, 1]",Positive B
