material_id,chem_formula,R$_0$,B,Pt_chemenv,num_Pt_chemenvs,Pt_wyckoff,num_Pt_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Pt_sites,num_CN_env,num_charge_states,PtX_coordn,PtO_coordn,mean_coordn_Pt-X,min_coordn_Pt-X,max_coordn_Pt-X,mean_coordn_Pt-O,min_coordn_Pt-O,max_coordn_Pt-O,mean_Pt_charge,min_Pt_charge,max_Pt_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_PtO_BondL
mp-1213101,Dy2CoPtO6,2.036972866399677,0.0542926674230827,Octahedron,1,2a,1,[0.037109238564686],0.0,0.037109238564686,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Co-Dy-O-Pt,0.032340547499999,-2.575428754833333,1.767599999999999,4,Monoclinic,2/m,P2_1/c,oxide,,,"Co, Pt",,,,"C, O, P",,,Dy,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0590896952884794
mp-1214448,Ba8Sc3(Pt2O9)2,2.0301782631458773,0.0024398182217213,"Octahedron, Square plane",2,"1a, 3c",2,"[4.005934284325451e-30, 2.718669568330454e-28]",0.0,1.3793644555868542e-28,A3B4C8D18,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-O-Pt-Sc,0.0,-2.665770434999999,0.0,4,Cubic,m-3m,Pm-3m,oxide,,Ba,"Sc, Pt",,,B,"O, P, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0312096719560007
mp-1214674,Ba2Tm2CuPtO8,1.9001947387896043,0.411919125926256,Octahedron,1,4c,1,[0.30403589035128303],0.0,0.30403589035128303,ABC2D2E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Cu-O-Pt-Tm,0.017293019642858,-2.702201681607143,0.2841,5,Orthorhombic,mmm,Pnma,oxide,,Ba,"Cu, Pt",,,B,"C, O, P",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.064031445962448
mp-1214783,Ba2Ho2CuPtO8,1.8483564563663843,0.549775999311876,Octahedron,1,4c,1,[0.237653996856583],0.0,0.237653996856583,ABC2D2E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Cu-Ho-O-Pt,0.01355408955358,-2.68361437642857,0.2622,5,Orthorhombic,mmm,Pnma,oxide,,Ba,"Cu, Pt",,,B,"H, C, O, P",,,Ho,,"B $\in$ [0.5, 1]",Positive B,2.0673311191813517
mp-1214824,Ba2Er2CuPtO8,1.8907884693427528,0.433238670234472,Octahedron,1,4c,1,[0.271634768704177],0.0,0.271634768704177,ABC2D2E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Cu-Er-O-Pt,0.015187927321437,-2.692528628749999,0.2711,5,Orthorhombic,mmm,Pnma,oxide,,Ba,"Cu, Pt",,,B,"C, O, P",,,Er,,"B $\in$ [0.1, 0.5]",Positive B,2.0632869779183305
mp-1214855,Ba2Lu2CuPtO8,1.893762099136672,0.4234711102755488,Octahedron,1,4c,1,[0.360581426785726],0.0,0.360581426785726,ABC2D2E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Cu-Lu-O-Pt,0.023255640089288,-2.7082785852380957,0.282299999999999,5,Orthorhombic,mmm,Pnma,oxide,,Ba,"Cu, Pt",,,B,"C, O, P",,,Lu,,"B $\in$ [0.1, 0.5]",Positive B,2.0627987825815093
mp-1221329,Na2Nd2PtO6,2.0216323909527323,0.0939455829618623,Octahedron,1,2c,1,[0.187797337771443],0.0,0.187797337771443,AB2C2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Na-Nd-O-Pt,0.033706558863634,-2.502031170250784,2.1448,4,Monoclinic,2,C2,oxide,Na,,Pt,,,,"N, O, P",,,Nd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0597723180531
mp-1221367,Na2La2PtO6,2.0417104183795565,0.0588892263920627,Octahedron,1,2c,1,[0.12418902706747001],0.0,0.12418902706747001,AB2C2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,La-Na-O-Pt,0.020974990568184,-2.418467339659088,2.095899999999999,4,Monoclinic,2,C2,oxide,Na,,Pt,,,,"N, O, P",,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0656185305534933
mp-1223078,La4PtO7,1.9630923585630573,0.1427419577769212,Square plane,1,1a,1,[0.893923152564679],0.0,0.893923152564679,AB4C7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,La-O-Pt,0.016203934661533,-3.218115671171873,0.9892,3,Triclinic,1,P1,oxide,,,Pt,,,,"O, P",,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.0602977292966864
mp-1224648,H2PtPbI6O19,2.019662837426306,0.0106222200288989,Octahedron,1,1a,1,[0.027738521643315],0.0,0.027738521643315,ABC2D6E19,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,H-I-O-Pb-Pt,0.005961205775864,-0.913767805086206,2.2702,5,Triclinic,1,P1,oxide,,,Pt,,Pb,,"H, O, P",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.023996882820581
mp-1225837,Cu4PtO5,2.0373151737881274,0.0616927341142071,Square plane,1,2m,1,[0.5927444766442831],0.0,0.5927444766442831,AB4C5,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Cu-O-Pt,0.010086764000002,-0.731611085999998,0.0,3,Monoclinic,2/m,P2/m,oxide,,,"Cu, Pt",,,,"C, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.038418979946941
mp-1227215,Cd(Pt3O4)3,1.9932303838052867,0.0739974564390439,Square plane,1,"2m, 4u, 4x, 2s, 2l",5,"[0.16156181699748, 0.20960772511763, 0.0032557279602340003, 0.07755668717567, 0.159703942051823, 0.142952472130392, 0.011052030941972001]",0.0,0.10938434319645729,AB9C12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.44,2.44,2.44,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Cd-O-Pt,0.023208030000015,-0.8604915838636351,0.0,3,Orthorhombic,mmm,Pmmm,oxide,,,"Cd, Pt",,,,"C, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.030348405739579
mp-1227402,Ca2IrPtO6,1.910806436183988,0.390042858153533,Octahedron,1,1a,1,[0.9890127061888241],0.0,0.9890127061888241,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA,Ca-Ir-O-Pt,0.005005879333331,-2.046993367,0.0,4,Monoclinic,2/m,C2/m,oxide,,Ca,"Ir, Pt",,,,"C, O, P",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.069286996495895
mp-1227497,Bi2Pd3PtO8,2.01610000125433,0.1176041304655281,Octahedron,1,1e,1,[1.149091211745752],0.0,1.149091211745752,AB2C3D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Bi-O-Pd-Pt,0.0,-1.157419119999999,0.0,4,Triclinic,-1,P-1,oxide,,,"Pd, Pt",,Bi,B,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.063802919135643
mp-1227763,BaSr2Y2Cu2PtO10,2.504344767814009,-1.114757039391801,no_data,1,no_data,1,no_data,0.0,no_data,ABC2D2E2F10,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Cu-O-Pt-Sr-Y,0.021813352175144,-2.536334781111111,0.5624,6,Monoclinic,m,Cm,oxide,,"Sr, Ba","Cu, Y, Pt",,,B,"C, O, P, S",,,,,B < -1,Negative B,2.0514731192180733
mp-1228242,Ba3YRuPtO9,1.8042507603433249,0.5811802232049529,Octahedron,1,2d,1,[0.303647551529558],0.0,0.303647551529558,ABCD3E9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-O-Pt-Ru-Y,0.0,-2.524015475333334,0.2155,5,Trigonal,-3m,P-3m1,oxide,,Ba,"Y, Ru, Pt",,,B,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.041073251652879
mp-1228458,Ba6Y2Ru3PtO18,1.692448612342785,0.8522449358852244,Octahedron,1,1a,1,[0.25805327669280903],0.0,0.25805327669280903,AB2C3D6E18,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-O-Pt-Ru-Y,0.0,-2.575113708666667,0.0,5,Trigonal,3m,P3m1,oxide,,Ba,"Y, Ru, Pt",,,B,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.038675892607748
mp-1228609,Ba5Co4PtClO13,1.89436220382708,0.3628516667422717,Octahedron,1,2a,1,[0.5880195214589841],0.0,0.5880195214589841,ABC4D5E13,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,Ba-Cl-Co-O-Pt,0.037102931614585,-2.027272356458333,0.0,5,Orthorhombic,mm2,Cmc2_1,hypochlorite,,Ba,"Co, Pt",,,B,"C, O, P",Cl,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0412334782479586
mp-1272688,Ni(PtO2)3,1.97612868089874,0.0908937363971165,"Octahedron, Square plane",2,"4b, 4f",2,"[0.8323451621340021, 2.300706366781051, 2.303532694188641]",0.0,1.8121947410345645,AB3C6,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.33,3.33,3.33,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Ni-O-Pt,0.0,-0.983246442749998,0.374,3,Orthorhombic,2/m,Cmmm,oxide,,,"Ni, Pt",,,,"N, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0152209148017763
mp-18971,Mn(PtO2)3,1.9772068228842543,0.0980005731526608,"Octahedron, Square plane",2,"2f, 1a",2,"[0.662020433356547, 2.185062254845765]",0.0,1.4235413441011562,AB3C6,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.33,3.33,3.33,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Mn-O-Pt,0.0,-1.188962142793099,0.073399999999999,3,Orthorhombic,mmm,Cmmm,oxide,,,"Mn, Pt",,,,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0228549572281693
mp-19238,Co(PtO2)3,1.9708147260967324,0.0998422833033779,"Octahedron, Square plane",2,"4d, 8e",2,"[0.824854652169505, 2.6418865486194623]",0.0,1.7333706003944838,AB3C6,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.33,3.33,3.33,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Co-O-Pt,0.0,-1.021103145,0.1366,3,Orthorhombic,mmm,Cmmm,oxide,,,"Co, Pt",,,,"C, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.016642680257571
mp-22048,Pt2PbO4,2.001337412213297,0.0293879883497759,"Octahedron, Square plane",2,"1f, 1e, 1h, 1b",4,"[0.673282401902023, 0.148979854718427, 0.124265405226609, 0.9531819544166341]",0.0,0.47492740406592326,AB2C4,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,O-Pb-Pt,0.0,-0.868398527142854,0.0,3,Triclinic,-1,P-1,oxide,,,Pt,,Pb,,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.013892374592626
mp-2767430,La4PtO7,1.9102813905361864,0.1928599805108373,Square plane,1,1a,1,[0.6025513961940351],0.0,0.6025513961940351,AB4C7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,La-O-Pt,0.0,-3.234319605833332,0.9344,3,Monoclinic,m,Cm,oxide,,,Pt,,,,"O, P",,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.0433492318474626
mp-29332,Pt(PbO2)2,2.006480725645837,0.0710554696214661,Octahedron,1,4e,1,[0.906502209129675],0.0,0.906502209129675,AB2C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,O-Pb-Pt,0.0,-1.027809887857139,0.523799999999999,3,Orthorhombic,mmm,Pbam,oxide,,,Pt,,Pb,,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.035647328137547
